"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SYNDIBANK","EQ","02-Jan-2017","         61.55","         61.90","         62.40","         60.75","         61.95","         61.85","         61.52","    1192770","            73382743.25","       4636","     184264","         15.45"
"SYNDIBANK","EQ","03-Jan-2017","         61.85","         62.20","         62.90","         61.30","         62.10","         62.05","         62.17","     922925","            57378685.60","       4740","     130098","         14.10"
"SYNDIBANK","EQ","04-Jan-2017","         62.05","         62.05","         62.55","         61.10","         61.35","         61.35","         61.74","    1264499","            78075591.00","       7904","     258566","         20.45"
"SYNDIBANK","EQ","05-Jan-2017","         61.35","         61.90","         62.45","         61.60","         62.20","         62.25","         62.05","    1006643","            62457761.80","       4133","     275100","         27.33"
"SYNDIBANK","EQ","06-Jan-2017","         62.25","         62.50","         63.75","         62.40","         62.80","         62.65","         62.88","    1451584","            91279410.35","       6728","     446436","         30.76"
"SYNDIBANK","EQ","09-Jan-2017","         62.65","         62.95","         63.90","         62.40","         63.35","         63.45","         63.28","    1496116","            94680100.10","       5162","     441025","         29.48"
"SYNDIBANK","EQ","10-Jan-2017","         63.45","         63.60","         64.50","         62.85","         64.10","         64.00","         63.52","    1373309","            87233671.05","       5833","     414683","         30.20"
"SYNDIBANK","EQ","11-Jan-2017","         64.00","         64.50","         66.10","         64.10","         65.40","         65.45","         65.26","    2134469","           139299368.75","       7066","     643822","         30.16"
"SYNDIBANK","EQ","12-Jan-2017","         65.45","         65.60","         65.95","         64.10","         64.65","         64.75","         64.84","    1958949","           127013078.25","       6167","     503069","         25.68"
"SYNDIBANK","EQ","13-Jan-2017","         64.75","         65.00","         65.20","         63.90","         64.60","         64.55","         64.49","     846694","            54600030.80","       4181","     197324","         23.31"
"SYNDIBANK","EQ","16-Jan-2017","         64.55","         64.70","         65.25","         64.15","         65.25","         65.10","         64.88","    1999354","           129723572.60","       6143","     502242","         25.12"
"SYNDIBANK","EQ","17-Jan-2017","         65.10","         65.30","         65.95","         64.50","         64.75","         64.75","         65.06","    1090087","            70924563.75","       4572","     249151","         22.86"
"SYNDIBANK","EQ","18-Jan-2017","         64.75","         65.00","         65.40","         64.60","         64.85","         64.95","         65.03","    1766736","           114894134.85","       5663","     310979","         17.60"
"SYNDIBANK","EQ","19-Jan-2017","         64.95","         64.95","         65.90","         64.40","         65.80","         65.65","         65.26","    1867568","           121885909.40","       5395","     864909","         46.31"
"SYNDIBANK","EQ","20-Jan-2017","         65.65","         65.45","         65.90","         63.85","         64.00","         64.10","         64.97","    1315974","            85501931.00","       4630","     587090","         44.61"
"SYNDIBANK","EQ","23-Jan-2017","         64.10","         64.00","         65.50","         63.60","         64.75","         64.70","         64.70","     960294","            62132175.05","       3456","     286222","         29.81"
"SYNDIBANK","EQ","24-Jan-2017","         64.70","         64.80","         66.15","         64.80","         66.00","         65.80","         65.36","    1520630","            99385936.70","       4769","     777812","         51.15"
"SYNDIBANK","EQ","25-Jan-2017","         65.80","         66.40","         70.75","         65.25","         69.60","         69.75","         69.47","   14823799","          1029754407.90","      13056","    2898396","         19.55"
