"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TV18BRDCST","EQ","03-Apr-2017","         42.00","         42.30","         44.85","         42.15","         44.05","         44.00","         43.99","   13838845","           608766730.80","      21028","    4194015","         30.31"
"TV18BRDCST","EQ","05-Apr-2017","         44.00","         44.45","         45.50","         44.00","         45.00","         45.05","         44.89","    8152234","           365956357.40","      12712","    2355408","         28.89"
"TV18BRDCST","EQ","06-Apr-2017","         45.05","         44.70","         45.70","         44.40","         44.60","         44.75","         44.97","    5421972","           243814239.45","       6390","    1469383","         27.10"
"TV18BRDCST","EQ","07-Apr-2017","         44.75","         44.25","         44.85","         42.70","         43.10","         43.05","         43.93","    5464530","           240060111.05","       9027","    1889614","         34.58"
"TV18BRDCST","EQ","10-Apr-2017","         43.05","         43.40","         43.90","         42.95","         43.60","         43.40","         43.40","    2793305","           121236090.95","       5011","    1080859","         38.69"
"TV18BRDCST","EQ","11-Apr-2017","         43.40","         43.30","         44.90","         43.30","         44.35","         44.40","         44.19","    5586115","           246832708.75","       7287","    1550688","         27.76"
"TV18BRDCST","EQ","12-Apr-2017","         44.40","         44.60","         44.85","         43.20","         43.85","         43.85","         44.03","    4536557","           199727323.60","       6134","    1220198","         26.90"
"TV18BRDCST","EQ","13-Apr-2017","         43.85","         43.85","         44.25","         43.50","         43.75","         43.65","         43.83","    3124899","           136967374.70","       4799","     851466","         27.25"
"TV18BRDCST","EQ","17-Apr-2017","         43.65","         44.05","         44.05","         42.55","         43.35","         43.30","         43.28","    3217950","           139275495.20","       4443","     836210","         25.99"
"TV18BRDCST","EQ","18-Apr-2017","         43.30","         43.50","         44.50","         42.65","         42.90","         42.85","         43.77","    5363330","           234748421.05","       7763","    1289409","         24.04"
"TV18BRDCST","EQ","19-Apr-2017","         42.85","         43.45","         43.45","         40.80","         41.60","         41.50","         41.85","   12450927","           521099362.15","      19197","    2467959","         19.82"
"TV18BRDCST","EQ","20-Apr-2017","         41.50","         41.30","         42.15","         40.50","         40.60","         40.65","         40.96","    9223794","           377760659.10","      10643","    4641228","         50.32"
"TV18BRDCST","EQ","21-Apr-2017","         40.65","         40.80","         43.30","         40.35","         42.00","         42.00","         42.12","   27834327","          1172254490.40","      29668","    9173158","         32.96"
"TV18BRDCST","EQ","24-Apr-2017","         42.00","         42.00","         42.90","         41.75","         42.00","         42.15","         42.34","    5502012","           232943110.45","       7112","    2453895","         44.60"
"TV18BRDCST","EQ","25-Apr-2017","         42.15","         42.15","         42.65","         41.65","         41.70","         41.90","         42.11","    5082460","           214042001.95","       7966","    2279864","         44.86"
"TV18BRDCST","EQ","26-Apr-2017","         41.90","         42.05","         42.50","         40.70","         40.80","         40.95","         41.67","    6547712","           272843837.20","       7755","    2504388","         38.25"
"TV18BRDCST","EQ","27-Apr-2017","         40.95","         41.05","         42.35","         40.15","         40.60","         40.45","         41.00","   12787060","           524227592.75","      15336","    5633109","         44.05"
"TV18BRDCST","EQ","28-Apr-2017","         40.45","         40.90","         41.95","         40.80","         41.85","         41.80","         41.48","    8718530","           361602504.15","       8417","    3629194","         41.63"
"TV18BRDCST","EQ","02-May-2017","         41.80","         42.00","         42.25","         40.90","         41.50","         41.60","         41.55","    4985509","           207162774.95","       5774","    2119312","         42.51"
"TV18BRDCST","EQ","03-May-2017","         41.60","         41.75","         41.90","         41.05","         41.30","         41.30","         41.28","    3758407","           155151132.70","       3515","    1783615","         47.46"
"TV18BRDCST","EQ","04-May-2017","         41.30","         41.45","         41.55","         40.55","         40.85","         40.80","         40.90","    3792691","           155129811.40","       4780","    2252021","         59.38"
"TV18BRDCST","EQ","05-May-2017","         40.80","         40.95","         40.95","         39.45","         39.80","         39.85","         39.98","    6019772","           240663293.65","      12907","    2450154","         40.70"
"TV18BRDCST","EQ","08-May-2017","         39.85","         40.00","         40.40","         39.70","         40.10","         40.10","         40.07","    2476002","            99204122.00","       7835","    1160538","         46.87"
"TV18BRDCST","EQ","09-May-2017","         40.10","         40.25","         40.65","         39.85","         39.95","         39.95","         40.17","    3531519","           141866876.10","       9388","    1635916","         46.32"
"TV18BRDCST","EQ","10-May-2017","         39.95","         40.10","         41.75","         40.05","         41.65","         41.45","         40.85","    5145527","           210201437.45","      11667","    2208306","         42.92"
"TV18BRDCST","EQ","11-May-2017","         41.45","         41.65","         42.50","         41.35","         42.25","         42.25","         42.01","    8657884","           363696939.85","      18660","    3215820","         37.14"
"TV18BRDCST","EQ","12-May-2017","         42.25","         42.00","         42.50","         41.10","         41.40","         41.40","         41.66","    4335691","           180626913.50","      14710","    1397325","         32.23"
"TV18BRDCST","EQ","15-May-2017","         41.40","         41.90","         42.30","         41.55","         41.85","         41.85","         41.88","    3922870","           164296985.50","      10572","    1188854","         30.31"
"TV18BRDCST","EQ","16-May-2017","         41.85","         42.20","         42.25","         41.25","         41.70","         41.80","         41.68","    5182282","           216002498.80","       8856","    3258009","         62.87"
"TV18BRDCST","EQ","17-May-2017","         41.80","         41.70","         41.90","         41.00","         41.00","         41.10","         41.28","    3160311","           130456249.85","       8237","    1162974","         36.80"
"TV18BRDCST","EQ","18-May-2017","         41.10","         40.80","         41.45","         40.15","         40.30","         40.25","         40.67","    3192450","           129844968.55","       8761","    1186432","         37.16"
"TV18BRDCST","EQ","19-May-2017","         40.25","         40.50","         40.70","         39.05","         39.65","         39.40","         39.69","    4951780","           196555252.10","      10940","    2097862","         42.37"
"TV18BRDCST","EQ","22-May-2017","         39.40","         39.55","         39.95","         38.00","         38.10","         38.20","         38.82","    4464802","           173331252.75","      10727","    2115087","         47.37"
"TV18BRDCST","EQ","23-May-2017","         38.20","         38.30","         38.30","         35.30","         35.65","         36.00","         36.62","    9889363","           362170855.25","      18111","    5318579","         53.78"
"TV18BRDCST","EQ","24-May-2017","         36.00","         36.00","         36.45","         33.05","         33.50","         33.35","         34.33","   14403745","           494422546.15","      22580","    7502319","         52.09"
"TV18BRDCST","EQ","25-May-2017","         33.35","         33.80","         35.90","         33.70","         35.60","         35.60","         35.13","   11397608","           400382635.50","      16852","    5648474","         49.56"
"TV18BRDCST","EQ","26-May-2017","         35.60","         35.70","         36.80","         35.45","         36.50","         36.45","         36.28","    5795853","           210281618.20","      12829","    2227966","         38.44"
"TV18BRDCST","EQ","29-May-2017","         36.45","         36.70","         36.95","         34.15","         34.70","         34.60","         35.38","    6758058","           239094905.15","      12566","    1984406","         29.36"
"TV18BRDCST","EQ","30-May-2017","         34.60","         34.70","         35.60","         34.25","         35.40","         35.25","         35.00","    3821565","           133773165.70","      10009","    1208374","         31.62"
"TV18BRDCST","EQ","31-May-2017","         35.25","         35.50","         35.95","         34.80","         35.55","         35.50","         35.34","    4193011","           148186796.25","       9267","    1618929","         38.61"
"TV18BRDCST","EQ","01-Jun-2017","         35.50","         35.50","         35.65","         34.75","         35.10","         35.10","         35.17","    2376044","            83566828.75","       8158","     845883","         35.60"
"TV18BRDCST","EQ","02-Jun-2017","         35.10","         35.25","         36.05","         35.00","         35.85","         35.85","         35.70","    3682608","           131480535.80","       6135","     831026","         22.57"
"TV18BRDCST","EQ","05-Jun-2017","         35.85","         36.15","         36.50","         35.90","         36.20","         36.10","         36.17","    2187225","            79103521.10","       3311","     876237","         40.06"
"TV18BRDCST","EQ","06-Jun-2017","         36.10","         36.30","         36.30","         35.25","         35.50","         35.40","         35.69","    3050645","           108869709.70","       4682","     614259","         20.14"
"TV18BRDCST","EQ","07-Jun-2017","         35.40","         35.30","         36.20","         35.30","         35.85","         35.95","         35.74","    2122313","            75851501.75","       4201","     845648","         39.85"
"TV18BRDCST","EQ","08-Jun-2017","         35.95","         36.15","         36.45","         35.55","         36.10","         36.20","         35.99","    3214337","           115670851.90","       4615","     878342","         27.33"
"TV18BRDCST","EQ","09-Jun-2017","         36.20","         36.15","         36.50","         35.20","         36.20","         36.30","         36.25","    2809818","           101869158.55","       4448","    1178896","         41.96"
"TV18BRDCST","EQ","12-Jun-2017","         36.30","         36.30","         37.90","         35.80","         37.00","         36.95","         36.92","    8480518","           313128040.10","      11304","    1654660","         19.51"
"TV18BRDCST","EQ","13-Jun-2017","         36.95","         37.20","         38.10","         37.05","         37.65","         37.80","         37.72","    4745476","           178997585.15","       7630","    1733958","         36.54"
"TV18BRDCST","EQ","14-Jun-2017","         37.80","         37.95","         37.95","         37.05","         37.35","         37.35","         37.45","    3217484","           120487766.20","       4936","     642591","         19.97"
"TV18BRDCST","EQ","15-Jun-2017","         37.35","         37.15","         38.25","         37.05","         37.70","         37.80","         37.76","    3646158","           137696207.35","       6009","     829420","         22.75"
"TV18BRDCST","EQ","16-Jun-2017","         37.80","         37.80","         38.05","         37.20","         37.50","         37.70","         37.74","    5028613","           189789105.20","       6064","    1246525","         24.79"
