"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAELXSI","EQ","02-Jan-2017","       1405.20","       1406.90","       1421.00","       1391.55","       1412.00","       1412.75","       1410.25","     255100","           359754369.75","       8981","      29014","         11.37"
"TATAELXSI","EQ","03-Jan-2017","       1412.75","       1416.90","       1421.30","       1395.70","       1400.00","       1402.35","       1405.45","     270284","           379869555.50","       9377","      39875","         14.75"
"TATAELXSI","EQ","04-Jan-2017","       1402.35","       1403.90","       1441.50","       1403.90","       1419.30","       1419.30","       1427.04","     481470","           687076027.00","      16580","      84583","         17.57"
"TATAELXSI","EQ","05-Jan-2017","       1419.30","       1433.50","       1459.00","       1425.00","       1429.00","       1433.10","       1442.33","     493169","           711312160.20","      16693","      57033","         11.56"
"TATAELXSI","EQ","06-Jan-2017","       1433.10","       1433.00","       1441.45","       1385.00","       1386.10","       1392.15","       1403.00","     442704","           621114756.60","      16292","      70693","         15.97"
"TATAELXSI","EQ","09-Jan-2017","       1392.15","       1390.15","       1398.80","       1372.20","       1390.65","       1387.90","       1382.76","     171888","           237680133.05","       8749","      25159","         14.64"
"TATAELXSI","EQ","10-Jan-2017","       1387.90","       1398.40","       1424.95","       1397.05","       1407.05","       1411.05","       1413.97","     315854","           446608744.75","      12376","      38059","         12.05"
"TATAELXSI","EQ","11-Jan-2017","       1411.05","       1414.15","       1419.00","       1390.00","       1395.35","       1399.30","       1401.30","     183280","           256830388.65","       8037","      32466","         17.71"
"TATAELXSI","EQ","12-Jan-2017","       1399.30","       1400.00","       1421.60","       1394.00","       1410.00","       1405.45","       1406.27","     225144","           316612886.75","      12281","      36507","         16.21"
"TATAELXSI","EQ","13-Jan-2017","       1405.45","       1422.00","       1436.75","       1389.10","       1395.00","       1399.70","       1409.20","     323161","           455399514.25","      12825","      55419","         17.15"
"TATAELXSI","EQ","16-Jan-2017","       1399.70","       1390.00","       1421.00","       1380.05","       1415.50","       1414.95","       1405.25","     211437","           297122193.55","       8963","      35796","         16.93"
"TATAELXSI","EQ","17-Jan-2017","       1414.95","       1420.00","       1444.00","       1413.55","       1421.15","       1423.10","       1431.36","     355727","           509174811.35","      13389","      63396","         17.82"
"TATAELXSI","EQ","18-Jan-2017","       1423.10","       1453.00","       1521.70","       1442.10","       1517.00","       1514.95","       1497.70","    2465817","          3693051644.90","      78607","     269957","         10.95"
"TATAELXSI","EQ","19-Jan-2017","       1514.95","       1525.60","       1555.00","       1518.20","       1522.90","       1522.75","       1531.39","    1209881","          1852799794.70","      38125","     163999","         13.55"
"TATAELXSI","EQ","20-Jan-2017","       1522.75","       1524.80","       1524.80","       1467.30","       1485.55","       1482.45","       1490.97","     525015","           782782541.85","      18838","      79359","         15.12"
"TATAELXSI","EQ","23-Jan-2017","       1482.45","       1485.00","       1499.00","       1456.80","       1490.00","       1488.95","       1479.94","     359741","           532393977.35","      15188","      30397","          8.45"
"TATAELXSI","EQ","24-Jan-2017","       1488.95","       1491.00","       1516.00","       1485.00","       1515.00","       1503.15","       1496.78","     256019","           383204667.30","      11365","      48911","         19.10"
"TATAELXSI","EQ","25-Jan-2017","       1503.15","       1525.10","       1533.00","       1457.60","       1461.50","       1464.75","       1493.71","    1123724","          1678519256.30","      38745","     193013","         17.18"
"TATAELXSI","EQ","27-Jan-2017","       1464.75","       1468.80","       1490.40","       1466.00","       1468.50","       1472.00","       1475.93","     290342","           428524852.10","      10807","      53093","         18.29"
"TATAELXSI","EQ","30-Jan-2017","       1472.00","       1468.00","       1472.35","       1447.00","       1457.00","       1458.50","       1456.48","     249103","           362813321.25","      11768","      51290","         20.59"
"TATAELXSI","EQ","31-Jan-2017","       1458.50","       1458.00","       1458.00","       1403.00","       1419.00","       1423.35","       1431.02","     368370","           527145643.90","      17189","      75694","         20.55"
"TATAELXSI","EQ","01-Feb-2017","       1423.35","       1410.10","       1467.00","       1394.05","       1449.30","       1450.30","       1436.99","     596876","           857705170.35","      24842","      87692","         14.69"
"TATAELXSI","EQ","02-Feb-2017","       1450.30","       1448.00","       1481.50","       1428.00","       1475.00","       1470.20","       1460.59","     394955","           576868082.60","      15374","      67682","         17.14"
"TATAELXSI","EQ","03-Feb-2017","       1470.20","       1472.00","       1486.80","       1462.20","       1470.00","       1474.65","       1474.48","     206842","           304985277.80","       7822","      40832","         19.74"
"TATAELXSI","EQ","06-Feb-2017","       1474.65","       1485.00","       1485.00","       1455.00","       1468.00","       1468.55","       1470.15","     172597","           253743848.90","       7526","      36362","         21.07"
"TATAELXSI","EQ","07-Feb-2017","       1468.55","       1468.55","       1468.60","       1443.05","       1454.00","       1453.20","       1453.99","     200348","           291303697.70","       8937","      43961","         21.94"
"TATAELXSI","EQ","08-Feb-2017","       1453.20","       1449.70","       1506.95","       1445.35","       1499.00","       1495.70","       1484.26","     766587","          1137810717.40","      28411","     119312","         15.56"
"TATAELXSI","EQ","09-Feb-2017","       1495.70","       1505.90","       1518.50","       1483.30","       1495.75","       1501.05","       1504.14","     444408","           668450508.95","      17102","      60830","         13.69"
"TATAELXSI","EQ","10-Feb-2017","       1501.05","       1509.30","       1509.35","       1485.25","       1488.00","       1491.65","       1497.13","     198520","           297209356.15","       9262","      30448","         15.34"
"TATAELXSI","EQ","13-Feb-2017","       1491.65","       1501.00","       1508.00","       1471.20","       1491.10","       1494.50","       1491.24","     222591","           331936726.45","       9441","      30434","         13.67"
"TATAELXSI","EQ","14-Feb-2017","       1494.50","       1496.00","       1497.70","       1470.10","       1474.00","       1478.90","       1481.83","     188915","           279940693.90","       8828","      25235","         13.36"
"TATAELXSI","EQ","15-Feb-2017","       1478.90","       1471.00","       1479.90","       1426.35","       1429.00","       1433.20","       1448.35","     256459","           371443334.55","      10998","      55978","         21.83"
"TATAELXSI","EQ","16-Feb-2017","       1433.20","       1435.00","       1474.50","       1431.10","       1465.00","       1465.80","       1462.64","     422949","           618622036.70","      16004","      42069","          9.95"
"TATAELXSI","EQ","17-Feb-2017","       1465.80","       1470.00","       1475.00","       1450.00","       1455.00","       1459.10","       1460.08","     147496","           215356450.80","       6578","      26568","         18.01"
"TATAELXSI","EQ","20-Feb-2017","       1459.10","       1455.00","       1481.00","       1455.00","       1471.25","       1471.50","       1471.78","     212481","           312725601.75","      10273","      34592","         16.28"
"TATAELXSI","EQ","21-Feb-2017","       1471.50","       1478.00","       1511.80","       1472.00","       1495.00","       1496.75","       1498.89","     506371","           758994041.60","      20713","      92283","         18.22"
"TATAELXSI","EQ","22-Feb-2017","       1496.75","       1504.80","       1518.00","       1474.05","       1478.00","       1485.40","       1496.40","     339728","           508369037.55","      13761","      57898","         17.04"
"TATAELXSI","EQ","23-Feb-2017","       1485.40","       1476.30","       1496.55","       1466.25","       1478.00","       1471.75","       1481.33","     201411","           298356112.15","       8574","      49733","         24.69"
"TATAELXSI","EQ","27-Feb-2017","       1471.75","       1477.70","       1533.00","       1472.00","       1508.00","       1507.95","       1512.79","     631247","           954942336.10","      25432","     149087","         23.62"
"TATAELXSI","EQ","28-Feb-2017","       1507.95","       1517.70","       1519.95","       1496.25","       1506.50","       1503.80","       1507.90","     204149","           307835688.95","      10271","      39097","         19.15"
"TATAELXSI","EQ","01-Mar-2017","       1503.80","       1504.00","       1527.00","       1485.50","       1496.85","       1495.10","       1511.63","     322363","           487293222.00","      12100","      59613","         18.49"
"TATAELXSI","EQ","02-Mar-2017","       1495.10","       1500.00","       1517.95","       1481.00","       1482.00","       1484.05","       1497.37","     227156","           340137274.70","       9289","      56350","         24.81"
"TATAELXSI","EQ","03-Mar-2017","       1484.05","       1480.00","       1491.65","       1472.00","       1480.00","       1479.50","       1480.83","     159080","           235571166.70","       7809","      29115","         18.30"
"TATAELXSI","EQ","06-Mar-2017","       1479.50","       1481.15","       1497.00","       1456.00","       1465.00","       1466.80","       1475.11","     259200","           382348263.10","      10636","      68108","         26.28"
"TATAELXSI","EQ","07-Mar-2017","       1466.80","       1472.20","       1485.00","       1453.40","       1457.10","       1456.85","       1465.35","     179693","           263313039.85","       7275","      43704","         24.32"
"TATAELXSI","EQ","08-Mar-2017","       1456.85","       1463.00","       1466.80","       1440.15","       1445.95","       1445.65","       1451.80","     143013","           207626255.10","       6980","      36940","         25.83"
"TATAELXSI","EQ","09-Mar-2017","       1445.65","       1442.80","       1462.00","       1440.60","       1445.75","       1447.50","       1452.70","     159177","           231236010.75","       6339","      45990","         28.89"
"TATAELXSI","EQ","10-Mar-2017","       1447.50","       1451.00","       1461.00","       1426.00","       1427.00","       1433.00","       1444.56","     136193","           196738585.20","       6083","      32967","         24.21"
"TATAELXSI","EQ","14-Mar-2017","       1433.00","       1485.00","       1485.00","       1443.10","       1446.00","       1448.25","       1452.92","     146648","           213068385.65","       6517","      35160","         23.98"
"TATAELXSI","EQ","15-Mar-2017","       1448.25","       1446.00","       1458.00","       1432.00","       1433.00","       1435.95","       1443.56","     146960","           212146181.40","       5512","      46960","         31.95"
"TATAELXSI","EQ","16-Mar-2017","       1435.95","       1442.25","       1457.00","       1437.60","       1446.10","       1446.50","       1446.36","     179148","           259112727.15","       7706","      52734","         29.44"
"TATAELXSI","EQ","17-Mar-2017","       1446.50","       1447.00","       1521.55","       1447.00","       1514.00","       1517.20","       1500.66","    1235448","          1853988161.40","      42483","     249353","         20.18"
"TATAELXSI","EQ","20-Mar-2017","       1517.20","       1527.95","       1544.20","       1515.55","       1524.00","       1524.45","       1530.67","     442849","           677854605.90","      15858","      79528","         17.96"
"TATAELXSI","EQ","21-Mar-2017","       1524.45","       1524.50","       1534.75","       1496.10","       1504.95","       1502.90","       1508.50","     177927","           268403077.80","       8801","      40429","         22.72"
"TATAELXSI","EQ","22-Mar-2017","       1502.90","       1493.40","       1501.40","       1472.90","       1477.60","       1479.05","       1485.63","     161575","           240040798.30","       6987","      29478","         18.24"
"TATAELXSI","EQ","23-Mar-2017","       1479.05","       1477.60","       1519.00","       1477.60","       1507.00","       1506.15","       1505.72","     331793","           499588977.90","      12465","      57575","         17.35"
"TATAELXSI","EQ","24-Mar-2017","       1506.15","       1506.00","       1519.00","       1497.10","       1497.15","       1505.05","       1510.65","     184786","           279146612.75","       8255","      62849","         34.01"
"TATAELXSI","EQ","27-Mar-2017","       1505.05","       1505.00","       1505.00","       1481.05","       1488.05","       1489.05","       1490.10","     152575","           227351634.70","       6741","      31740","         20.80"
"TATAELXSI","EQ","28-Mar-2017","       1489.05","       1498.00","       1512.95","       1488.00","       1495.65","       1493.35","       1499.81","     180397","           270561590.00","       8009","      35203","         19.51"
"TATAELXSI","EQ","29-Mar-2017","       1493.35","       1494.80","       1502.30","       1482.00","       1490.00","       1487.60","       1491.68","     100739","           150270195.45","       3907","      32263","         32.03"
"TATAELXSI","EQ","30-Mar-2017","       1487.60","       1488.00","       1498.35","       1471.10","       1476.00","       1474.60","       1479.48","     244402","           361586928.45","      10245","     134506","         55.03"
"TATAELXSI","EQ","31-Mar-2017","       1474.60","       1475.00","       1491.40","       1460.50","       1463.90","       1464.90","       1475.43","     125695","           185453633.70","       5747","      35908","         28.57"
