"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAGLOBAL","EQ","03-Jul-2017","        150.65","        152.50","        155.65","        150.75","        151.65","        151.60","        152.57","    8680232","          1324365483.65","      18728","    3407298","         39.25"
"TATAGLOBAL","EQ","04-Jul-2017","        151.60","        153.70","        154.15","        149.75","        150.10","        150.05","        151.61","    3080845","           467091984.60","      12431","    1611433","         52.30"
"TATAGLOBAL","EQ","05-Jul-2017","        150.05","        151.50","        157.10","        150.00","        156.30","        156.15","        154.53","    5849123","           903887775.85","      20465","    3017219","         51.58"
"TATAGLOBAL","EQ","06-Jul-2017","        156.15","        156.50","        157.80","        152.75","        153.25","        153.35","        154.86","    4873097","           754636961.15","      15735","    2444866","         50.17"
"TATAGLOBAL","EQ","07-Jul-2017","        153.35","        153.15","        158.90","        153.10","        157.65","        157.75","        156.87","    6442241","          1010602079.20","      30079","    3646607","         56.60"
"TATAGLOBAL","EQ","10-Jul-2017","        157.75","        159.00","        167.85","        157.10","        167.20","        166.55","        165.21","    4761386","           786607936.00","      22914","    1929221","         40.52"
"TATAGLOBAL","EQ","11-Jul-2017","        166.55","        167.05","        172.80","        167.05","        169.25","        169.50","        170.17","   12571250","          2139259397.35","      80588","    4704247","         37.42"
"TATAGLOBAL","EQ","12-Jul-2017","        169.50","        171.05","        174.80","        169.00","        173.35","        173.75","        172.91","   10623109","          1836834422.35","      49022","    3736200","         35.17"
"TATAGLOBAL","EQ","13-Jul-2017","        173.75","        175.35","        176.70","        171.20","        174.75","        175.40","        173.96","    5222043","           908443457.45","      35904","    1412631","         27.05"
"TATAGLOBAL","EQ","14-Jul-2017","        175.40","        175.90","        175.90","        172.05","        174.25","        174.20","        174.19","    2831387","           493213251.80","      15878","     920476","         32.51"
"TATAGLOBAL","EQ","17-Jul-2017","        174.20","        174.25","        179.30","        172.60","        176.95","        177.00","        177.08","    4882663","           864600076.05","      26144","    1218260","         24.95"
"TATAGLOBAL","EQ","18-Jul-2017","        177.00","        176.10","        178.70","        173.05","        173.95","        173.75","        175.66","    3264325","           573423257.75","      17128","     809652","         24.80"
"TATAGLOBAL","EQ","19-Jul-2017","        173.75","        173.80","        177.40","        173.70","        175.10","        175.15","        175.77","    4161102","           731398735.15","      24241","    1534500","         36.88"
"TATAGLOBAL","EQ","20-Jul-2017","        175.15","        175.40","        176.25","        170.30","        171.00","        171.30","        172.94","    2791324","           482735248.75","      12325","     872677","         31.26"
"TATAGLOBAL","EQ","21-Jul-2017","        171.30","        171.90","        173.85","        169.70","        172.50","        172.20","        172.13","    4670938","           803992090.60","      26911","    1946160","         41.67"
"TATAGLOBAL","EQ","24-Jul-2017","        172.20","        172.20","        174.30","        169.45","        170.40","        170.00","        172.05","    2636591","           453630081.70","      32055","    1154620","         43.79"
"TATAGLOBAL","EQ","25-Jul-2017","        170.00","        170.50","        172.25","        169.20","        171.70","        171.15","        171.14","    2103806","           360042051.10","      12147","    1030333","         48.97"
