"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"UNIONBANK","EQ","03-Apr-2017","        155.90","        156.70","        157.05","        154.55","        155.45","        155.25","        155.64","    1619010","           251981684.95","      11210","     265288","         16.39"
"UNIONBANK","EQ","05-Apr-2017","        155.25","        155.50","        159.90","        154.65","        157.65","        157.85","        157.53","    3537675","           557276005.50","      22055","     865014","         24.45"
"UNIONBANK","EQ","06-Apr-2017","        157.85","        157.30","        158.45","        153.55","        154.30","        154.90","        155.67","    4425600","           688953218.85","      19624","    1601616","         36.19"
"UNIONBANK","EQ","07-Apr-2017","        154.90","        153.95","        155.40","        151.15","        151.60","        151.80","        153.49","    3076951","           472268939.50","      26649","     705563","         22.93"
"UNIONBANK","EQ","10-Apr-2017","        151.80","        151.20","        156.20","        151.20","        155.90","        155.50","        154.38","    2758424","           425832034.15","      17386","     488252","         17.70"
"UNIONBANK","EQ","11-Apr-2017","        155.50","        155.75","        159.60","        154.55","        159.10","        159.05","        157.34","    4972531","           782379566.65","      49674","    1445675","         29.07"
"UNIONBANK","EQ","12-Apr-2017","        159.05","        159.25","        160.55","        155.50","        157.00","        156.65","        157.48","    3682002","           579843526.80","      19288","    1066372","         28.96"
"UNIONBANK","EQ","13-Apr-2017","        156.65","        156.25","        159.20","        154.60","        155.15","        155.10","        156.65","    2755310","           431618775.60","      15537","     597490","         21.69"
"UNIONBANK","EQ","17-Apr-2017","        155.10","        156.00","        156.35","        153.10","        153.80","        153.90","        154.41","    1769174","           273172709.65","      10424","     354656","         20.05"
"UNIONBANK","EQ","18-Apr-2017","        153.90","        154.50","        158.55","        152.15","        153.10","        152.85","        155.89","    3163203","           493102732.05","      17263","     437838","         13.84"
"UNIONBANK","EQ","19-Apr-2017","        152.85","        151.00","        152.50","        147.80","        150.50","        150.25","        150.01","    3817842","           572703778.50","      21428","    1104423","         28.93"
"UNIONBANK","EQ","20-Apr-2017","        150.25","        151.70","        155.80","        150.20","        154.30","        154.75","        153.96","    3535316","           544295622.25","      20735","     540480","         15.29"
"UNIONBANK","EQ","21-Apr-2017","        154.75","        155.45","        158.50","        154.60","        157.50","        157.05","        156.75","    4255816","           667110233.80","      21551","    1454019","         34.17"
"UNIONBANK","EQ","24-Apr-2017","        157.05","        157.00","        160.95","        156.50","        159.25","        159.50","        159.20","    4096765","           652185914.80","      22006","    1084917","         26.48"
"UNIONBANK","EQ","25-Apr-2017","        159.50","        160.95","        164.15","        159.35","        163.05","        163.00","        161.87","    4338321","           702262280.85","      24016","    1071895","         24.71"
"UNIONBANK","EQ","26-Apr-2017","        163.00","        163.80","        165.70","        157.95","        161.40","        161.55","        162.33","    3339734","           542145299.30","      17980","     450573","         13.49"
"UNIONBANK","EQ","27-Apr-2017","        161.55","        162.40","        162.80","        158.90","        160.40","        159.70","        160.42","    3293031","           528263707.45","      15672","    1113798","         33.82"
"UNIONBANK","EQ","28-Apr-2017","        159.70","        161.00","        173.00","        160.55","        171.50","        171.40","        168.55","   10939984","          1843908934.45","      61176","    2527260","         23.10"
"UNIONBANK","EQ","02-May-2017","        171.40","        171.40","        174.90","        168.55","        170.00","        170.40","        171.69","    4413851","           757795245.00","      26143","     820620","         18.59"
"UNIONBANK","EQ","03-May-2017","        170.40","        170.40","        182.75","        168.75","        178.50","        178.50","        177.14","   10891716","          1929310839.15","      53228","    1431296","         13.14"
"UNIONBANK","EQ","04-May-2017","        178.50","        181.30","        192.25","        180.90","        192.00","        190.50","        186.38","   11069942","          2063254794.65","      59679","    1681871","         15.19"
"UNIONBANK","EQ","05-May-2017","        190.50","        192.00","        205.10","        182.60","        187.40","        186.60","        193.48","   23218185","          4492154998.50","     120218","    2245441","          9.67"
"UNIONBANK","EQ","08-May-2017","        186.60","        187.80","        191.35","        185.00","        185.70","        187.65","        188.96","    6590136","          1245275319.50","      36682","     794268","         12.05"
"UNIONBANK","EQ","09-May-2017","        187.65","        181.90","        187.30","        178.50","        178.95","        178.95","        181.98","   12307405","          2239664012.50","      65638","    2387957","         19.40"
"UNIONBANK","EQ","10-May-2017","        178.95","        180.00","        180.90","        174.75","        176.90","        176.70","        177.82","    6518703","          1159187312.15","      36937","    1259797","         19.33"
"UNIONBANK","EQ","11-May-2017","        176.70","        178.00","        182.90","        176.55","        178.80","        177.90","        179.72","    6597475","          1185685052.60","      41158","     834865","         12.65"
"UNIONBANK","EQ","12-May-2017","        177.90","        178.60","        180.00","        172.60","        174.80","        174.50","        175.92","    4172499","           734039706.30","      22328","     851021","         20.40"
"UNIONBANK","EQ","15-May-2017","        174.50","        175.00","        176.85","        172.80","        173.60","        173.80","        174.75","    3134406","           547734055.80","      24583","     642075","         20.48"
"UNIONBANK","EQ","16-May-2017","        173.80","        173.65","        181.50","        170.60","        180.40","        180.50","        176.85","    8205276","          1451135774.35","      53807","    1379324","         16.81"
