"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VOLTAS","EQ","03-Apr-2017","        412.10","        415.90","        418.00","        412.75","        413.85","        413.90","        414.89","    2066051","           857181860.75","      35693","    1163143","         56.30"
"VOLTAS","EQ","05-Apr-2017","        413.90","        415.00","        419.60","        414.05","        414.85","        415.05","        416.46","    1669848","           695418081.75","      34273","     952156","         57.02"
"VOLTAS","EQ","06-Apr-2017","        415.05","        413.40","        415.25","        409.45","        412.85","        413.05","        412.28","    1022311","           421473343.15","      17132","     457531","         44.75"
"VOLTAS","EQ","07-Apr-2017","        413.05","        413.05","        416.75","        408.75","        410.00","        410.05","        413.39","    2050518","           847667234.10","      37873","    1003233","         48.93"
"VOLTAS","EQ","10-Apr-2017","        410.05","        410.40","        413.65","        407.15","        412.75","        411.75","        411.40","     642976","           264521661.25","      10816","     219997","         34.22"
"VOLTAS","EQ","11-Apr-2017","        411.75","        413.55","        417.00","        410.60","        414.40","        414.25","        414.65","    2274574","           943142208.30","      19904","    1500443","         65.97"
"VOLTAS","EQ","12-Apr-2017","        414.25","        416.00","        416.00","        405.80","        408.90","        408.90","        409.86","    1518090","           622197528.65","      14478","    1012385","         66.69"
"VOLTAS","EQ","13-Apr-2017","        408.90","        410.40","        410.40","        403.30","        403.80","        404.55","        407.18","    1305236","           531467846.65","      19414","     779614","         59.73"
"VOLTAS","EQ","17-Apr-2017","        404.55","        405.25","        409.90","        401.30","        409.80","        407.45","        405.61","     552471","           224087192.80","       7995","     127056","         23.00"
"VOLTAS","EQ","18-Apr-2017","        407.45","        409.70","        415.85","        406.20","        407.35","        407.80","        412.32","    1579604","           651298679.20","      24124","     588866","         37.28"
"VOLTAS","EQ","19-Apr-2017","        407.80","        409.50","        415.90","        407.85","        415.35","        414.40","        413.22","    1158457","           478695123.05","      30860","     379791","         32.78"
"VOLTAS","EQ","20-Apr-2017","        414.40","        415.40","        420.40","        412.10","        418.80","        418.95","        417.95","    2137845","           893515826.95","      40889","    1043502","         48.81"
"VOLTAS","EQ","21-Apr-2017","        418.95","        422.00","        423.45","        410.60","        413.00","        413.80","        417.44","    1146672","           478664189.55","      23023","     380706","         33.20"
"VOLTAS","EQ","24-Apr-2017","        413.80","        416.00","        418.00","        412.00","        415.00","        415.25","        415.12","    1716410","           712523032.70","      12709","    1188912","         69.27"
"VOLTAS","EQ","25-Apr-2017","        415.25","        419.75","        421.30","        416.00","        417.30","        417.60","        418.91","    1141951","           478371977.90","      18945","     385707","         33.78"
"VOLTAS","EQ","26-Apr-2017","        417.60","        420.00","        420.00","        406.60","        412.25","        411.75","        414.30","    1317050","           545652629.55","      25969","     376002","         28.55"
"VOLTAS","EQ","27-Apr-2017","        411.75","        413.00","        415.30","        407.85","        408.80","        409.45","        411.39","     895582","           368431200.00","      13266","     336799","         37.61"
"VOLTAS","EQ","28-Apr-2017","        409.45","        411.00","        413.50","        409.00","        411.30","        411.05","        411.09","     528444","           217240150.10","       7976","     191730","         36.28"
"VOLTAS","EQ","02-May-2017","        411.05","        414.80","        419.50","        410.20","        415.00","        415.25","        415.38","    1401263","           582051613.75","      22444","     642125","         45.82"
"VOLTAS","EQ","03-May-2017","        415.25","        415.25","        418.80","        413.55","        415.00","        415.60","        415.89","     614833","           255705173.85","      10418","     246059","         40.02"
"VOLTAS","EQ","04-May-2017","        415.60","        416.15","        428.45","        416.15","        424.15","        425.70","        424.55","    2791727","          1185240021.55","      38749","     891555","         31.94"
"VOLTAS","EQ","05-May-2017","        425.70","        427.90","        429.00","        417.90","        422.00","        419.90","        423.33","    1670909","           707345625.90","      27183","     619312","         37.06"
"VOLTAS","EQ","08-May-2017","        419.90","        419.40","        426.00","        419.30","        424.05","        424.05","        423.82","    1454790","           616576038.40","      11501","     893188","         61.40"
"VOLTAS","EQ","09-May-2017","        424.05","        426.40","        433.65","        425.00","        428.30","        428.05","        430.26","    1733135","           745697751.35","      18735","     328467","         18.95"
"VOLTAS","EQ","10-May-2017","        428.05","        429.00","        443.20","        429.00","        441.10","        440.70","        438.56","    2301173","          1009212257.20","      43881","     904197","         39.29"
"VOLTAS","EQ","11-May-2017","        440.70","        442.00","        446.00","        438.65","        440.00","        439.65","        442.96","    1081999","           479282676.00","      16739","     378001","         34.94"
"VOLTAS","EQ","12-May-2017","        439.65","        439.95","        442.95","        432.15","        434.15","        433.55","        436.22","     936331","           408450902.40","      21856","     383723","         40.98"
"VOLTAS","EQ","15-May-2017","        433.55","        436.00","        436.40","        430.10","        433.40","        431.85","        432.15","     696583","           301025281.00","      14160","     327583","         47.03"
"VOLTAS","EQ","16-May-2017","        431.85","        432.00","        438.20","        430.70","        433.00","        432.45","        433.46","     996780","           432061360.65","      19456","     366664","         36.78"
"VOLTAS","EQ","17-May-2017","        432.45","        435.00","        435.00","        427.25","        430.85","        430.20","        429.93","     686830","           295286658.05","      11494","     307390","         44.75"
"VOLTAS","EQ","18-May-2017","        430.20","        425.10","        427.00","        412.70","        414.50","        414.10","        418.14","    1231618","           514991210.00","      18700","     571822","         46.43"
"VOLTAS","EQ","19-May-2017","        414.10","        414.35","        419.90","        410.95","        416.00","        415.75","        414.98","     869457","           360804142.60","      29631","     313872","         36.10"
"VOLTAS","EQ","22-May-2017","        415.75","        420.00","        420.00","        413.85","        417.00","        415.65","        415.98","     633783","           263643094.85","      17175","     243815","         38.47"
"VOLTAS","EQ","23-May-2017","        415.65","        420.00","        420.00","        403.40","        405.95","        409.85","        410.31","    1795730","           736798885.95","      44062","     523655","         29.16"
"VOLTAS","EQ","24-May-2017","        409.85","        428.00","        450.80","        423.10","        447.15","        446.50","        443.90","   17793994","          7898705060.30","     167272","    5533301","         31.10"
"VOLTAS","EQ","25-May-2017","        446.50","        451.00","        484.00","        443.20","        476.15","        474.75","        462.79","    6345884","          2936782982.55","      71716","    1250047","         19.70"
"VOLTAS","EQ","26-May-2017","        474.75","        470.10","        501.75","        470.10","        499.75","        498.50","        494.63","    7060217","          3492226766.05","      72145","    1747315","         24.75"
"VOLTAS","EQ","29-May-2017","        498.50","        496.90","        499.75","        482.25","        485.50","        484.60","        485.77","    3146132","          1528283415.25","      31950","    1663513","         52.87"
"VOLTAS","EQ","30-May-2017","        484.60","        481.60","        491.00","        477.75","        487.30","        485.60","        485.34","    2205065","          1070207272.70","      34675","    1033969","         46.89"
"VOLTAS","EQ","31-May-2017","        485.60","        485.60","        494.00","        483.05","        486.55","        486.35","        487.08","    1405724","           684706989.45","      24328","     509791","         36.27"
"VOLTAS","EQ","01-Jun-2017","        486.35","        486.50","        512.60","        482.40","        509.20","        508.85","        505.43","    4560228","          2304885166.85","      65413","     895218","         19.63"
"VOLTAS","EQ","02-Jun-2017","        508.85","        513.35","        514.00","        498.30","        501.45","        500.45","        503.41","    2365246","          1190679763.65","      39411","     592903","         25.07"
"VOLTAS","EQ","05-Jun-2017","        500.45","        501.00","        503.00","        493.55","        494.75","        494.95","        497.33","    1025382","           509949767.40","      29820","     254832","         24.85"
"VOLTAS","EQ","06-Jun-2017","        494.95","        495.00","        498.30","        484.40","        485.95","        487.00","        488.42","    1495351","           730357619.90","      46226","     760770","         50.88"
"VOLTAS","EQ","07-Jun-2017","        487.00","        490.00","        490.00","        480.20","        484.20","        483.25","        482.84","    1913739","           924037466.65","      41063","    1179282","         61.62"
"VOLTAS","EQ","08-Jun-2017","        483.25","        487.50","        496.55","        484.20","        487.00","        487.65","        490.11","    1991047","           975824602.55","      26565","     566211","         28.44"
"VOLTAS","EQ","09-Jun-2017","        487.65","        488.00","        494.40","        483.10","        492.05","        492.35","        488.29","    1047346","           511406651.30","      18980","     354734","         33.87"
"VOLTAS","EQ","12-Jun-2017","        492.35","        494.00","        494.00","        483.40","        487.20","        486.55","        486.95","     839096","           408598745.05","      15080","     303312","         36.15"
"VOLTAS","EQ","13-Jun-2017","        486.55","        487.90","        492.95","        484.00","        491.00","        491.55","        489.93","    1003567","           491675606.75","      30859","     406977","         40.55"
"VOLTAS","EQ","14-Jun-2017","        491.55","        488.70","        494.00","        482.25","        491.05","        491.45","        487.24","     971911","           473558530.05","      14933","     313693","         32.28"
