"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"3MINDIA","EQ","03-Jul-2017","      13236.50","      13399.90","      13632.00","      13152.00","      13500.00","      13505.45","      13392.79","       1454","            19473114.20","        418","        927","         63.76"
"3MINDIA","EQ","04-Jul-2017","      13505.45","      13774.95","      13774.95","      13515.05","      13700.00","      13696.10","      13665.58","        600","             8199345.00","        291","        459","         76.50"
"3MINDIA","EQ","05-Jul-2017","      13696.10","      13777.00","      13947.00","      13700.05","      13830.00","      13881.05","      13874.47","        543","             7533838.20","        299","        392","         72.19"
"3MINDIA","EQ","06-Jul-2017","      13881.05","      14000.00","      14040.00","      13600.00","      13711.00","      13796.90","      13909.88","        890","            12379791.05","        441","        669","         75.17"
"3MINDIA","EQ","07-Jul-2017","      13796.90","      13934.75","      13934.75","      13655.05","      13700.00","      13688.40","      13777.38","        866","            11931209.35","        219","        586","         67.67"
"3MINDIA","EQ","10-Jul-2017","      13688.40","      13999.00","      13999.00","      13414.60","      13674.85","      13667.65","      13673.27","         49","              669990.45","         36","         29","         59.18"
"3MINDIA","EQ","11-Jul-2017","      13667.65","      13765.00","      13765.00","      13400.00","      13500.00","      13567.70","      13576.87","       2375","            32245071.05","        774","       1915","         80.63"
"3MINDIA","EQ","12-Jul-2017","      13567.70","      13825.00","      13825.00","      13621.05","      13790.00","      13778.70","      13754.05","        453","             6230583.05","        168","        349","         77.04"
"3MINDIA","EQ","13-Jul-2017","      13778.70","      13797.35","      13916.40","      13434.25","      13498.95","      13504.70","      13540.50","       1991","            26959129.70","        437","       1633","         82.02"
"3MINDIA","EQ","14-Jul-2017","      13504.70","      13639.65","      13724.50","      13570.00","      13630.00","      13664.30","      13665.70","        464","             6340884.80","        215","        337","         72.63"
"3MINDIA","EQ","17-Jul-2017","      13664.30","      13745.05","      13745.05","      13466.45","      13705.00","      13686.20","      13653.43","        438","             5980200.85","        204","        339","         77.40"
"3MINDIA","EQ","18-Jul-2017","      13686.20","      13685.05","      13794.90","      13490.50","      13550.00","      13589.20","      13651.43","        338","             4614183.90","        206","        243","         71.89"
"3MINDIA","EQ","19-Jul-2017","      13589.20","      13699.95","      13699.95","      13299.95","      13400.00","      13385.35","      13437.42","        875","            11757739.80","        350","        685","         78.29"
"3MINDIA","EQ","20-Jul-2017","      13385.35","      13449.95","      13499.00","      13352.00","      13360.00","      13383.55","      13401.09","        377","             5052211.90","        134","        336","         89.12"
"3MINDIA","EQ","21-Jul-2017","      13383.55","      13305.15","      13509.95","      13300.00","      13332.55","      13386.90","      13397.31","       1470","            19694047.30","        369","       1152","         78.37"
"3MINDIA","EQ","24-Jul-2017","      13386.90","      13520.65","      13520.65","      13287.85","      13325.00","      13351.25","      13346.96","        983","            13120059.10","        222","        876","         89.11"
"3MINDIA","EQ","25-Jul-2017","      13351.25","      13403.55","      13498.95","      13250.00","      13275.00","      13281.85","      13337.48","        840","            11203479.80","        279","        711","         84.64"
"3MINDIA","EQ","26-Jul-2017","      13281.85","      13350.00","      13599.00","      13315.00","      13356.95","      13405.45","      13430.32","       1095","            14706196.40","        359","        790","         72.15"
"3MINDIA","EQ","27-Jul-2017","      13405.45","      13499.95","      13500.00","      13200.15","      13299.95","      13226.25","      13334.51","       1509","            20121769.75","        346","       1392","         92.25"
"3MINDIA","EQ","28-Jul-2017","      13226.25","      13328.95","      13444.95","      13210.00","      13350.00","      13383.05","      13304.56","       1929","            25664496.50","        219","       1429","         74.08"
"3MINDIA","EQ","31-Jul-2017","      13383.05","      13450.00","      13450.00","      13349.95","      13390.00","      13378.25","      13381.74","        595","             7962137.45","        156","        516","         86.72"
"3MINDIA","EQ","01-Aug-2017","      13378.25","      13375.00","      13390.00","      13111.00","      13351.95","      13354.20","      13320.91","       1477","            19674984.55","        258","       1337","         90.52"
"3MINDIA","EQ","02-Aug-2017","      13354.20","      13449.95","      13584.95","      13248.00","      13255.00","      13290.70","      13394.60","       1257","            16837013.55","        221","       1107","         88.07"
"3MINDIA","EQ","03-Aug-2017","      13290.70","      13423.55","      13499.95","      13300.00","      13330.00","      13342.85","      13370.88","        570","             7621401.90","        188","        371","         65.09"
"3MINDIA","EQ","04-Aug-2017","      13342.85","      13420.00","      13420.00","      13201.15","      13251.00","      13277.10","      13255.30","        341","             4520056.10","        124","        238","         69.79"
"3MINDIA","EQ","07-Aug-2017","      13277.10","      13300.05","      14037.95","      13300.05","      13844.80","      13826.40","      13775.25","       1877","            25856139.70","        558","       1316","         70.11"
"3MINDIA","EQ","08-Aug-2017","      13826.40","      13885.85","      14000.00","      13550.00","      13605.00","      13605.75","      13752.01","        963","            13243181.05","        358","        661","         68.64"
"3MINDIA","EQ","09-Aug-2017","      13605.75","      13703.30","      13757.00","      13201.15","      13350.00","      13413.25","      13446.77","       2154","            28964333.05","        736","       1495","         69.41"
"3MINDIA","EQ","10-Aug-2017","      13413.25","      13498.00","      13498.70","      13050.00","      13070.00","      13113.30","      13268.41","       2985","            39606205.55","        467","       2450","         82.08"
"3MINDIA","EQ","11-Aug-2017","      13113.30","      13130.35","      13702.00","      12950.00","      13640.00","      13590.05","      13455.37","       2360","            31754682.35","        693","       1738","         73.64"
"3MINDIA","EQ","14-Aug-2017","      13590.05","      13650.05","      14050.00","      13650.05","      13803.05","      13860.65","      13921.78","       2457","            34205804.00","        602","       1983","         80.71"
"3MINDIA","EQ","16-Aug-2017","      13860.65","      14065.80","      14065.80","      13812.00","      13899.90","      13879.95","      13880.09","       1238","            17183549.00","        418","       1127","         91.03"
"3MINDIA","EQ","17-Aug-2017","      13879.95","      13899.90","      13950.00","      13750.00","      13750.00","      13790.45","      13857.24","       1776","            24610465.25","        313","       1595","         89.81"
"3MINDIA","EQ","18-Aug-2017","      13790.45","      13899.95","      13899.95","      13651.15","      13848.00","      13760.40","      13748.69","       2361","            32460646.40","        460","       2170","         91.91"
"3MINDIA","EQ","21-Aug-2017","      13760.40","      13850.00","      13960.40","      13710.00","      13850.00","      13803.80","      13802.24","        459","             6335226.55","        181","        401","         87.36"
"3MINDIA","EQ","22-Aug-2017","      13803.80","      13850.00","      13897.00","      13800.00","      13860.00","      13864.00","      13847.49","        497","             6882203.55","        168","        429","         86.32"
"3MINDIA","EQ","23-Aug-2017","      13864.00","      13851.10","      14418.60","      13799.85","      14250.00","      14361.10","      14199.65","       3357","            47668241.50","        813","       2343","         69.79"
"3MINDIA","EQ","24-Aug-2017","      14361.10","      14450.00","      14900.00","      14375.00","      14780.00","      14725.65","      14634.01","       3622","            53004388.50","        868","       2613","         72.14"
"3MINDIA","EQ","28-Aug-2017","      14725.65","      14725.00","      14885.10","      14724.70","      14725.00","      14765.85","      14787.15","       1577","            23319343.20","        514","       1364","         86.49"
"3MINDIA","EQ","29-Aug-2017","      14765.85","      14765.00","      14765.00","      14405.00","      14628.00","      14457.35","      14543.19","       2279","            33143936.75","        381","       2052","         90.04"
