"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ACC","EQ","03-Jul-2017","       1568.05","       1569.90","       1590.70","       1566.95","       1586.00","       1587.60","       1580.66","     441205","           697395277.20","      13901","     264419","         59.93"
"ACC","EQ","04-Jul-2017","       1587.60","       1591.60","       1605.65","       1570.00","       1580.00","       1580.65","       1583.33","     193433","           306267658.05","      10094","      52135","         26.95"
"ACC","EQ","05-Jul-2017","       1580.65","       1581.20","       1599.00","       1572.05","       1597.65","       1594.45","       1582.07","     339033","           536373326.35","      13784","     185110","         54.60"
"ACC","EQ","06-Jul-2017","       1594.45","       1597.65","       1621.45","       1588.00","       1612.70","       1611.65","       1610.59","     282561","           455090454.95","      11603","      92464","         32.72"
"ACC","EQ","07-Jul-2017","       1611.65","       1610.80","       1627.85","       1604.00","       1606.90","       1609.35","       1618.10","     637713","          1031884235.15","      18595","     233175","         36.56"
"ACC","EQ","10-Jul-2017","       1609.35","       1615.25","       1635.00","       1615.25","       1628.50","       1628.10","       1626.08","      58983","            95910855.00","       1763","      23916","         40.55"
"ACC","EQ","11-Jul-2017","       1628.10","       1632.90","       1656.90","       1626.20","       1652.10","       1650.80","       1647.56","     340155","           560425821.95","      25111","     141747","         41.67"
"ACC","EQ","12-Jul-2017","       1650.80","       1700.00","       1710.00","       1635.00","       1704.00","       1705.95","       1689.06","     715522","          1208556138.00","      26843","     276388","         38.63"
"ACC","EQ","13-Jul-2017","       1705.95","       1707.25","       1721.35","       1690.00","       1700.10","       1703.55","       1706.37","     436829","           745392370.65","      17034","     151457","         34.67"
"ACC","EQ","14-Jul-2017","       1703.55","       1701.00","       1769.65","       1698.80","       1769.45","       1755.10","       1730.17","     787831","          1363078932.20","      26165","     319916","         40.61"
"ACC","EQ","17-Jul-2017","       1755.10","       1761.00","       1776.90","       1725.05","       1752.00","       1747.40","       1750.76","    1021434","          1788283565.90","      43902","     436520","         42.74"
"ACC","EQ","18-Jul-2017","       1747.40","       1800.00","       1809.00","       1747.00","       1757.90","       1759.50","       1780.38","    2131367","          3794644208.10","      68146","     540707","         25.37"
"ACC","EQ","19-Jul-2017","       1759.50","       1767.85","       1775.25","       1725.10","       1735.00","       1734.60","       1739.69","     433169","           753578565.15","      19864","      99449","         22.96"
"ACC","EQ","20-Jul-2017","       1734.60","       1742.95","       1758.20","       1705.20","       1713.00","       1712.00","       1729.14","     472443","           816921948.25","      24020","     142735","         30.21"
