"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AUBANK","EQ","10-Jul-2017","        525.00","        530.00","        547.00","        523.70","        536.75","        541.65","        536.18","   10585689","          5675821262.65","      99367","    2662019","         25.15"
"AUBANK","EQ","11-Jul-2017","        541.65","        537.00","        574.65","        532.40","        571.00","        567.25","        563.07","   14286312","          8044175377.65","     217405","    2849214","         19.94"
"AUBANK","EQ","12-Jul-2017","        567.25","        576.45","        642.70","        575.00","        639.00","        629.55","        609.10","   17774578","         10826426062.55","     264493","    3114132","         17.52"
"AUBANK","EQ","13-Jul-2017","        629.55","        652.00","        698.95","        630.10","        690.35","        691.15","        671.36","   21875197","         14686104483.50","     316633","    2779166","         12.70"
"AUBANK","EQ","14-Jul-2017","        691.15","        697.80","        725.50","        561.10","        597.00","        598.80","        641.53","   33648384","         21586338540.45","     563696","    4358690","         12.95"
"AUBANK","EQ","17-Jul-2017","        598.80","        590.00","        613.70","        562.35","        595.00","        596.10","        591.92","   11510790","          6813518855.35","     203465","     828334","          7.20"
"AUBANK","EQ","18-Jul-2017","        596.10","        590.00","        603.00","        581.10","        585.50","        588.90","        591.78","    3549898","          2100762813.10","      64378","     413271","         11.64"
"AUBANK","EQ","19-Jul-2017","        588.90","        591.95","        601.50","        584.10","        585.10","        586.95","        592.22","    1791992","          1061247277.10","      33680","     314210","         17.53"
"AUBANK","EQ","20-Jul-2017","        586.95","        588.00","        598.95","        577.10","        582.50","        582.60","        586.32","    3055040","          1791219476.00","      49613","     547121","         17.91"
"AUBANK","EQ","21-Jul-2017","        582.60","        584.00","        595.00","        580.20","        582.95","        583.45","        586.44","    1438938","           843846099.40","      27315","     413833","         28.76"
"AUBANK","EQ","24-Jul-2017","        583.45","        586.50","        590.95","        576.00","        590.95","        586.40","        585.64","    1489789","           872480069.60","      21600","     491492","         32.99"
"AUBANK","EQ","25-Jul-2017","        586.40","        589.95","        612.00","        588.95","        599.65","        602.05","        604.12","    3090370","          1866949697.30","      54822","     638705","         20.67"
"AUBANK","EQ","26-Jul-2017","        602.05","        602.30","        607.00","        592.00","        596.00","        595.00","        598.52","    1063010","           636231248.45","      19900","     219992","         20.70"
"AUBANK","EQ","27-Jul-2017","        595.00","        597.90","        598.45","        580.00","        581.65","        581.85","        586.80","     849208","           498317511.85","      15000","     271114","         31.93"
"AUBANK","EQ","28-Jul-2017","        581.85","        578.00","        598.75","        570.00","        587.25","        588.50","        586.90","    2331948","          1368613502.30","      39710","     371690","         15.94"
"AUBANK","EQ","31-Jul-2017","        588.50","        590.00","        595.00","        578.15","        590.00","        590.60","        588.06","    1050079","           617506997.55","      18460","     318870","         30.37"
"AUBANK","EQ","01-Aug-2017","        590.60","        592.00","        592.50","        583.00","        585.40","        585.90","        586.73","     422157","           247692696.10","       7496","     129053","         30.57"
"AUBANK","EQ","02-Aug-2017","        585.90","        582.20","        589.90","        580.00","        580.00","        582.00","        585.21","     465458","           272392062.25","       8381","     126867","         27.26"
"AUBANK","EQ","03-Aug-2017","        582.00","        582.00","        585.50","        548.10","        561.00","        558.50","        569.16","     740392","           421403083.75","      14106","     330570","         44.65"
"AUBANK","EQ","04-Aug-2017","        558.50","        560.40","        560.40","        541.75","        555.60","        554.30","        552.38","     701556","           387528679.80","      14206","     214380","         30.56"
"AUBANK","EQ","07-Aug-2017","        554.30","        550.00","        581.45","        496.25","        551.00","        551.40","        547.23","    7352471","          4023461194.05","     116052","    1648683","         22.42"
