"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AYMSYNTEX","EQ","03-Jul-2017","         75.50","         78.10","         78.10","         75.65","         76.25","         76.25","         76.31","      14689","             1120916.50","         96","      13050","         88.84"
"AYMSYNTEX","EQ","04-Jul-2017","         76.25","         76.95","         76.95","         75.35","         75.60","         75.90","         76.07","      14281","             1086408.20","        120","       9051","         63.38"
"AYMSYNTEX","EQ","05-Jul-2017","         75.90","         75.60","         76.70","         75.60","         75.60","         75.85","         76.08","      24475","             1862026.65","        100","      22433","         91.66"
"AYMSYNTEX","EQ","06-Jul-2017","         75.85","         76.20","         76.95","         74.60","         75.00","         74.80","         75.51","      29329","             2214585.45","        224","      23925","         81.57"
"AYMSYNTEX","EQ","07-Jul-2017","         74.80","         75.50","         76.50","         74.70","         75.35","         75.50","         75.69","      22608","             1711127.75","        217","      17342","         76.71"
"AYMSYNTEX","EQ","10-Jul-2017","         75.50","         76.00","         76.00","         72.00","         72.60","         72.80","         73.43","      42306","             3106527.20","        182","      38848","         91.83"
"AYMSYNTEX","EQ","11-Jul-2017","         72.80","         73.20","         74.00","         72.55","         73.00","         73.00","         73.12","      36467","             2666635.50","        198","      34980","         95.92"
"AYMSYNTEX","EQ","12-Jul-2017","         73.00","         73.50","         77.50","         73.00","         77.00","         76.90","         75.73","      65598","             4967758.70","        426","      50872","         77.55"
"AYMSYNTEX","EQ","13-Jul-2017","         76.90","         76.50","         79.20","         74.55","         75.05","         75.20","         76.73","      44829","             3439849.00","        328","      30527","         68.10"
"AYMSYNTEX","EQ","14-Jul-2017","         75.20","         75.05","         76.25","         73.10","         73.80","         73.60","         74.68","      40261","             3006855.85","        241","      28323","         70.35"
"AYMSYNTEX","EQ","17-Jul-2017","         73.60","         74.00","         74.90","         72.15","         73.25","         73.55","         73.76","      23444","             1729279.40","        160","      16775","         71.55"
"AYMSYNTEX","EQ","18-Jul-2017","         73.55","         73.10","         75.50","         73.00","         73.90","         73.45","         73.79","      16325","             1204574.30","         93","       8987","         55.05"
"AYMSYNTEX","EQ","19-Jul-2017","         73.45","         74.20","         74.30","         73.00","         73.60","         73.60","         73.51","      13813","             1015447.80","        116","       9829","         71.16"
"AYMSYNTEX","EQ","20-Jul-2017","         73.60","         73.60","         74.60","         73.05","         74.50","         74.05","         73.93","      12006","              887555.10","        141","       7136","         59.44"
"AYMSYNTEX","EQ","21-Jul-2017","         74.05","         74.25","         75.75","         74.25","         75.25","         74.70","         75.03","      15080","             1131479.00","        107","      10571","         70.10"
"AYMSYNTEX","EQ","24-Jul-2017","         74.70","         75.00","         75.80","         74.50","         74.85","         74.90","         75.09","      30701","             2305466.60","        115","      22462","         73.16"
"AYMSYNTEX","EQ","25-Jul-2017","         74.90","         74.80","         75.75","         73.90","         73.90","         73.95","         74.36","      14986","             1114420.55","         73","      10891","         72.67"
"AYMSYNTEX","EQ","26-Jul-2017","         73.95","         73.35","         73.95","         73.00","         73.55","         73.60","         73.52","       7633","              561169.60","         59","       5009","         65.62"
"AYMSYNTEX","EQ","27-Jul-2017","         73.60","         73.45","         74.15","         72.30","         72.50","         72.70","         73.27","      21989","             1611054.25","         99","      18598","         84.58"
"AYMSYNTEX","EQ","28-Jul-2017","         72.70","         72.00","         73.50","         71.90","         72.65","         72.90","         72.46","      16941","             1227573.10","        115","      14341","         84.65"
"AYMSYNTEX","EQ","31-Jul-2017","         72.90","         72.00","         78.00","         71.25","         71.25","         71.55","         72.43","      47392","             3432492.05","        253","      34992","         73.84"
"AYMSYNTEX","EQ","01-Aug-2017","         71.55","         72.00","         73.90","         69.95","         71.60","         71.10","         71.21","      47195","             3360915.60","        224","      38168","         80.87"
"AYMSYNTEX","EQ","02-Aug-2017","         71.10","         71.85","         72.45","         71.00","         71.00","         71.10","         71.66","      10598","              759409.25","        104","       8956","         84.51"
"AYMSYNTEX","EQ","03-Aug-2017","         71.10","         70.40","         72.00","         70.35","         71.20","         71.45","         71.17","       7386","              525656.10","         54","       6469","         87.58"
"AYMSYNTEX","EQ","04-Aug-2017","         71.45","         71.00","         73.25","         70.00","         71.05","         71.05","         71.03","      13161","              934821.85","         96","       9262","         70.37"
"AYMSYNTEX","EQ","07-Aug-2017","         71.05","         71.00","         73.00","         69.10","         73.00","         72.75","         71.38","      27730","             1979471.00","        277","      16571","         59.76"
"AYMSYNTEX","EQ","08-Aug-2017","         72.75","         73.45","         73.45","         68.25","         70.40","         70.30","         70.82","      30922","             2189809.30","        213","      24827","         80.29"
"AYMSYNTEX","EQ","09-Aug-2017","         70.30","         70.15","         71.45","         68.35","         70.00","         70.00","         69.53","      11531","              801711.40","        111","       8678","         75.26"
"AYMSYNTEX","EQ","10-Aug-2017","         70.00","         69.15","         69.95","         67.50","         68.05","         67.75","         68.20","      29795","             2031912.05","        143","      26904","         90.30"
"AYMSYNTEX","EQ","11-Aug-2017","         67.75","         66.10","         67.50","         62.00","         63.00","         63.40","         64.74","      40324","             2610718.10","        369","      20919","         51.88"
"AYMSYNTEX","EQ","14-Aug-2017","         63.40","         63.10","         64.50","         58.85","         60.10","         60.15","         61.28","      67594","             4142431.55","        474","      50732","         75.05"
"AYMSYNTEX","EQ","16-Aug-2017","         60.15","         59.80","         63.00","         59.30","         59.65","         60.65","         60.78","      23365","             1420205.85","        171","      19733","         84.46"
"AYMSYNTEX","EQ","17-Aug-2017","         60.65","         61.00","         63.00","         60.10","         61.60","         61.60","         61.68","      44049","             2716967.55","        235","      26038","         59.11"
"AYMSYNTEX","EQ","18-Aug-2017","         61.60","         61.60","         62.90","         61.00","         61.50","         61.50","         62.01","      13812","              856526.15","        108","      11859","         85.86"
"AYMSYNTEX","EQ","21-Aug-2017","         61.50","         61.00","         63.40","         61.00","         62.50","         62.30","         62.18","      11660","              725053.70","        103","       5373","         46.08"
"AYMSYNTEX","EQ","22-Aug-2017","         62.30","         61.70","         62.65","         59.60","         60.95","         60.00","         60.42","      19977","             1206997.40","        233","      12055","         60.34"
"AYMSYNTEX","EQ","23-Aug-2017","         60.00","         60.20","         60.90","         56.55","         57.00","         57.40","         57.82","      45549","             2633543.15","        294","      30385","         66.71"
"AYMSYNTEX","EQ","24-Aug-2017","         57.40","         56.90","         58.00","         51.70","         53.65","         53.95","         54.19","     106919","             5794222.90","        757","      65052","         60.84"
"AYMSYNTEX","EQ","28-Aug-2017","         53.95","         54.45","         55.30","         53.00","         54.30","         54.30","         54.14","      53312","             2886052.95","        255","      39266","         73.65"
"AYMSYNTEX","EQ","29-Aug-2017","         54.30","         54.00","         54.00","         53.35","         53.85","         53.65","         53.71","      26095","             1401549.55","         66","      24084","         92.29"
"AYMSYNTEX","EQ","30-Aug-2017","         53.65","         53.85","         55.80","         53.55","         55.25","         55.35","         54.72","      27244","             1490847.85","        233","      14938","         54.83"
"AYMSYNTEX","EQ","31-Aug-2017","         55.35","         55.30","         60.00","         55.20","         59.35","         59.85","         57.93","      64739","             3750634.05","        520","      44159","         68.21"
