"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ABBOTINDIA","EQ","02-Jan-2017","       4722.30","       4709.60","       4722.35","       4658.85","       4720.00","       4716.00","       4703.91","        730","             3433854.70","        276","        484","         66.30"
"ABBOTINDIA","EQ","03-Jan-2017","       4716.00","       4747.00","       4747.00","       4615.50","       4636.00","       4657.65","       4665.57","        983","             4586259.10","        278","        568","         57.78"
"ABBOTINDIA","EQ","04-Jan-2017","       4657.65","       4656.00","       4675.00","       4600.00","       4600.05","       4619.25","       4629.12","       1012","             4684667.25","        448","        579","         57.21"
"ABBOTINDIA","EQ","05-Jan-2017","       4619.25","       4621.05","       4635.50","       4580.10","       4590.70","       4609.05","       4612.17","       1688","             7785335.25","        360","       1157","         68.54"
"ABBOTINDIA","EQ","06-Jan-2017","       4609.05","       4605.00","       4639.00","       4565.55","       4636.00","       4604.45","       4601.00","       2001","             9206604.10","        392","       1335","         66.72"
"ABBOTINDIA","EQ","09-Jan-2017","       4604.45","       4639.00","       4639.00","       4560.00","       4560.10","       4583.30","       4586.61","       1630","             7476168.80","        269","       1262","         77.42"
"ABBOTINDIA","EQ","10-Jan-2017","       4583.30","       4590.00","       4598.90","       4510.00","       4510.00","       4519.90","       4545.15","       2504","            11381050.35","        595","       1768","         70.61"
"ABBOTINDIA","EQ","11-Jan-2017","       4519.90","       4540.00","       4550.00","       4516.00","       4540.00","       4545.30","       4533.89","       1570","             7118213.55","        551","       1258","         80.13"
"ABBOTINDIA","EQ","12-Jan-2017","       4545.30","       4530.00","       4549.00","       4506.00","       4510.00","       4515.85","       4527.06","        861","             3897802.55","        229","        552","         64.11"
"ABBOTINDIA","EQ","13-Jan-2017","       4515.85","       4510.00","       4550.00","       4509.20","       4511.05","       4520.35","       4534.07","       5137","            23291504.40","        432","       4279","         83.30"
"ABBOTINDIA","EQ","16-Jan-2017","       4520.35","       4549.00","       4549.00","       4438.00","       4445.00","       4449.50","       4471.98","       2601","            11631610.05","        567","       1887","         72.55"
"ABBOTINDIA","EQ","17-Jan-2017","       4449.50","       4474.90","       4483.75","       4420.00","       4455.00","       4468.40","       4452.35","       1907","             8490639.55","        531","       1270","         66.60"
"ABBOTINDIA","EQ","18-Jan-2017","       4468.40","       4438.00","       4475.00","       4418.55","       4431.00","       4422.55","       4431.36","       2095","             9283691.05","        399","       1608","         76.75"
"ABBOTINDIA","EQ","19-Jan-2017","       4422.55","       4437.00","       4448.70","       4401.00","       4411.00","       4421.35","       4419.67","       1458","             6443885.65","        255","       1128","         77.37"
"ABBOTINDIA","EQ","20-Jan-2017","       4421.35","       4430.70","       4440.05","       4401.30","       4429.95","       4409.75","       4422.17","        918","             4059550.65","        285","        622","         67.76"
"ABBOTINDIA","EQ","23-Jan-2017","       4409.75","       4443.95","       4443.95","       4370.20","       4376.00","       4379.80","       4391.18","       1758","             7719687.55","        318","       1506","         85.67"
"ABBOTINDIA","EQ","24-Jan-2017","       4379.80","       4418.00","       4434.00","       4360.00","       4430.00","       4410.75","       4403.25","       1993","             8775667.65","        336","       1396","         70.05"
"ABBOTINDIA","EQ","25-Jan-2017","       4410.75","       4425.00","       4439.00","       4390.00","       4391.00","       4411.70","       4408.59","       1522","             6709872.15","        235","       1181","         77.60"
"ABBOTINDIA","EQ","27-Jan-2017","       4411.70","       4411.00","       4441.95","       4403.05","       4429.00","       4430.95","       4420.67","       1242","             5490471.50","        298","        914","         73.59"
"ABBOTINDIA","EQ","30-Jan-2017","       4430.95","       4468.00","       4474.00","       4398.95","       4401.45","       4411.15","       4426.56","       1461","             6467206.50","        277","       1000","         68.45"
"ABBOTINDIA","EQ","31-Jan-2017","       4411.15","       4430.00","       4430.00","       4375.00","       4381.00","       4401.70","       4394.45","       3351","            14725811.85","        797","       2405","         71.77"
