"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ABCAPITAL","BE","01-Sep-2017","       1307.80","        250.00","        255.00","        237.50","        237.50","        237.50","        242.60","    4658997","          1130267160.10","      11944","-","-"
"ABCAPITAL","BE","04-Sep-2017","        237.50","        225.65","        225.65","        225.65","        225.65","        225.65","        225.65","     309923","            69934124.95","       3050","-","-"
"ABCAPITAL","BE","05-Sep-2017","        225.65","        214.40","        214.40","        214.40","        214.40","        214.40","        214.40","     192377","            41245628.80","       2310","-","-"
"ABCAPITAL","BE","06-Sep-2017","        214.40","        203.70","        203.70","        203.70","        203.70","        203.70","        203.70","     267160","            54420492.00","       2507","-","-"
"ABCAPITAL","BE","07-Sep-2017","        203.70","        193.55","        213.85","        193.55","        208.50","        206.95","        200.44","   34241770","          6863298319.80","      74216","-","-"
"ABCAPITAL","BE","08-Sep-2017","        206.95","        201.00","        205.10","        198.40","        202.00","        201.25","        202.29","    5412431","          1094885051.75","      46311","-","-"
"ABCAPITAL","BE","11-Sep-2017","        201.25","        202.90","        204.70","        192.40","        192.60","        193.85","        196.41","    5588615","          1097669839.70","      51981","-","-"
"ABCAPITAL","BE","12-Sep-2017","        193.85","        195.00","        198.00","        184.45","        193.30","        187.05","        188.00","   36566461","          6874636409.85","     109463","-","-"
"ABCAPITAL","BE","13-Sep-2017","        187.05","        194.70","        196.40","        192.70","        196.40","        196.40","        195.88","    4592680","           899615959.85","       8022","-","-"
"ABCAPITAL","BE","14-Sep-2017","        196.40","        205.90","        206.20","        201.40","        206.20","        206.20","        205.76","    6454750","          1328112070.50","      14621","-","-"
"ABCAPITAL","EQ","15-Sep-2017","        206.20","        209.50","        211.55","        202.25","        202.35","        203.25","        206.64","   19039812","          3934397655.35","     144967","   10279614","         53.99"
"ABCAPITAL","EQ","18-Sep-2017","        203.25","        206.45","        206.45","        199.05","        199.65","        199.95","        201.59","    6389800","          1288127637.60","      45021","    4637811","         72.58"
"ABCAPITAL","EQ","19-Sep-2017","        199.95","        200.00","        203.90","        197.70","        198.05","        198.65","        200.97","    4287615","           861702023.40","      46334","    2750323","         64.15"
