"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ABFRL","EQ","02-Jan-2017","        138.05","        138.50","        138.65","        136.10","        137.90","        137.65","        136.90","     152058","            20816184.30","       2293","      83328","         54.80"
"ABFRL","EQ","03-Jan-2017","        137.65","        138.85","        141.95","        137.35","        140.00","        139.55","        139.69","     608841","            85047152.35","       2174","     539728","         88.65"
"ABFRL","EQ","04-Jan-2017","        139.55","        141.50","        142.90","        140.00","        141.20","        140.90","        141.47","     327354","            46310991.15","       4544","     238535","         72.87"
"ABFRL","EQ","05-Jan-2017","        140.90","        141.45","        142.40","        139.10","        140.00","        140.00","        140.24","     404074","            56669251.25","       1606","     346931","         85.86"
"ABFRL","EQ","06-Jan-2017","        140.00","        140.15","        141.05","        139.15","        139.20","        139.70","        140.00","     688534","            96395054.30","       4522","     659353","         95.76"
"ABFRL","EQ","09-Jan-2017","        139.70","        140.95","        140.95","        137.75","        139.30","        139.35","        139.44","     173871","            24243839.20","       4329","     138791","         79.82"
"ABFRL","EQ","10-Jan-2017","        139.35","        140.45","        142.00","        138.00","        139.00","        139.05","        139.66","     260406","            36367744.85","       6247","     184440","         70.83"
"ABFRL","EQ","11-Jan-2017","        139.05","        139.35","        144.30","        138.55","        141.25","        141.15","        142.11","     365275","            51908301.75","       5667","     254794","         69.75"
"ABFRL","EQ","12-Jan-2017","        141.15","        141.40","        143.00","        139.40","        139.60","        139.70","        141.22","     151893","            21450009.40","       2134","      75554","         49.74"
"ABFRL","EQ","13-Jan-2017","        139.70","        140.20","        141.45","        139.05","        139.60","        139.85","        140.02","     179900","            25190405.85","       2192","      96758","         53.78"
"ABFRL","EQ","16-Jan-2017","        139.85","        139.85","        145.70","        139.60","        144.30","        144.80","        143.95","     472641","            68034922.25","       7454","     261934","         55.42"
"ABFRL","EQ","17-Jan-2017","        144.80","        146.50","        147.40","        142.25","        144.80","        144.70","        145.02","     387646","            56218120.45","       6913","     227095","         58.58"
"ABFRL","EQ","18-Jan-2017","        144.70","        145.00","        145.80","        142.10","        142.50","        142.35","        143.66","     130040","            18682045.45","       1925","      82586","         63.51"
"ABFRL","EQ","19-Jan-2017","        142.35","        142.20","        146.90","        142.15","        146.00","        145.95","        144.51","    1005135","           145248936.60","       5522","     852666","         84.83"
"ABFRL","EQ","20-Jan-2017","        145.95","        145.10","        145.50","        142.60","        142.80","        143.10","        143.97","     161819","            23296634.85","       2669","     112450","         69.49"
"ABFRL","EQ","23-Jan-2017","        143.10","        141.65","        143.95","        141.40","        141.90","        142.15","        142.68","      88681","            12652699.85","       1842","      56642","         63.87"
"ABFRL","EQ","24-Jan-2017","        142.15","        142.60","        150.65","        142.55","        149.40","        148.50","        146.86","     598100","            87834301.05","       6833","     364551","         60.95"
"ABFRL","EQ","25-Jan-2017","        148.50","        149.50","        150.00","        146.30","        148.55","        149.00","        148.84","     462320","            68810856.70","      10769","     286469","         61.96"
"ABFRL","EQ","27-Jan-2017","        149.00","        148.70","        151.70","        147.85","        148.30","        148.50","        150.18","     421018","            63227159.05","       5923","     289645","         68.80"
"ABFRL","EQ","30-Jan-2017","        148.50","        148.40","        152.25","        147.15","        149.90","        149.45","        149.70","     801250","           119950644.70","       9541","     532149","         66.41"
"ABFRL","EQ","31-Jan-2017","        149.45","        149.00","        152.00","        147.90","        150.05","        150.05","        149.90","     495073","            74212219.75","       6545","     326111","         65.87"
"ABFRL","EQ","01-Feb-2017","        150.05","        151.50","        151.60","        147.75","        149.00","        149.05","        149.00","     750678","           111851124.10","       4511","     591997","         78.86"
"ABFRL","EQ","02-Feb-2017","        149.05","        148.50","        151.00","        148.00","        148.60","        148.90","        149.01","     339169","            50539666.35","       2250","     250290","         73.80"
"ABFRL","EQ","03-Feb-2017","        148.90","        148.70","        154.30","        144.50","        145.00","        145.20","        149.04","    1448755","           215919532.00","      16111","     676828","         46.72"
"ABFRL","EQ","06-Feb-2017","        145.20","        146.50","        148.30","        143.60","        147.80","        147.50","        145.47","     522881","            76062648.75","       4882","     399622","         76.43"
"ABFRL","EQ","07-Feb-2017","        147.50","        148.00","        152.00","        147.80","        151.60","        151.25","        150.75","    1033580","           155808194.90","       7204","     870237","         84.20"
"ABFRL","EQ","08-Feb-2017","        151.25","        151.90","        157.80","        151.60","        153.60","        153.95","        155.39","     814807","           126609235.95","       7200","     392278","         48.14"
"ABFRL","EQ","09-Feb-2017","        153.95","        154.75","        156.10","        150.85","        152.65","        152.20","        153.19","     323679","            49584245.45","       3618","     190829","         58.96"
"ABFRL","EQ","10-Feb-2017","        152.20","        152.05","        153.90","        151.00","        152.00","        152.05","        152.63","     731539","           111654943.30","       5508","     577203","         78.90"
"ABFRL","EQ","13-Feb-2017","        152.05","        152.10","        155.00","        149.35","        151.25","        151.05","        151.63","     324406","            49189719.85","       3462","     206456","         63.64"
"ABFRL","EQ","14-Feb-2017","        151.05","        152.30","        152.30","        149.85","        150.50","        150.85","        150.61","     174201","            26235795.35","       4400","     120053","         68.92"
"ABFRL","EQ","15-Feb-2017","        150.85","        150.55","        152.50","        149.00","        150.00","        149.95","        150.35","     260160","            39115783.70","      11819","     197890","         76.06"
"ABFRL","EQ","16-Feb-2017","        149.95","        150.50","        151.45","        149.25","        150.00","        150.00","        149.94","     155449","            23308697.15","       4785","     123162","         79.23"
"ABFRL","EQ","17-Feb-2017","        150.00","        150.50","        156.95","        150.50","        156.85","        156.45","        154.95","     546152","            84627880.25","       5957","     386835","         70.83"
"ABFRL","EQ","20-Feb-2017","        156.45","        156.50","        159.95","        151.85","        157.85","        157.65","        157.09","     669797","           105217789.85","       5761","     450685","         67.29"
"ABFRL","EQ","21-Feb-2017","        157.65","        157.00","        161.70","        156.60","        157.90","        157.45","        159.02","     439982","            69964881.10","       6230","     209374","         47.59"
"ABFRL","EQ","22-Feb-2017","        157.45","        158.40","        160.00","        155.00","        158.70","        159.20","        156.54","     891311","           139525839.90","       8413","     770807","         86.48"
"ABFRL","EQ","23-Feb-2017","        159.20","        158.00","        159.85","        155.25","        155.50","        156.85","        158.04","     167047","            26400338.45","      10149","     109278","         65.42"
"ABFRL","EQ","27-Feb-2017","        156.85","        156.00","        159.00","        155.20","        157.40","        157.60","        157.11","    1023733","           160838713.60","       4731","     906421","         88.54"
"ABFRL","EQ","28-Feb-2017","        157.60","        158.45","        163.40","        156.50","        157.65","        157.95","        159.72","     510731","            81572185.05","       4647","     218928","         42.87"
"ABFRL","EQ","01-Mar-2017","        157.95","        158.45","        162.80","        156.60","        158.15","        158.75","        159.22","     589717","            93895297.60","       8232","     325336","         55.17"
"ABFRL","EQ","02-Mar-2017","        158.75","        159.90","        159.90","        154.10","        155.15","        155.60","        157.00","     271931","            42692010.45","       2061","     151067","         55.55"
"ABFRL","EQ","03-Mar-2017","        155.60","        155.60","        156.75","        152.80","        153.30","        153.75","        154.17","     232770","            35885411.50","       5344","     136242","         58.53"
"ABFRL","EQ","06-Mar-2017","        153.75","        154.45","        155.00","        149.90","        150.30","        150.80","        152.29","     350731","            53413208.25","       9119","     246262","         70.21"
"ABFRL","EQ","07-Mar-2017","        150.80","        150.95","        151.20","        147.25","        147.50","        147.75","        149.78","    1875162","           280853501.55","       4425","    1710310","         91.21"
"ABFRL","EQ","08-Mar-2017","        147.75","        148.25","        149.70","        145.50","        145.85","        146.25","        147.14","     388477","            57160772.20","       9019","     224697","         57.84"
"ABFRL","EQ","09-Mar-2017","        146.25","        146.30","        148.40","        145.00","        146.00","        146.25","        146.62","     229908","            33708554.75","       3751","      91469","         39.79"
"ABFRL","EQ","10-Mar-2017","        146.25","        146.25","        147.75","        144.70","        146.00","        145.35","        146.34","     302621","            44285254.85","       2052","     184497","         60.97"
"ABFRL","EQ","14-Mar-2017","        145.35","        148.70","        149.80","        146.15","        147.55","        147.40","        147.53","     237517","            35041767.95","       1964","     154836","         65.19"
"ABFRL","EQ","15-Mar-2017","        147.40","        147.45","        151.90","        146.80","        148.80","        148.75","        150.06","     441002","            66176255.45","       3609","     197237","         44.72"
"ABFRL","EQ","16-Mar-2017","        148.75","        148.80","        153.20","        148.40","        152.05","        152.75","        150.38","    1115460","           167739673.65","       5772","     827437","         74.18"
"ABFRL","EQ","17-Mar-2017","        152.75","        152.95","        156.90","        152.95","        155.95","        155.90","        155.24","    1160718","           180187478.35","       9601","     988853","         85.19"
"ABFRL","EQ","20-Mar-2017","        155.90","        157.00","        158.60","        152.25","        156.25","        155.50","        156.30","    1187137","           185546657.50","       5169","     919064","         77.42"
"ABFRL","EQ","21-Mar-2017","        155.50","        156.50","        157.05","        149.40","        149.75","        150.20","        151.53","     577586","            87519483.10","       3446","     411510","         71.25"
"ABFRL","EQ","22-Mar-2017","        150.20","        149.55","        153.90","        147.50","        151.50","        151.00","        152.56","    1792162","           273406900.85","       5470","    1578048","         88.05"
"ABFRL","EQ","23-Mar-2017","        151.00","        151.40","        154.65","        151.40","        153.80","        154.10","        153.61","     274501","            42165304.60","       4801","     172902","         62.99"
"ABFRL","EQ","24-Mar-2017","        154.10","        154.80","        154.80","        151.15","        152.40","        152.40","        152.48","     463272","            70637742.85","       8863","     350448","         75.65"
"ABFRL","EQ","27-Mar-2017","        152.40","        150.45","        154.80","        150.45","        153.70","        154.25","        153.81","     294906","            45359180.55","       3301","     205968","         69.84"
"ABFRL","EQ","28-Mar-2017","        154.25","        154.00","        154.45","        151.05","        153.80","        153.15","        152.73","     241099","            36823988.05","       2668","     146267","         60.67"
"ABFRL","EQ","29-Mar-2017","        153.15","        153.15","        154.30","        151.40","        152.00","        152.25","        152.33","     665751","           101413870.65","       3791","     565759","         84.98"
"ABFRL","EQ","30-Mar-2017","        152.25","        151.55","        153.00","        149.30","        152.00","        150.95","        151.76","     551754","            83732908.15","       5565","     441070","         79.94"
"ABFRL","BL","31-Mar-2017","        135.00","        150.00","        150.00","        150.00","        150.00","        150.00","        150.00","     779000","           116850000.00","          2","     779000","        100.00"
