"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADVANIHOTR","EQ","02-Jan-2017","         51.90","         52.90","         52.90","         50.35","         51.60","         51.60","         51.48","        191","                9833.55","          5","        171","         89.53"
"ADVANIHOTR","EQ","03-Jan-2017","         51.60","         51.90","         51.90","         51.90","         51.90","         51.90","         51.90","         81","                4203.90","          2","         81","        100.00"
"ADVANIHOTR","EQ","04-Jan-2017","         51.90","         51.05","         51.60","         50.20","         51.55","         51.55","         51.32","        555","               28482.15","          8","        313","         56.40"
"ADVANIHOTR","EQ","05-Jan-2017","         51.55","         51.00","         52.00","         51.00","         52.00","         51.90","         51.68","        664","               34314.65","         13","        518","         78.01"
"ADVANIHOTR","EQ","06-Jan-2017","         51.90","         50.55","         52.75","         50.55","         50.90","         50.90","         50.86","       1149","               58433.35","         11","        701","         61.01"
"ADVANIHOTR","EQ","09-Jan-2017","         50.90","         52.90","         52.90","         49.75","         51.75","         51.75","         50.43","       1291","               65109.75","         16","        941","         72.89"
"ADVANIHOTR","EQ","10-Jan-2017","         51.75","         53.70","         53.90","         52.45","         53.00","         53.00","         52.75","       1130","               59605.90","         15","       1004","         88.85"
"ADVANIHOTR","EQ","11-Jan-2017","         53.00","         53.60","         53.60","         51.30","         52.80","         52.05","         51.92","      10515","              545927.60","         16","        351","          3.34"
"ADVANIHOTR","EQ","12-Jan-2017","         52.05","         53.50","         53.50","         51.00","         51.95","         51.95","         51.99","      10315","              536313.25","         15","        111","          1.08"
"ADVANIHOTR","EQ","13-Jan-2017","         51.95","         53.00","         53.00","         50.90","         51.85","         51.80","         51.65","        637","               32902.05","         14","        634","         99.53"
"ADVANIHOTR","EQ","16-Jan-2017","         51.80","         52.80","         52.80","         51.10","         52.40","         51.35","         51.86","      21748","             1127905.35","         49","        133","          0.61"
"ADVANIHOTR","EQ","17-Jan-2017","         51.35","         52.00","         52.00","         52.00","         52.00","         52.00","         52.00","          1","                  52.00","          1","          1","        100.00"
"ADVANIHOTR","EQ","18-Jan-2017","         52.00","         52.20","         52.35","         51.55","         52.10","         51.60","         51.91","         82","                4256.95","          9","         47","         57.32"
"ADVANIHOTR","EQ","19-Jan-2017","         51.60","         52.80","         54.75","         52.30","         53.85","         53.85","         52.93","       7457","              394697.85","         30","       5254","         70.46"
"ADVANIHOTR","EQ","20-Jan-2017","         53.85","         54.50","         54.50","         52.15","         53.70","         53.70","         54.10","       1843","               99700.35","         17","       1733","         94.03"
"ADVANIHOTR","EQ","23-Jan-2017","         53.70","         54.65","         55.00","         51.70","         55.00","         54.65","         54.27","      12312","              668212.45","         35","      11602","         94.23"
"ADVANIHOTR","EQ","24-Jan-2017","         54.65","         55.00","         56.40","         53.70","         56.00","         55.95","         55.73","       3675","              204790.30","         33","       3595","         97.82"
"ADVANIHOTR","EQ","25-Jan-2017","         55.95","         56.85","         57.00","         51.80","         53.95","         53.40","         54.16","      24609","             1332868.25","        100","      10234","         41.59"
"ADVANIHOTR","EQ","27-Jan-2017","         53.40","         54.90","         63.05","         53.00","         59.25","         60.15","         60.24","     186992","            11264330.35","       1865","      36591","         19.57"
"ADVANIHOTR","EQ","30-Jan-2017","         60.15","         59.00","         61.00","         57.85","         57.85","         58.45","         59.13","      28101","             1661675.05","        239","      21087","         75.04"
"ADVANIHOTR","EQ","31-Jan-2017","         58.45","         59.70","         59.70","         55.00","         56.15","         56.15","         57.20","      19218","             1099326.50","        112","       6418","         33.40"
"ADVANIHOTR","EQ","01-Feb-2017","         56.15","         60.00","         60.50","         54.60","         56.20","         57.25","         56.35","      27754","             1563940.85","        198","       5171","         18.63"
"ADVANIHOTR","EQ","02-Feb-2017","         57.25","         57.90","         57.90","         53.15","         54.35","         54.60","         54.85","       9417","              516558.15","        128","       6365","         67.59"
"ADVANIHOTR","EQ","03-Feb-2017","         54.60","         54.75","         56.25","         54.75","         55.95","         55.45","         55.82","       4787","              267187.65","         58","       3867","         80.78"
"ADVANIHOTR","EQ","06-Feb-2017","         55.45","         54.65","         56.90","         54.65","         55.80","         55.80","         55.33","       4614","              255290.20","         39","       2993","         64.87"
"ADVANIHOTR","EQ","07-Feb-2017","         55.80","         55.25","         56.20","         54.15","         55.10","         55.30","         55.02","      10623","              584497.15","         61","       7157","         67.37"
"ADVANIHOTR","EQ","08-Feb-2017","         55.30","         55.10","         58.00","         55.10","         56.90","         56.45","         56.95","       6687","              380844.80","         82","       4811","         71.95"
"ADVANIHOTR","EQ","09-Feb-2017","         56.45","         55.95","         56.95","         55.05","         56.50","         56.25","         56.14","       3869","              217200.55","         48","       2917","         75.39"
"ADVANIHOTR","EQ","10-Feb-2017","         56.25","         56.25","         59.00","         56.15","         56.25","         56.45","         57.73","      12288","              709435.30","         54","       8489","         69.08"
"ADVANIHOTR","EQ","13-Feb-2017","         56.45","         58.45","         58.45","         54.00","         54.55","         54.40","         54.86","      21770","             1194366.25","         67","      20441","         93.90"
"ADVANIHOTR","EQ","14-Feb-2017","         54.40","         54.50","         54.50","         52.40","         52.70","         52.70","         53.12","       4015","              213268.70","         54","       3339","         83.16"
"ADVANIHOTR","EQ","15-Feb-2017","         52.70","         52.70","         53.40","         51.50","         52.00","         52.25","         52.49","     102649","             5387685.90","         29","     102029","         99.40"
"ADVANIHOTR","EQ","16-Feb-2017","         52.25","         53.00","         53.80","         51.00","         53.80","         53.30","         52.33","       3469","              181521.05","         49","       2412","         69.53"
"ADVANIHOTR","EQ","17-Feb-2017","         53.30","         53.30","         53.50","         52.20","         52.40","         52.40","         52.89","      19218","             1016437.95","         18","        536","          2.79"
"ADVANIHOTR","EQ","20-Feb-2017","         52.40","         53.50","         54.50","         51.75","         54.45","         53.80","         53.04","       4088","              216846.85","         33","       1346","         32.93"
"ADVANIHOTR","EQ","21-Feb-2017","         53.80","         53.00","         54.35","         53.00","         53.50","         53.75","         53.65","       1642","               88098.55","         22","        934","         56.88"
"ADVANIHOTR","EQ","22-Feb-2017","         53.75","         54.55","         54.55","         53.80","         54.00","         53.90","         54.26","       3797","              206043.35","         36","       3595","         94.68"
"ADVANIHOTR","EQ","23-Feb-2017","         53.90","         53.95","         53.95","         53.20","         53.80","         53.75","         53.62","       1050","               56297.50","         10","        800","         76.19"
"ADVANIHOTR","EQ","27-Feb-2017","         53.75","         53.00","         53.05","         51.60","         52.80","         52.45","         52.39","      38213","             2001799.35","         76","       6369","         16.67"
"ADVANIHOTR","EQ","28-Feb-2017","         52.45","         52.35","         52.95","         51.55","         52.00","         52.00","         51.99","      15477","              804595.85","        108","      13106","         84.68"
"ADVANIHOTR","EQ","01-Mar-2017","         52.00","         52.00","         53.00","         51.85","         53.00","         52.80","         52.22","       9156","              478110.40","         84","       5795","         63.29"
"ADVANIHOTR","EQ","02-Mar-2017","         52.80","         53.90","         54.70","         52.35","         52.70","         52.45","         52.94","       1596","               84496.90","         28","       1408","         88.22"
"ADVANIHOTR","EQ","03-Mar-2017","         52.45","         52.40","         52.40","         51.60","         52.00","         51.70","         51.88","       2465","              127896.35","         34","       2365","         95.94"
"ADVANIHOTR","EQ","06-Mar-2017","         51.70","         52.10","         52.90","         51.60","         51.60","         51.85","         52.28","       2440","              127561.10","         37","       1928","         79.02"
"ADVANIHOTR","EQ","07-Mar-2017","         51.85","         53.90","         53.90","         52.05","         52.15","         52.45","         52.47","       1500","               78706.20","         14","       1200","         80.00"
"ADVANIHOTR","EQ","08-Mar-2017","         52.45","         51.65","         53.45","         51.00","         51.85","         52.10","         52.02","      56201","             2923672.10","        141","       6516","         11.59"
"ADVANIHOTR","EQ","09-Mar-2017","         52.10","         52.40","         53.45","         52.10","         52.10","         52.10","         52.71","        605","               31886.75","          9","        600","         99.17"
"ADVANIHOTR","EQ","10-Mar-2017","         52.10","         53.95","         62.50","         53.95","         58.30","         59.85","         59.52","     230121","            13697440.00","       2564","      47270","         20.54"
"ADVANIHOTR","EQ","14-Mar-2017","         59.85","         61.00","         61.90","         55.40","         56.00","         56.00","         57.75","      53644","             3098163.85","       1057","      26992","         50.32"
"ADVANIHOTR","EQ","15-Mar-2017","         56.00","         60.00","         60.00","         55.00","         56.30","         56.20","         56.12","      10719","              601578.55","        152","       6117","         57.07"
"ADVANIHOTR","EQ","16-Mar-2017","         56.20","         55.40","         58.00","         55.40","         55.55","         55.65","         56.73","      10908","              618780.30","        100","       6558","         60.12"
"ADVANIHOTR","EQ","17-Mar-2017","         55.65","         58.00","         58.00","         55.10","         56.50","         57.00","         56.93","      17031","              969644.30","        128","       9093","         53.39"
"ADVANIHOTR","EQ","20-Mar-2017","         57.00","         57.85","         57.90","         55.55","         56.95","         56.70","         56.91","      18075","             1028632.20","        215","       7068","         39.10"
"ADVANIHOTR","EQ","21-Mar-2017","         56.70","         56.95","         56.95","         54.50","         56.00","         56.05","         56.15","       6006","              337241.90","         91","       4524","         75.32"
"ADVANIHOTR","EQ","22-Mar-2017","         56.05","         55.35","         57.00","         55.35","         55.85","         56.15","         56.56","       9108","              515112.95","         63","       6658","         73.10"
"ADVANIHOTR","EQ","23-Mar-2017","         56.15","         57.00","         57.00","         55.70","         56.10","         56.35","         56.38","       2058","              116038.55","         40","       1781","         86.54"
"ADVANIHOTR","EQ","24-Mar-2017","         56.35","         56.70","         57.00","         55.70","         56.20","         56.55","         56.38","       7527","              424391.15","         77","       3537","         46.99"
"ADVANIHOTR","EQ","27-Mar-2017","         56.55","         56.10","         57.00","         55.55","         55.55","         55.65","         56.06","       5795","              324866.85","         53","       4605","         79.47"
"ADVANIHOTR","EQ","28-Mar-2017","         55.65","         57.00","         57.00","         55.85","         56.95","         56.85","         56.59","       3360","              190141.70","         28","       3150","         93.75"
"ADVANIHOTR","EQ","29-Mar-2017","         56.85","         56.95","         56.95","         55.15","         55.65","         55.80","         55.73","       3250","              181123.90","         28","       2151","         66.18"
"ADVANIHOTR","EQ","30-Mar-2017","         55.80","         56.00","         56.85","         55.35","         56.75","         56.65","         56.07","       4946","              277324.70","         59","       3662","         74.04"
"ADVANIHOTR","EQ","31-Mar-2017","         56.65","         56.50","         57.00","         55.20","         56.30","         56.85","         56.41","      12051","              679751.80","        103","       9816","         81.45"
