"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADSL","BE","03-Apr-2017","         28.95","         29.15","         30.30","         28.70","         29.40","         29.55","         29.55","      25080","              741081.60","        126","-","-"
"ADSL","BE","05-Apr-2017","         29.55","         28.30","         30.50","         28.30","         30.40","         30.30","         30.10","      22500","              677320.00","        113","-","-"
"ADSL","BE","06-Apr-2017","         30.30","         30.00","         30.00","         29.30","         30.00","         29.95","         29.71","      39149","             1163081.30","        124","-","-"
"ADSL","BE","07-Apr-2017","         29.95","         29.95","         31.10","         29.50","         30.45","         30.45","         30.52","      30139","              919866.25","        139","-","-"
"ADSL","BE","10-Apr-2017","         30.45","         30.30","         31.00","         29.75","         30.45","         30.00","         30.38","      15069","              457803.40","        106","-","-"
"ADSL","BE","11-Apr-2017","         30.00","         29.70","         30.75","         29.30","         29.65","         29.95","         30.12","       9196","              277020.90","         49","-","-"
"ADSL","BE","12-Apr-2017","         29.95","         29.80","         30.25","         29.75","         30.00","         29.90","         29.88","      13578","              405646.75","         55","-","-"
"ADSL","BE","13-Apr-2017","         29.90","         29.90","         31.35","         29.40","         31.35","         31.15","         31.15","      86220","             2685469.60","        243","-","-"
"ADSL","BE","17-Apr-2017","         31.15","         31.35","         32.50","         31.00","         32.50","         32.25","         31.76","      59838","             1900231.40","        255","-","-"
"ADSL","BE","18-Apr-2017","         32.25","         32.30","         32.30","         31.00","         32.00","         32.00","         31.80","      52886","             1681873.70","        236","-","-"
"ADSL","BE","19-Apr-2017","         32.00","         31.00","         31.95","         30.60","         31.00","         31.00","         31.11","      11628","              361757.30","         57","-","-"
"ADSL","BE","20-Apr-2017","         31.00","         30.55","         31.85","         30.55","         30.90","         30.90","         31.03","      34355","             1065934.30","        103","-","-"
"ADSL","BE","21-Apr-2017","         30.90","         31.05","         31.80","         30.60","         31.35","         31.05","         31.11","      20520","              638387.35","         94","-","-"
"ADSL","BE","24-Apr-2017","         31.05","         30.55","         31.50","         30.45","         30.95","         30.65","         30.71","      33548","             1030243.90","        108","-","-"
"ADSL","BE","25-Apr-2017","         30.65","         30.00","         32.00","         30.00","         30.50","         30.50","         30.67","      22851","              700830.85","         91","-","-"
"ADSL","BE","26-Apr-2017","         30.50","         30.10","         32.00","         29.80","         32.00","         31.75","         31.36","      88119","             2763031.90","        298","-","-"
"ADSL","BE","27-Apr-2017","         31.75","         31.00","         31.55","         30.20","         30.95","         30.85","         30.71","      22206","              681880.45","        124","-","-"
"ADSL","BE","28-Apr-2017","         30.85","         30.05","         31.00","         29.90","         30.15","         30.20","         30.06","      20718","              622835.70","        110","-","-"
"ADSL","BE","02-May-2017","         30.20","         29.80","         30.80","         29.40","         30.25","         30.10","         30.01","      25143","              754582.30","         87","-","-"
"ADSL","BE","03-May-2017","         30.10","         30.90","         31.60","         30.00","         30.05","         30.05","         30.24","      12738","              385143.65","         87","-","-"
"ADSL","BE","04-May-2017","         30.05","         30.00","         30.85","         29.60","         30.00","         30.00","         29.99","      24228","              726620.50","        138","-","-"
"ADSL","BE","05-May-2017","         30.00","         29.80","         30.00","         29.20","         29.25","         29.45","         29.53","      19431","              573742.85","        198","-","-"
"ADSL","BE","08-May-2017","         29.45","         29.55","         30.50","         29.25","         29.50","         29.65","         29.59","      12098","              357954.75","         90","-","-"
"ADSL","BE","09-May-2017","         29.65","         29.50","         29.65","         29.00","         29.00","         29.05","         29.16","      32701","              953469.55","        182","-","-"
"ADSL","BE","10-May-2017","         29.05","         29.05","         29.05","         27.60","         28.80","         28.80","         28.46","      97199","             2765951.35","        381","-","-"
"ADSL","BE","11-May-2017","         28.80","         27.40","         29.80","         27.40","         29.20","         29.20","         28.95","      14496","              419697.90","         85","-","-"
"ADSL","BE","12-May-2017","         29.20","         29.00","         29.80","         28.00","         28.60","         28.60","         28.88","      25182","              727315.40","        107","-","-"
"ADSL","BE","15-May-2017","         28.60","         29.40","         29.40","         27.95","         28.80","         29.10","         28.98","      18754","              543463.35","        129","-","-"
"ADSL","BE","16-May-2017","         29.10","         28.80","         29.75","         28.70","         29.40","         29.00","         29.27","      18965","              555106.15","        124","-","-"
"ADSL","BE","17-May-2017","         29.00","         28.55","         29.80","         28.50","         28.75","         28.55","         28.80","       8855","              255013.70","         77","-","-"
"ADSL","BE","18-May-2017","         28.55","         28.60","         29.00","         27.75","         27.75","         28.00","         28.15","      20849","              586824.55","        144","-","-"
"ADSL","BE","19-May-2017","         28.00","         28.50","         28.50","         27.60","         27.65","         27.75","         27.90","      16982","              473728.50","        122","-","-"
"ADSL","BE","22-May-2017","         27.75","         27.55","         28.45","         26.40","         27.50","         27.45","         27.85","      45716","             1273107.35","        167","-","-"
"ADSL","BE","23-May-2017","         27.45","         26.10","         27.90","         26.10","         27.40","         27.40","         27.02","      29681","              801931.85","        194","-","-"
"ADSL","BE","24-May-2017","         27.40","         26.75","         27.50","         26.65","         27.50","         27.20","         27.10","       7760","              210309.95","         61","-","-"
"ADSL","BE","25-May-2017","         27.20","         27.75","         28.35","         26.40","         27.55","         27.75","         27.70","      17430","              482748.55","        186","-","-"
"ADSL","BE","26-May-2017","         27.75","         28.80","         28.85","         26.50","         27.10","         27.80","         27.31","      28383","              775048.40","        200","-","-"
"ADSL","BE","29-May-2017","         27.80","         27.00","         27.40","         26.45","         27.40","         26.90","         26.68","      21410","              571249.10","        189","-","-"
"ADSL","BE","30-May-2017","         26.90","         26.50","         27.00","         25.60","         26.20","         26.35","         26.16","      53571","             1401530.60","        228","-","-"
"ADSL","BE","31-May-2017","         26.35","         26.50","         26.50","         25.60","         25.95","         25.75","         25.80","      32710","              843968.95","        170","-","-"
"ADSL","BE","01-Jun-2017","         25.75","         25.75","         25.80","         24.85","         25.50","         25.40","         25.33","      19935","              504882.70","        100","-","-"
"ADSL","BE","02-Jun-2017","         25.40","         25.90","         26.20","         25.00","         26.20","         26.15","         25.83","      18684","              482641.45","        134","-","-"
"ADSL","BE","05-Jun-2017","         26.15","         26.00","         26.90","         25.75","         26.75","         26.75","         26.45","      15283","              404225.90","         98","-","-"
"ADSL","BE","06-Jun-2017","         26.75","         26.90","         27.30","         25.80","         27.25","         27.10","         26.68","      22448","              598881.25","        145","-","-"
"ADSL","BE","07-Jun-2017","         27.10","         27.00","         27.00","         26.10","         27.00","         26.70","         26.33","      24812","              653412.65","        133","-","-"
"ADSL","BE","08-Jun-2017","         26.70","         26.05","         26.50","         25.40","         25.80","         25.80","         25.77","      40489","             1043283.25","        261","-","-"
"ADSL","BE","09-Jun-2017","         25.80","         25.60","         26.55","         25.50","         25.70","         25.60","         25.70","       5734","              147374.25","         71","-","-"
"ADSL","BE","12-Jun-2017","         25.60","         25.50","         25.65","         25.00","         25.10","         25.10","         25.34","      13519","              342540.00","         95","-","-"
"ADSL","BE","13-Jun-2017","         25.10","         25.20","         25.80","         24.70","         24.70","         24.90","         25.18","      14556","              366545.30","        121","-","-"
"ADSL","BE","14-Jun-2017","         24.90","         24.60","         25.20","         24.55","         24.70","         24.90","         24.76","      16234","              401987.50","         87","-","-"
"ADSL","BE","15-Jun-2017","         24.90","         25.15","         25.15","         23.70","         23.95","         23.95","         23.92","      35409","              847022.95","        201","-","-"
"ADSL","BE","16-Jun-2017","         23.95","         23.65","         23.65","         23.00","         23.10","         23.10","         23.29","      39028","              909123.85","        157","-","-"
"ADSL","BE","19-Jun-2017","         23.10","         23.10","         24.25","         23.10","         24.25","         24.25","         23.96","      16248","              389302.25","         54","-","-"
"ADSL","BE","20-Jun-2017","         24.25","         24.95","         25.45","         24.95","         25.45","         25.45","         25.42","       5875","              149341.25","         30","-","-"
"ADSL","BE","21-Jun-2017","         25.45","         26.70","         26.70","         26.60","         26.70","         26.70","         26.69","      20481","              546724.10","         94","-","-"
"ADSL","BE","22-Jun-2017","         26.70","         27.70","         27.70","         26.50","         27.60","         27.35","         26.92","      86154","             2319007.15","        352","-","-"
"ADSL","BE","23-Jun-2017","         27.35","         27.70","         28.00","         26.00","         26.00","         26.05","         26.67","      10076","              268742.40","         89","-","-"
"ADSL","BE","27-Jun-2017","         26.05","         25.55","         26.60","         25.05","         25.40","         25.40","         25.43","      16409","              417360.25","         65","-","-"
"ADSL","BE","28-Jun-2017","         25.40","         25.00","         25.70","         25.00","         25.40","         25.35","         25.17","      29046","              730960.80","         73","-","-"
"ADSL","BE","29-Jun-2017","         25.35","         24.55","         25.40","         24.55","         25.10","         25.10","         25.03","       5497","              137602.25","         40","-","-"
"ADSL","BE","30-Jun-2017","         25.10","         24.75","         25.35","         24.75","         25.20","         25.15","         25.06","       7625","              191109.70","         73","-","-"
