"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ALOKTEXT","EQ","03-Apr-2017","          2.95","          2.95","          3.15","          2.95","          2.95","          3.00","          3.00","    5927943","            17789641.05","        765","    3307572","         55.80"
"ALOKTEXT","EQ","05-Apr-2017","          3.00","          3.00","          3.00","          2.95","          3.00","          3.00","          3.00","    6310770","            18906942.15","        898","    3171289","         50.25"
"ALOKTEXT","EQ","06-Apr-2017","          3.00","          3.00","          3.00","          2.95","          2.95","          2.95","          2.97","    1652136","             4900829.65","        410","    1034540","         62.62"
"ALOKTEXT","EQ","07-Apr-2017","          2.95","          2.95","          3.00","          2.90","          2.95","          2.95","          2.96","    2576407","             7619096.45","        679","    1345250","         52.21"
"ALOKTEXT","EQ","10-Apr-2017","          2.95","          2.95","          3.00","          2.90","          2.95","          2.95","          2.95","    2975874","             8793159.35","        790","    1293624","         43.47"
"ALOKTEXT","EQ","11-Apr-2017","          2.95","          2.95","          3.00","          2.90","          3.00","          2.95","          2.96","    2388767","             7067711.75","        555","    1115258","         46.69"
"ALOKTEXT","EQ","12-Apr-2017","          2.95","          3.00","          3.00","          2.90","          2.95","          2.90","          2.92","    2090339","             6105704.60","        734","    1531628","         73.27"
"ALOKTEXT","EQ","13-Apr-2017","          2.90","          2.95","          2.95","          2.90","          2.90","          2.90","          2.92","    1072727","             3133178.60","        334","     610993","         56.96"
"ALOKTEXT","EQ","17-Apr-2017","          2.90","          2.95","          3.25","          2.80","          3.20","          3.20","          3.04","   18973833","            57713061.65","       2606","    6173490","         32.54"
"ALOKTEXT","EQ","18-Apr-2017","          3.20","          3.20","          3.35","          3.05","          3.05","          3.05","          3.23","    7105994","            22921715.95","       1548","    2850323","         40.11"
"ALOKTEXT","EQ","19-Apr-2017","          3.05","          3.05","          3.10","          3.00","          3.00","          3.00","          3.04","    1930553","             5860443.45","        487","    1048357","         54.30"
"ALOKTEXT","EQ","20-Apr-2017","          3.00","          3.00","          3.05","          3.00","          3.05","          3.00","          3.02","    1442220","             4361617.05","        384","     551631","         38.25"
"ALOKTEXT","EQ","21-Apr-2017","          3.00","          3.00","          3.20","          3.00","          3.10","          3.10","          3.11","    4271412","            13284691.65","       1065","    1843730","         43.16"
"ALOKTEXT","EQ","24-Apr-2017","          3.10","          3.10","          3.20","          3.10","          3.15","          3.15","          3.15","    3429969","            10806066.00","        770","    1809145","         52.75"
"ALOKTEXT","EQ","25-Apr-2017","          3.15","          3.15","          3.15","          3.10","          3.10","          3.10","          3.12","    1913845","             5973877.80","        451","    1012674","         52.91"
