"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ALPSINDUS","EQ","03-Jul-2017","          6.30","          6.45","          6.45","          6.10","          6.10","          6.15","          6.20","       6702","               41583.70","         15","       6599","         98.46"
"ALPSINDUS","EQ","04-Jul-2017","          6.15","          6.30","          6.30","          6.05","          6.15","          6.10","          6.12","      23983","              146709.95","         40","      20469","         85.35"
"ALPSINDUS","EQ","05-Jul-2017","          6.10","          6.10","          6.25","          5.80","          6.05","          6.05","          6.02","      73925","              444937.80","         89","      59119","         79.97"
"ALPSINDUS","EQ","06-Jul-2017","          6.05","          6.00","          6.10","          6.00","          6.00","          6.00","          6.02","      16124","               97042.90","         40","      15124","         93.80"
"ALPSINDUS","EQ","07-Jul-2017","          6.00","          6.15","          6.40","          6.15","          6.35","          6.35","          6.29","      49733","              312992.90","         56","      44314","         89.10"
"ALPSINDUS","EQ","10-Jul-2017","          6.35","          6.25","          6.45","          6.25","          6.40","          6.40","          6.40","       6903","               44163.85","          9","       6803","         98.55"
"ALPSINDUS","EQ","11-Jul-2017","          6.40","          6.40","          6.95","          6.40","          6.80","          6.80","          6.70","      85603","              573548.95","        148","      67151","         78.44"
"ALPSINDUS","EQ","12-Jul-2017","          6.80","          6.90","          6.90","          6.45","          6.55","          6.60","          6.74","      20188","              136113.65","         59","      15951","         79.01"
"ALPSINDUS","EQ","13-Jul-2017","          6.60","          6.45","          6.85","          6.40","          6.80","          6.60","          6.55","      61085","              399872.45","         73","      43678","         71.50"
"ALPSINDUS","EQ","14-Jul-2017","          6.60","          6.85","          6.85","          6.30","          6.40","          6.35","          6.48","      31728","              205646.35","         85","      24246","         76.42"
"ALPSINDUS","EQ","17-Jul-2017","          6.35","          6.50","          6.50","          6.10","          6.20","          6.25","          6.23","      16452","              102551.70","         44","      13836","         84.10"
"ALPSINDUS","EQ","18-Jul-2017","          6.25","          6.10","          6.25","          6.00","          6.25","          6.20","          6.13","      15451","               94777.00","         42","      12504","         80.93"
"ALPSINDUS","EQ","19-Jul-2017","          6.20","          6.25","          6.25","          5.85","          6.10","          6.10","          5.99","      98276","              588949.50","        151","      84747","         86.23"
"ALPSINDUS","EQ","20-Jul-2017","          6.10","          6.15","          6.30","          6.05","          6.15","          6.10","          6.17","      29884","              184271.75","         55","      22854","         76.48"
"ALPSINDUS","EQ","21-Jul-2017","          6.10","          6.05","          6.20","          6.00","          6.00","          6.05","          6.07","      35465","              215205.60","         50","      18617","         52.49"
"ALPSINDUS","EQ","24-Jul-2017","          6.05","          6.05","          6.20","          5.95","          6.05","          6.05","          6.03","      80254","              484084.25","         71","      66232","         82.53"
"ALPSINDUS","EQ","25-Jul-2017","          6.05","          6.00","          6.20","          5.95","          6.00","          6.10","          6.10","      12536","               76414.30","         43","      11877","         94.74"
"ALPSINDUS","EQ","26-Jul-2017","          6.10","          6.15","          6.20","          6.00","          6.05","          6.05","          6.09","       7626","               46438.05","         28","       5396","         70.76"
"ALPSINDUS","EQ","27-Jul-2017","          6.05","          6.00","          6.10","          5.95","          6.00","          6.00","          6.01","      26767","              160947.30","         38","      20867","         77.96"
"ALPSINDUS","EQ","28-Jul-2017","          6.00","          6.15","          6.15","          5.90","          6.00","          6.00","          5.96","      22380","              133326.20","         44","      20179","         90.17"
"ALPSINDUS","EQ","31-Jul-2017","          6.00","          6.10","          6.10","          5.85","          5.90","          5.90","          5.91","      14287","               84505.25","         35","      13777","         96.43"
"ALPSINDUS","EQ","01-Aug-2017","          5.90","          6.10","          6.10","          5.85","          5.95","          5.95","          5.96","      38624","              230230.85","         33","      35572","         92.10"
"ALPSINDUS","EQ","02-Aug-2017","          5.95","          6.10","          6.10","          5.75","          5.75","          5.80","          5.83","      53279","              310609.25","         54","      50269","         94.35"
"ALPSINDUS","EQ","03-Aug-2017","          5.80","          5.70","          6.10","          5.55","          5.65","          5.70","          5.78","      37392","              216041.50","         66","      32068","         85.76"
