"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AMRUTANJAN","EQ","03-Apr-2017","        590.90","        591.00","        621.00","        591.00","        616.00","        616.05","        612.12","      45561","            27888972.55","       2785","      23667","         51.95"
"AMRUTANJAN","EQ","05-Apr-2017","        616.05","        619.00","        636.40","        616.30","        625.00","        625.85","        628.63","      47335","            29756172.90","       2912","      30424","         64.27"
"AMRUTANJAN","EQ","06-Apr-2017","        625.85","        628.75","        634.40","        619.85","        626.00","        627.75","        626.39","      12628","             7909999.90","       1199","       8721","         69.06"
"AMRUTANJAN","EQ","07-Apr-2017","        627.75","        625.00","        630.45","        620.05","        624.00","        623.55","        624.94","       8487","             5303850.90","        507","       6801","         80.13"
"AMRUTANJAN","EQ","10-Apr-2017","        623.55","        628.75","        628.75","        610.50","        615.00","        612.90","        615.75","       9617","             5921700.75","       1131","       6232","         64.80"
"AMRUTANJAN","EQ","11-Apr-2017","        612.90","        612.90","        644.40","        610.55","        631.15","        631.80","        632.23","      30933","            19556619.45","       2152","      13729","         44.38"
"AMRUTANJAN","EQ","12-Apr-2017","        631.80","        635.00","        638.85","        620.90","        630.25","        632.80","        631.44","      23822","            15042154.90","       2179","      12805","         53.75"
"AMRUTANJAN","EQ","13-Apr-2017","        632.80","        622.55","        642.00","        622.55","        635.65","        638.15","        637.80","      73114","            46631816.75","       1253","      67473","         92.28"
"AMRUTANJAN","EQ","17-Apr-2017","        638.15","        638.15","        723.90","        633.60","        698.00","        698.70","        697.74","     267312","           186514493.80","      11611","      54147","         20.26"
"AMRUTANJAN","EQ","18-Apr-2017","        698.70","        702.90","        714.45","        675.35","        676.00","        677.60","        694.99","      63450","            44097258.55","       4284","      25008","         39.41"
"AMRUTANJAN","EQ","19-Apr-2017","        677.60","        678.00","        699.00","        666.80","        688.10","        690.10","        685.61","      61841","            42398835.40","       4944","      19000","         30.72"
"AMRUTANJAN","EQ","20-Apr-2017","        690.10","        696.95","        696.95","        672.00","        672.80","        673.45","        682.15","       9777","             6669392.50","        870","       5952","         60.88"
"AMRUTANJAN","EQ","21-Apr-2017","        673.45","        681.60","        688.90","        666.00","        680.85","        678.15","        677.29","      17298","            11715702.05","       1297","       6836","         39.52"
"AMRUTANJAN","EQ","24-Apr-2017","        678.15","        681.60","        707.25","        680.00","        692.00","        693.45","        698.18","      39294","            27434375.20","       2171","      26568","         67.61"
"AMRUTANJAN","EQ","25-Apr-2017","        693.45","        695.00","        725.00","        685.05","        717.00","        714.65","        711.73","      64285","            45753816.40","       4104","      34874","         54.25"
"AMRUTANJAN","EQ","26-Apr-2017","        714.65","        718.00","        733.00","        698.15","        698.25","        700.00","        715.90","      44346","            31747426.35","       3739","      19100","         43.07"
"AMRUTANJAN","EQ","27-Apr-2017","        700.00","        702.00","        714.00","        691.40","        700.60","        699.40","        702.39","      12235","             8593687.65","       1129","       6354","         51.93"
"AMRUTANJAN","EQ","28-Apr-2017","        699.40","        692.30","        710.95","        692.30","        699.00","        699.95","        701.69","       7209","             5058496.95","       1179","       4906","         68.05"
"AMRUTANJAN","EQ","02-May-2017","        699.95","        691.00","        713.60","        691.00","        700.00","        701.30","        703.76","      12803","             9010227.20","       1447","       9169","         71.62"
"AMRUTANJAN","EQ","03-May-2017","        701.30","        701.30","        715.00","        699.65","        712.00","        711.15","        710.24","      21848","            15517320.65","       1809","      13206","         60.44"
"AMRUTANJAN","EQ","04-May-2017","        711.15","        714.95","        721.00","        703.00","        707.00","        709.10","        715.35","      19102","            13664625.80","       1676","      11067","         57.94"
"AMRUTANJAN","EQ","05-May-2017","        709.10","        715.00","        717.95","        689.00","        700.65","        704.00","        707.17","      23952","            16938198.45","       2563","       9653","         40.30"
"AMRUTANJAN","EQ","08-May-2017","        704.00","        690.55","        714.45","        690.55","        708.00","        704.25","        704.65","      15799","            11132767.65","       2127","       6789","         42.97"
"AMRUTANJAN","EQ","09-May-2017","        704.25","        705.50","        731.00","        701.20","        727.10","        725.65","        723.17","      27776","            20086875.50","       2083","      12595","         45.34"
"AMRUTANJAN","EQ","10-May-2017","        725.65","        720.00","        765.00","        720.00","        743.90","        738.95","        746.44","      63094","            47096074.95","       4000","      20666","         32.75"
"AMRUTANJAN","EQ","11-May-2017","        738.95","        753.45","        779.45","        740.30","        767.30","        770.50","        764.05","      72803","            55625030.90","       4558","      32978","         45.30"
"AMRUTANJAN","EQ","12-May-2017","        770.50","        774.95","        784.20","        747.60","        760.00","        759.25","        763.24","      39605","            30228249.45","       2347","      27297","         68.92"
