"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"APOLLOHOSP","EQ","03-Jul-2017","       1274.55","       1266.00","       1292.90","       1266.00","       1286.95","       1281.85","       1284.33","     117759","           151241582.15","       6937","      64367","         54.66"
"APOLLOHOSP","EQ","04-Jul-2017","       1281.85","       1283.00","       1287.00","       1264.75","       1266.80","       1272.60","       1275.81","      78102","            99643240.65","       4604","      43859","         56.16"
"APOLLOHOSP","EQ","05-Jul-2017","       1272.60","       1268.00","       1281.90","       1262.95","       1275.00","       1275.00","       1275.21","     237722","           303145017.05","      14868","     173512","         72.99"
"APOLLOHOSP","EQ","06-Jul-2017","       1275.00","       1275.00","       1284.25","       1254.00","       1260.00","       1258.90","       1262.62","     199784","           252251761.15","      11420","     125475","         62.81"
"APOLLOHOSP","EQ","07-Jul-2017","       1258.90","       1254.40","       1267.50","       1241.20","       1250.00","       1247.60","       1253.69","     140507","           176151927.70","      13967","      83718","         59.58"
"APOLLOHOSP","EQ","10-Jul-2017","       1247.60","       1255.00","       1260.00","       1240.10","       1250.95","       1248.85","       1249.30","      48177","            60187735.75","       2556","      18521","         38.44"
"APOLLOHOSP","EQ","11-Jul-2017","       1248.85","       1251.00","       1257.75","       1231.25","       1233.50","       1234.30","       1238.16","     215421","           266725877.10","      37136","     128995","         59.88"
"APOLLOHOSP","EQ","12-Jul-2017","       1234.30","       1234.40","       1249.60","       1226.00","       1230.50","       1230.85","       1238.81","     127282","           157678042.20","       8761","      62211","         48.88"
"APOLLOHOSP","EQ","13-Jul-2017","       1230.85","       1238.20","       1253.00","       1231.00","       1250.00","       1250.00","       1241.97","     186206","           231261521.85","      29982","     127243","         68.33"
"APOLLOHOSP","EQ","14-Jul-2017","       1250.00","       1242.75","       1258.70","       1242.75","       1249.00","       1253.10","       1252.52","     307920","           385675983.15","      21795","     200122","         64.99"
"APOLLOHOSP","EQ","17-Jul-2017","       1253.10","       1248.00","       1258.80","       1235.55","       1239.10","       1238.95","       1244.56","     150672","           187521097.25","      13492","      90762","         60.24"
"APOLLOHOSP","EQ","18-Jul-2017","       1238.95","       1249.45","       1255.75","       1235.20","       1245.85","       1247.75","       1249.63","     137562","           171901420.25","      14263","      84891","         61.71"
"APOLLOHOSP","EQ","19-Jul-2017","       1247.75","       1254.90","       1254.90","       1243.50","       1250.00","       1250.15","       1249.93","     224099","           280108680.80","      18895","     180919","         80.73"
"APOLLOHOSP","EQ","20-Jul-2017","       1250.15","       1255.00","       1255.10","       1230.75","       1235.00","       1233.50","       1237.47","     211523","           261752772.90","      28852","     136838","         64.69"
"APOLLOHOSP","EQ","21-Jul-2017","       1233.50","       1246.00","       1272.85","       1230.05","       1269.50","       1267.75","       1256.42","     383795","           482208404.65","      28285","     192955","         50.28"
"APOLLOHOSP","EQ","24-Jul-2017","       1267.75","       1267.75","       1298.00","       1267.75","       1294.00","       1292.05","       1285.24","     283684","           364602025.95","      20796","     156214","         55.07"
"APOLLOHOSP","EQ","25-Jul-2017","       1292.05","       1300.00","       1304.70","       1285.00","       1293.90","       1294.30","       1293.71","     126466","           163610820.85","      14635","      43313","         34.25"
"APOLLOHOSP","EQ","26-Jul-2017","       1294.30","       1288.35","       1312.00","       1281.20","       1295.00","       1292.75","       1297.42","     249160","           323265867.80","      20348","     121383","         48.72"
"APOLLOHOSP","EQ","27-Jul-2017","       1292.75","       1298.00","       1319.95","       1285.00","       1296.00","       1297.80","       1301.67","     382696","           498145297.20","      20175","     210409","         54.98"
"APOLLOHOSP","EQ","28-Jul-2017","       1297.80","       1293.85","       1319.00","       1245.10","       1278.00","       1273.65","       1301.25","     240157","           312505139.55","      19790","     135257","         56.32"
"APOLLOHOSP","EQ","31-Jul-2017","       1273.65","       1283.00","       1302.00","       1242.75","       1258.25","       1259.00","       1259.05","     230943","           290768445.30","      16342","     101528","         43.96"
"APOLLOHOSP","EQ","01-Aug-2017","       1259.00","       1260.00","       1282.55","       1260.00","       1265.50","       1267.80","       1272.51","     119289","           151796341.65","       9764","      50662","         42.47"
"APOLLOHOSP","EQ","02-Aug-2017","       1267.80","       1265.60","       1285.00","       1261.50","       1280.00","       1277.55","       1273.07","     103463","           131715590.90","       6430","      53731","         51.93"
"APOLLOHOSP","EQ","03-Aug-2017","       1277.55","       1285.00","       1290.00","       1260.10","       1268.00","       1267.55","       1274.76","     230588","           293943755.95","      23197","     143946","         62.43"
"APOLLOHOSP","EQ","04-Aug-2017","       1267.55","       1267.55","       1278.75","       1250.00","       1257.20","       1258.10","       1258.87","      94519","           118986962.20","       7566","      29186","         30.88"
"APOLLOHOSP","EQ","07-Aug-2017","       1258.10","       1263.40","       1277.95","       1256.00","       1267.00","       1268.05","       1270.13","      83444","           105984682.40","       9102","      31806","         38.12"
"APOLLOHOSP","EQ","08-Aug-2017","       1268.05","       1267.20","       1280.45","       1246.60","       1249.50","       1251.05","       1269.04","     182983","           232212142.20","      13964","      35219","         19.25"
"APOLLOHOSP","EQ","09-Aug-2017","       1251.05","       1259.10","       1259.10","       1210.00","       1221.00","       1220.55","       1226.67","     238162","           292145476.70","      21386","      95801","         40.23"
"APOLLOHOSP","EQ","10-Aug-2017","       1220.55","       1212.00","       1239.70","       1199.20","       1213.95","       1213.80","       1214.06","     218907","           265765571.90","      16688","      90823","         41.49"
"APOLLOHOSP","EQ","11-Aug-2017","       1213.80","       1202.65","       1240.60","       1198.45","       1223.00","       1217.25","       1224.21","     179177","           219351095.00","      17637","      54414","         30.37"
"APOLLOHOSP","EQ","14-Aug-2017","       1217.25","       1231.00","       1244.80","       1185.00","       1188.80","       1191.25","       1204.52","     429844","           517757484.00","      22489","     166990","         38.85"
"APOLLOHOSP","EQ","16-Aug-2017","       1191.25","       1174.10","       1179.95","       1154.00","       1158.80","       1159.45","       1161.12","     478904","           556064520.75","      22858","     214130","         44.71"
"APOLLOHOSP","EQ","17-Aug-2017","       1159.45","       1149.65","       1150.05","       1067.00","       1102.05","       1101.45","       1104.86","    1613900","          1783139436.75","      65097","     474483","         29.40"
"APOLLOHOSP","EQ","18-Aug-2017","       1101.45","       1076.00","       1097.05","       1057.00","       1067.80","       1068.25","       1073.76","    1455258","          1562598604.30","      74954","     448773","         30.84"
"APOLLOHOSP","EQ","21-Aug-2017","       1068.25","       1078.00","       1081.20","       1049.90","       1055.00","       1051.30","       1064.58","     629596","           670252896.00","      24645","     293446","         46.61"
"APOLLOHOSP","EQ","22-Aug-2017","       1051.30","       1058.00","       1105.00","       1056.55","       1101.65","       1098.50","       1084.18","    1028554","          1115134072.55","      43689","     308412","         29.99"
"APOLLOHOSP","EQ","23-Aug-2017","       1098.50","       1109.00","       1135.00","       1082.75","       1089.75","       1092.60","       1112.75","    1081455","          1203385757.60","      42299","     308081","         28.49"
"APOLLOHOSP","EQ","24-Aug-2017","       1092.60","       1093.00","       1099.45","       1073.60","       1084.00","       1083.20","       1081.69","     399263","           431879634.55","      26764","     155277","         38.89"
"APOLLOHOSP","EQ","28-Aug-2017","       1083.20","       1091.35","       1105.00","       1085.00","       1088.00","       1092.65","       1092.95","     224857","           245757407.10","      16482","     100825","         44.84"
"APOLLOHOSP","EQ","29-Aug-2017","       1092.65","       1092.00","       1092.00","       1067.65","       1076.50","       1077.05","       1078.00","     210879","           227327024.60","      12420","      70842","         33.59"
"APOLLOHOSP","EQ","30-Aug-2017","       1077.05","       1077.00","       1104.95","       1077.00","       1086.70","       1092.50","       1095.06","     409962","           448933754.45","      17425","     136565","         33.31"
"APOLLOHOSP","EQ","31-Aug-2017","       1092.50","       1091.00","       1092.50","       1075.20","       1082.00","       1082.60","       1082.09","     642601","           695351573.40","      23946","     392676","         61.11"
"APOLLOHOSP","EQ","01-Sep-2017","       1082.60","       1095.00","       1095.00","       1080.95","       1090.60","       1090.55","       1088.87","     127477","           138805674.30","      11202","      52323","         41.05"
"APOLLOHOSP","EQ","04-Sep-2017","       1090.55","       1099.00","       1117.40","       1086.55","       1114.80","       1111.75","       1103.38","     336154","           370904252.75","      30812","     139623","         41.54"
"APOLLOHOSP","EQ","05-Sep-2017","       1111.75","       1119.90","       1122.20","       1097.00","       1100.00","       1102.90","       1110.39","     465730","           517144132.65","      15409","     257399","         55.27"
"APOLLOHOSP","EQ","06-Sep-2017","       1102.90","       1099.90","       1108.00","       1082.00","       1100.00","       1098.25","       1097.32","     294714","           323395327.45","      14329","     145645","         49.42"
"APOLLOHOSP","EQ","07-Sep-2017","       1098.25","       1100.30","       1112.90","       1095.80","       1103.00","       1104.85","       1104.37","     380813","           420560011.45","      21720","     263894","         69.30"
"APOLLOHOSP","EQ","08-Sep-2017","       1104.85","       1102.00","       1109.15","       1090.00","       1091.90","       1093.05","       1098.12","     171607","           188444846.65","      10346","      76169","         44.39"
"APOLLOHOSP","EQ","11-Sep-2017","       1093.05","       1098.80","       1106.95","       1089.00","       1095.00","       1095.65","       1095.01","      74150","            81195111.50","       3998","      22825","         30.78"
"APOLLOHOSP","EQ","12-Sep-2017","       1095.65","       1097.50","       1109.40","       1089.50","       1091.55","       1094.60","       1099.24","     311737","           342674727.70","      16242","      97162","         31.17"
"APOLLOHOSP","EQ","13-Sep-2017","       1094.60","       1094.60","       1098.80","       1067.00","       1068.00","       1070.10","       1080.04","     492432","           531848309.75","      30062","     342059","         69.46"
"APOLLOHOSP","EQ","14-Sep-2017","       1070.10","       1068.15","       1076.00","       1048.00","       1063.10","       1063.10","       1054.86","    1533039","          1617137720.70","      51930","    1005455","         65.59"
"APOLLOHOSP","EQ","15-Sep-2017","       1063.10","       1064.10","       1075.70","       1054.95","       1055.25","       1061.05","       1065.51","     381823","           406835841.20","      18412","     187166","         49.02"
"APOLLOHOSP","EQ","18-Sep-2017","       1061.05","       1062.75","       1073.50","       1057.80","       1060.00","       1060.30","       1064.38","     199046","           211860825.20","      10478","      63724","         32.01"
"APOLLOHOSP","EQ","19-Sep-2017","       1060.30","       1065.00","       1066.95","       1050.00","       1058.25","       1057.35","       1055.53","     275698","           291008500.15","      18113","     124268","         45.07"
