"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"APOLLOTYRE","EQ","02-Jan-2017","        184.90","        187.00","        187.85","        183.85","        186.20","        185.85","        185.95","    1781042","           331187762.55","      13049","     674191","         37.85"
"APOLLOTYRE","EQ","03-Jan-2017","        185.85","        186.90","        188.25","        185.40","        187.50","        187.25","        186.96","    1360567","           254365148.55","      12277","     324391","         23.84"
"APOLLOTYRE","EQ","04-Jan-2017","        187.25","        187.70","        189.40","        184.50","        185.15","        185.30","        186.93","    1244450","           232619869.35","      12675","     204002","         16.39"
"APOLLOTYRE","EQ","05-Jan-2017","        185.30","        185.60","        188.65","        185.60","        187.25","        187.70","        187.10","    1595767","           298561203.70","      18287","     650659","         40.77"
"APOLLOTYRE","EQ","06-Jan-2017","        187.70","        187.65","        191.85","        186.75","        188.75","        188.90","        189.75","    2580440","           489642630.45","      30439","     620595","         24.05"
"APOLLOTYRE","EQ","09-Jan-2017","        188.90","        189.75","        189.90","        185.00","        186.05","        186.25","        186.65","    1325132","           247334071.80","      17347","     377699","         28.50"
"APOLLOTYRE","EQ","10-Jan-2017","        186.25","        186.60","        195.90","        186.10","        195.85","        194.45","        191.20","    2495539","           477158811.50","      30936","     803800","         32.21"
"APOLLOTYRE","EQ","11-Jan-2017","        194.45","        197.00","        198.60","        195.65","        196.85","        197.10","        197.24","    3622122","           714441573.60","      29330","     731207","         20.19"
"APOLLOTYRE","EQ","12-Jan-2017","        197.10","        197.35","        198.55","        193.35","        195.20","        194.80","        194.92","    2046050","           398823145.75","      12830","     826975","         40.42"
"APOLLOTYRE","EQ","13-Jan-2017","        194.80","        194.80","        194.80","        185.05","        187.60","        187.75","        187.55","    5589804","          1048368217.05","      54861","    1705558","         30.51"
"APOLLOTYRE","EQ","16-Jan-2017","        187.75","        185.25","        188.50","        184.60","        186.70","        186.85","        186.72","    2842194","           530684546.00","      25545","     898296","         31.61"
"APOLLOTYRE","EQ","17-Jan-2017","        186.85","        187.50","        191.50","        187.30","        187.70","        187.85","        189.41","    2488815","           471395513.00","      20933","     582969","         23.42"
"APOLLOTYRE","EQ","18-Jan-2017","        187.85","        188.55","        190.40","        186.60","        188.65","        188.95","        188.56","    2435356","           459207155.60","      27540","     980083","         40.24"
"APOLLOTYRE","EQ","19-Jan-2017","        188.95","        188.75","        188.75","        184.70","        185.75","        185.60","        186.35","    2291906","           427105881.00","      27268","     924907","         40.36"
"APOLLOTYRE","EQ","20-Jan-2017","        185.60","        185.85","        186.95","        182.65","        183.70","        183.75","        184.49","    2066552","           381252099.45","      19314","     884984","         42.82"
"APOLLOTYRE","EQ","23-Jan-2017","        183.75","        184.00","        186.70","        183.30","        185.00","        184.70","        184.89","    1211178","           223935848.00","      16460","     341149","         28.17"
"APOLLOTYRE","EQ","24-Jan-2017","        184.70","        185.35","        186.50","        184.05","        184.55","        185.05","        185.23","    2431531","           450404464.15","      25691","    1413247","         58.12"
"APOLLOTYRE","EQ","25-Jan-2017","        185.05","        185.60","        187.45","        184.40","        186.65","        186.75","        185.95","    3912026","           727437873.00","      50621","    1648259","         42.13"
"APOLLOTYRE","EQ","27-Jan-2017","        186.75","        188.00","        189.80","        186.10","        186.95","        187.35","        187.77","    1741509","           326999933.15","      15272","     387041","         22.22"
"APOLLOTYRE","EQ","30-Jan-2017","        187.35","        187.30","        187.40","        183.30","        183.45","        183.90","        184.65","    1390787","           256803967.00","      11700","     457457","         32.89"
