"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ARIHANT","BE","02-Jan-2017","         57.00","         58.00","         58.00","         56.00","         56.15","         56.15","         56.11","        260","               14587.50","          4","-","-"
"ARIHANT","BE","03-Jan-2017","         56.15","         55.65","         56.35","         55.65","         56.35","         56.35","         56.07","        328","               18391.35","          7","-","-"
"ARIHANT","BE","04-Jan-2017","         56.35","         58.95","         58.95","         56.35","         58.50","         58.50","         57.95","       1470","               85190.80","         30","-","-"
"ARIHANT","BE","05-Jan-2017","         58.50","         60.50","         61.40","         60.30","         61.40","         61.30","         60.81","        976","               59352.05","         11","-","-"
"ARIHANT","BE","06-Jan-2017","         61.30","         63.95","         63.95","         58.50","         62.80","         62.80","         60.00","        290","               17399.50","          5","-","-"
"ARIHANT","BE","09-Jan-2017","         62.80","         62.90","         63.80","         61.20","         62.00","         62.00","         61.92","        275","               17027.80","         10","-","-"
"ARIHANT","BE","10-Jan-2017","         62.00","         61.00","         61.95","         59.55","         61.95","         60.60","         60.34","        110","                6637.85","          6","-","-"
"ARIHANT","BE","11-Jan-2017","         60.60","         58.50","         59.00","         58.50","         59.00","         59.00","         58.75","         90","                5287.50","          5","-","-"
"ARIHANT","BE","12-Jan-2017","         59.00","         59.00","         61.00","         57.20","         61.00","         61.00","         58.85","        551","               32424.00","          6","-","-"
"ARIHANT","BE","16-Jan-2017","         61.00","         59.50","         61.00","         59.50","         61.00","         60.95","         60.09","          5","                 300.45","          3","-","-"
"ARIHANT","BE","17-Jan-2017","         60.95","         58.05","         58.75","         58.00","         58.40","         58.70","         58.37","        673","               39284.70","          7","-","-"
"ARIHANT","BE","18-Jan-2017","         58.70","         58.40","         60.00","         57.00","         60.00","         59.20","         58.94","       1955","              115220.05","         32","-","-"
"ARIHANT","BE","19-Jan-2017","         59.20","         57.05","         57.50","         57.05","         57.50","         57.50","         57.46","        110","                6320.50","          2","-","-"
"ARIHANT","BE","20-Jan-2017","         57.50","         58.20","         58.20","         58.20","         58.20","         58.20","         58.20","        100","                5820.00","          1","-","-"
"ARIHANT","BE","23-Jan-2017","         58.20","         57.10","         57.10","         55.30","         57.10","         55.65","         56.19","        847","               47592.50","         15","-","-"
"ARIHANT","BE","24-Jan-2017","         55.65","         54.00","         58.00","         54.00","         58.00","         58.00","         56.92","        227","               12921.00","          3","-","-"
"ARIHANT","BE","25-Jan-2017","         58.00","         58.00","         59.65","         57.20","         59.65","         59.65","         57.99","        155","                8988.45","          6","-","-"
