"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ARIHANTSUP","EQ","03-Jul-2017","        184.40","        185.75","        188.95","        184.10","        188.95","        187.85","        186.02","     567081","           105487204.15","       4344","      66777","         11.78"
"ARIHANTSUP","EQ","04-Jul-2017","        187.85","        188.30","        196.00","        188.05","        194.00","        193.90","        192.97","     686957","           132558677.10","       5033","     153433","         22.34"
"ARIHANTSUP","EQ","05-Jul-2017","        193.90","        197.55","        208.80","        197.55","        201.80","        201.05","        203.47","     803667","           163523765.75","       7164","     221187","         27.52"
"ARIHANTSUP","EQ","06-Jul-2017","        201.05","        201.40","        203.00","        199.40","        202.40","        201.60","        201.56","     543872","           109622062.90","       4687","      91779","         16.88"
"ARIHANTSUP","EQ","07-Jul-2017","        201.60","        201.50","        202.95","        199.10","        199.90","        199.90","        201.12","     489942","            98536990.05","       4148","      89732","         18.31"
"ARIHANTSUP","EQ","10-Jul-2017","        199.90","        202.75","        203.95","        198.50","        198.65","        199.65","        199.79","     209157","            41787184.55","       1495","      64222","         30.71"
"ARIHANTSUP","EQ","11-Jul-2017","        199.65","        200.00","        200.00","        190.25","        192.05","        193.15","        196.07","     480341","            94179177.10","       3765","     102967","         21.44"
"ARIHANTSUP","EQ","12-Jul-2017","        193.15","        193.60","        199.00","        193.20","        195.50","        195.15","        195.14","     486638","            94960692.45","       4245","      98000","         20.14"
"ARIHANTSUP","EQ","13-Jul-2017","        195.15","        195.10","        197.70","        190.25","        190.85","        191.25","        193.02","     504083","            97298941.40","       4166","     115306","         22.87"
"ARIHANTSUP","EQ","14-Jul-2017","        191.25","        192.65","        193.70","        186.25","        187.05","        188.70","        191.31","     539665","           103241850.65","       2901","     162234","         30.06"
"ARIHANTSUP","EQ","17-Jul-2017","        188.70","        188.60","        192.00","        183.75","        185.70","        186.00","        187.57","     573491","           107569807.30","       3965","     174480","         30.42"
"ARIHANTSUP","EQ","18-Jul-2017","        186.00","        186.50","        186.90","        180.10","        182.50","        183.20","        185.32","     568342","           105323127.85","       4251","     148421","         26.11"
"ARIHANTSUP","EQ","19-Jul-2017","        183.20","        185.00","        186.50","        181.50","        184.00","        184.60","        184.62","     517673","            95570222.10","       3593","     127229","         24.58"
"ARIHANTSUP","EQ","20-Jul-2017","        184.60","        185.00","        188.00","        183.05","        184.00","        184.30","        185.51","     533560","            98982793.90","       4225","     110098","         20.63"
"ARIHANTSUP","EQ","21-Jul-2017","        184.30","        184.85","        186.80","        183.50","        185.00","        183.90","        185.63","     472082","            87632605.00","       5538","      96033","         20.34"
"ARIHANTSUP","EQ","24-Jul-2017","        183.90","        185.10","        186.55","        182.50","        182.85","        183.15","        184.68","     567602","           104827158.20","       3520","     137428","         24.21"
"ARIHANTSUP","EQ","25-Jul-2017","        183.15","        185.05","        185.10","        181.05","        181.50","        181.80","        182.85","     662670","           121168146.60","       3883","     184251","         27.80"
"ARIHANTSUP","EQ","26-Jul-2017","        181.80","        180.00","        184.20","        180.00","        183.50","        183.00","        182.68","     504061","            92081116.55","       3881","     102197","         20.27"
"ARIHANTSUP","EQ","27-Jul-2017","        183.00","        184.45","        184.55","        180.10","        181.00","        180.90","        182.11","     502912","            91586485.90","       3252","      77197","         15.35"
