"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ARROWGREEN","EQ","03-Apr-2017","        418.65","        415.00","        438.70","        415.00","        428.20","        429.95","        430.66","       7540","             3247185.05","        509","       4673","         61.98"
"ARROWGREEN","EQ","05-Apr-2017","        429.95","        431.05","        450.00","        424.05","        438.40","        439.75","        440.00","      13611","             5988826.95","        891","       8015","         58.89"
"ARROWGREEN","EQ","06-Apr-2017","        439.75","        440.00","        449.45","        433.00","        440.60","        441.60","        443.04","      15966","             7073604.45","        776","       8204","         51.38"
"ARROWGREEN","EQ","07-Apr-2017","        441.60","        444.90","        458.80","        440.25","        445.00","        443.75","        448.08","      17786","             7969480.70","        790","      10587","         59.52"
"ARROWGREEN","EQ","10-Apr-2017","        443.75","        451.00","        469.90","        444.00","        451.50","        456.05","        457.20","      40580","            18553068.70","       1255","      22104","         54.47"
"ARROWGREEN","EQ","11-Apr-2017","        456.05","        463.85","        465.95","        447.30","        455.00","        455.25","        458.37","      16154","             7404512.90","       1045","       8162","         50.53"
"ARROWGREEN","EQ","12-Apr-2017","        455.25","        464.00","        464.00","        436.50","        443.00","        441.15","        442.93","      11912","             5276151.55","        569","       7166","         60.16"
"ARROWGREEN","EQ","13-Apr-2017","        441.15","        437.00","        447.00","        435.20","        435.20","        438.70","        441.78","      12203","             5390996.80","        470","       6515","         53.39"
"ARROWGREEN","EQ","17-Apr-2017","        438.70","        442.20","        442.20","        431.65","        434.00","        433.85","        434.78","       9918","             4312175.00","        403","       6086","         61.36"
"ARROWGREEN","EQ","18-Apr-2017","        433.85","        435.00","        438.00","        415.60","        420.00","        421.65","        430.86","      10945","             4715808.70","        462","       7987","         72.97"
"ARROWGREEN","EQ","19-Apr-2017","        421.65","        426.00","        447.80","        418.45","        432.00","        434.00","        434.10","      24492","            10632062.85","        917","      15025","         61.35"
"ARROWGREEN","EQ","20-Apr-2017","        434.00","        431.65","        436.35","        427.00","        430.10","        432.40","        431.82","       7965","             3439450.95","        366","       4830","         60.64"
"ARROWGREEN","EQ","21-Apr-2017","        432.40","        435.00","        441.80","        427.00","        430.50","        431.90","        434.47","       9358","             4065795.05","        350","       6492","         69.37"
"ARROWGREEN","EQ","24-Apr-2017","        431.90","        428.00","        443.95","        426.05","        437.00","        433.45","        433.01","      18025","             7805016.65","        813","      11812","         65.53"
"ARROWGREEN","EQ","25-Apr-2017","        433.45","        434.05","        439.95","        430.00","        430.50","        433.05","        434.63","       9291","             4038141.30","        425","       4720","         50.80"
"ARROWGREEN","EQ","26-Apr-2017","        433.05","        430.15","        439.90","        424.45","        425.00","        426.05","        431.77","       8873","             3831085.35","        392","       6825","         76.92"
"ARROWGREEN","EQ","27-Apr-2017","        426.05","        426.10","        426.75","        420.05","        420.15","        421.60","        422.38","       7239","             3057592.30","        349","       5026","         69.43"
"ARROWGREEN","EQ","28-Apr-2017","        421.60","        422.25","        444.00","        418.45","        439.40","        437.75","        437.57","      51937","            22726018.55","       1331","      20999","         40.43"
"ARROWGREEN","EQ","02-May-2017","        437.75","        439.35","        457.80","        435.10","        452.00","        451.15","        446.67","      46442","            20744339.10","       1371","      29771","         64.10"
