"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ARVSMART","EQ","03-Apr-2017","         86.55","         87.00","         92.70","         86.35","         91.70","         91.60","         90.94","     158344","            14399599.40","       1399","      95635","         60.40"
"ARVSMART","EQ","05-Apr-2017","         91.60","         91.60","         95.00","         90.55","         90.90","         90.95","         92.59","     143558","            13291828.10","        902","     108800","         75.79"
"ARVSMART","EQ","06-Apr-2017","         90.95","         90.40","         95.00","         90.40","         94.90","         94.65","         93.51","     141253","            13208298.65","       1039","      96862","         68.57"
"ARVSMART","EQ","07-Apr-2017","         94.65","         95.00","         99.40","         91.80","         98.00","         96.65","         94.98","     233034","            22134243.40","       1534","     154416","         66.26"
"ARVSMART","EQ","10-Apr-2017","         96.65","         97.60","        102.70","         96.25","        101.25","        101.15","         99.72","     215234","            21464125.20","       1845","     125646","         58.38"
"ARVSMART","EQ","11-Apr-2017","        101.15","        102.00","        110.60","        102.00","        109.00","        108.50","        107.27","     468511","            50258013.45","       5413","     220308","         47.02"
"ARVSMART","EQ","12-Apr-2017","        108.50","        109.45","        109.45","        100.55","        104.50","        104.20","        104.03","     213724","            22233154.55","       2570","     109329","         51.15"
"ARVSMART","EQ","13-Apr-2017","        104.20","        104.00","        109.00","        104.00","        105.00","        105.95","        106.05","     133219","            14127503.90","       2071","      56977","         42.77"
"ARVSMART","EQ","17-Apr-2017","        105.95","        106.70","        114.40","        103.00","        110.45","        110.10","        109.37","     292537","            31993836.30","       2892","     140121","         47.90"
"ARVSMART","EQ","18-Apr-2017","        110.10","        111.00","        113.00","        103.20","        103.75","        104.65","        109.13","     185576","            20252431.15","       2397","     100080","         53.93"
"ARVSMART","EQ","19-Apr-2017","        104.65","        103.35","        108.50","        103.35","        105.80","        105.75","        105.92","      60694","             6428588.90","        804","      32886","         54.18"
"ARVSMART","EQ","20-Apr-2017","        105.75","        105.45","        107.90","        105.00","        105.00","        105.45","        105.99","      46273","             4904361.40","        696","      26806","         57.93"
"ARVSMART","EQ","21-Apr-2017","        105.45","        105.80","        109.00","        104.35","        105.00","        105.45","        106.49","      88161","             9387981.05","       1093","      55281","         62.70"
"ARVSMART","EQ","24-Apr-2017","        105.45","        106.45","        109.90","        104.85","        106.00","        106.30","        107.30","      85420","             9165446.70","        955","      41383","         48.45"
"ARVSMART","EQ","25-Apr-2017","        106.30","        106.05","        109.20","        105.20","        105.60","        106.15","        107.22","      55089","             5906430.80","        755","      31209","         56.65"
"ARVSMART","EQ","26-Apr-2017","        106.15","        105.00","        108.50","        102.40","        104.50","        104.80","        105.72","      86035","             9095326.95","       1295","      47259","         54.93"
"ARVSMART","EQ","27-Apr-2017","        104.80","        106.00","        107.10","        104.00","        106.00","        105.80","        105.68","      59825","             6322554.90","        781","      36312","         60.70"
"ARVSMART","EQ","28-Apr-2017","        105.80","        105.45","        107.65","        104.50","        105.20","        105.00","        105.50","      54185","             5716616.85","        385","      44317","         81.79"
