"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANTILES","EQ","03-Jul-2017","        430.80","        435.00","        460.00","        430.00","        459.00","        454.75","        449.99","     252903","           113803771.35","       4625","      99335","         39.28"
"ASIANTILES","EQ","04-Jul-2017","        454.75","        460.00","        460.00","        446.00","        450.00","        449.30","        452.35","      68317","            30902929.10","       1804","      28296","         41.42"
"ASIANTILES","EQ","05-Jul-2017","        449.30","        445.05","        450.00","        440.25","        444.60","        445.65","        444.01","      52101","            23133509.70","       1480","      24450","         46.93"
"ASIANTILES","EQ","06-Jul-2017","        445.65","        445.00","        468.80","        445.00","        455.90","        454.95","        458.52","     133070","            61015678.75","       2844","      51434","         38.65"
"ASIANTILES","EQ","07-Jul-2017","        454.95","        458.90","        458.90","        447.00","        450.00","        449.70","        450.00","      35577","            16009486.40","       1268","      23538","         66.16"
"ASIANTILES","EQ","10-Jul-2017","        449.70","        500.00","        500.00","        445.00","        451.15","        453.45","        452.40","       8998","             4070659.75","        207","       6559","         72.89"
"ASIANTILES","EQ","11-Jul-2017","        453.45","        455.00","        465.85","        451.00","        451.55","        453.20","        457.55","      47214","            21602775.90","        972","      23176","         49.09"
"ASIANTILES","EQ","12-Jul-2017","        453.20","        454.95","        457.05","        442.15","        446.40","        446.50","        450.13","      25724","            11579176.75","        918","      14615","         56.81"
"ASIANTILES","EQ","13-Jul-2017","        446.50","        445.00","        458.85","        442.20","        447.00","        447.15","        452.18","      52146","            23579626.95","        886","      25405","         48.72"
"ASIANTILES","EQ","14-Jul-2017","        447.15","        445.15","        454.40","        442.80","        450.00","        447.10","        446.97","      18081","             8081611.25","       1222","       8489","         46.95"
"ASIANTILES","EQ","17-Jul-2017","        447.10","        450.90","        451.05","        433.05","        435.10","        436.75","        441.54","      27938","            12335682.10","        826","      19340","         69.22"
"ASIANTILES","EQ","18-Jul-2017","        436.75","        438.80","        438.80","        419.00","        423.00","        421.80","        430.02","      40371","            17360222.55","       1525","      30258","         74.95"
"ASIANTILES","EQ","19-Jul-2017","        421.80","        423.90","        433.35","        423.00","        428.05","        428.70","        429.67","      17821","             7657070.40","        721","       8877","         49.81"
"ASIANTILES","EQ","20-Jul-2017","        428.70","        425.20","        444.90","        425.20","        432.90","        431.70","        435.25","      46291","            20147996.20","       1607","      19812","         42.80"
"ASIANTILES","EQ","21-Jul-2017","        431.70","        433.85","        436.50","        425.65","        428.70","        427.70","        430.48","      32298","            13903657.70","       1355","      19098","         59.13"
"ASIANTILES","EQ","24-Jul-2017","        427.70","        430.05","        437.50","        422.15","        426.35","        426.50","        428.41","      37424","            16032842.65","        957","      18234","         48.72"
"ASIANTILES","EQ","25-Jul-2017","        426.50","        429.05","        430.95","        415.00","        418.40","        417.85","        422.44","      32594","            13768949.00","       1004","      18441","         56.58"
"ASIANTILES","EQ","26-Jul-2017","        417.85","        417.85","        420.30","        405.00","        419.80","        417.20","        412.55","      45915","            18942386.95","       1667","      29614","         64.50"
"ASIANTILES","EQ","27-Jul-2017","        417.20","        417.20","        423.00","        411.20","        416.50","        414.90","        416.77","      16287","             6787872.00","        920","       6651","         40.84"
"ASIANTILES","EQ","28-Jul-2017","        414.90","        414.75","        426.35","        410.30","        420.00","        419.75","        418.83","      16375","             6858408.30","        768","       7626","         46.57"
"ASIANTILES","EQ","31-Jul-2017","        419.75","        427.60","        427.60","        412.50","        418.40","        416.10","        417.58","      18189","             7595412.30","        645","       8124","         44.66"
"ASIANTILES","EQ","01-Aug-2017","        416.10","        418.00","        418.80","        413.60","        415.35","        416.00","        415.85","      10923","             4542367.05","        662","       5358","         49.05"
"ASIANTILES","EQ","02-Aug-2017","        416.00","        412.90","        415.70","        405.05","        409.60","        408.10","        410.80","      24808","            10191164.70","        699","      14255","         57.46"
"ASIANTILES","EQ","03-Aug-2017","        408.10","        416.20","        416.20","        405.25","        406.45","        407.55","        408.46","      17217","             7032417.75","        571","      10680","         62.03"
"ASIANTILES","EQ","04-Aug-2017","        407.55","        410.30","        432.80","        406.95","        424.50","        423.85","        423.00","      53287","            22540280.80","       1582","      25588","         48.02"
"ASIANTILES","EQ","07-Aug-2017","        423.85","        424.50","        426.00","        416.60","        418.15","        420.10","        420.93","      20827","             8766789.95","        530","      16049","         77.06"
"ASIANTILES","EQ","08-Aug-2017","        420.10","        420.10","        423.70","        405.50","        410.00","        408.85","        413.45","      57157","            23631836.95","        977","      43687","         76.43"
"ASIANTILES","EQ","09-Aug-2017","        408.85","        409.00","        415.85","        405.65","        409.00","        409.20","        409.04","      25379","            10381046.10","        564","      17654","         69.56"
"ASIANTILES","EQ","10-Aug-2017","        409.20","        409.00","        415.35","        392.20","        402.00","        400.60","        404.99","      97779","            39599721.90","       2246","      50930","         52.09"
"ASIANTILES","EQ","11-Aug-2017","        400.60","        405.00","        407.00","        380.00","        399.50","        399.80","        398.11","      52151","            20761790.70","       1199","      30098","         57.71"
"ASIANTILES","EQ","14-Aug-2017","        399.80","        408.00","        409.00","        396.10","        396.15","        399.20","        402.36","      20006","             8049672.65","        535","      14289","         71.42"
