"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","03-Jul-2017","       1102.95","       1107.00","       1123.45","       1104.20","       1122.00","       1120.25","       1114.47","     512386","           571037455.65","      19750","     273910","         53.46"
"ASIANPAINT","EQ","04-Jul-2017","       1120.25","       1123.80","       1126.45","       1106.80","       1109.95","       1108.55","       1110.76","     549148","           609970520.80","      18836","     345002","         62.82"
"ASIANPAINT","EQ","05-Jul-2017","       1108.55","       1108.55","       1135.00","       1108.55","       1132.00","       1126.65","       1120.13","     837353","           937948116.65","      29164","     512200","         61.17"
"ASIANPAINT","EQ","06-Jul-2017","       1126.65","       1135.00","       1144.00","       1127.85","       1129.00","       1132.15","       1136.12","     532283","           604736820.45","      27898","     223392","         41.97"
"ASIANPAINT","EQ","07-Jul-2017","       1132.15","       1135.00","       1135.40","       1112.05","       1114.15","       1115.45","       1119.61","     364301","           407876200.85","      13947","     177046","         48.60"
"ASIANPAINT","EQ","10-Jul-2017","       1115.45","       1215.45","       1215.45","       1110.00","       1127.00","       1127.75","       1127.35","      70602","            79593495.90","       2627","      33562","         47.54"
"ASIANPAINT","EQ","11-Jul-2017","       1127.75","       1125.00","       1135.00","       1122.60","       1134.00","       1131.75","       1129.43","     532133","           601007642.65","      25033","     343813","         64.61"
"ASIANPAINT","EQ","12-Jul-2017","       1131.75","       1136.00","       1137.40","       1124.10","       1137.00","       1133.70","       1130.92","     373345","           422222241.10","      33705","     235400","         63.05"
"ASIANPAINT","EQ","13-Jul-2017","       1133.70","       1139.80","       1144.25","       1121.25","       1122.25","       1125.50","       1135.63","     764694","           868412600.30","      29571","     457749","         59.86"
"ASIANPAINT","EQ","14-Jul-2017","       1125.50","       1128.25","       1128.95","       1112.05","       1119.50","       1117.35","       1117.13","     872831","           975065190.50","      31654","     652006","         74.70"
"ASIANPAINT","EQ","17-Jul-2017","       1117.35","       1120.60","       1128.70","       1115.25","       1125.50","       1125.45","       1121.94","    1260921","          1414680925.75","      24307","    1090922","         86.52"
"ASIANPAINT","EQ","18-Jul-2017","       1125.45","       1118.00","       1150.00","       1117.00","       1146.50","       1146.60","       1142.09","     648737","           740912955.25","      19803","     292119","         45.03"
"ASIANPAINT","EQ","19-Jul-2017","       1146.60","       1154.95","       1158.00","       1146.05","       1152.95","       1155.85","       1154.26","     964588","          1113381399.00","      59369","     669942","         69.45"
"ASIANPAINT","EQ","20-Jul-2017","       1155.85","       1156.90","       1157.85","       1133.95","       1156.15","       1155.55","       1148.31","    1287749","          1478729106.65","      51635","    1003058","         77.89"
"ASIANPAINT","EQ","21-Jul-2017","       1155.55","       1156.00","       1172.50","       1148.00","       1156.05","       1156.10","       1161.08","    2017663","          2342664994.85","      50781","    1465678","         72.64"
"ASIANPAINT","EQ","24-Jul-2017","       1156.10","       1151.60","       1159.50","       1140.00","       1158.10","       1155.75","       1149.25","    2063340","          2371287310.40","      49355","    1505778","         72.98"
"ASIANPAINT","EQ","25-Jul-2017","       1155.75","       1160.05","       1165.00","       1140.00","       1148.00","       1150.10","       1151.18","    2963793","          3411864698.80","      78151","    1075751","         36.30"
"ASIANPAINT","EQ","26-Jul-2017","       1150.10","       1134.00","       1144.80","       1126.00","       1136.55","       1134.00","       1132.78","    1973462","          2235496619.45","      57793","    1239238","         62.80"
"ASIANPAINT","EQ","27-Jul-2017","       1134.00","       1136.55","       1153.00","       1136.05","       1153.00","       1148.80","       1145.45","    1033335","          1183629258.85","      26754","     612999","         59.32"
"ASIANPAINT","EQ","28-Jul-2017","       1148.80","       1148.00","       1156.90","       1139.00","       1156.00","       1153.25","       1148.33","     616845","           708342233.25","      18633","     413961","         67.11"
"ASIANPAINT","EQ","31-Jul-2017","       1153.25","       1154.15","       1164.00","       1146.10","       1163.00","       1161.70","       1155.22","     777721","           898441631.45","      34112","     432934","         55.67"
"ASIANPAINT","EQ","01-Aug-2017","       1161.70","       1162.00","       1163.00","       1140.50","       1150.00","       1148.20","       1146.96","    1176561","          1349472820.35","      46965","     795328","         67.60"
"ASIANPAINT","EQ","02-Aug-2017","       1148.20","       1150.00","       1152.00","       1135.00","       1145.00","       1144.50","       1140.63","     848781","           968147645.30","      18269","     442163","         52.09"
