"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASSAMCO","EQ","03-Jul-2017","          6.60","          6.50","          6.85","          6.50","          6.80","          6.80","          6.76","     290738","             1966705.80","        313","     162505","         55.89"
"ASSAMCO","EQ","04-Jul-2017","          6.80","          6.75","          6.80","          6.55","          6.55","          6.60","          6.66","     334589","             2229109.60","        289","     183559","         54.86"
"ASSAMCO","EQ","05-Jul-2017","          6.60","          6.55","          6.70","          6.55","          6.70","          6.65","          6.63","     271055","             1796506.90","        268","     132625","         48.93"
"ASSAMCO","EQ","06-Jul-2017","          6.65","          6.65","          6.80","          6.60","          6.65","          6.65","          6.71","     269918","             1812309.10","        226","     163448","         60.55"
"ASSAMCO","EQ","07-Jul-2017","          6.65","          6.85","          7.65","          6.80","          7.10","          7.15","          7.24","    4399649","            31852183.60","       2908","    1329235","         30.21"
"ASSAMCO","EQ","10-Jul-2017","          7.15","          7.25","          7.30","          6.85","          7.10","          7.10","          7.16","     303467","             2172086.05","        249","     154453","         50.90"
"ASSAMCO","EQ","11-Jul-2017","          7.10","          7.20","          7.45","          6.90","          6.95","          6.90","          7.07","    1167340","             8249387.00","        728","     671901","         57.56"
"ASSAMCO","EQ","12-Jul-2017","          6.90","          7.10","          7.20","          6.95","          7.05","          7.00","          7.03","     375215","             2639623.55","        415","     174703","         46.56"
"ASSAMCO","EQ","13-Jul-2017","          7.00","          7.45","          7.45","          6.95","          7.05","          7.05","          7.16","     849087","             6075409.80","        836","     414123","         48.77"
"ASSAMCO","EQ","14-Jul-2017","          7.05","          7.15","          7.15","          6.70","          6.85","          6.80","          6.86","     575485","             3945505.60","        461","     325433","         56.55"
"ASSAMCO","EQ","17-Jul-2017","          6.80","          6.80","          7.00","          6.70","          6.80","          6.75","          6.87","     574212","             3945426.70","        361","     307465","         53.55"
"ASSAMCO","EQ","18-Jul-2017","          6.75","          6.65","          6.75","          6.60","          6.65","          6.65","          6.66","     391770","             2608611.85","        404","     263954","         67.37"
"ASSAMCO","EQ","19-Jul-2017","          6.65","          6.65","          6.80","          6.60","          6.75","          6.70","          6.72","     298578","             2007513.15","        263","     151927","         50.88"
"ASSAMCO","EQ","20-Jul-2017","          6.70","          6.65","          7.15","          6.65","          6.85","          6.90","          6.91","     674897","             4663449.65","        584","     372796","         55.24"
"ASSAMCO","EQ","21-Jul-2017","          6.90","          6.80","          6.95","          6.70","          6.75","          6.75","          6.77","     381091","             2578585.90","        346","     242009","         63.50"
"ASSAMCO","EQ","24-Jul-2017","          6.75","          6.75","          7.10","          6.55","          6.90","          6.85","          6.89","     487787","             3362500.85","        369","     328218","         67.29"
"ASSAMCO","EQ","25-Jul-2017","          6.85","          6.95","          6.95","          6.65","          6.70","          6.70","          6.73","     385268","             2592112.80","        379","     274727","         71.31"
"ASSAMCO","EQ","26-Jul-2017","          6.70","          6.75","          7.65","          6.75","          7.50","          7.40","          7.23","    2941066","            21254939.40","       1516","    1528660","         51.98"
"ASSAMCO","EQ","27-Jul-2017","          7.40","          7.25","          7.75","          6.85","          6.90","          6.95","          7.28","    1897735","            13814698.85","       1893","    1028690","         54.21"
"ASSAMCO","EQ","28-Jul-2017","          6.95","          6.95","          7.05","          6.75","          6.85","          6.85","          6.87","     572018","             3930557.25","        481","     369126","         64.53"
"ASSAMCO","EQ","31-Jul-2017","          6.85","          6.95","          7.10","          6.75","          6.95","          6.95","          6.95","     709664","             4930833.95","        798","     358495","         50.52"
"ASSAMCO","EQ","01-Aug-2017","          6.95","          7.10","          7.30","          6.85","          6.90","          6.95","          7.10","     698341","             4959157.95","        662","     355366","         50.89"
"ASSAMCO","EQ","02-Aug-2017","          6.95","          7.05","          7.05","          6.70","          6.75","          6.75","          6.80","     602265","             4096596.45","        503","     436284","         72.44"
"ASSAMCO","EQ","03-Aug-2017","          6.75","          6.80","          6.90","          6.45","          6.50","          6.55","          6.58","     713988","             4697658.50","        754","     519255","         72.73"
"ASSAMCO","EQ","04-Aug-2017","          6.55","          6.55","          6.65","          6.45","          6.50","          6.50","          6.53","     556995","             3638880.20","        436","     365648","         65.65"
"ASSAMCO","EQ","07-Aug-2017","          6.50","          6.75","          6.75","          6.45","          6.55","          6.50","          6.55","     500014","             3273628.60","        381","     390013","         78.00"
"ASSAMCO","EQ","23-Aug-2017","          6.50","          5.65","          5.65","          5.20","          5.20","          5.20","          5.24","    1169875","             6128744.65","        530","     554089","         47.36"
"ASSAMCO","EQ","24-Aug-2017","          5.20","          4.55","          5.10","          4.55","          4.65","          4.60","          4.75","    3138452","            14906731.20","       2306","    2192591","         69.86"
"ASSAMCO","EQ","28-Aug-2017","          4.60","          4.50","          5.05","          4.45","          5.05","          5.05","          4.91","    1378118","             6762900.35","       1168","     927864","         67.33"
"ASSAMCO","EQ","29-Aug-2017","          5.05","          5.00","          5.35","          4.80","          5.25","          5.15","          5.10","    1619846","             8268518.85","       1114","     919841","         56.79"
"ASSAMCO","EQ","30-Aug-2017","          5.15","          5.25","          5.60","          5.15","          5.55","          5.50","          5.38","     694417","             3733432.90","        542","     517004","         74.45"
"ASSAMCO","EQ","31-Aug-2017","          5.50","          5.45","          5.55","          5.25","          5.40","          5.40","          5.36","     441353","             2365667.90","        416","     242724","         55.00"
"ASSAMCO","EQ","01-Sep-2017","          5.40","          5.50","          5.50","          5.05","          5.15","          5.10","          5.21","     584310","             3042117.05","        473","     450041","         77.02"
"ASSAMCO","EQ","04-Sep-2017","          5.10","          5.10","          5.10","          4.80","          4.95","          4.95","          4.94","     766674","             3788825.95","        632","     445130","         58.06"
"ASSAMCO","EQ","05-Sep-2017","          4.95","          5.00","          5.10","          4.85","          4.95","          4.95","          4.98","     406769","             2025132.85","        278","     275424","         67.71"
"ASSAMCO","EQ","06-Sep-2017","          4.95","          4.95","          5.10","          4.90","          4.90","          4.90","          4.94","     281815","             1390791.80","        282","     202840","         71.98"
"ASSAMCO","EQ","07-Sep-2017","          4.90","          4.90","          5.10","          4.85","          5.00","          4.95","          4.95","     432421","             2141521.40","        408","     255746","         59.14"
"ASSAMCO","EQ","08-Sep-2017","          4.95","          4.95","          5.00","          4.80","          4.95","          4.95","          4.91","     224246","             1100147.85","        222","     153561","         68.48"
"ASSAMCO","EQ","11-Sep-2017","          4.95","          4.95","          5.00","          4.70","          4.80","          4.80","          4.80","     520278","             2496185.20","        461","     372910","         71.68"
"ASSAMCO","EQ","12-Sep-2017","          4.80","          4.85","          4.85","          4.55","          4.70","          4.70","          4.69","     857462","             4020923.85","        567","     595571","         69.46"
"ASSAMCO","EQ","13-Sep-2017","          4.70","          4.60","          4.75","          4.60","          4.70","          4.65","          4.64","     271452","             1260522.40","        290","     193743","         71.37"
"ASSAMCO","EQ","14-Sep-2017","          4.65","          4.70","          4.75","          4.60","          4.65","          4.65","          4.67","     205245","              958713.45","        181","     138309","         67.39"
"ASSAMCO","EQ","15-Sep-2017","          4.65","          4.65","          4.75","          4.30","          4.50","          4.45","          4.43","    1018742","             4512695.10","        648","     760766","         74.68"
"ASSAMCO","EQ","18-Sep-2017","          4.45","          4.50","          4.60","          4.10","          4.10","          4.15","          4.26","    1342779","             5723499.15","        938","     986688","         73.48"
