"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASAL","EQ","03-Jul-2017","         71.20","         71.40","         73.00","         69.85","         72.50","         72.30","         71.72","       4160","              298374.45","         51","       3548","         85.29"
"ASAL","EQ","04-Jul-2017","         72.30","         72.40","         78.70","         71.50","         75.00","         75.05","         75.17","      89425","             6722505.40","        702","      28026","         31.34"
"ASAL","EQ","05-Jul-2017","         75.05","         76.15","         77.90","         75.15","         77.65","         77.10","         76.81","      22327","             1714890.30","        265","      15227","         68.20"
"ASAL","EQ","06-Jul-2017","         77.10","         78.00","         78.55","         76.70","         76.90","         77.40","         77.83","      11578","              901084.40","        148","       7739","         66.84"
"ASAL","EQ","07-Jul-2017","         77.40","         79.00","         79.00","         77.00","         78.35","         78.45","         77.72","       5164","              401353.75","         99","       3426","         66.34"
"ASAL","EQ","10-Jul-2017","         78.45","         78.40","         78.40","         76.80","         76.80","         76.90","         76.99","        848","               65291.30","         15","        800","         94.34"
"ASAL","EQ","11-Jul-2017","         76.90","         76.90","         79.85","         76.90","         77.55","         78.25","         78.29","       9454","              740191.55","        154","       5647","         59.73"
"ASAL","EQ","12-Jul-2017","         78.25","         80.00","         90.80","         80.00","         86.00","         85.45","         87.30","     326743","            28523395.40","       4125","      82811","         25.34"
"ASAL","EQ","13-Jul-2017","         85.45","         86.10","         87.45","         83.70","         86.30","         85.35","         86.07","      40529","             3488231.95","        579","      21063","         51.97"
"ASAL","EQ","14-Jul-2017","         85.35","         84.55","         88.50","         84.30","         85.00","         85.10","         85.68","      28167","             2413212.25","        462","      14379","         51.05"
"ASAL","EQ","17-Jul-2017","         85.10","         87.00","         87.00","         82.50","         83.00","         82.85","         84.39","      14140","             1193225.15","        170","       9904","         70.04"
"ASAL","EQ","18-Jul-2017","         82.85","         83.00","         85.60","         81.20","         84.60","         84.00","         83.53","      17283","             1443596.40","        200","      10199","         59.01"
"ASAL","EQ","19-Jul-2017","         84.00","         84.30","         88.50","         83.20","         87.80","         86.75","         86.11","      27539","             2371481.45","        311","      19664","         71.40"
"ASAL","EQ","20-Jul-2017","         86.75","         88.80","         93.95","         88.80","         90.80","         91.05","         92.05","     149709","            13780119.60","       1781","      67225","         44.90"
