"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AVADHSUGAR","BE","28-Jul-2017","        254.20","        419.40","        440.35","        419.40","        440.35","        440.35","        439.99","       8503","             3741237.35","        195","-","-"
"AVADHSUGAR","BE","31-Jul-2017","        440.35","        462.35","        462.35","        462.35","        462.35","        462.35","        462.35","       4170","             1927999.50","         99","-","-"
"AVADHSUGAR","BE","01-Aug-2017","        462.35","        485.45","        485.45","        485.45","        485.45","        485.45","        485.45","       4393","             2132581.85","        114","-","-"
"AVADHSUGAR","BE","02-Aug-2017","        485.45","        509.70","        509.70","        509.70","        509.70","        509.70","        509.70","       7573","             3859958.10","        144","-","-"
"AVADHSUGAR","BE","03-Aug-2017","        509.70","        535.15","        535.15","        535.15","        535.15","        535.15","        535.15","       5492","             2939043.80","        131","-","-"
"AVADHSUGAR","BE","04-Aug-2017","        535.15","        561.90","        561.90","        561.90","        561.90","        561.90","        561.90","       6817","             3830472.30","        134","-","-"
"AVADHSUGAR","BE","07-Aug-2017","        561.90","        589.95","        589.95","        589.95","        589.95","        589.95","        589.95","       3125","             1843593.75","         95","-","-"
"AVADHSUGAR","BE","08-Aug-2017","        589.95","        619.40","        619.40","        619.40","        619.40","        619.40","        619.40","      34587","            21423187.80","        494","-","-"
"AVADHSUGAR","BE","09-Aug-2017","        619.40","        650.35","        650.35","        650.35","        650.35","        650.35","        650.35","      52367","            34056878.45","        349","-","-"
"AVADHSUGAR","BE","10-Aug-2017","        650.35","        682.50","        682.85","        630.00","        682.85","        676.75","        669.64","     122470","            82010638.75","       2101","-","-"
"AVADHSUGAR","BE","11-Aug-2017","        676.75","        675.00","        710.55","        643.00","        710.55","        710.55","        691.78","      63324","            43806270.00","       1335","-","-"
"AVADHSUGAR","BE","14-Aug-2017","        710.55","        746.05","        746.05","        690.00","        710.55","        712.40","        725.06","      68774","            49865377.00","       1799","-","-"
"AVADHSUGAR","BE","16-Aug-2017","        712.40","        700.00","        717.00","        680.00","        700.00","        700.70","        702.00","      36280","            25468673.15","       1065","-","-"
"AVADHSUGAR","BE","17-Aug-2017","        700.70","        709.00","        725.00","        685.00","        715.00","        709.20","        706.37","      25870","            18273853.30","        495","-","-"
"AVADHSUGAR","BE","18-Aug-2017","        709.20","        702.00","        705.00","        685.10","        700.00","        699.45","        696.40","      21454","            14940478.90","        544","-","-"
"AVADHSUGAR","BE","21-Aug-2017","        699.45","        690.00","        704.00","        680.10","        681.00","        682.80","        687.51","      19997","            13748145.65","        615","-","-"
"AVADHSUGAR","BE","22-Aug-2017","        682.80","        680.00","        690.00","        661.00","        677.00","        674.00","        675.10","      17726","            11966867.75","        644","-","-"
"AVADHSUGAR","BE","23-Aug-2017","        674.00","        677.00","        689.00","        653.00","        670.00","        669.35","        668.94","       6681","             4469168.00","        223","-","-"
"AVADHSUGAR","BE","24-Aug-2017","        669.35","        679.00","        680.00","        660.00","        670.00","        670.20","        669.03","      11610","             7767422.00","        251","-","-"
"AVADHSUGAR","BE","28-Aug-2017","        670.20","        660.00","        684.00","        651.00","        661.00","        663.55","        671.38","      10863","             7293172.00","        201","-","-"
"AVADHSUGAR","BE","29-Aug-2017","        663.55","        655.00","        685.00","        651.00","        661.00","        662.25","        669.81","      19064","            12769329.10","        397","-","-"
"AVADHSUGAR","BE","30-Aug-2017","        662.25","        678.00","        695.35","        656.30","        695.35","        695.35","        688.63","      26473","            18229972.50","        325","-","-"
"AVADHSUGAR","BE","31-Aug-2017","        695.35","        713.00","        724.00","        698.00","        715.00","        713.80","        716.32","      20861","            14943101.10","        499","-","-"
