"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DMART","EQ","21-Mar-2017","        299.00","        600.00","        648.90","        558.30","        647.80","        641.60","        607.18","   85728445","         52052585777.75","     997334","   25455640","         29.69"
"DMART","EQ","22-Mar-2017","        641.60","        641.55","        657.45","        625.10","        636.95","        638.55","        644.03","   15817671","         10187130156.00","     230754","    1980297","         12.52"
"DMART","EQ","23-Mar-2017","        638.55","        637.90","        648.00","        628.15","        635.00","        634.85","        639.24","    4690121","          2998101857.65","      82509","     918026","         19.57"
"DMART","EQ","24-Mar-2017","        634.85","        635.45","        640.45","        612.60","        615.25","        616.90","        621.12","    4865013","          3021774074.05","      91530","    1091968","         22.45"
"DMART","EQ","27-Mar-2017","        616.90","        615.00","        623.00","        602.35","        617.05","        614.40","        613.09","    3535098","          2167347457.05","      63894","     809694","         22.90"
"DMART","EQ","28-Mar-2017","        614.40","        617.20","        633.40","        615.10","        626.00","        628.80","        626.77","    2981122","          1868463026.55","      57419","     595667","         19.98"
"DMART","BL","29-Mar-2017","        299.00","        630.00","        630.00","        630.00","        630.00","        630.00","        630.00","     157519","            99236970.00","          1","     157519","        100.00"
"DMART","EQ","29-Mar-2017","        628.80","        632.90","        637.00","        622.40","        624.00","        628.25","        631.74","    2407007","          1520603298.90","      46378","     853427","         35.46"
"DMART","EQ","30-Mar-2017","        628.25","        624.20","        635.00","        622.20","        634.95","        631.85","        629.89","    1324054","           834009944.85","      22366","     407697","         30.79"
"DMART","EQ","31-Mar-2017","        631.85","        634.40","        652.30","        630.00","        637.30","        637.85","        639.97","    2075789","          1328449570.30","      36350","     525707","         25.33"
