"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AXISGOLD","EQ","03-Jul-2017","       2521.00","       2529.95","       2546.60","       2510.00","       2546.60","       2537.75","       2524.71","         71","              179254.25","         38","         57","         80.28"
"AXISGOLD","EQ","04-Jul-2017","       2537.75","       2530.00","       2530.00","       2490.00","       2505.00","       2508.35","       2505.08","         72","              180365.65","         35","         43","         59.72"
"AXISGOLD","EQ","05-Jul-2017","       2508.35","       2529.90","       2530.00","       2467.00","       2489.00","       2489.05","       2488.85","        412","             1025406.45","         72","        301","         73.06"
"AXISGOLD","EQ","06-Jul-2017","       2489.05","       2526.00","       2526.00","       2500.00","       2500.00","       2500.05","       2506.46","         70","              175452.05","         24","         43","         61.43"
"AXISGOLD","EQ","07-Jul-2017","       2500.05","       2500.00","       2507.00","       2480.00","       2499.95","       2490.35","       2489.79","        224","              557712.50","         65","        137","         61.16"
"AXISGOLD","EQ","10-Jul-2017","       2490.35","       2490.00","       2490.00","       2475.00","       2478.95","       2482.35","       2487.30","        101","              251217.55","         27","         98","         97.03"
"AXISGOLD","EQ","11-Jul-2017","       2482.35","       2490.00","       2528.00","       2482.35","       2528.00","       2525.00","       2500.08","        178","              445014.15","         37","        131","         73.60"
"AXISGOLD","EQ","12-Jul-2017","       2525.00","       2519.00","       2548.00","       2501.50","       2501.50","       2513.55","       2530.13","        169","              427592.55","         30","        121","         71.60"
"AXISGOLD","EQ","13-Jul-2017","       2513.55","       2534.00","       2534.00","       2494.00","       2500.00","       2500.00","       2513.83","         83","              208648.05","         28","         70","         84.34"
"AXISGOLD","EQ","14-Jul-2017","       2500.00","       2490.00","       2600.00","       2481.00","       2534.00","       2542.50","       2552.93","       1368","             3492412.80","        149","       1060","         77.49"
"AXISGOLD","EQ","17-Jul-2017","       2542.50","       2545.50","       2549.00","       2506.00","       2529.00","       2530.60","       2524.95","        174","              439341.95","         58","         95","         54.60"
"AXISGOLD","EQ","18-Jul-2017","       2530.60","       2529.90","       2537.00","       2521.00","       2524.10","       2525.75","       2528.39","        103","              260424.60","         49","         59","         57.28"
"AXISGOLD","EQ","19-Jul-2017","       2525.75","       2508.00","       2559.00","       2508.00","       2525.10","       2525.10","       2536.12","         31","               78619.65","         16","         16","         51.61"
"AXISGOLD","EQ","20-Jul-2017","       2525.10","       2559.00","       2559.00","       2518.30","       2521.10","       2522.70","       2527.75","         47","              118804.25","         15","         35","         74.47"
"AXISGOLD","EQ","21-Jul-2017","       2522.70","       2525.00","       2539.90","       2521.10","       2523.10","       2523.10","       2525.65","        239","              603629.60","         39","        165","         69.04"
"AXISGOLD","EQ","24-Jul-2017","       2523.10","       2533.00","       2559.00","       2527.05","       2538.90","       2538.90","       2533.31","        138","              349596.90","         28","        114","         82.61"
"AXISGOLD","EQ","25-Jul-2017","       2538.90","       2538.00","       2547.00","       2525.50","       2525.50","       2538.85","       2542.29","         42","              106776.00","         11","         34","         80.95"
"AXISGOLD","EQ","26-Jul-2017","       2538.85","       2558.00","       2558.00","       2523.00","       2530.10","       2530.10","       2536.97","        120","              304436.50","         21","         87","         72.50"
"AXISGOLD","EQ","27-Jul-2017","       2530.10","       2569.00","       2569.00","       2537.30","       2545.00","       2539.85","       2554.12","        113","              288615.20","         25","         58","         51.33"
"AXISGOLD","EQ","28-Jul-2017","       2539.85","       2550.00","       2550.00","       2521.15","       2522.00","       2532.65","       2528.48","         80","              202278.00","         24","         64","         80.00"
"AXISGOLD","EQ","31-Jul-2017","       2532.65","       2558.00","       2558.00","       2527.10","       2533.00","       2533.05","       2533.88","         70","              177371.55","         33","         52","         74.29"
"AXISGOLD","EQ","01-Aug-2017","       2533.05","       2568.00","       2568.00","       2527.00","       2538.00","       2530.75","       2531.38","        193","              488556.90","         31","        149","         77.20"
"AXISGOLD","EQ","02-Aug-2017","       2530.75","       2530.75","       2546.00","       2518.05","       2520.00","       2520.00","       2525.03","        133","              335828.90","         34","         79","         59.40"
"AXISGOLD","EQ","03-Aug-2017","       2520.00","       2500.55","       2532.00","       2500.55","       2520.00","       2520.00","       2518.94","         65","              163731.25","         11","         50","         76.92"
"AXISGOLD","EQ","04-Aug-2017","       2520.00","       2539.00","       2539.00","       2520.10","       2537.90","       2537.90","       2526.12","         40","              101044.70","         10","         33","         82.50"
"AXISGOLD","EQ","07-Aug-2017","       2537.90","       2504.00","       2537.00","       2504.00","       2510.25","       2515.05","       2518.29","         97","              244274.15","         27","         76","         78.35"
"AXISGOLD","EQ","08-Aug-2017","       2515.05","       2542.00","       2542.20","       2512.00","       2513.25","       2514.10","       2518.49","        224","              564141.95","         31","        164","         73.21"
"AXISGOLD","EQ","09-Aug-2017","       2514.10","       2520.00","       2532.00","       2515.10","       2529.00","       2524.10","       2523.60","        237","              598092.85","         43","        183","         77.22"
"AXISGOLD","EQ","10-Aug-2017","       2524.10","       2535.00","       2562.00","       2535.00","       2550.00","       2550.90","       2551.82","        179","              456775.00","         60","        152","         84.92"
"AXISGOLD","EQ","11-Aug-2017","       2550.90","       2552.10","       2569.90","       2552.10","       2553.10","       2553.05","       2557.97","        128","              327420.55","         39","         92","         71.88"
"AXISGOLD","EQ","14-Aug-2017","       2553.05","       2553.10","       2582.95","       2536.00","       2536.00","       2536.00","       2559.25","        170","              435072.35","         59","        122","         71.76"
"AXISGOLD","EQ","16-Aug-2017","       2536.00","       2554.00","       2554.00","       2537.55","       2549.00","       2542.40","       2545.27","         39","               99265.60","         14","         21","         53.85"
"AXISGOLD","EQ","17-Aug-2017","       2542.40","       2542.00","       2565.15","       2542.00","       2560.20","       2560.20","       2557.07","        215","              549770.00","         33","        191","         88.84"
"AXISGOLD","EQ","18-Aug-2017","       2560.20","       2560.30","       2579.00","       2560.30","       2570.75","       2570.70","       2566.29","        111","              284858.05","         25","        108","         97.30"
"AXISGOLD","EQ","21-Aug-2017","       2570.70","       2599.00","       2605.00","       2572.00","       2576.00","       2582.55","       2591.35","        381","              987304.05","         64","        272","         71.39"
"AXISGOLD","EQ","22-Aug-2017","       2582.55","       2560.00","       2575.00","       2551.10","       2558.10","       2558.10","       2559.13","         58","              148429.40","         35","         43","         74.14"
"AXISGOLD","EQ","23-Aug-2017","       2558.10","       2574.90","       2574.90","       2533.00","       2544.20","       2544.20","       2543.35","         80","              203468.30","         21","         75","         93.75"
"AXISGOLD","EQ","24-Aug-2017","       2544.20","       2548.00","       2560.00","       2542.00","       2545.10","       2545.10","       2547.24","         86","              219062.30","         18","         67","         77.91"
"AXISGOLD","EQ","28-Aug-2017","       2545.10","       2545.00","       2584.00","       2545.00","       2571.55","       2571.55","       2554.92","         76","              194173.55","         14","         66","         86.84"
"AXISGOLD","EQ","29-Aug-2017","       2571.55","       2590.00","       2610.00","       2576.00","       2602.60","       2602.70","       2599.16","        206","              535426.45","         58","        158","         76.70"
"AXISGOLD","EQ","30-Aug-2017","       2602.70","       2586.00","       2599.00","       2571.10","       2598.80","       2598.80","       2589.20","        142","              367666.90","         38","         91","         64.08"
"AXISGOLD","EQ","31-Aug-2017","       2598.80","       2597.95","       2599.80","       2577.00","       2581.55","       2581.55","       2581.02","         60","              154861.45","         15","         53","         88.33"
"AXISGOLD","EQ","01-Sep-2017","       2581.55","       2586.00","       2623.95","       2586.00","       2609.85","       2606.25","       2602.35","        220","              572516.70","         34","        203","         92.27"
"AXISGOLD","EQ","04-Sep-2017","       2606.25","       2618.00","       2643.00","       2607.10","       2626.00","       2626.25","       2626.67","        208","              546346.55","         50","        131","         62.98"
"AXISGOLD","EQ","05-Sep-2017","       2626.25","       2655.00","       2659.00","       2629.00","       2629.00","       2629.00","       2647.06","        229","              606177.35","         42","        195","         85.15"
"AXISGOLD","EQ","06-Sep-2017","       2629.00","       2629.00","       2658.80","       2629.00","       2640.00","       2640.75","       2637.65","         99","              261127.30","         29","         64","         64.65"
"AXISGOLD","EQ","07-Sep-2017","       2640.75","       2640.00","       2640.00","       2612.00","       2639.90","       2639.90","       2638.56","         58","              153036.25","         10","         29","         50.00"
"AXISGOLD","EQ","08-Sep-2017","       2639.90","       2640.00","       2669.95","       2640.00","       2646.25","       2650.60","       2659.28","        860","             2286982.80","         46","        506","         58.84"
"AXISGOLD","EQ","11-Sep-2017","       2650.60","       2650.60","       2650.60","       2611.25","       2622.05","       2629.00","       2630.50","        154","              405096.60","         58","         87","         56.49"
"AXISGOLD","EQ","12-Sep-2017","       2629.00","       2643.90","       2643.90","       2586.00","       2611.05","       2611.05","       2623.79","        444","             1164964.35","         51","        244","         54.95"
"AXISGOLD","EQ","13-Sep-2017","       2611.05","       2602.20","       2679.00","       2600.00","       2616.00","       2617.80","       2619.28","        275","              720301.55","         74","        179","         65.09"
"AXISGOLD","EQ","14-Sep-2017","       2617.80","       2644.00","       2644.00","       2617.00","       2617.00","       2617.00","       2620.84","         38","               99591.80","         14","         31","         81.58"
"AXISGOLD","EQ","15-Sep-2017","       2617.00","       2617.00","       2647.00","       2615.00","       2617.00","       2616.40","       2626.85","         50","              131342.45","         20","         33","         66.00"
"AXISGOLD","EQ","18-Sep-2017","       2616.40","       2600.05","       2639.00","       2573.30","       2590.00","       2590.00","       2599.98","         77","              200198.55","         38","         49","         63.64"
"AXISGOLD","EQ","19-Sep-2017","       2590.00","       2590.00","       2612.95","       2590.00","       2596.00","       2596.00","       2598.83","        285","              740667.60","         41","        221","         77.54"
