"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BFUTILITIE","EQ","03-Jul-2017","        386.20","        383.70","        393.70","        383.70","        392.00","        390.85","        390.42","     201500","            78668904.05","       5368","      63846","         31.69"
"BFUTILITIE","EQ","04-Jul-2017","        390.85","        391.30","        401.95","        390.80","        393.90","        394.85","        396.85","     433800","           172151497.35","       8987","      91268","         21.04"
"BFUTILITIE","EQ","05-Jul-2017","        394.85","        395.05","        404.40","        393.95","        399.60","        399.80","        400.24","     349477","           139873431.15","       7467","      86230","         24.67"
"BFUTILITIE","EQ","06-Jul-2017","        399.80","        401.40","        409.40","        396.90","        398.00","        399.15","        403.92","     511765","           206713656.80","       9146","     110916","         21.67"
"BFUTILITIE","EQ","07-Jul-2017","        399.15","        399.15","        408.45","        396.00","        401.95","        402.00","        402.15","     363130","           146031375.30","       7503","      75364","         20.75"
"BFUTILITIE","EQ","10-Jul-2017","        402.00","        396.00","        407.35","        396.00","        401.00","        401.95","        402.12","      49484","            19898563.85","       1112","      21128","         42.70"
"BFUTILITIE","EQ","11-Jul-2017","        401.95","        404.00","        408.50","        395.10","        396.00","        396.65","        402.37","     303886","           122273886.60","       5559","     123951","         40.79"
"BFUTILITIE","EQ","12-Jul-2017","        396.65","        398.50","        400.65","        396.10","        397.05","        397.50","        398.05","     166711","            66359820.40","       5229","      45229","         27.13"
"BFUTILITIE","EQ","13-Jul-2017","        397.50","        400.00","        406.25","        398.10","        399.00","        399.35","        401.48","     333849","           134033912.85","       5914","      85835","         25.71"
"BFUTILITIE","EQ","14-Jul-2017","        399.35","        400.90","        400.90","        386.25","        387.00","        387.95","        390.59","     358224","           139919912.70","       8704","     136913","         38.22"
"BFUTILITIE","EQ","17-Jul-2017","        387.95","        389.90","        394.70","        385.55","        389.00","        389.95","        390.38","     219511","            85692569.25","       5685","      59216","         26.98"
"BFUTILITIE","EQ","18-Jul-2017","        389.95","        387.65","        391.00","        382.50","        384.05","        384.15","        386.11","     202333","            78122232.40","       4876","      72989","         36.07"
"BFUTILITIE","EQ","19-Jul-2017","        384.15","        385.30","        391.40","        385.15","        389.50","        389.40","        388.54","     182571","            70935865.40","       4904","      59557","         32.62"
"BFUTILITIE","EQ","20-Jul-2017","        389.40","        390.45","        396.75","        388.50","        394.80","        392.70","        393.13","     373743","           146930790.00","       7718","     103686","         27.74"
"BFUTILITIE","EQ","21-Jul-2017","        392.70","        393.90","        410.70","        393.25","        397.50","        396.80","        402.53","    1463842","           589239041.50","      21929","     196836","         13.45"
"BFUTILITIE","EQ","24-Jul-2017","        396.80","        398.00","        399.95","        391.95","        394.00","        392.85","        395.94","     231255","            91562050.30","       4600","      97659","         42.23"
"BFUTILITIE","EQ","25-Jul-2017","        392.85","        395.00","        395.75","        388.65","        391.85","        390.35","        391.83","     175555","            68786889.35","       4362","      62893","         35.83"
"BFUTILITIE","EQ","26-Jul-2017","        390.35","        392.20","        395.55","        386.55","        389.00","        389.10","        391.30","     179329","            70171829.95","       4782","      58063","         32.38"
"BFUTILITIE","EQ","27-Jul-2017","        389.10","        391.00","        393.40","        383.70","        385.10","        385.20","        388.90","     258800","           100648422.15","       8945","      69618","         26.90"
"BFUTILITIE","EQ","28-Jul-2017","        385.20","        383.65","        388.35","        381.30","        383.25","        383.60","        384.36","     162226","            62353254.35","       4576","      47230","         29.11"
"BFUTILITIE","EQ","31-Jul-2017","        383.60","        384.15","        386.90","        379.50","        380.00","        380.55","        382.64","     179472","            68672296.05","       4252","      79389","         44.23"
"BFUTILITIE","EQ","01-Aug-2017","        380.55","        383.20","        388.00","        380.05","        381.25","        381.45","        383.47","     230252","            88295424.50","       5954","      67574","         29.35"
"BFUTILITIE","EQ","02-Aug-2017","        381.45","        381.95","        383.20","        372.10","        372.25","        373.00","        376.48","     242083","            91140221.25","       5641","      93036","         38.43"
"BFUTILITIE","EQ","03-Aug-2017","        373.00","        373.00","        373.35","        362.00","        363.00","        363.15","        366.83","     260137","            95426245.10","       6411","     104381","         40.13"
"BFUTILITIE","EQ","04-Aug-2017","        363.15","        363.35","        369.40","        361.00","        368.10","        368.15","        365.75","     216425","            79157591.55","       5911","      60278","         27.85"
"BFUTILITIE","EQ","07-Aug-2017","        368.15","        370.00","        375.75","        368.45","        369.30","        370.20","        371.76","     171522","            63764843.15","       4419","      61837","         36.05"
"BFUTILITIE","EQ","08-Aug-2017","        370.20","        372.00","        372.80","        358.10","        361.00","        360.35","        364.10","     191779","            69826832.40","       5879","      73595","         38.37"
"BFUTILITIE","EQ","09-Aug-2017","        360.35","        359.00","        359.00","        343.65","        346.80","        348.25","        351.92","     232011","            81648254.25","       7089","      83802","         36.12"
"BFUTILITIE","EQ","10-Aug-2017","        348.25","        344.90","        344.95","        320.00","        325.20","        324.85","        335.44","     310711","           104225527.85","       7896","     100004","         32.19"
"BFUTILITIE","EQ","11-Aug-2017","        324.85","        316.00","        338.40","        312.00","        329.50","        326.80","        326.34","     336320","           109756101.80","       8379","      94547","         28.11"
"BFUTILITIE","EQ","14-Aug-2017","        326.80","        330.85","        340.40","        330.85","        337.00","        337.20","        336.18","     170273","            57243163.00","       4658","      49250","         28.92"
"BFUTILITIE","EQ","16-Aug-2017","        337.20","        337.25","        343.65","        337.25","        339.40","        339.40","        339.85","     192424","            65395841.90","       4609","      50337","         26.16"
"BFUTILITIE","EQ","17-Aug-2017","        339.40","        340.90","        343.50","        336.00","        340.15","        339.50","        340.02","     175690","            59738064.10","       4613","      52547","         29.91"
"BFUTILITIE","EQ","18-Aug-2017","        339.50","        338.45","        338.45","        328.80","        330.95","        331.65","        332.53","     108126","            35955535.50","       3952","      30904","         28.58"
"BFUTILITIE","EQ","21-Aug-2017","        331.65","        332.85","        333.90","        319.00","        322.40","        321.40","        327.78","     195843","            64192553.35","       6233","      57991","         29.61"
"BFUTILITIE","EQ","22-Aug-2017","        321.40","        323.90","        326.00","        312.90","        317.40","        317.05","        318.55","     145145","            46236097.10","       4923","      40774","         28.09"
"BFUTILITIE","EQ","23-Aug-2017","        317.05","        319.95","        328.40","        318.00","        325.00","        325.60","        324.06","     166333","            53901199.55","       4270","      39640","         23.83"
"BFUTILITIE","EQ","24-Aug-2017","        325.60","        326.80","        328.25","        321.55","        324.70","        325.20","        325.04","     113631","            36934488.70","       3521","      32777","         28.85"
"BFUTILITIE","EQ","28-Aug-2017","        325.20","        326.95","        339.00","        325.05","        327.20","        327.25","        331.24","     291943","            96702442.40","       5829","      97375","         33.35"
"BFUTILITIE","EQ","29-Aug-2017","        327.25","        326.90","        333.40","        321.95","        325.95","        325.10","        327.82","     225838","            74034556.85","       6263","      44438","         19.68"
