"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BLS","EQ","03-Apr-2017","       1710.40","       1720.00","       1735.25","       1712.05","       1715.50","       1718.15","       1726.04","      75577","           130449232.95","       2388","       8399","         11.11"
"BLS","EQ","05-Apr-2017","       1718.15","       1730.00","       1740.00","       1718.05","       1725.00","       1729.00","       1731.16","      51723","            89540537.40","       1477","       2895","          5.60"
"BLS","EQ","06-Apr-2017","       1729.00","       1740.00","       1745.10","       1723.05","       1727.00","       1726.15","       1728.52","      49201","            85045123.60","       1595","       4062","          8.26"
"BLS","EQ","07-Apr-2017","       1726.15","       1724.00","       1740.00","       1673.20","       1673.20","       1680.40","       1726.11","      54044","            93285959.30","       1920","       5473","         10.13"
"BLS","EQ","10-Apr-2017","       1680.40","       1740.00","       1764.00","       1521.55","       1526.00","       1551.55","       1618.11","      24933","            40344395.10","       1537","       7640","         30.64"
"BLS","EQ","11-Apr-2017","       1551.55","       1552.00","       1604.90","       1510.00","       1604.50","       1510.80","       1531.24","      22014","            33708740.60","        872","      10300","         46.79"
"BLS","EQ","12-Apr-2017","       1510.80","       1556.00","       1556.00","       1301.50","       1360.00","       1346.45","       1403.50","      18814","            26405403.35","       1861","       6930","         36.83"
"BLS","EQ","13-Apr-2017","       1346.45","       1375.00","       1375.00","       1298.00","       1325.00","       1309.90","       1320.03","      22963","            30311816.35","       1197","       9676","         42.14"
"BLS","EQ","17-Apr-2017","       1309.90","       1302.00","       1302.00","       1190.00","       1215.00","       1202.25","       1238.75","      65084","            80623086.30","       2547","      26592","         40.86"
"BLS","EQ","18-Apr-2017","       1202.25","       1247.00","       1322.45","       1216.05","       1322.45","       1322.45","       1321.05","     511434","           675628879.40","        939","     502242","         98.20"
"BLS","EQ","19-Apr-2017","       1322.45","       1390.00","       1454.65","       1370.00","       1454.65","       1454.65","       1419.13","      22690","            32200099.70","        918","      12022","         52.98"
"BLS","EQ","20-Apr-2017","       1454.65","       1600.10","       1600.10","       1525.05","       1577.20","       1584.85","       1587.50","      76090","           120793137.10","        782","      42555","         55.93"
"BLS","EQ","21-Apr-2017","       1584.85","       1624.00","       1649.00","       1510.00","       1552.10","       1522.10","       1545.19","      91175","           140882519.50","       2177","      62197","         68.22"
"BLS","EQ","24-Apr-2017","       1522.10","       1539.00","       1598.20","       1531.00","       1598.20","       1598.20","       1581.40","      22747","            35972110.65","        407","      17707","         77.84"
"BLS","EQ","25-Apr-2017","       1598.20","       1678.10","       1678.10","       1604.95","       1678.10","       1678.10","       1666.14","      53637","            89366810.15","       1557","      21548","         40.17"
"BLS","EQ","26-Apr-2017","       1678.10","        171.70","        174.90","        165.50","        169.90","        170.40","        171.15","     363728","            62251291.90","       2295","     206822","         56.86"
"BLS","EQ","27-Apr-2017","        170.40","        168.80","        172.80","        161.90","        161.90","        162.05","        164.32","      93190","            15313246.00","        787","      69987","         75.10"
"BLS","EQ","28-Apr-2017","        162.05","        162.05","        162.05","        154.00","        159.25","        158.90","        154.91","     347014","            53754737.70","        627","     332855","         95.92"
"BLS","EQ","02-May-2017","        158.90","        155.10","        161.80","        153.10","        155.00","        155.40","        154.68","      95779","            14815035.70","        380","      83501","         87.18"
"BLS","EQ","03-May-2017","        155.40","        159.00","        163.15","        156.20","        163.15","        163.15","        162.52","      51357","             8346640.85","        158","      48323","         94.09"
"BLS","EQ","04-May-2017","        163.15","        165.00","        169.00","        156.25","        162.25","        162.55","        165.89","     131598","            21830229.90","       1347","      91701","         69.68"
"BLS","EQ","05-May-2017","        162.55","        166.00","        166.05","        162.00","        163.00","        163.55","        164.21","      32717","             5372390.70","        582","      24369","         74.48"
"BLS","EQ","08-May-2017","        163.55","        164.55","        171.70","        164.50","        171.70","        171.70","        170.49","     137409","            23426913.35","        759","      99392","         72.33"
"BLS","EQ","09-May-2017","        171.70","        175.25","        180.25","        171.15","        180.25","        180.25","        178.70","     283739","            50703571.20","       1764","     205486","         72.42"
"BLS","EQ","10-May-2017","        180.25","        183.90","        189.25","        180.70","        185.75","        182.60","        186.98","     217394","            40648654.75","       1854","     148764","         68.43"
"BLS","EQ","11-May-2017","        182.60","        185.90","        191.70","        185.25","        191.70","        191.70","        190.74","     287187","            54777487.50","        754","     218528","         76.09"
"BLS","EQ","12-May-2017","        191.70","        201.25","        201.25","        191.00","        201.25","        201.25","        200.57","    1031372","           206860549.80","       2045","     808450","         78.39"
"BLS","EQ","15-May-2017","        201.25","        200.00","        200.70","        191.20","        194.60","        192.75","        196.16","     214048","            41988723.15","       1478","     170989","         79.88"
"BLS","EQ","16-May-2017","        192.75","        194.40","        197.00","        185.10","        193.00","        191.30","        191.73","     548097","           105085785.65","       4315","     438467","         80.00"
"BLS","EQ","17-May-2017","        191.30","        193.90","        200.85","        193.90","        198.35","        199.20","        199.41","     290314","            57892576.80","       2979","     190918","         65.76"
"BLS","EQ","18-May-2017","        199.20","        197.70","        207.60","        193.15","        195.50","        197.15","        199.29","     409512","            81613587.05","       1771","     350949","         85.70"
"BLS","EQ","19-May-2017","        197.15","        198.90","        203.95","        190.20","        200.00","        199.90","        195.61","     414557","            81090864.15","       1772","     350362","         84.51"
"BLS","EQ","22-May-2017","        199.90","        201.35","        207.60","        198.00","        199.00","        199.90","        203.63","     197220","            40159019.55","       2630","     147171","         74.62"
"BLS","EQ","23-May-2017","        199.90","        204.80","        204.80","        189.95","        190.00","        190.00","        190.95","     257190","            49111157.50","       1596","     169768","         66.01"
"BLS","EQ","24-May-2017","        190.00","        196.70","        196.70","        182.50","        183.00","        182.65","        186.03","     129735","            24135108.85","        853","     108999","         84.02"
"BLS","EQ","25-May-2017","        182.65","        176.00","        191.75","        176.00","        188.00","        190.00","        189.05","      62604","            11835238.55","        567","      42477","         67.85"
"BLS","EQ","26-May-2017","        190.00","        192.50","        193.90","        184.95","        188.55","        189.80","        189.18","     129877","            24570281.50","        555","     103643","         79.80"
"BLS","EQ","29-May-2017","        189.80","        193.85","        194.00","        184.50","        188.90","        188.20","        188.27","      46862","             8822625.40","       1040","      28845","         61.55"
"BLS","EQ","30-May-2017","        188.20","        188.95","        188.95","        183.95","        187.00","        185.55","        185.75","      41009","             7617567.35","        881","      24410","         59.52"
"BLS","EQ","31-May-2017","        185.55","        185.05","        191.90","        182.50","        189.90","        189.35","        187.26","      96055","            17987342.30","       1363","      51839","         53.97"
"BLS","EQ","01-Jun-2017","        189.35","        190.80","        195.00","        188.05","        191.05","        191.75","        192.43","      57859","            11133739.70","        864","      40453","         69.92"
"BLS","EQ","02-Jun-2017","        191.75","        194.65","        194.65","        186.00","        187.00","        187.15","        189.40","      27420","             5193346.90","        526","      18439","         67.25"
"BLS","EQ","05-Jun-2017","        187.15","        191.00","        191.00","        185.00","        186.00","        187.45","        188.06","      21735","             4087578.20","        597","      12951","         59.59"
"BLS","EQ","06-Jun-2017","        187.45","        190.95","        191.00","        179.05","        180.85","        180.70","        181.49","      87772","            15929909.90","       1111","      67164","         76.52"
"BLS","EQ","07-Jun-2017","        180.70","        179.95","        186.95","        179.95","        182.60","        182.60","        183.59","      54067","             9925917.60","       1013","      37036","         68.50"
"BLS","EQ","08-Jun-2017","        182.60","        187.45","        194.40","        181.15","        189.00","        188.95","        190.23","     101777","            19360558.60","       2068","      75480","         74.16"
"BLS","EQ","09-Jun-2017","        188.95","        189.00","        191.00","        184.15","        185.05","        185.85","        187.30","      32322","             6053797.25","        479","      23210","         71.81"
"BLS","EQ","12-Jun-2017","        185.85","        188.65","        190.00","        185.50","        189.00","        188.75","        187.80","      30869","             5797180.25","        302","      26951","         87.31"
"BLS","EQ","13-Jun-2017","        188.75","        189.95","        190.00","        186.25","        190.00","        188.10","        188.14","      39285","             7391016.80","        374","      29509","         75.12"
"BLS","EQ","14-Jun-2017","        188.10","        190.00","        191.00","        186.85","        189.35","        188.30","        188.95","      30813","             5822244.85","        390","      25512","         82.80"
"BLS","EQ","15-Jun-2017","        188.30","        188.05","        189.10","        184.80","        187.00","        186.65","        186.16","      28283","             5265095.70","        436","      21578","         76.29"
"BLS","EQ","16-Jun-2017","        186.65","        186.45","        191.00","        186.45","        186.95","        187.80","        189.08","      27877","             5271116.60","        338","      18837","         67.57"
"BLS","EQ","19-Jun-2017","        187.80","        189.40","        191.50","        187.00","        188.00","        187.90","        188.53","      27710","             5224280.40","        254","      20352","         73.45"
"BLS","EQ","20-Jun-2017","        187.90","        187.00","        189.40","        185.45","        187.50","        186.30","        186.99","      11444","             2139917.90","        159","       8645","         75.54"
"BLS","EQ","21-Jun-2017","        186.30","        188.00","        199.00","        184.00","        194.30","        194.10","        193.80","     300701","            58275469.55","       2580","     176421","         58.67"
"BLS","EQ","22-Jun-2017","        194.10","        195.85","        198.80","        189.40","        191.00","        191.75","        195.25","      50478","             9855657.15","        547","      41157","         81.53"
"BLS","EQ","23-Jun-2017","        191.75","        194.40","        194.40","        185.25","        186.95","        186.60","        188.13","      13430","             2526639.20","        315","       8064","         60.04"
"BLS","EQ","27-Jun-2017","        186.60","        190.00","        190.00","        180.05","        182.30","        181.20","        183.79","      21267","             3908642.80","        342","      16893","         79.43"
"BLS","EQ","28-Jun-2017","        181.20","        182.30","        192.40","        180.00","        191.50","        191.05","        189.19","      68481","            12955658.80","        791","      47522","         69.39"
"BLS","EQ","29-Jun-2017","        191.05","        193.70","        198.70","        190.30","        192.00","        191.70","        194.51","      79955","            15552026.10","       1092","      53618","         67.06"
"BLS","EQ","30-Jun-2017","        191.70","        190.85","        196.00","        186.45","        193.20","        193.40","        192.16","      54749","            10520662.40","        764","      42101","         76.90"
