"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BSL","EQ","02-Jan-2017","         75.00","         75.00","         76.95","         74.50","         76.95","         76.35","         75.41","       5185","              391003.30","        106","       3334","         64.30"
"BSL","EQ","03-Jan-2017","         76.35","         75.50","         81.20","         75.50","         78.00","         77.90","         78.45","      18342","             1438843.50","        278","      12746","         69.49"
"BSL","EQ","04-Jan-2017","         77.90","         80.00","         82.00","         77.70","         80.10","         80.05","         81.01","      14548","             1178501.80","        257","      11522","         79.20"
"BSL","EQ","05-Jan-2017","         80.05","         80.45","         81.80","         79.00","         80.00","         80.35","         80.39","       5626","              452277.85","         91","       3244","         57.66"
"BSL","EQ","06-Jan-2017","         80.35","         81.60","         82.25","         79.70","         81.00","         80.05","         80.93","       9973","              807120.30","        163","       6649","         66.67"
"BSL","EQ","09-Jan-2017","         80.05","         80.50","         81.85","         79.60","         80.45","         80.40","         80.27","       3326","              266979.75","         68","       1910","         57.43"
"BSL","EQ","10-Jan-2017","         80.40","         80.20","         81.00","         78.25","         79.45","         79.95","         79.75","       2485","              198168.55","         67","       1846","         74.29"
"BSL","EQ","11-Jan-2017","         79.95","         81.50","         81.50","         77.65","         79.95","         79.25","         79.82","       4259","              339956.00","         95","       2987","         70.13"
"BSL","EQ","12-Jan-2017","         79.25","         82.40","         84.50","         79.05","         82.30","         82.10","         82.34","      13334","             1097874.65","        299","       8622","         64.66"
"BSL","EQ","13-Jan-2017","         82.10","         84.50","         84.50","         78.30","         80.40","         81.30","         81.60","       2760","              225205.90","         75","       1952","         70.72"
"BSL","EQ","16-Jan-2017","         81.30","         80.50","         81.45","         78.40","         79.35","         79.45","         79.53","       3409","              271117.45","         79","       2408","         70.64"
"BSL","EQ","17-Jan-2017","         79.45","         81.00","         81.00","         78.70","         80.10","         80.00","         79.96","       3308","              264516.60","         64","       2492","         75.33"
"BSL","EQ","18-Jan-2017","         80.00","         80.00","         80.30","         78.15","         79.85","         79.40","         79.33","       3881","              307889.30","         89","       2839","         73.15"
