"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BALAJITELE","EQ","03-Apr-2017","         95.30","         96.00","         99.90","         95.45","         98.10","         98.05","         97.75","     647898","            63330097.15","       3892","     280392","         43.28"
"BALAJITELE","EQ","05-Apr-2017","         98.05","         98.75","        112.80","         97.45","        110.05","        109.85","        105.08","    1860049","           195449991.15","       9483","     953338","         51.25"
"BALAJITELE","EQ","06-Apr-2017","        109.85","        109.45","        111.30","        104.00","        104.75","        105.05","        107.09","     653898","            70026214.55","       4671","     313907","         48.01"
"BALAJITELE","EQ","07-Apr-2017","        105.05","        104.00","        105.50","        100.05","        100.55","        100.75","        102.90","     493855","            50819094.55","       2801","     288026","         58.32"
"BALAJITELE","EQ","10-Apr-2017","        100.75","        101.50","        107.00","        101.05","        105.50","        104.90","        104.66","     539939","            56510600.65","       3781","     225499","         41.76"
"BALAJITELE","EQ","11-Apr-2017","        104.90","        104.90","        106.50","        104.05","        105.40","        105.80","        105.39","     236773","            24954340.30","       1873","     160831","         67.93"
"BALAJITELE","EQ","12-Apr-2017","        105.80","        105.05","        107.00","         98.35","        106.05","        105.15","        102.54","     449378","            46078583.95","       3483","     242090","         53.87"
"BALAJITELE","EQ","13-Apr-2017","        105.15","        106.05","        107.25","        103.60","        106.75","        105.40","        105.30","     193684","            20395020.00","       1565","     121138","         62.54"
"BALAJITELE","EQ","17-Apr-2017","        105.40","        106.50","        109.50","        101.40","        107.25","        105.45","        104.04","     569574","            59256057.05","       3219","     281358","         49.40"
"BALAJITELE","EQ","18-Apr-2017","        105.45","        106.50","        108.65","        102.00","        102.15","        102.45","        105.61","     330302","            34883137.15","       2300","     213337","         64.59"
"BALAJITELE","EQ","19-Apr-2017","        102.45","        102.70","        105.75","        100.95","        103.90","        103.85","        103.55","     234123","            24244598.80","       1929","      84289","         36.00"
