"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BALKRISIND","EQ","03-Jul-2017","       1663.10","       1652.00","       1685.00","       1652.00","       1685.00","       1680.25","       1680.65","     157964","           265482056.80","       5437","      77000","         48.75"
"BALKRISIND","EQ","04-Jul-2017","       1680.25","       1684.40","       1688.95","       1647.35","       1661.10","       1662.15","       1668.88","     120872","           201721333.10","       5364","      37565","         31.08"
"BALKRISIND","EQ","05-Jul-2017","       1662.15","       1676.70","       1720.60","       1663.00","       1715.10","       1714.05","       1695.07","     147595","           250184066.80","       7046","      62486","         42.34"
"BALKRISIND","EQ","06-Jul-2017","       1714.05","       1725.25","       1743.00","       1715.00","       1722.00","       1723.40","       1728.81","     135670","           234547820.15","       7282","      42153","         31.07"
"BALKRISIND","EQ","07-Jul-2017","       1723.40","       1723.40","       1734.00","       1697.00","       1700.00","       1704.85","       1715.87","     111780","           191799774.80","       8147","      42656","         38.16"
"BALKRISIND","EQ","10-Jul-2017","       1704.85","       1653.75","       1716.95","       1653.75","       1700.00","       1699.85","       1700.33","      78940","           134223971.60","        688","      67962","         86.09"
"BALKRISIND","EQ","11-Jul-2017","       1699.85","       1709.40","       1714.70","       1681.05","       1708.00","       1688.40","       1700.06","     168637","           286692726.95","       5046","     119678","         70.97"
"BALKRISIND","EQ","12-Jul-2017","       1688.40","       1709.00","       1709.00","       1680.00","       1694.05","       1684.75","       1691.36","      60189","           101801289.55","       6162","      30393","         50.50"
"BALKRISIND","EQ","13-Jul-2017","       1684.75","       1698.40","       1720.45","       1687.50","       1700.00","       1695.65","       1705.38","     112287","           191491735.40","       5386","      64668","         57.59"
"BALKRISIND","EQ","14-Jul-2017","       1695.65","       1679.60","       1700.00","       1673.30","       1674.00","       1678.25","       1685.31","     124992","           210649898.15","       2633","      95851","         76.69"
"BALKRISIND","EQ","17-Jul-2017","       1678.25","       1676.00","       1696.00","       1657.30","       1674.20","       1678.50","       1673.77","      54925","            91932065.45","       4101","      23846","         43.42"
"BALKRISIND","EQ","18-Jul-2017","       1678.50","       1674.90","       1691.45","       1643.35","       1647.00","       1648.65","       1657.92","     112573","           186636747.50","       6455","      61051","         54.23"
"BALKRISIND","EQ","19-Jul-2017","       1648.65","       1652.00","       1658.95","       1630.90","       1640.00","       1646.85","       1643.60","      62585","           102864970.50","       4741","      25401","         40.59"
"BALKRISIND","EQ","20-Jul-2017","       1646.85","       1652.40","       1652.40","       1633.00","       1640.00","       1640.50","       1641.29","      46533","            76374098.80","       4064","      24053","         51.69"
"BALKRISIND","EQ","21-Jul-2017","       1640.50","       1646.40","       1646.40","       1606.90","       1630.00","       1631.95","       1627.78","     122670","           199679560.25","       8647","      71377","         58.19"
"BALKRISIND","EQ","24-Jul-2017","       1631.95","       1633.95","       1643.10","       1610.00","       1614.85","       1616.25","       1624.38","      56155","            91217218.45","       4929","      29954","         53.34"
"BALKRISIND","EQ","25-Jul-2017","       1616.25","       1629.40","       1674.00","       1606.00","       1668.00","       1659.25","       1647.53","     253155","           417081239.00","      15534","      54695","         21.61"
"BALKRISIND","EQ","26-Jul-2017","       1659.25","       1671.00","       1674.20","       1612.00","       1634.00","       1618.75","       1632.82","     331831","           541820117.35","      17789","      74264","         22.38"
"BALKRISIND","EQ","27-Jul-2017","       1618.75","       1629.40","       1633.35","       1580.65","       1600.00","       1601.15","       1608.17","     439609","           706965346.30","      21513","     268988","         61.19"
"BALKRISIND","EQ","28-Jul-2017","       1601.15","       1596.40","       1635.30","       1586.90","       1611.05","       1613.30","       1608.97","      75031","           120722314.30","       3752","      21483","         28.63"
"BALKRISIND","EQ","31-Jul-2017","       1613.30","       1617.60","       1650.00","       1609.15","       1635.90","       1625.70","       1624.87","      74414","           120913374.80","       3795","      25853","         34.74"
"BALKRISIND","EQ","01-Aug-2017","       1625.70","       1631.15","       1634.95","       1595.00","       1596.00","       1604.10","       1609.02","      91977","           147992659.90","       6205","      52398","         56.97"
"BALKRISIND","EQ","02-Aug-2017","       1604.10","       1604.10","       1630.00","       1570.00","       1617.00","       1619.50","       1604.34","     246244","           395059559.70","      14310","      77657","         31.54"
"BALKRISIND","EQ","03-Aug-2017","       1619.50","       1619.80","       1619.80","       1589.25","       1594.00","       1594.10","       1601.25","      85028","           136150700.15","       7353","      27451","         32.28"
"BALKRISIND","EQ","04-Aug-2017","       1594.10","       1585.00","       1608.00","       1572.05","       1590.00","       1590.40","       1590.91","      85156","           135475621.60","       6838","      22803","         26.78"
"BALKRISIND","EQ","07-Aug-2017","       1590.40","       1595.00","       1659.00","       1595.00","       1649.00","       1650.15","       1640.85","     187619","           307854582.75","      11171","      73051","         38.94"
