"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BALKRISHNA","EQ","03-Jul-2017","         75.85","         73.65","         78.50","         73.65","         78.00","         77.95","         77.78","      11730","              912302.15","        207","       8842","         75.38"
"BALKRISHNA","EQ","04-Jul-2017","         77.95","         77.95","         83.60","         77.95","         82.00","         81.80","         81.93","     119077","             9755726.40","       1137","      52560","         44.14"
"BALKRISHNA","EQ","05-Jul-2017","         81.80","         82.75","         84.00","         80.40","         82.00","         82.05","         82.53","      30244","             2495911.35","        451","      20197","         66.78"
"BALKRISHNA","EQ","06-Jul-2017","         82.05","         81.20","         82.80","         80.60","         80.60","         81.30","         81.95","      14582","             1194961.95","        162","      11701","         80.24"
"BALKRISHNA","EQ","07-Jul-2017","         81.30","         81.00","         82.35","         79.00","         79.00","         79.60","         80.77","      15539","             1255095.65","        311","       9807","         63.11"
"BALKRISHNA","EQ","10-Jul-2017","         79.60","         80.00","         81.40","         79.20","         80.00","         79.95","         79.95","       4669","              373295.15","         76","       4058","         86.91"
"BALKRISHNA","EQ","11-Jul-2017","         79.95","         78.60","         80.40","         77.15","         78.00","         77.90","         79.01","      12113","              957017.90","        251","       8751","         72.24"
"BALKRISHNA","EQ","12-Jul-2017","         77.90","         80.00","         80.00","         78.00","         78.45","         78.50","         78.37","      16209","             1270277.60","        161","      13792","         85.09"
"BALKRISHNA","EQ","13-Jul-2017","         78.50","         78.50","         79.50","         76.90","         77.80","         77.90","         78.48","      12939","             1015448.80","        209","      10479","         80.99"
"BALKRISHNA","EQ","14-Jul-2017","         77.90","         78.05","         78.05","         77.00","         78.00","         77.60","         77.51","       9540","              739421.55","        134","       8072","         84.61"
"BALKRISHNA","EQ","17-Jul-2017","         77.60","         78.00","         79.75","         76.50","         77.20","         77.25","         77.46","      16656","             1290106.90","        188","      12688","         76.18"
"BALKRISHNA","EQ","18-Jul-2017","         77.25","         76.50","         81.00","         76.50","         78.90","         78.80","         77.76","      10505","              816892.90","        166","       7935","         75.54"
"BALKRISHNA","EQ","19-Jul-2017","         78.80","         78.45","         80.55","         78.15","         80.45","         80.15","         79.76","      40357","             3218886.50","        233","      29659","         73.49"
"BALKRISHNA","EQ","20-Jul-2017","         80.15","         81.30","         82.00","         78.50","         78.95","         79.10","         79.46","      25391","             2017567.30","        282","      11313","         44.56"
"BALKRISHNA","EQ","21-Jul-2017","         79.10","         79.15","         80.30","         77.40","         77.40","         77.90","         78.33","       5748","              450212.70","        136","       3772","         65.62"
"BALKRISHNA","EQ","24-Jul-2017","         77.90","         78.00","         78.90","         75.60","         77.00","         76.25","         76.92","      19570","             1505267.25","        227","      13728","         70.15"
"BALKRISHNA","EQ","25-Jul-2017","         76.25","         76.10","         79.10","         76.10","         76.20","         76.40","         76.68","       9777","              749720.90","        158","       5862","         59.96"
"BALKRISHNA","EQ","26-Jul-2017","         76.40","         78.50","         82.05","         76.20","         81.00","         80.80","         80.71","     135718","            10953940.80","        849","      70436","         51.90"
"BALKRISHNA","EQ","27-Jul-2017","         80.80","         81.90","         96.95","         81.00","         96.95","         96.95","         91.22","    1121431","           102292860.85","       6618","     395387","         35.26"
"BALKRISHNA","EQ","28-Jul-2017","         96.95","         99.90","        104.65","         94.10","         96.10","         96.50","         99.66","     929860","            92670999.90","      10431","     231774","         24.93"
"BALKRISHNA","EQ","31-Jul-2017","         96.50","         99.95","         99.95","         90.60","         91.25","         91.55","         93.60","     121755","            11396011.10","       1749","      49669","         40.79"
"BALKRISHNA","EQ","01-Aug-2017","         91.55","         94.75","         94.75","         88.50","         90.50","         90.35","         90.49","      47580","             4305738.30","        709","      26030","         54.71"
"BALKRISHNA","EQ","02-Aug-2017","         90.35","         90.05","         91.00","         87.15","         87.15","         87.85","         88.76","      29161","             2588426.75","       1116","      12122","         41.57"
"BALKRISHNA","EQ","03-Aug-2017","         87.85","         89.90","         89.90","         82.35","         82.50","         83.15","         85.13","      48186","             4102176.30","       1529","      23934","         49.67"
"BALKRISHNA","EQ","04-Aug-2017","         83.15","         84.00","         85.70","         82.25","         84.40","         84.70","         84.41","      34442","             2907245.60","       1614","      17440","         50.64"
"BALKRISHNA","EQ","07-Aug-2017","         84.70","         86.50","         87.00","         81.80","         83.20","         83.50","         84.44","      23001","             1942106.10","        735","      13368","         58.12"
"BALKRISHNA","EQ","08-Aug-2017","         83.50","         84.50","         86.00","         80.80","         81.65","         81.35","         82.51","      71805","             5924664.70","        878","      59044","         82.23"
"BALKRISHNA","EQ","09-Aug-2017","         81.35","         82.00","         86.50","         81.35","         82.00","         82.55","         83.82","      48226","             4042539.00","        643","      25999","         53.91"
"BALKRISHNA","EQ","10-Aug-2017","         82.55","         80.30","         83.00","         78.00","         79.35","         78.60","         80.26","      25166","             2019879.10","        347","      20670","         82.13"
"BALKRISHNA","EQ","11-Aug-2017","         78.60","         77.00","         81.00","         77.00","         80.50","         80.05","         78.72","      14665","             1154384.20","        346","       9454","         64.47"
"BALKRISHNA","EQ","14-Aug-2017","         80.05","         80.20","         85.00","         78.60","         82.00","         81.75","         81.26","      74517","             6055243.10","        634","      58630","         78.68"
"BALKRISHNA","EQ","16-Aug-2017","         81.75","         81.75","         82.05","         79.25","         80.30","         80.30","         80.30","      19682","             1580381.50","        324","      12785","         64.96"
