"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BANKBARODA","EQ","03-Jul-2017","        161.65","        162.70","        165.00","        160.55","        162.05","        161.85","        162.71","    8862686","          1442016743.65","      44633","    2206432","         24.90"
"BANKBARODA","EQ","04-Jul-2017","        161.85","        162.40","        163.00","        159.00","        159.00","        159.35","        160.54","    5630976","           904018123.50","      36160","    1355016","         24.06"
"BANKBARODA","EQ","05-Jul-2017","        159.35","        159.95","        162.40","        158.50","        161.25","        160.80","        160.91","    6616815","          1064694198.55","      34585","    1790221","         27.06"
"BANKBARODA","EQ","06-Jul-2017","        160.80","        161.40","        165.80","        161.40","        162.20","        162.40","        163.89","   11934377","          1955885981.70","      68880","    4046050","         33.90"
"BANKBARODA","EQ","07-Jul-2017","        162.40","        162.50","        163.95","        160.00","        160.35","        160.55","        161.71","    9183465","          1485072367.05","      54602","    3740080","         40.73"
"BANKBARODA","EQ","10-Jul-2017","        160.55","        166.00","        167.50","        162.10","        166.60","        166.60","        166.42","    6073542","          1010783793.85","      25944","    3017218","         49.68"
"BANKBARODA","EQ","11-Jul-2017","        166.60","        167.00","        167.50","        161.50","        162.15","        162.65","        164.62","    7392843","          1217019673.55","      41108","    2525645","         34.16"
"BANKBARODA","EQ","12-Jul-2017","        162.65","        162.65","        164.00","        160.65","        163.15","        163.50","        162.40","    8654854","          1405570331.70","      41545","    2769395","         32.00"
"BANKBARODA","EQ","13-Jul-2017","        163.50","        164.90","        165.75","        162.00","        163.50","        163.40","        163.61","    7648517","          1251377562.65","      38625","    2709109","         35.42"
"BANKBARODA","EQ","14-Jul-2017","        163.40","        163.60","        166.40","        162.25","        164.95","        165.00","        164.64","    7708910","          1269232141.25","      44543","    2267776","         29.42"
"BANKBARODA","EQ","17-Jul-2017","        165.00","        165.20","        165.65","        162.80","        164.60","        164.35","        164.15","    7332263","          1203614932.75","      30389","    3332885","         45.46"
"BANKBARODA","EQ","18-Jul-2017","        164.35","        163.45","        167.15","        162.80","        163.40","        163.85","        164.93","    7786687","          1284229440.05","      38089","    2908728","         37.36"
"BANKBARODA","EQ","19-Jul-2017","        163.85","        163.70","        165.50","        163.50","        164.70","        164.45","        164.43","    5407563","           889163015.90","      39180","    1870951","         34.60"
"BANKBARODA","EQ","20-Jul-2017","        164.45","        164.25","        165.40","        161.45","        161.95","        161.90","        163.35","    8077756","          1319481436.85","      37884","    3831713","         47.44"
"BANKBARODA","EQ","21-Jul-2017","        161.90","        162.20","        163.90","        160.70","        161.75","        161.75","        162.04","    6359475","          1030472614.30","      29843","    2436629","         38.31"
"BANKBARODA","EQ","24-Jul-2017","        161.75","        162.00","        165.95","        162.00","        164.15","        164.20","        164.53","    7911705","          1301712916.20","      48312","    2569539","         32.48"
"BANKBARODA","EQ","25-Jul-2017","        164.20","        164.95","        166.20","        164.30","        165.20","        165.00","        165.08","    8747271","          1444025750.95","      40556","    4206722","         48.09"
"BANKBARODA","EQ","26-Jul-2017","        165.00","        165.00","        166.50","        163.00","        163.65","        163.35","        164.78","    7778973","          1281819945.10","      38762","    2804712","         36.06"
"BANKBARODA","EQ","27-Jul-2017","        163.35","        163.50","        165.10","        160.00","        160.50","        160.95","        162.25","   11524003","          1869811821.45","      44318","    5045028","         43.78"
"BANKBARODA","EQ","28-Jul-2017","        160.95","        160.80","        162.95","        160.20","        161.50","        161.55","        161.79","    6187569","          1001105024.95","      27294","    2100615","         33.95"
"BANKBARODA","EQ","31-Jul-2017","        161.55","        161.80","        168.50","        160.55","        166.30","        166.05","        165.89","   15878051","          2634011120.40","      56259","    5198384","         32.74"
"BANKBARODA","EQ","01-Aug-2017","        166.05","        166.75","        167.00","        162.60","        163.60","        163.50","        164.02","    7847054","          1287055280.20","      37730","    2694024","         34.33"
"BANKBARODA","EQ","02-Aug-2017","        163.50","        164.40","        165.30","        162.80","        163.00","        163.40","        164.00","    6526280","          1070312405.55","      28737","    1459265","         22.36"
"BANKBARODA","EQ","03-Aug-2017","        163.40","        163.00","        163.65","        157.00","        158.20","        158.20","        160.16","    9337691","          1495498296.35","      51946","    3228366","         34.57"
"BANKBARODA","EQ","04-Aug-2017","        158.20","        158.00","        160.85","        155.40","        159.10","        158.95","        158.76","    7121754","          1130682354.25","      35515","    1437348","         20.18"
"BANKBARODA","EQ","07-Aug-2017","        158.95","        160.70","        161.30","        159.20","        160.00","        160.05","        160.23","    4382843","           702259418.45","      26158","     808537","         18.45"
"BANKBARODA","EQ","08-Aug-2017","        160.05","        161.20","        161.25","        156.10","        156.60","        156.55","        157.70","    5960785","           939986764.35","      26819","    1298603","         21.79"
"BANKBARODA","EQ","09-Aug-2017","        156.55","        156.90","        157.70","        154.15","        154.90","        155.20","        155.69","    7541485","          1174111961.35","      33247","    1232087","         16.34"
"BANKBARODA","EQ","10-Aug-2017","        155.20","        153.90","        155.60","        145.40","        149.00","        148.45","        150.85","   10557366","          1592571991.10","      44641","    2346542","         22.23"
"BANKBARODA","EQ","11-Aug-2017","        148.45","        145.60","        150.50","        141.20","        142.70","        142.25","        145.67","   14474693","          2108580185.70","      92753","    3923895","         27.11"
"BANKBARODA","EQ","14-Aug-2017","        142.25","        140.00","        143.20","        139.70","        142.05","        142.25","        141.76","   16094565","          2281566160.00","      88513","    5353259","         33.26"
"BANKBARODA","EQ","16-Aug-2017","        142.25","        143.30","        148.65","        137.65","        146.95","        147.15","        142.46","   25054671","          3569411358.15","     103146","    8764846","         34.98"
"BANKBARODA","EQ","17-Aug-2017","        147.15","        148.30","        152.25","        146.65","        148.30","        148.25","        149.75","   20122929","          3013353699.50","      92146","    4316662","         21.45"
"BANKBARODA","EQ","18-Aug-2017","        148.25","        146.25","        148.25","        144.30","        147.65","        147.20","        146.47","   13628146","          1996166875.15","      67730","    3914557","         28.72"
"BANKBARODA","EQ","21-Aug-2017","        147.20","        147.90","        149.60","        141.00","        142.00","        142.10","        145.56","   11173367","          1626439263.65","      51453","    3649555","         32.66"
"BANKBARODA","EQ","22-Aug-2017","        142.10","        143.05","        143.75","        138.20","        139.60","        139.35","        140.43","   17697793","          2485366878.15","     103825","    4541453","         25.66"
"BANKBARODA","EQ","23-Aug-2017","        139.35","        140.70","        142.25","        138.45","        140.75","        140.95","        140.59","   18892523","          2656012102.20","      73051","    6309456","         33.40"
"BANKBARODA","EQ","24-Aug-2017","        140.95","        141.10","        144.00","        140.65","        142.85","        142.85","        142.53","   12332259","          1757696170.05","      47331","    3306471","         26.81"
"BANKBARODA","EQ","28-Aug-2017","        142.85","        143.80","        145.90","        143.05","        144.00","        144.25","        144.46","   10531819","          1521373920.55","      94345","    2967621","         28.18"
"BANKBARODA","EQ","29-Aug-2017","        144.25","        141.95","        143.50","        139.60","        139.95","        140.05","        141.44","   14024022","          1983535639.30","     104113","    4052901","         28.90"
