"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BASML","EQ","03-Jul-2017","        293.10","        304.80","        308.75","        293.00","        298.05","        298.25","        302.20","       1565","              472946.45","         30","       1506","         96.23"
"BASML","EQ","04-Jul-2017","        298.25","        295.20","        300.00","        295.00","        296.10","        297.10","        297.89","        690","              205545.20","         25","        608","         88.12"
"BASML","EQ","05-Jul-2017","        297.10","        304.65","        305.00","        292.55","        296.55","        296.95","        297.93","       1523","              453742.70","         52","       1045","         68.61"
"BASML","EQ","06-Jul-2017","        296.95","        297.00","        314.60","        297.00","        311.90","        308.35","        308.03","       8081","             2489171.70","        112","       6724","         83.21"
"BASML","EQ","07-Jul-2017","        308.35","        312.00","        332.00","        303.55","        330.00","        329.55","        322.13","      14875","             4791675.55","        260","      11989","         80.60"
"BASML","EQ","10-Jul-2017","        329.55","        337.00","        347.00","        336.95","        339.00","        338.50","        338.20","       1079","              364914.70","         21","       1076","         99.72"
"BASML","EQ","11-Jul-2017","        338.50","        346.50","        357.70","        327.30","        351.00","        346.30","        350.51","      27365","             9591692.70","        437","      16453","         60.12"
"BASML","EQ","12-Jul-2017","        346.30","        358.40","        358.40","        337.35","        340.00","        339.30","        345.08","       1400","              483117.95","         55","       1243","         88.79"
"BASML","EQ","13-Jul-2017","        339.30","        358.70","        358.70","        337.30","        339.00","        339.95","        345.33","       1237","              427170.60","        120","        865","         69.93"
"BASML","EQ","14-Jul-2017","        339.95","        338.05","        346.75","        335.00","        336.00","        336.00","        338.76","        560","              189703.05","         22","        519","         92.68"
"BASML","EQ","17-Jul-2017","        336.00","        336.55","        339.95","        324.25","        324.25","        324.45","        332.93","       1803","              600272.45","         32","       1668","         92.51"
"BASML","EQ","18-Jul-2017","        324.45","        328.15","        335.00","        316.30","        316.30","        317.55","        320.95","       2014","              646391.95","         46","       1907","         94.69"
"BASML","EQ","19-Jul-2017","        317.55","        320.55","        328.00","        320.55","        325.00","        327.95","        326.87","       1479","              483437.00","         60","       1352","         91.41"
"BASML","EQ","20-Jul-2017","        327.95","        325.00","        340.00","        325.00","        340.00","        340.00","        333.39","       2283","              761124.80","         47","       2015","         88.26"
"BASML","EQ","21-Jul-2017","        340.00","        322.00","        337.90","        322.00","        332.05","        332.05","        334.88","       8856","             2965674.55","         72","       2120","         23.94"
"BASML","EQ","24-Jul-2017","        332.05","        325.00","        337.00","        325.00","        326.50","        326.35","        330.34","        895","              295652.05","         45","        442","         49.39"
"BASML","EQ","25-Jul-2017","        326.35","        326.00","        326.00","        308.05","        317.95","        314.70","        313.61","      12651","             3967489.70","        213","       9514","         75.20"
"BASML","EQ","26-Jul-2017","        314.70","        315.15","        319.00","        310.10","        312.00","        312.05","        313.76","       7326","             2298623.25","         85","       7039","         96.08"
"BASML","EQ","27-Jul-2017","        312.05","        310.00","        313.90","        306.20","        308.00","        308.15","        308.49","       2291","              706749.80","         39","       2055","         89.70"
"BASML","EQ","28-Jul-2017","        308.15","        306.50","        314.00","        306.50","        314.00","        314.00","        309.88","        201","               62286.20","          7","        101","         50.25"
"BASML","EQ","31-Jul-2017","        314.00","        305.00","        319.90","        305.00","        313.80","        313.80","        312.33","        292","               91201.80","         17","        181","         61.99"
"BASML","EQ","01-Aug-2017","        313.80","        320.00","        320.00","        315.00","        315.00","        315.00","        315.50","        763","              240723.00","         17","        763","        100.00"
"BASML","EQ","02-Aug-2017","        315.00","        311.00","        315.00","        307.20","        315.00","        314.75","        312.81","        976","              305300.50","         33","        801","         82.07"
"BASML","EQ","03-Aug-2017","        314.75","        311.00","        311.00","        303.50","        305.25","        304.15","        305.36","       4209","             1285241.65","         47","       3934","         93.47"
"BASML","EQ","04-Aug-2017","        304.15","        313.50","        313.90","        300.00","        310.00","        308.45","        304.81","       4727","             1440819.30","         51","       4543","         96.11"
"BASML","EQ","07-Aug-2017","        308.45","        311.00","        314.00","        304.00","        305.50","        304.95","        307.13","        341","              104731.50","         13","        306","         89.74"
"BASML","EQ","08-Aug-2017","        304.95","        306.00","        310.45","        300.00","        301.70","        302.10","        300.19","       2386","              716256.70","         36","       2278","         95.47"
"BASML","EQ","09-Aug-2017","        302.10","        300.05","        313.90","        300.05","        300.15","        302.20","        304.10","       1612","              490205.35","         82","       1383","         85.79"
"BASML","EQ","10-Aug-2017","        302.20","        307.95","        307.95","        295.00","        295.00","        299.25","        299.50","       8987","             2691562.75","         42","       8976","         99.88"
"BASML","EQ","11-Aug-2017","        299.25","        295.05","        302.00","        295.00","        295.05","        295.70","        296.59","       1354","              401583.65","         29","       1220","         90.10"
"BASML","EQ","14-Aug-2017","        295.70","        300.20","        306.55","        300.05","        303.00","        303.05","        301.49","        147","               44318.45","         14","         75","         51.02"
"BASML","EQ","16-Aug-2017","        303.05","        304.95","        304.95","        304.00","        304.00","        304.00","        304.81","        600","              182886.40","          5","        600","        100.00"
"BASML","EQ","17-Aug-2017","        304.00","        304.00","        308.95","        300.50","        306.00","        304.90","        302.37","        573","              173256.60","         63","        508","         88.66"
"BASML","EQ","18-Aug-2017","        304.90","        305.00","        309.00","        304.00","        309.00","        305.05","        304.87","       1111","              338710.00","         18","       1111","        100.00"
"BASML","EQ","21-Aug-2017","        305.05","        306.10","        316.95","        306.10","        310.00","        307.00","        310.00","        370","              114699.20","         21","        295","         79.73"
"BASML","EQ","22-Aug-2017","        307.00","        308.00","        308.00","        300.00","        305.00","        300.60","        303.70","       1708","              518724.60","         52","       1276","         74.71"
"BASML","EQ","23-Aug-2017","        300.60","        305.00","        308.85","        304.20","        304.20","        304.20","        304.54","        723","              220179.05","         19","        702","         97.10"
"BASML","EQ","24-Aug-2017","        304.20","        300.10","        306.00","        300.00","        300.00","        301.30","        300.88","      10235","             3079535.50","         67","       8780","         85.78"
"BASML","EQ","28-Aug-2017","        301.30","        301.00","        307.95","        301.00","        304.00","        304.00","        301.21","        106","               31927.95","          3","        106","        100.00"
"BASML","EQ","29-Aug-2017","        304.00","        305.50","        308.00","        305.50","        307.00","        307.00","        306.82","         55","               16875.00","          4","         35","         63.64"
"BASML","EQ","30-Aug-2017","        307.00","        312.95","        312.95","        301.10","        310.00","        307.20","        307.43","       1299","              399348.20","         37","       1067","         82.14"
"BASML","EQ","31-Aug-2017","        307.20","        306.25","        314.95","        305.00","        313.40","        313.00","        310.78","       1498","              465550.70","         33","       1396","         93.19"
"BASML","EQ","01-Sep-2017","        313.00","        307.00","        317.95","        307.00","        310.00","        313.35","        315.51","        471","              148604.15","         11","        378","         80.25"
