"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BEDMUTHA","BE","03-Jul-2017","         34.20","         34.50","         35.85","         34.50","         35.65","         35.35","         35.07","      16455","              577020.50","         44","-","-"
"BEDMUTHA","BE","04-Jul-2017","         35.35","         35.75","         37.10","         35.00","         37.10","         37.10","         36.45","       7315","              266664.50","         41","-","-"
"BEDMUTHA","BE","05-Jul-2017","         37.10","         38.95","         38.95","         38.95","         38.95","         38.95","         38.95","      17409","              678080.55","         35","-","-"
"BEDMUTHA","BE","06-Jul-2017","         38.95","         40.75","         40.80","         39.40","         39.70","         39.70","         40.39","      45741","             1847280.95","        113","-","-"
"BEDMUTHA","BE","07-Jul-2017","         39.70","         40.50","         40.60","         38.25","         39.20","         38.70","         39.07","       6723","              262676.20","         48","-","-"
"BEDMUTHA","BE","10-Jul-2017","         38.70","         37.00","         39.00","         36.80","         36.90","         37.65","         37.28","       4785","              178386.30","         19","-","-"
"BEDMUTHA","BE","11-Jul-2017","         37.65","         35.85","         39.15","         35.85","         37.90","         37.90","         38.19","       3200","              122193.50","         28","-","-"
"BEDMUTHA","BE","12-Jul-2017","         37.90","         39.60","         39.60","         37.00","         38.25","         38.25","         38.82","      32856","             1275495.75","         78","-","-"
"BEDMUTHA","BE","13-Jul-2017","         38.25","         37.55","         40.00","         37.55","         37.70","         37.75","         38.31","       3669","              140541.30","         33","-","-"
"BEDMUTHA","BE","14-Jul-2017","         37.75","         37.70","         38.00","         36.35","         36.60","         36.60","         37.29","       4995","              186241.10","         35","-","-"
"BEDMUTHA","BE","17-Jul-2017","         36.60","         38.20","         38.20","         34.90","         36.00","         36.00","         36.21","      11177","              404722.35","         78","-","-"
"BEDMUTHA","BE","18-Jul-2017","         36.00","         36.00","         37.65","         34.20","         34.35","         34.40","         34.88","      23469","              818650.45","         70","-","-"
"BEDMUTHA","BE","19-Jul-2017","         34.40","         34.50","         35.50","         33.60","         34.40","         34.00","         34.75","      15705","              545670.85","         67","-","-"
"BEDMUTHA","BE","20-Jul-2017","         34.00","         34.55","         35.00","         33.75","         34.30","         34.05","         34.19","      10426","              356491.05","         39","-","-"
"BEDMUTHA","BE","21-Jul-2017","         34.05","         33.80","         35.00","         33.50","         33.80","         34.00","         33.93","       9128","              309746.50","         37","-","-"
"BEDMUTHA","BE","24-Jul-2017","         34.00","         34.20","         35.60","         33.10","         34.00","         33.80","         33.99","      15705","              533790.90","         40","-","-"
"BEDMUTHA","BE","25-Jul-2017","         33.80","         33.50","         34.40","         33.00","         33.40","         33.40","         33.48","      19801","              662928.65","         44","-","-"
"BEDMUTHA","BE","26-Jul-2017","         33.40","         31.80","         34.50","         31.80","         33.50","         33.55","         33.32","       9269","              308888.95","         30","-","-"
"BEDMUTHA","BE","27-Jul-2017","         33.55","         35.00","         35.20","         32.35","         33.80","         33.70","         34.09","       6316","              215329.75","         46","-","-"
"BEDMUTHA","BE","28-Jul-2017","         33.70","         34.00","         35.00","         33.05","         35.00","         34.90","         34.23","       6952","              237973.60","         30","-","-"
"BEDMUTHA","BE","31-Jul-2017","         34.90","         34.45","         35.00","         34.00","         34.00","         34.05","         34.43","       3141","              108142.00","         21","-","-"
"BEDMUTHA","BE","01-Aug-2017","         34.05","         33.50","         33.55","         32.60","         33.30","         33.35","         33.08","       5277","              174555.70","         30","-","-"
"BEDMUTHA","BE","02-Aug-2017","         33.35","         33.75","         34.00","         32.20","         33.90","         33.90","         32.88","       7556","              248441.55","         30","-","-"
"BEDMUTHA","BE","03-Aug-2017","         33.90","         33.00","         35.00","         32.35","         33.00","         33.15","         33.67","       5987","              201603.75","         32","-","-"
"BEDMUTHA","BE","04-Aug-2017","         33.15","         32.20","         34.50","         32.20","         32.90","         32.90","         33.21","       5487","              182243.80","         25","-","-"
"BEDMUTHA","BE","07-Aug-2017","         32.90","         32.15","         33.60","         32.15","         32.35","         32.75","         32.96","       2200","               72522.00","         29","-","-"
"BEDMUTHA","BE","08-Aug-2017","         32.75","         32.30","         32.30","         31.50","         31.50","         31.50","         31.84","      11107","              353695.45","         42","-","-"
"BEDMUTHA","BE","09-Aug-2017","         31.50","         30.05","         31.30","         29.95","         30.20","         30.40","         30.44","       8947","              272370.60","         28","-","-"
"BEDMUTHA","BE","10-Aug-2017","         30.40","         29.00","         31.30","         28.90","         30.50","         29.10","         29.43","      19951","              587148.90","         67","-","-"
"BEDMUTHA","BE","11-Aug-2017","         29.10","         27.65","         30.35","         27.65","         29.50","         28.85","         28.96","      14655","              424475.30","         47","-","-"
"BEDMUTHA","BE","14-Aug-2017","         28.85","         28.85","         30.25","         28.00","         30.25","         30.25","         29.82","      18296","              545671.40","         84","-","-"
"BEDMUTHA","BE","16-Aug-2017","         30.25","         31.70","         31.70","         29.45","         29.70","         29.80","         30.60","       3251","               99483.95","         13","-","-"
"BEDMUTHA","BE","17-Aug-2017","         29.80","         31.20","         31.20","         28.85","         29.00","         29.00","         29.13","      15034","              437951.20","         43","-","-"
"BEDMUTHA","BE","18-Aug-2017","         29.00","         28.50","         29.45","         28.00","         28.30","         28.30","         28.54","      10246","              292423.35","         46","-","-"
"BEDMUTHA","BE","21-Aug-2017","         28.30","         28.55","         29.70","         28.55","         29.70","         29.70","         29.52","      12095","              357006.40","         29","-","-"
"BEDMUTHA","BE","22-Aug-2017","         29.70","         31.00","         31.00","         28.70","         28.75","         28.75","         29.11","       2940","               85588.00","         14","-","-"
"BEDMUTHA","EQ","23-Aug-2017","         28.75","         29.90","         30.15","         29.15","         30.15","         30.15","         29.73","      11064","              328944.45","         82","       8859","         80.07"
"BEDMUTHA","EQ","24-Aug-2017","         30.15","         29.70","         31.65","         29.05","         31.65","         31.65","         31.52","      42744","             1347218.75","         97","      36903","         86.33"
"BEDMUTHA","EQ","28-Aug-2017","         31.65","         32.15","         33.20","         32.10","         32.85","         32.70","         32.99","      60762","             2004494.00","        149","      20952","         34.48"
"BEDMUTHA","EQ","29-Aug-2017","         32.70","         32.50","         32.50","         31.55","         31.95","         31.70","         31.87","       9543","              304120.70","         48","       9014","         94.46"
"BEDMUTHA","EQ","30-Aug-2017","         31.70","         31.00","         32.75","         31.00","         32.40","         32.40","         32.24","       5007","              161448.65","         49","       3355","         67.01"
"BEDMUTHA","EQ","31-Aug-2017","         32.40","         31.65","         32.45","         30.80","         31.45","         31.45","         31.37","      13872","              435180.30","         66","       9816","         70.76"
"BEDMUTHA","EQ","01-Sep-2017","         31.45","         31.00","         32.00","         30.20","         30.95","         30.95","         30.76","      23254","              715187.55","         92","      13124","         56.44"
"BEDMUTHA","EQ","04-Sep-2017","         30.95","         30.10","         30.60","         29.50","         30.05","         30.00","         29.89","       5414","              161807.40","         26","       2570","         47.47"
"BEDMUTHA","EQ","05-Sep-2017","         30.00","         29.25","         30.45","         28.50","         29.80","         29.60","         29.22","      14969","              437325.35","         84","       9126","         60.97"
"BEDMUTHA","EQ","06-Sep-2017","         29.60","         28.70","         29.60","         28.15","         29.50","         29.00","         28.80","      12696","              365611.25","         79","       8402","         66.18"
"BEDMUTHA","EQ","07-Sep-2017","         29.00","         29.10","         29.90","         28.20","         29.30","         29.30","         29.20","      14009","              409126.90","         64","      11047","         78.86"
"BEDMUTHA","EQ","08-Sep-2017","         29.30","         29.10","         30.75","         29.05","         29.75","         30.00","         30.30","      55528","             1682420.90","        157","      41575","         74.87"
"BEDMUTHA","EQ","11-Sep-2017","         30.00","         29.40","         31.35","         29.40","         30.20","         29.85","         30.64","      36858","             1129162.75","        127","      15610","         42.35"
"BEDMUTHA","EQ","12-Sep-2017","         29.85","         30.85","         30.85","         29.15","         29.35","         29.35","         29.52","       8337","              246121.10","         59","       5331","         63.94"
"BEDMUTHA","EQ","13-Sep-2017","         29.35","         29.85","         29.85","         28.75","         29.35","         29.00","         29.15","       3832","              111706.65","         27","       3606","         94.10"
"BEDMUTHA","EQ","14-Sep-2017","         29.00","         28.40","         30.45","         28.30","         30.45","         30.15","         29.60","       8227","              243534.20","         52","       7337","         89.18"
"BEDMUTHA","EQ","15-Sep-2017","         30.15","         29.15","         29.85","         28.65","         28.65","         28.70","         28.94","      69907","             2023176.20","        178","      51454","         73.60"
"BEDMUTHA","EQ","18-Sep-2017","         28.70","         28.65","         28.80","         27.40","         27.60","         27.65","         27.73","      23518","              652110.60","         96","      15983","         67.96"
"BEDMUTHA","EQ","19-Sep-2017","         27.65","         27.00","         27.60","         27.00","         27.20","         27.10","         27.23","      11887","              323656.95","         49","       8866","         74.59"
