"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHAGYAPROP","BE","20-Jul-2017","         24.35","         29.20","         29.20","         27.75","         27.75","         27.75","         27.81","       2761","               76777.25","         13","-","-"
"BHAGYAPROP","BE","21-Jul-2017","         27.75","         26.40","         26.40","         26.40","         26.40","         26.40","         26.40","       1150","               30360.00","          4","-","-"
"BHAGYAPROP","BE","24-Jul-2017","         26.40","         25.10","         25.10","         25.10","         25.10","         25.10","         25.10","        400","               10040.00","          2","-","-"
"BHAGYAPROP","BE","25-Jul-2017","         25.10","         23.85","         23.85","         23.85","         23.85","         23.85","         23.85","       1543","               36800.55","          5","-","-"
"BHAGYAPROP","BE","26-Jul-2017","         23.85","         22.70","         25.00","         22.70","         23.25","         23.25","         23.16","      43751","             1013326.30","         94","-","-"
"BHAGYAPROP","BE","27-Jul-2017","         23.25","         22.20","         24.25","         22.20","         22.60","         22.55","         22.82","       9089","              207392.75","         32","-","-"
"BHAGYAPROP","BE","28-Jul-2017","         22.55","         21.75","         23.45","         21.75","         22.50","         22.55","         22.57","       3787","               85472.70","         22","-","-"
"BHAGYAPROP","BE","31-Jul-2017","         22.55","         22.15","         22.75","         21.45","         22.50","         22.50","         22.08","       4613","              101847.30","         30","-","-"
"BHAGYAPROP","BE","01-Aug-2017","         22.50","         21.50","         22.50","         21.50","         22.40","         21.60","         21.53","      17627","              379582.65","         31","-","-"
"BHAGYAPROP","BE","02-Aug-2017","         21.60","         20.70","         21.55","         20.55","         21.45","         20.70","         20.78","      22905","              476029.55","         47","-","-"
"BHAGYAPROP","BE","03-Aug-2017","         20.70","         21.45","         21.45","         20.25","         20.90","         20.90","         20.34","       3567","               72550.25","         21","-","-"
"BHAGYAPROP","BE","04-Aug-2017","         20.90","         20.35","         21.50","         20.30","         20.55","         20.55","         20.52","       4795","               98380.90","         17","-","-"
"BHAGYAPROP","BE","07-Aug-2017","         20.55","         20.25","         20.50","         19.70","         20.50","         20.50","         20.22","      18138","              366794.85","         15","-","-"
"BHAGYAPROP","BE","08-Aug-2017","         20.50","         19.70","         21.50","         19.50","         20.00","         19.90","         19.97","      10600","              211676.75","         19","-","-"
"BHAGYAPROP","BE","09-Aug-2017","         19.90","         20.00","         20.00","         19.00","         19.25","         19.25","         19.24","      12005","              231012.50","         16","-","-"
"BHAGYAPROP","BE","10-Aug-2017","         19.25","         18.50","         18.50","         18.50","         18.50","         18.50","         18.50","       9223","              170625.50","        371","-","-"
"BHAGYAPROP","BE","11-Aug-2017","         18.50","         18.00","         19.40","         17.60","         19.25","         18.45","         18.05","        920","               16605.30","         11","-","-"
"BHAGYAPROP","BE","14-Aug-2017","         18.45","         17.60","         19.35","         17.55","         18.40","         18.40","         18.24","      27535","              502187.00","         13","-","-"
"BHAGYAPROP","BE","16-Aug-2017","         18.40","         17.65","         19.20","         17.65","         19.20","         19.20","         17.86","      30031","              536374.65","         15","-","-"
"BHAGYAPROP","BE","17-Aug-2017","         19.20","         18.35","         18.60","         18.35","         18.50","         18.50","         18.46","       1275","               23532.50","          6","-","-"
"BHAGYAPROP","BE","18-Aug-2017","         18.50","         18.55","         18.90","         18.40","         18.90","         18.55","         18.54","       5388","               99897.20","         10","-","-"
"BHAGYAPROP","BE","21-Aug-2017","         18.55","         18.25","         18.35","         18.25","         18.25","         18.25","         18.30","       1160","               21232.45","          6","-","-"
"BHAGYAPROP","BE","22-Aug-2017","         18.25","         18.25","         18.50","         18.25","         18.50","         18.50","         18.37","       3571","               65588.50","          5","-","-"
"BHAGYAPROP","EQ","23-Aug-2017","         18.50","         18.25","         18.80","         18.25","         18.80","         18.80","         18.56","        477","                8851.45","          5","        477","        100.00"
"BHAGYAPROP","EQ","24-Aug-2017","         18.80","         18.55","         19.00","         18.55","         19.00","         19.00","         18.85","        750","               14137.50","          3","        750","        100.00"
"BHAGYAPROP","EQ","28-Aug-2017","         19.00","         18.50","         19.00","         18.30","         18.30","         18.30","         18.48","       1647","               30430.10","          9","       1647","        100.00"
"BHAGYAPROP","EQ","30-Aug-2017","         18.30","         18.30","         19.20","         17.40","         18.05","         18.85","         17.76","      28757","              510820.45","         25","      27050","         94.06"
"BHAGYAPROP","EQ","31-Aug-2017","         18.85","         18.00","         19.00","         17.95","         19.00","         19.00","         17.97","       2415","               43408.50","         12","       2410","         99.79"
"BHAGYAPROP","EQ","01-Sep-2017","         19.00","         18.05","         19.00","         18.05","         19.00","         19.00","         18.55","       1187","               22020.35","         10","       1186","         99.92"
"BHAGYAPROP","EQ","04-Sep-2017","         19.00","         18.20","         19.20","         18.20","         18.50","         18.50","         18.42","       2370","               43654.20","          8","       2370","        100.00"
"BHAGYAPROP","EQ","05-Sep-2017","         18.50","         19.40","         19.40","         18.50","         18.60","         18.60","         18.79","       2344","               44044.40","         19","       2314","         98.72"
"BHAGYAPROP","EQ","06-Sep-2017","         18.60","         19.50","         19.50","         18.25","         19.25","         19.25","         18.65","        464","                8653.00","          5","        414","         89.22"
"BHAGYAPROP","EQ","07-Sep-2017","         19.25","         18.35","         20.00","         18.35","         20.00","         19.80","         19.45","       2051","               39896.80","         14","       2051","        100.00"
"BHAGYAPROP","EQ","08-Sep-2017","         19.80","         18.85","         20.60","         18.85","         20.00","         20.00","         20.03","       2310","               46261.00","          7","       2310","        100.00"
"BHAGYAPROP","EQ","11-Sep-2017","         20.00","         19.05","         19.60","         19.00","         19.00","         19.00","         19.27","       4559","               87844.75","         21","       4559","        100.00"
"BHAGYAPROP","EQ","12-Sep-2017","         19.00","         18.15","         19.80","         18.10","         18.10","         18.10","         18.23","       4110","               74943.50","         20","       4060","         98.78"
"BHAGYAPROP","EQ","13-Sep-2017","         18.10","         18.10","         18.25","         18.10","         18.10","         18.10","         18.14","       7650","              138795.00","         17","       7650","        100.00"
"BHAGYAPROP","EQ","14-Sep-2017","         18.10","         18.25","         18.25","         18.10","         18.15","         18.15","         18.13","       4090","               74135.85","         12","       4090","        100.00"
"BHAGYAPROP","EQ","15-Sep-2017","         18.15","         18.15","         18.15","         18.10","         18.10","         18.10","         18.12","        500","                9060.00","          2","        500","        100.00"
"BHAGYAPROP","EQ","18-Sep-2017","         18.10","         18.25","         18.50","         18.10","         18.10","         18.10","         18.33","       1490","               27312.50","         12","       1490","        100.00"
"BHAGYAPROP","EQ","19-Sep-2017","         18.10","         18.10","         19.00","         18.10","         19.00","         19.00","         18.78","       4801","               90169.10","         13","       4801","        100.00"
