"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHANDARI","EQ","03-Jul-2017","          2.30","          2.35","          2.35","          2.30","          2.30","          2.30","          2.32","      95420","              221157.70","         43","      74545","         78.12"
"BHANDARI","EQ","04-Jul-2017","          2.30","          2.35","          2.35","          2.10","          2.20","          2.20","          2.16","    1003894","             2169792.25","        296","     541104","         53.90"
"BHANDARI","EQ","05-Jul-2017","          2.20","          2.20","          2.20","          2.05","          2.10","          2.10","          2.10","     882008","             1853265.80","        383","     547457","         62.07"
"BHANDARI","EQ","06-Jul-2017","          2.10","          2.10","          2.25","          2.10","          2.20","          2.20","          2.20","     241523","              530379.35","         97","     192676","         79.78"
"BHANDARI","EQ","07-Jul-2017","          2.20","          2.25","          2.30","          2.20","          2.30","          2.30","          2.26","     253616","              572562.65","        222","     227381","         89.66"
"BHANDARI","EQ","10-Jul-2017","          2.30","          2.20","          2.30","          2.10","          2.30","          2.30","          2.28","      92921","              211417.85","         92","      73017","         78.58"
"BHANDARI","EQ","11-Jul-2017","          2.30","          2.30","          2.35","          2.20","          2.30","          2.30","          2.31","     202906","              467703.05","        162","     118463","         58.38"
"BHANDARI","EQ","12-Jul-2017","          2.30","          2.30","          2.35","          2.25","          2.35","          2.35","          2.34","      63416","              148126.10","         54","      49662","         78.31"
"BHANDARI","EQ","13-Jul-2017","          2.35","          2.40","          2.50","          2.20","          2.20","          2.20","          2.29","    1133416","             2594122.95","       1096","     803837","         70.92"
"BHANDARI","EQ","14-Jul-2017","          2.20","          2.25","          2.35","          2.20","          2.25","          2.25","          2.29","     324632","              742076.35","        215","     214337","         66.02"
"BHANDARI","EQ","17-Jul-2017","          2.25","          2.25","          2.35","          2.25","          2.30","          2.30","          2.27","     115659","              263055.20","         78","      83184","         71.92"
"BHANDARI","EQ","18-Jul-2017","          2.30","          2.30","          2.35","          2.25","          2.30","          2.25","          2.27","     207458","              470316.95","         73","     161923","         78.05"
"BHANDARI","EQ","19-Jul-2017","          2.25","          2.25","          2.35","          2.25","          2.35","          2.35","          2.28","     404028","              919319.25","        102","     247636","         61.29"
"BHANDARI","EQ","20-Jul-2017","          2.35","          2.30","          2.40","          2.30","          2.35","          2.30","          2.33","     215735","              502731.35","         87","     157908","         73.20"
"BHANDARI","EQ","21-Jul-2017","          2.30","          2.40","          2.65","          2.35","          2.55","          2.55","          2.47","     598764","             1478535.95","        263","     431289","         72.03"
"BHANDARI","EQ","24-Jul-2017","          2.55","          2.55","          2.60","          2.45","          2.45","          2.50","          2.53","     257505","              652375.00","        147","     198399","         77.05"
"BHANDARI","EQ","25-Jul-2017","          2.50","          2.50","          2.55","          2.45","          2.50","          2.50","          2.47","     105565","              261124.10","         75","      70561","         66.84"
"BHANDARI","EQ","26-Jul-2017","          2.50","          2.45","          2.55","          2.45","          2.50","          2.50","          2.48","     203286","              504888.10","         88","     131020","         64.45"
"BHANDARI","EQ","27-Jul-2017","          2.50","          2.45","          2.55","          2.35","          2.40","          2.40","          2.45","     421968","             1032472.10","        120","     332640","         78.83"
"BHANDARI","EQ","28-Jul-2017","          2.40","          2.40","          2.40","          2.30","          2.40","          2.40","          2.37","      45038","              106732.50","         51","      34816","         77.30"
"BHANDARI","EQ","31-Jul-2017","          2.40","          2.35","          2.45","          2.35","          2.40","          2.40","          2.40","      76687","              184246.60","         93","      52027","         67.84"
"BHANDARI","EQ","01-Aug-2017","          2.40","          2.35","          2.40","          2.25","          2.35","          2.35","          2.34","     111794","              262032.30","         96","      88617","         79.27"
"BHANDARI","EQ","02-Aug-2017","          2.35","          2.35","          2.45","          2.35","          2.45","          2.45","          2.39","     136372","              326367.85","         76","     102663","         75.28"
"BHANDARI","EQ","03-Aug-2017","          2.45","          2.40","          2.40","          2.30","          2.40","          2.35","          2.37","     120418","              285280.35","         72","      93069","         77.29"
"BHANDARI","EQ","04-Aug-2017","          2.35","          2.35","          2.40","          2.30","          2.30","          2.30","          2.34","      83319","              194903.75","         83","      59889","         71.88"
"BHANDARI","EQ","07-Aug-2017","          2.30","          2.35","          2.40","          2.35","          2.40","          2.40","          2.38","      96394","              229567.70","         60","      73471","         76.22"
"BHANDARI","EQ","08-Aug-2017","          2.40","          2.30","          2.40","          2.25","          2.30","          2.30","          2.31","     215356","              497980.65","        144","     172818","         80.25"
"BHANDARI","EQ","09-Aug-2017","          2.30","          2.20","          2.35","          2.20","          2.20","          2.25","          2.23","     149297","              332477.25","        140","     139366","         93.35"
"BHANDARI","EQ","10-Aug-2017","          2.25","          2.20","          2.20","          2.10","          2.15","          2.15","          2.16","     200349","              433249.50","        107","     195024","         97.34"
"BHANDARI","EQ","11-Aug-2017","          2.15","          2.10","          2.15","          2.00","          2.10","          2.10","          2.07","     206426","              427466.70","        142","     151211","         73.25"
"BHANDARI","EQ","14-Aug-2017","          2.10","          2.10","          2.25","          2.00","          2.25","          2.20","          2.10","     370163","              778485.75","        236","     262853","         71.01"
"BHANDARI","EQ","16-Aug-2017","          2.20","          2.15","          2.25","          2.00","          2.20","          2.15","          2.13","    2954588","             6299949.30","        544","    2288629","         77.46"
"BHANDARI","EQ","17-Aug-2017","          2.15","          2.20","          2.20","          2.10","          2.20","          2.15","          2.19","      88061","              192663.90","         42","      79008","         89.72"
"BHANDARI","EQ","18-Aug-2017","          2.15","          2.15","          2.15","          2.05","          2.05","          2.10","          2.11","     160608","              338394.10","         74","     130278","         81.12"
"BHANDARI","EQ","21-Aug-2017","          2.10","          2.10","          2.25","          2.05","          2.20","          2.20","          2.17","     318957","              690910.45","        118","     233771","         73.29"
"BHANDARI","EQ","22-Aug-2017","          2.20","          2.25","          2.25","          2.10","          2.20","          2.15","          2.13","     173754","              370402.80","         72","     121329","         69.83"
"BHANDARI","EQ","23-Aug-2017","          2.15","          2.10","          2.20","          2.10","          2.15","          2.15","          2.15","      30716","               66174.85","         34","      28956","         94.27"
"BHANDARI","EQ","24-Aug-2017","          2.15","          2.10","          2.20","          2.10","          2.10","          2.10","          2.14","      60313","              129086.35","         51","      50128","         83.11"
"BHANDARI","EQ","28-Aug-2017","          2.10","          2.10","          2.20","          2.10","          2.15","          2.15","          2.16","     162976","              352192.80","         51","      87655","         53.78"
"BHANDARI","EQ","29-Aug-2017","          2.15","          2.10","          2.25","          2.10","          2.15","          2.10","          2.17","     309061","              671775.65","         92","     106861","         34.58"
"BHANDARI","EQ","30-Aug-2017","          2.10","          2.15","          2.20","          2.10","          2.10","          2.10","          2.12","      99577","              210717.70","         46","      73425","         73.74"
"BHANDARI","EQ","31-Aug-2017","          2.10","          2.10","          2.15","          2.10","          2.15","          2.15","          2.15","      22870","               49162.80","         18","      22866","         99.98"
"BHANDARI","EQ","01-Sep-2017","          2.15","          2.15","          2.20","          2.10","          2.20","          2.20","          2.15","      58618","              125831.00","         40","      49285","         84.08"
"BHANDARI","EQ","04-Sep-2017","          2.20","          2.10","          2.20","          2.10","          2.15","          2.15","          2.14","      47112","              101012.05","         47","      40261","         85.46"
"BHANDARI","EQ","05-Sep-2017","          2.15","          2.10","          2.20","          2.10","          2.20","          2.15","          2.18","     125352","              273119.95","         68","      96455","         76.95"
"BHANDARI","EQ","06-Sep-2017","          2.15","          2.20","          2.20","          2.10","          2.15","          2.20","          2.19","     134153","              293391.30","         65","     106243","         79.20"
"BHANDARI","EQ","07-Sep-2017","          2.20","          2.20","          2.35","          2.15","          2.30","          2.30","          2.25","     253219","              569846.70","        184","     157043","         62.02"
"BHANDARI","EQ","08-Sep-2017","          2.30","          2.25","          2.30","          2.15","          2.15","          2.20","          2.22","     294892","              655055.15","        168","     176304","         59.79"
