"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARATFIN","EQ","02-Jan-2017","        587.90","        597.00","        607.25","        589.15","        604.00","        602.25","        600.27","    5526043","          3317096253.90","      87683","     476255","          8.62"
"BHARATFIN","EQ","03-Jan-2017","        602.25","        607.00","        623.40","        589.00","        620.45","        621.25","        609.55","    7690300","          4687622944.30","     121209","    1036832","         13.48"
"BHARATFIN","EQ","04-Jan-2017","        621.25","        621.25","        639.40","        621.00","        627.95","        629.50","        632.00","    7271108","          4595365367.05","     124255","    1848440","         25.42"
"BHARATFIN","EQ","05-Jan-2017","        629.50","        634.75","        643.80","        628.20","        638.50","        637.55","        635.93","    4240096","          2696387109.15","      75093","     650536","         15.34"
"BHARATFIN","EQ","06-Jan-2017","        637.55","        639.95","        646.05","        615.70","        622.55","        621.65","        631.08","    4309125","          2719400791.50","      63685","    1030284","         23.91"
"BHARATFIN","EQ","09-Jan-2017","        621.65","        624.00","        628.00","        610.45","        618.45","        619.80","        620.58","    2485372","          1542377977.45","      38687","     414641","         16.68"
"BHARATFIN","EQ","10-Jan-2017","        619.80","        620.05","        633.75","        620.00","        633.75","        631.85","        628.17","    2759967","          1733728092.85","      52640","     835872","         30.29"
"BHARATFIN","EQ","11-Jan-2017","        631.85","        636.80","        660.75","        636.10","        656.45","        656.85","        649.63","    4949423","          3215274762.35","      79712","    1185546","         23.95"
"BHARATFIN","EQ","12-Jan-2017","        656.85","        661.00","        674.40","        652.65","        663.35","        663.00","        664.48","    4210225","          2797619092.80","      62098","    1031309","         24.50"
"BHARATFIN","EQ","13-Jan-2017","        663.00","        667.50","        670.95","        646.70","        652.35","        653.90","        655.74","    2196036","          1440020174.25","      40443","     371135","         16.90"
"BHARATFIN","EQ","16-Jan-2017","        653.90","        651.80","        675.00","        650.00","        674.60","        672.15","        666.76","    2677798","          1785439710.50","      46424","     638538","         23.85"
"BHARATFIN","EQ","17-Jan-2017","        672.15","        677.95","        680.05","        666.50","        672.50","        675.65","        672.89","    2132527","          1434962940.05","      36793","     416698","         19.54"
"BHARATFIN","EQ","18-Jan-2017","        675.65","        674.00","        690.70","        670.05","        683.60","        685.10","        684.16","    2427188","          1660581007.70","      45944","     264599","         10.90"
"BHARATFIN","EQ","19-Jan-2017","        685.10","        681.10","        686.40","        674.20","        679.00","        679.25","        679.81","    1788604","          1215918839.70","      30386","     199853","         11.17"
"BHARATFIN","EQ","20-Jan-2017","        679.25","        675.00","        687.00","        660.10","        664.60","        663.90","        675.21","    2310058","          1559780043.95","      44213","     295689","         12.80"
"BHARATFIN","EQ","23-Jan-2017","        663.90","        666.90","        676.20","        657.40","        673.35","        669.70","        667.29","    2055300","          1371484251.85","      52558","     332101","         16.16"
"BHARATFIN","EQ","24-Jan-2017","        669.70","        675.70","        683.10","        671.95","        675.90","        678.35","        677.71","    2159190","          1463302603.50","      39237","     722268","         33.45"
"BHARATFIN","EQ","25-Jan-2017","        678.35","        698.00","        764.40","        691.05","        742.75","        749.15","        734.24","   13929459","         10227547547.80","     194660","    1976869","         14.19"
"BHARATFIN","EQ","27-Jan-2017","        749.15","        745.00","        764.80","        738.20","        741.40","        742.75","        750.51","    3989192","          2993935034.95","      97420","    1056796","         26.49"
"BHARATFIN","EQ","30-Jan-2017","        742.75","        740.00","        744.70","        722.20","        738.90","        738.50","        733.64","    2439539","          1789749737.35","      43520","     412826","         16.92"
"BHARATFIN","EQ","31-Jan-2017","        738.50","        741.40","        761.90","        733.00","        734.30","        735.85","        748.41","    3390154","          2537236208.30","      55398","     635743","         18.75"
"BHARATFIN","EQ","01-Feb-2017","        735.85","        741.65","        807.40","        731.55","        805.00","        801.50","        774.16","    7756676","          6004932391.50","     144799","    1668781","         21.51"
"BHARATFIN","EQ","02-Feb-2017","        801.50","        805.00","        853.50","        793.30","        822.00","        823.70","        824.98","   14107736","         11638643375.05","     225760","    2180125","         15.45"
"BHARATFIN","EQ","03-Feb-2017","        823.70","        829.80","        843.80","        828.00","        836.10","        835.55","        836.38","    3464742","          2897856144.20","      53531","     772994","         22.31"
"BHARATFIN","EQ","06-Feb-2017","        835.55","        843.10","        845.15","        819.05","        825.00","        824.95","        828.35","    2109145","          1747105825.70","      44927","     456451","         21.64"
"BHARATFIN","EQ","07-Feb-2017","        824.95","        825.00","        838.85","        813.25","        823.00","        823.15","        827.45","    2647012","          2190274100.45","      51062","     718265","         27.13"
"BHARATFIN","EQ","08-Feb-2017","        823.15","        829.25","        829.25","        798.70","        819.90","        818.00","        814.67","    2812967","          2291635018.85","      60855","    1069024","         38.00"
"BHARATFIN","EQ","09-Feb-2017","        818.00","        822.10","        829.75","        812.00","        818.00","        815.95","        818.68","    2370002","          1940271774.95","      51092","     925462","         39.05"
"BHARATFIN","EQ","10-Feb-2017","        815.95","        820.70","        826.40","        811.40","        816.70","        816.85","        818.65","    1297063","          1061837708.25","      25484","     382490","         29.49"
"BHARATFIN","EQ","13-Feb-2017","        816.85","        819.95","        834.00","        813.50","        830.95","        829.60","        825.34","    2280429","          1882138934.20","      41391","     369419","         16.20"
"BHARATFIN","EQ","14-Feb-2017","        829.60","        834.25","        841.95","        827.60","        834.90","        836.95","        835.94","    1883427","          1574434769.50","      34360","     295971","         15.71"
"BHARATFIN","EQ","15-Feb-2017","        836.95","        839.85","        846.70","        808.80","        820.50","        819.85","        827.53","    2462226","          2037572059.10","      40994","     486542","         19.76"
"BHARATFIN","EQ","16-Feb-2017","        819.85","        822.50","        839.90","        813.00","        837.75","        836.75","        825.49","    1855262","          1531492734.30","      33656","     498114","         26.85"
"BHARATFIN","EQ","17-Feb-2017","        836.75","        840.95","        876.70","        834.00","        866.85","        868.30","        860.92","    4722222","          4065452585.75","      79673","     770740","         16.32"
"BHARATFIN","EQ","20-Feb-2017","        868.30","        871.00","        878.45","        861.50","        870.00","        871.35","        872.05","    2273723","          1982789446.40","      47934","     651740","         28.66"
"BHARATFIN","EQ","21-Feb-2017","        871.35","        875.40","        876.70","        865.25","        870.40","        869.80","        870.25","    1788655","          1556576563.50","      22989","     743929","         41.59"
"BHARATFIN","EQ","22-Feb-2017","        869.80","        874.15","        874.15","        853.00","        862.00","        863.15","        861.67","    1309160","          1128061065.70","      35257","     169917","         12.98"
"BHARATFIN","EQ","23-Feb-2017","        863.15","        863.15","        884.85","        862.95","        869.80","        870.40","        874.95","    2709473","          2370649202.35","      40288","     746586","         27.55"
"BHARATFIN","EQ","27-Feb-2017","        870.40","        865.15","        867.70","        835.15","        850.00","        851.80","        852.71","    2602275","          2218989619.55","      41731","     680368","         26.15"
"BHARATFIN","EQ","28-Feb-2017","        851.80","        852.90","        860.00","        841.10","        842.10","        843.85","        849.75","    1909431","          1622532640.85","      43846","     691699","         36.23"
"BHARATFIN","EQ","01-Mar-2017","        843.85","        847.95","        851.90","        815.40","        818.00","        818.40","        828.65","    3071494","          2545207105.10","      60237","    1183496","         38.53"
"BHARATFIN","EQ","02-Mar-2017","        818.40","        825.90","        829.80","        757.45","        797.00","        794.80","        796.08","    9752649","          7763883327.35","     163004","    2357206","         24.17"
