"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BILPOWER","EQ","04-Jan-2017","          1.35","          1.30","          1.30","          1.30","          1.30","          1.30","          1.30","       1080","                1404.00","          2","       1080","        100.00"
"BILPOWER","EQ","05-Jan-2017","          1.30","          1.30","          1.30","          1.30","          1.30","          1.30","          1.30","         31","                  40.30","          1","         31","        100.00"
"BILPOWER","EQ","06-Jan-2017","          1.30","          1.30","          1.30","          1.30","          1.30","          1.30","          1.30","        100","                 130.00","          1","        100","        100.00"
"BILPOWER","EQ","09-Jan-2017","          1.30","          1.30","          1.30","          1.30","          1.30","          1.30","          1.30","         10","                  13.00","          1","         10","        100.00"
"BILPOWER","EQ","11-Jan-2017","          1.30","          1.25","          1.25","          1.25","          1.25","          1.25","          1.25","        102","                 127.50","          2","        102","        100.00"
"BILPOWER","EQ","12-Jan-2017","          1.25","          1.20","          1.25","          1.20","          1.25","          1.25","          1.23","       2448","                3020.00","          6","       2448","        100.00"
"BILPOWER","EQ","13-Jan-2017","          1.25","          1.20","          1.25","          1.20","          1.25","          1.25","          1.24","       1100","                1365.00","          3","       1100","        100.00"
"BILPOWER","EQ","17-Jan-2017","          1.25","          1.20","          1.20","          1.20","          1.20","          1.20","          1.20","        400","                 480.00","          1","        400","        100.00"
"BILPOWER","EQ","18-Jan-2017","          1.20","          1.15","          1.15","          1.15","          1.15","          1.15","          1.15","      20000","               23000.00","          4","      20000","        100.00"
"BILPOWER","EQ","19-Jan-2017","          1.15","          1.15","          1.20","          1.15","          1.20","          1.20","          1.16","       3000","                3470.00","          6","       3000","        100.00"
"BILPOWER","EQ","23-Jan-2017","          1.20","          1.25","          1.25","          1.25","          1.25","          1.25","          1.25","       1000","                1250.00","          2","       1000","        100.00"
"BILPOWER","EQ","24-Jan-2017","          1.25","          1.25","          1.25","          1.25","          1.25","          1.25","          1.25","         20","                  25.00","          1","         20","        100.00"
"BILPOWER","EQ","25-Jan-2017","          1.25","          1.25","          1.25","          1.25","          1.25","          1.25","          1.25","       1000","                1250.00","          3","       1000","        100.00"
"BILPOWER","EQ","27-Jan-2017","          1.25","          1.20","          1.20","          1.20","          1.20","          1.20","          1.20","          2","                   2.40","          1","          2","        100.00"
"BILPOWER","EQ","30-Jan-2017","          1.20","          1.15","          1.15","          1.15","          1.15","          1.15","          1.15","       2250","                2587.50","          3","       2250","        100.00"
"BILPOWER","EQ","31-Jan-2017","          1.15","          1.15","          1.15","          1.15","          1.15","          1.15","          1.15","       1000","                1150.00","          1","       1000","        100.00"
"BILPOWER","EQ","01-Feb-2017","          1.15","          1.15","          1.15","          1.15","          1.15","          1.15","          1.15","       1000","                1150.00","          1","       1000","        100.00"
"BILPOWER","EQ","02-Feb-2017","          1.15","          1.15","          1.20","          1.15","          1.20","          1.20","          1.20","       5282","                6324.30","          2","       5282","        100.00"
"BILPOWER","EQ","03-Feb-2017","          1.20","          1.20","          1.25","          1.20","          1.25","          1.25","          1.20","       5249","                6311.25","          6","       5000","         95.26"
"BILPOWER","EQ","06-Feb-2017","          1.25","          1.20","          1.20","          1.20","          1.20","          1.20","          1.20","       1700","                2040.00","          6","       1700","        100.00"
