"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BIRLACORPN","EQ","03-Jul-2017","        866.55","        866.65","        894.85","        866.65","        878.00","        876.15","        877.71","     343899","           301844852.40","       4922","     329303","         95.76"
"BIRLACORPN","EQ","04-Jul-2017","        876.15","        902.40","        902.40","        875.35","        879.00","        878.80","        880.93","     113103","            99635671.65","       5366","      83819","         74.11"
"BIRLACORPN","EQ","05-Jul-2017","        878.80","        870.00","        881.45","        858.80","        862.00","        865.05","        866.51","      58353","            50563278.75","       2645","      37163","         63.69"
"BIRLACORPN","EQ","06-Jul-2017","        865.05","        865.05","        881.00","        865.05","        878.00","        876.55","        873.14","      40465","            35331574.65","       1788","      32884","         81.27"
"BIRLACORPN","EQ","07-Jul-2017","        876.55","        872.00","        885.00","        862.45","        879.00","        879.25","        878.15","      35470","            31147809.30","       1988","      28199","         79.50"
"BIRLACORPN","EQ","10-Jul-2017","        879.25","        871.25","        886.10","        871.20","        874.50","        881.00","        880.10","       4343","             3822259.65","        340","       2168","         49.92"
"BIRLACORPN","EQ","11-Jul-2017","        881.00","        889.60","        889.60","        870.00","        870.00","        875.40","        878.05","      25766","            22623787.15","       1509","      14176","         55.02"
"BIRLACORPN","EQ","12-Jul-2017","        875.40","        871.00","        882.95","        865.00","        876.00","        870.95","        874.10","      45677","            39926101.40","       3317","      35242","         77.15"
"BIRLACORPN","EQ","13-Jul-2017","        870.95","        871.10","        925.05","        871.10","        920.00","        920.45","        912.27","     134620","           122809718.30","       4804","      82015","         60.92"
"BIRLACORPN","EQ","14-Jul-2017","        920.45","        930.15","        941.95","        921.90","        928.00","        933.85","        933.52","     167590","           156448660.70","       5864","      71533","         42.68"
"BIRLACORPN","EQ","17-Jul-2017","        933.85","        940.00","        944.00","        925.00","        934.50","        935.15","        933.83","     123864","           115667996.55","       3838","      93045","         75.12"
"BIRLACORPN","EQ","18-Jul-2017","        935.15","        939.50","        945.05","        920.00","        937.20","        938.05","        939.04","     113614","           106687688.75","       5049","      73666","         64.84"
"BIRLACORPN","EQ","19-Jul-2017","        938.05","        938.00","        942.90","        925.20","        933.00","        934.60","        933.93","     264219","           246761998.60","       5623","     241619","         91.45"
"BIRLACORPN","EQ","20-Jul-2017","        934.60","        930.75","        950.05","        927.65","        940.20","        943.70","        940.40","     324545","           305201031.30","      12435","     229243","         70.64"
"BIRLACORPN","EQ","21-Jul-2017","        943.70","        940.00","        957.00","        937.90","        955.00","        954.50","        951.29","     264262","           251388716.60","       6767","     204355","         77.33"
"BIRLACORPN","EQ","24-Jul-2017","        954.50","        960.90","        969.00","        935.15","        937.00","        942.40","        958.47","     175355","           168071873.65","       4807","     125426","         71.53"
"BIRLACORPN","EQ","25-Jul-2017","        942.40","        940.05","        961.90","        940.05","        960.00","        959.70","        956.58","     125794","           120331639.55","       4648","      88062","         70.00"
"BIRLACORPN","EQ","26-Jul-2017","        959.70","        960.00","        964.90","        935.50","        937.00","        945.20","        949.98","      47081","            44726043.80","       3350","      29808","         63.31"
"BIRLACORPN","EQ","27-Jul-2017","        945.20","        938.15","        951.90","        930.00","        950.00","        949.60","        943.93","      72985","            68892826.70","       6317","      54535","         74.72"
"BIRLACORPN","EQ","28-Jul-2017","        949.60","        942.50","        948.90","        933.15","        934.00","        945.80","        945.43","      32281","            30519469.25","       1610","      23153","         71.72"
"BIRLACORPN","EQ","31-Jul-2017","        945.80","        946.80","        951.70","        932.25","        950.00","        950.10","        947.99","      76476","            72498705.80","       3602","      51226","         66.98"
"BIRLACORPN","EQ","01-Aug-2017","        950.10","        955.00","        955.90","        940.50","        948.90","        949.25","        951.44","      48508","            46152495.00","       1670","      35614","         73.42"
"BIRLACORPN","EQ","02-Aug-2017","        949.25","        952.90","        954.85","        942.00","        948.00","        950.10","        948.97","      63413","            60176815.60","       2397","      46864","         73.90"
"BIRLACORPN","EQ","03-Aug-2017","        950.10","        945.40","        960.00","        935.75","        943.90","        949.85","        941.99","      38080","            35870862.30","       2488","      24268","         63.73"
"BIRLACORPN","EQ","04-Aug-2017","        949.85","        957.00","        961.00","        944.15","        960.00","        957.45","        953.08","      90775","            86516044.20","       3067","      67374","         74.22"
"BIRLACORPN","EQ","07-Aug-2017","        957.45","        960.00","        966.00","        951.10","        951.20","        960.30","        961.55","      80375","            77284576.10","       3070","      58352","         72.60"
"BIRLACORPN","EQ","08-Aug-2017","        960.30","        966.90","        971.95","        947.65","        969.75","        969.90","        966.66","      67014","            64779795.65","       4073","      44397","         66.25"
