"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BLUESTARCO","EQ","02-Jan-2017","        476.35","        480.40","        491.05","        476.15","        480.00","        481.70","        482.70","       6890","             3325836.25","        549","       2924","         42.44"
"BLUESTARCO","EQ","03-Jan-2017","        481.70","        485.75","        501.70","        481.55","        490.00","        489.90","        493.26","      42695","            21059811.85","       1556","      20104","         47.09"
"BLUESTARCO","EQ","04-Jan-2017","        489.90","        489.00","        495.00","        483.95","        490.00","        490.25","        489.64","      13139","             6433325.15","       1074","       7773","         59.16"
"BLUESTARCO","EQ","05-Jan-2017","        490.25","        488.05","        495.00","        484.20","        489.30","        492.10","        489.30","      14301","             6997543.50","        744","       8410","         58.81"
"BLUESTARCO","EQ","06-Jan-2017","        492.10","        490.00","        504.90","        490.00","        490.55","        492.00","        494.26","      17686","             8741397.95","       1022","      12587","         71.17"
"BLUESTARCO","EQ","09-Jan-2017","        492.00","        504.90","        504.90","        491.05","        498.60","        496.70","        495.26","       7167","             3549506.00","        596","       4574","         63.82"
"BLUESTARCO","EQ","10-Jan-2017","        496.70","        503.25","        503.30","        492.00","        492.00","        493.65","        495.50","       8492","             4207806.10","       1062","       5378","         63.33"
"BLUESTARCO","EQ","11-Jan-2017","        493.65","        493.30","        500.00","        493.30","        496.00","        495.70","        495.91","       5764","             2858453.05","        337","       3813","         66.15"
"BLUESTARCO","EQ","12-Jan-2017","        495.70","        497.00","        504.80","        497.00","        500.00","        500.65","        499.78","      19790","             9890731.45","        846","      14216","         71.83"
"BLUESTARCO","EQ","13-Jan-2017","        500.65","        504.00","        504.00","        500.00","        502.00","        502.25","        501.82","       6635","             3329577.75","        302","       4253","         64.10"
"BLUESTARCO","EQ","16-Jan-2017","        502.25","        505.00","        547.50","        500.00","        515.00","        518.15","        513.84","      17573","             9029713.20","       1325","       6952","         39.56"
"BLUESTARCO","EQ","17-Jan-2017","        518.15","        524.95","        532.50","        515.00","        520.00","        521.05","        522.13","      13003","             6789276.95","        746","       7107","         54.66"
"BLUESTARCO","EQ","18-Jan-2017","        521.05","        520.00","        534.40","        518.00","        522.05","        526.15","        526.15","      38592","            20305133.35","       1861","      14047","         36.40"
"BLUESTARCO","EQ","19-Jan-2017","        526.15","        524.95","        535.00","        517.05","        534.95","        533.55","        525.88","      43890","            23080838.90","       2898","      21480","         48.94"
"BLUESTARCO","EQ","20-Jan-2017","        533.55","        525.00","        535.00","        510.50","        510.50","        515.55","        519.12","      17079","             8866003.95","       1492","      10537","         61.70"
"BLUESTARCO","EQ","23-Jan-2017","        515.55","        519.95","        522.80","        504.50","        509.70","        510.00","        510.72","      20164","            10298088.55","       1560","      13301","         65.96"
"BLUESTARCO","EQ","24-Jan-2017","        510.00","        505.15","        516.90","        498.05","        503.00","        503.15","        505.80","      22631","            11446733.45","        718","      15074","         66.61"
"BLUESTARCO","EQ","25-Jan-2017","        503.15","        506.90","        515.00","        500.10","        512.00","        510.30","        506.55","      32673","            16550476.05","       2066","      24283","         74.32"
"BLUESTARCO","EQ","27-Jan-2017","        510.30","        525.00","        544.00","        523.30","        536.00","        535.60","        533.48","     165222","            88143355.00","       6161","      71068","         43.01"
"BLUESTARCO","EQ","30-Jan-2017","        535.60","        528.15","        539.45","        517.65","        520.15","        527.00","        524.01","      35353","            18525311.05","       2016","      22193","         62.78"
"BLUESTARCO","EQ","31-Jan-2017","        527.00","        527.00","        534.90","        520.00","        534.00","        528.90","        527.82","     138383","            73040640.20","       2464","     130062","         93.99"
"BLUESTARCO","EQ","01-Feb-2017","        528.90","        529.10","        533.95","        520.00","        527.00","        528.15","        527.83","      26757","            14123060.55","       1889","      13711","         51.24"
"BLUESTARCO","EQ","02-Feb-2017","        528.15","        530.00","        551.00","        526.30","        540.00","        540.15","        541.10","      60008","            32470224.10","       3315","      35626","         59.37"
"BLUESTARCO","EQ","03-Feb-2017","        540.15","        544.80","        545.00","        529.45","        539.00","        537.25","        535.31","      26836","            14365667.05","       1751","      20382","         75.95"
"BLUESTARCO","EQ","06-Feb-2017","        537.25","        538.00","        549.40","        531.60","        545.00","        543.50","        541.03","      17107","             9255324.75","       1108","      13290","         77.69"
"BLUESTARCO","EQ","07-Feb-2017","        543.50","        548.95","        553.60","        541.40","        545.00","        544.75","        547.91","      23350","            12793688.00","       1080","      11533","         49.39"
"BLUESTARCO","EQ","08-Feb-2017","        544.75","        547.50","        550.00","        540.15","        546.05","        545.90","        543.99","      85453","            46485912.45","       1297","      67405","         78.88"
"BLUESTARCO","EQ","09-Feb-2017","        545.90","        543.80","        561.35","        543.10","        556.00","        556.35","        550.65","      37677","            20746729.10","       2154","      28804","         76.45"
"BLUESTARCO","EQ","10-Feb-2017","        556.35","        561.00","        561.00","        545.00","        554.00","        555.40","        552.49","      27235","            15047071.15","       1297","      18364","         67.43"
"BLUESTARCO","EQ","13-Feb-2017","        555.40","        556.90","        588.70","        555.50","        559.00","        559.75","        560.41","     187785","           105236953.40","       2072","     169829","         90.44"
"BLUESTARCO","EQ","14-Feb-2017","        559.75","        556.50","        559.00","        550.50","        552.05","        552.30","        554.68","      67918","            37672936.05","       1490","      59208","         87.18"
"BLUESTARCO","EQ","15-Feb-2017","        552.30","        556.30","        565.00","        551.10","        560.00","        560.10","        559.04","      40843","            22833060.60","       3324","      29619","         72.52"
"BLUESTARCO","EQ","16-Feb-2017","        560.10","        555.90","        584.40","        551.05","        567.00","        570.20","        570.21","      87407","            49840025.45","       3899","      57227","         65.47"
"BLUESTARCO","EQ","17-Feb-2017","        570.20","        574.45","        574.45","        561.25","        567.00","        566.35","        567.27","      11733","             6655817.90","       1002","       6188","         52.74"
"BLUESTARCO","EQ","20-Feb-2017","        566.35","        565.95","        579.95","        552.10","        554.90","        556.10","        566.52","      15916","             9016730.90","       1042","       8694","         54.62"
"BLUESTARCO","EQ","21-Feb-2017","        556.10","        557.75","        569.75","        551.00","        553.50","        554.70","        560.10","      17037","             9542381.90","        944","       7988","         46.89"
"BLUESTARCO","EQ","22-Feb-2017","        554.70","        564.85","        565.65","        552.00","        555.05","        558.25","        557.98","      20531","            11455875.35","        754","       9751","         47.49"
"BLUESTARCO","EQ","23-Feb-2017","        558.25","        565.00","        567.00","        555.00","        558.00","        556.85","        560.92","      17644","             9896837.70","       1051","       8248","         46.75"
"BLUESTARCO","EQ","27-Feb-2017","        556.85","        556.00","        564.80","        553.65","        555.00","        555.50","        559.14","      39236","            21938459.85","        646","      32276","         82.26"
"BLUESTARCO","EQ","28-Feb-2017","        555.50","        556.00","        567.50","        556.00","        565.80","        565.10","        564.48","     107302","            60570157.60","        812","     100325","         93.50"
"BLUESTARCO","EQ","01-Mar-2017","        565.10","        568.00","        569.40","        555.25","        562.00","        563.10","        566.37","      13698","             7758085.90","        760","       7541","         55.05"
"BLUESTARCO","EQ","02-Mar-2017","        563.10","        568.95","        570.00","        563.00","        567.00","        567.95","        566.94","      41606","            23588135.50","       1308","      30911","         74.29"
"BLUESTARCO","EQ","03-Mar-2017","        567.95","        567.95","        570.00","        557.20","        563.00","        567.65","        562.32","      38736","            21782201.50","        927","      33878","         87.46"
"BLUESTARCO","EQ","06-Mar-2017","        567.65","        571.00","        571.00","        545.00","        559.95","        557.80","        553.53","      49149","            27205391.90","       4750","      23322","         47.45"
