"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BODALCHEM","EQ","03-Apr-2017","        160.50","        161.90","        167.90","        161.80","        165.20","        165.30","        165.20","     956308","           157984178.35","       7026","     451294","         47.19"
"BODALCHEM","EQ","05-Apr-2017","        165.30","        165.10","        165.50","        161.00","        164.05","        163.85","        163.18","     468650","            76476533.05","       4263","     262056","         55.92"
"BODALCHEM","EQ","06-Apr-2017","        163.85","        163.50","        163.90","        161.20","        162.50","        162.60","        162.62","     385062","            62617804.35","       3308","     189610","         49.24"
"BODALCHEM","EQ","07-Apr-2017","        162.60","        162.00","        162.50","        154.10","        155.50","        155.70","        158.75","     501371","            79593241.35","       4257","     339881","         67.79"
"BODALCHEM","EQ","10-Apr-2017","        155.70","        157.80","        159.65","        154.40","        157.20","        157.15","        157.72","     486362","            76706730.40","       3598","     237606","         48.85"
"BODALCHEM","EQ","11-Apr-2017","        157.15","        158.35","        162.45","        156.05","        160.00","        159.55","        159.89","     504900","            80728304.20","       3994","     236850","         46.91"
"BODALCHEM","EQ","12-Apr-2017","        159.55","        161.00","        161.40","        155.20","        158.00","        157.40","        157.71","     313709","            49474321.75","       2383","     161839","         51.59"
"BODALCHEM","EQ","13-Apr-2017","        157.40","        157.00","        158.00","        155.00","        155.00","        155.30","        156.19","     229732","            35882106.85","       2086","     142994","         62.24"
"BODALCHEM","EQ","17-Apr-2017","        155.30","        156.75","        158.65","        155.15","        156.55","        157.00","        156.77","     238548","            37398166.15","       2327","     111595","         46.78"
"BODALCHEM","EQ","18-Apr-2017","        157.00","        157.80","        160.00","        152.50","        154.00","        153.95","        156.12","     539132","            84167084.25","       3341","     355996","         66.03"
"BODALCHEM","EQ","19-Apr-2017","        153.95","        154.90","        156.40","        151.10","        152.00","        152.45","        153.30","     267921","            41072047.70","       3427","     140898","         52.59"
"BODALCHEM","EQ","20-Apr-2017","        152.45","        153.75","        156.95","        153.70","        155.90","        155.35","        155.05","     211029","            32720562.50","       1775","     113805","         53.93"
"BODALCHEM","EQ","21-Apr-2017","        155.35","        156.00","        162.00","        153.00","        159.85","        159.45","        157.21","     416711","            65511083.90","       3653","     224192","         53.80"
"BODALCHEM","EQ","24-Apr-2017","        159.45","        160.00","        163.00","        155.15","        155.95","        156.05","        159.05","     416540","            66249304.90","       4049","     216160","         51.89"
"BODALCHEM","EQ","25-Apr-2017","        156.05","        157.00","        161.20","        156.45","        159.50","        159.70","        159.22","     441624","            70317112.40","       3660","     263580","         59.68"
"BODALCHEM","EQ","26-Apr-2017","        159.70","        160.70","        160.70","        152.90","        154.35","        154.30","        156.48","     266149","            41646874.70","       2791","     154567","         58.08"
"BODALCHEM","EQ","27-Apr-2017","        154.30","        155.65","        157.15","        153.90","        154.30","        154.50","        155.35","     213975","            33241495.70","       1898","     117744","         55.03"
"BODALCHEM","EQ","28-Apr-2017","        154.50","        154.50","        156.00","        153.45","        154.60","        155.25","        154.60","     157296","            24318288.05","       1333","      93688","         59.56"
"BODALCHEM","EQ","02-May-2017","        155.25","        155.95","        156.50","        152.05","        152.55","        152.75","        153.93","     256408","            39470118.80","       3028","     158772","         61.92"
"BODALCHEM","EQ","03-May-2017","        152.75","        154.20","        155.25","        149.00","        150.00","        150.40","        152.45","     270499","            41236460.60","       4452","     168102","         62.15"
"BODALCHEM","EQ","04-May-2017","        150.40","        152.50","        154.45","        150.40","        152.70","        152.50","        152.64","     291404","            44480626.85","       2208","     127041","         43.60"
"BODALCHEM","EQ","05-May-2017","        152.50","        151.30","        154.40","        151.10","        152.45","        152.65","        152.62","     285481","            43570443.40","       2953","     158237","         55.43"
"BODALCHEM","EQ","08-May-2017","        152.65","        153.00","        156.40","        150.10","        155.50","        154.95","        154.31","     325812","            50277026.50","       3529","     177351","         54.43"
"BODALCHEM","EQ","09-May-2017","        154.95","        156.35","        159.60","        154.70","        157.70","        157.30","        157.63","     444343","            70040121.10","       4685","     194779","         43.84"
"BODALCHEM","EQ","10-May-2017","        157.30","        158.60","        160.25","        157.20","        157.25","        157.80","        158.67","     361284","            57323238.70","       4155","     173627","         48.06"
"BODALCHEM","EQ","11-May-2017","        157.80","        158.40","        159.00","        153.20","        153.35","        153.70","        155.16","     332640","            51613242.65","       3409","     190135","         57.16"
"BODALCHEM","EQ","12-May-2017","        153.70","        154.75","        154.75","        151.00","        152.50","        152.15","        152.50","     213601","            32573156.25","       2245","     111110","         52.02"
"BODALCHEM","EQ","15-May-2017","        152.15","        152.95","        158.50","        151.90","        156.65","        157.70","        155.70","     424286","            66061189.65","       4501","     207931","         49.01"
"BODALCHEM","EQ","16-May-2017","        157.70","        158.50","        166.40","        155.00","        165.95","        165.70","        163.03","    1536797","           250545302.00","      14320","     849993","         55.31"
"BODALCHEM","EQ","17-May-2017","        165.70","        165.95","        170.20","        165.70","        167.00","        166.75","        167.58","     971528","           162809612.75","      11662","     490767","         50.51"
"BODALCHEM","EQ","18-May-2017","        166.75","        163.10","        166.90","        161.90","        163.55","        163.55","        164.89","     321335","            52985038.50","       2746","     152811","         47.56"
"BODALCHEM","EQ","19-May-2017","        163.55","        165.95","        166.90","        160.10","        162.70","        163.35","        163.97","     274459","            45003904.15","       2363","     157810","         57.50"
"BODALCHEM","EQ","22-May-2017","        163.35","        165.40","        165.40","        158.00","        158.80","        159.45","        161.46","     173699","            28045630.95","       2128","      81182","         46.74"
"BODALCHEM","EQ","23-May-2017","        159.45","        155.45","        159.80","        152.00","        154.05","        154.40","        155.54","     224984","            34994325.50","       2236","     116904","         51.96"
"BODALCHEM","EQ","24-May-2017","        154.40","        155.55","        158.40","        153.80","        155.65","        154.60","        155.28","     256592","            39842590.75","       7125","     140411","         54.72"
"BODALCHEM","EQ","25-May-2017","        154.60","        154.60","        160.80","        154.00","        155.15","        156.15","        156.55","     434891","            68080282.95","       4574","     150799","         34.68"
"BODALCHEM","EQ","26-May-2017","        156.15","        157.00","        160.00","        152.60","        157.95","        158.30","        158.04","     429617","            67895676.65","       3541","     223078","         51.92"
"BODALCHEM","EQ","29-May-2017","        158.30","        159.95","        167.50","        158.15","        163.40","        163.30","        164.27","     902511","           148254807.45","       7137","     428402","         47.47"
"BODALCHEM","EQ","30-May-2017","        163.30","        163.80","        167.55","        160.50","        163.30","        163.15","        163.80","     332018","            54384014.65","       2610","     148795","         44.82"
"BODALCHEM","EQ","31-May-2017","        163.15","        163.95","        166.50","        161.50","        166.00","        166.00","        165.08","     377188","            62264791.80","       3499","     190794","         50.58"
"BODALCHEM","EQ","01-Jun-2017","        166.00","        167.85","        171.90","        167.10","        168.70","        169.20","        169.96","     788492","           134014932.75","       9963","     305779","         38.78"
"BODALCHEM","EQ","02-Jun-2017","        169.20","        171.00","        171.00","        167.00","        167.70","        167.60","        168.60","     293518","            49488494.55","       3001","     171049","         58.28"
"BODALCHEM","EQ","05-Jun-2017","        167.60","        168.00","        168.00","        164.10","        165.50","        165.45","        165.55","     168370","            27874374.30","       2201","      86258","         51.23"
"BODALCHEM","EQ","06-Jun-2017","        165.45","        166.45","        168.50","        163.25","        164.25","        164.10","        165.91","     150712","            25005124.15","       1873","      72647","         48.20"
