"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BOHRA","SM","04-Jul-2017","         51.50","         47.60","         51.40","         47.60","         51.40","         51.40","         49.50","      48000","             2376000.00","          4","      24000","         50.00"
"BOHRA","SM","10-Jul-2017","         51.40","         47.05","         50.80","         47.05","         50.80","         50.80","         48.93","       4000","              195700.00","          2","       4000","        100.00"
"BOHRA","SM","12-Jul-2017","         50.80","         50.40","         50.40","         50.40","         50.40","         50.40","         50.40","       2000","              100800.00","          1","       2000","        100.00"
"BOHRA","SM","13-Jul-2017","         50.40","         49.95","         49.95","         49.95","         49.95","         49.95","         49.95","       2000","               99900.00","          1","       2000","        100.00"
"BOHRA","SM","14-Jul-2017","         49.95","         49.45","         49.85","         47.10","         49.85","         48.45","         48.48","       8000","              387800.00","          4","       6000","         75.00"
"BOHRA","SM","17-Jul-2017","         48.45","         47.05","         49.40","         47.05","         49.40","         49.40","         48.23","       4000","              192900.00","          2","       4000","        100.00"
"BOHRA","SM","18-Jul-2017","         49.40","         49.10","         49.10","         49.10","         49.10","         49.10","         49.10","       2000","               98200.00","          1","       2000","        100.00"
"BOHRA","SM","20-Jul-2017","         49.10","         47.05","         47.70","         46.60","         47.70","         47.15","         47.17","      10000","              471700.00","          5","       6000","         60.00"
"BOHRA","SM","21-Jul-2017","         47.15","         47.00","         47.00","         47.00","         47.00","         47.00","         47.00","       2000","               94000.00","          1","       2000","        100.00"
"BOHRA","SM","24-Jul-2017","         47.00","         47.00","         47.00","         47.00","         47.00","         47.00","         47.00","       2000","               94000.00","          1","       2000","        100.00"
"BOHRA","SM","28-Jul-2017","         47.00","         46.95","         46.95","         46.95","         46.95","         46.95","         46.95","       2000","               93900.00","          1","       2000","        100.00"
"BOHRA","SM","31-Jul-2017","         46.95","         45.05","         45.05","         44.75","         44.75","         44.75","         44.97","      14000","              629600.00","          7","      10000","         71.43"
"BOHRA","SM","01-Aug-2017","         44.75","         45.00","         45.00","         44.00","         44.00","         44.00","         44.58","       6000","              267500.00","          3","       6000","        100.00"
"BOHRA","SM","02-Aug-2017","         44.00","         43.00","         43.00","         43.00","         43.00","         43.00","         43.00","       2000","               86000.00","          1","       2000","        100.00"
"BOHRA","SM","03-Aug-2017","         43.00","         43.00","         43.00","         42.50","         42.50","         42.50","         42.75","       6000","              256500.00","          3","       6000","        100.00"
"BOHRA","SM","04-Aug-2017","         42.50","         45.00","         45.00","         45.00","         45.00","         45.00","         45.00","       2000","               90000.00","          1","       2000","        100.00"
"BOHRA","SM","07-Aug-2017","         45.00","         47.00","         47.00","         45.00","         45.95","         45.95","         46.24","       8000","              369900.00","          4","       8000","        100.00"
"BOHRA","SM","08-Aug-2017","         45.95","         43.00","         43.00","         43.00","         43.00","         43.00","         43.00","       2000","               86000.00","          1","       2000","        100.00"
"BOHRA","SM","10-Aug-2017","         43.00","         46.50","         46.50","         46.00","         46.00","         46.00","         46.25","       4000","              185000.00","          2","       4000","        100.00"
"BOHRA","SM","11-Aug-2017","         46.00","         43.00","         43.00","         42.00","         42.00","         42.00","         42.09","      22000","              926000.00","          3","      22000","        100.00"
"BOHRA","SM","16-Aug-2017","         42.00","         40.25","         40.25","         40.25","         40.25","         40.25","         40.25","       2000","               80500.00","          1","       2000","        100.00"
"BOHRA","SM","17-Aug-2017","         40.25","         43.90","         43.90","         43.90","         43.90","         43.90","         43.90","       2000","               87800.00","          1","       2000","        100.00"
"BOHRA","SM","18-Aug-2017","         43.90","         43.25","         43.25","         43.25","         43.25","         43.25","         43.25","       2000","               86500.00","          1","       2000","        100.00"
"BOHRA","SM","21-Aug-2017","         43.25","         43.00","         43.00","         43.00","         43.00","         43.00","         43.00","       2000","               86000.00","          1","       2000","        100.00"
"BOHRA","SM","23-Aug-2017","         43.00","         42.75","         42.75","         42.75","         42.75","         42.75","         42.75","       2000","               85500.00","          1","       2000","        100.00"
"BOHRA","SM","24-Aug-2017","         42.75","         40.10","         42.80","         40.10","         42.80","         42.80","         41.45","       4000","              165800.00","          2","       4000","        100.00"
"BOHRA","SM","29-Aug-2017","         42.80","         42.70","         42.70","         42.70","         42.70","         42.70","         42.70","       2000","               85400.00","          1","       2000","        100.00"
"BOHRA","SM","05-Sep-2017","         42.70","         43.00","         43.00","         43.00","         43.00","         43.00","         43.00","       2000","               86000.00","          1","       2000","        100.00"
"BOHRA","SM","06-Sep-2017","         43.00","         43.25","         43.25","         43.00","         43.00","         43.00","         43.13","       4000","              172500.00","          2","       4000","        100.00"
"BOHRA","SM","08-Sep-2017","         43.00","         44.30","         44.30","         44.30","         44.30","         44.30","         44.30","       2000","               88600.00","          1","       2000","        100.00"
"BOHRA","SM","15-Sep-2017","         44.30","         41.90","         41.90","         41.90","         41.90","         41.90","         41.90","       2000","               83800.00","          1","       2000","        100.00"
"BOHRA","SM","19-Sep-2017","         41.90","         42.50","         42.50","         40.00","         41.90","         41.90","         41.47","       6000","              248800.00","          3","       4000","         66.67"
