"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BRIGADE","EQ","02-Jan-2017","        150.10","        151.00","        154.50","        149.50","        152.00","        152.05","        151.88","      10678","             1621808.60","        405","       8675","         81.24"
"BRIGADE","EQ","03-Jan-2017","        152.05","        152.35","        155.00","        151.50","        152.00","        153.60","        153.57","      17541","             2693792.05","        507","      14619","         83.34"
"BRIGADE","EQ","04-Jan-2017","        153.60","        153.35","        154.00","        152.00","        153.00","        152.60","        152.67","       5896","              900132.15","        188","       4539","         76.98"
"BRIGADE","EQ","05-Jan-2017","        152.60","        153.00","        154.00","        152.00","        153.00","        153.00","        152.96","      14376","             2198930.15","        178","      13498","         93.89"
"BRIGADE","EQ","06-Jan-2017","        153.00","        152.00","        154.85","        152.00","        153.00","        152.70","        153.02","      10010","             1531703.95","        224","       9146","         91.37"
"BRIGADE","EQ","09-Jan-2017","        152.70","        153.50","        156.90","        152.05","        155.00","        155.40","        154.53","      15816","             2444099.50","        567","       7943","         50.22"
"BRIGADE","EQ","10-Jan-2017","        155.40","        155.40","        156.00","        155.00","        155.00","        155.10","        155.38","       6854","             1064955.40","        232","       5702","         83.19"
"BRIGADE","EQ","11-Jan-2017","        155.10","        155.00","        156.00","        155.00","        155.25","        155.40","        155.08","      10913","             1692417.30","        200","      10599","         97.12"
"BRIGADE","EQ","12-Jan-2017","        155.40","        156.05","        156.05","        155.00","        155.00","        155.00","        155.17","       8642","             1340958.10","        241","       8139","         94.18"
"BRIGADE","EQ","13-Jan-2017","        155.00","        155.15","        156.15","        155.00","        155.20","        155.20","        155.14","      23474","             3641753.65","        173","      22527","         95.97"
"BRIGADE","EQ","16-Jan-2017","        155.20","        155.00","        156.95","        155.00","        155.30","        155.35","        155.74","       5609","              873531.85","        221","       3819","         68.09"
