"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BURNPUR","EQ","03-Jul-2017","          8.80","          8.85","          9.10","          8.70","          9.00","          8.95","          8.94","     381134","             3409166.30","        601","     196955","         51.68"
"BURNPUR","EQ","04-Jul-2017","          8.95","          9.10","          9.45","          9.00","          9.30","          9.30","          9.32","     786915","             7330931.35","       1306","     429671","         54.60"
"BURNPUR","EQ","05-Jul-2017","          9.30","          9.55","          9.55","          9.25","          9.40","          9.35","          9.34","     441021","             4116943.10","        595","     256078","         58.06"
"BURNPUR","EQ","06-Jul-2017","          9.35","          9.35","          9.45","          9.25","          9.45","          9.40","          9.36","     299816","             2807735.20","        487","     177163","         59.09"
"BURNPUR","EQ","07-Jul-2017","          9.40","          9.20","          9.40","          9.15","          9.20","          9.20","          9.27","     283098","             2624122.70","        532","     185750","         65.61"
"BURNPUR","EQ","10-Jul-2017","          9.20","          9.20","          9.35","          8.75","          9.10","          9.15","          9.13","     115792","             1057137.00","        215","      73421","         63.41"
"BURNPUR","EQ","11-Jul-2017","          9.15","          9.30","          9.30","          9.05","          9.15","          9.10","          9.12","     317592","             2896165.35","        499","     223932","         70.51"
"BURNPUR","EQ","12-Jul-2017","          9.10","          9.20","          9.40","          9.10","          9.20","          9.25","          9.26","     397150","             3675737.90","        417","     271536","         68.37"
"BURNPUR","EQ","13-Jul-2017","          9.25","          9.35","          9.40","          9.00","          9.05","          9.05","          9.17","     346706","             3177761.20","        600","     205188","         59.18"
"BURNPUR","EQ","14-Jul-2017","          9.05","          9.15","          9.20","          8.95","          9.00","          9.00","          9.03","     333553","             3010556.70","        391","     196695","         58.97"
"BURNPUR","EQ","17-Jul-2017","          9.00","          9.05","          9.05","          8.80","          9.00","          8.95","          8.93","     236161","             2109198.00","        445","     148372","         62.83"
