"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CPSEETF","EQ","02-Jan-2017","         25.25","         25.20","         25.38","         25.10","         25.38","         25.37","         25.33","     883208","            22375360.69","        286","     825567","         93.47"
"CPSEETF","EQ","03-Jan-2017","         25.37","         25.20","         26.00","         25.20","         25.92","         25.98","         25.64","    1328139","            34047664.98","        921","    1268908","         95.54"
"CPSEETF","EQ","04-Jan-2017","         25.98","         26.00","         26.20","         25.86","         25.91","         25.92","         26.06","     625720","            16304978.85","        456","     495749","         79.23"
"CPSEETF","EQ","05-Jan-2017","         25.92","         26.00","         26.40","         25.93","         26.32","         26.34","         26.23","     801339","            21018291.76","        686","     745299","         93.01"
"CPSEETF","EQ","06-Jan-2017","         26.34","         26.00","         26.69","         26.00","         26.35","         26.40","         26.56","     265038","             7039092.42","        406","     204621","         77.20"
"CPSEETF","EQ","09-Jan-2017","         26.40","         26.35","         26.50","         26.07","         26.12","         26.11","         26.21","     314079","             8230661.31","        363","     263045","         83.75"
"CPSEETF","EQ","10-Jan-2017","         26.11","         26.50","         26.69","         26.19","         26.24","         26.22","         26.26","     551640","            14483455.21","        399","     405891","         73.58"
"CPSEETF","EQ","11-Jan-2017","         26.22","         26.58","         26.70","         26.30","         26.63","         26.63","         26.51","     419116","            11111213.92","        812","     370297","         88.35"
"CPSEETF","EQ","12-Jan-2017","         26.63","         26.56","         26.84","         26.25","         26.82","         26.77","         26.74","     652237","            17441520.48","       1485","     501346","         76.87"
"CPSEETF","EQ","13-Jan-2017","         26.77","         26.75","         27.00","         26.70","         26.87","         26.87","         26.91","     577961","            15551530.77","        805","     426027","         73.71"
"CPSEETF","EQ","16-Jan-2017","         26.87","         27.00","         27.00","         26.76","         26.77","         26.80","         26.86","     527503","            14169988.93","        796","     453911","         86.05"
"CPSEETF","EQ","17-Jan-2017","         26.80","         27.90","         27.90","         26.42","         26.58","         26.50","         26.67","     584537","            15586782.34","       2206","     378321","         64.72"
"CPSEETF","EQ","18-Jan-2017","         26.50","         27.79","         27.79","         26.31","         26.50","         26.53","         26.56","     959197","            25474008.71","       2438","     599472","         62.50"
"CPSEETF","EQ","19-Jan-2017","         26.53","         27.29","         27.29","         26.55","         26.77","         26.75","         26.71","     984604","            26295766.51","       1414","     633464","         64.34"
"CPSEETF","EQ","20-Jan-2017","         26.75","         26.89","         26.90","         26.29","         26.35","         26.34","         26.53","     810723","            21508894.87","       1570","     587764","         72.50"
"CPSEETF","EQ","23-Jan-2017","         26.34","         28.00","         28.00","         26.35","         26.74","         26.71","         26.66","     315319","             8405847.89","        564","     223178","         70.78"
"CPSEETF","EQ","24-Jan-2017","         26.71","         26.50","         27.11","         26.50","         27.07","         27.06","         27.01","    2140903","            57830883.49","        826","    1977540","         92.37"
"CPSEETF","EQ","25-Jan-2017","         27.06","         27.06","         27.79","         27.06","         27.50","         27.58","         27.38","    1698185","            46501275.75","        940","    1561259","         91.94"
"CPSEETF","EQ","27-Jan-2017","         27.58","         27.80","         28.04","         27.50","         27.86","         27.84","         27.90","     791182","            22077733.66","        978","     606391","         76.64"
"CPSEETF","EQ","30-Jan-2017","         27.84","         27.83","         28.00","         27.45","         27.55","         27.53","         27.62","     817194","            22573146.53","        872","     635958","         77.82"
"CPSEETF","EQ","31-Jan-2017","         27.53","         26.75","         27.20","         26.20","         26.86","         26.94","         27.02","  427111144","         11539576538.38","      96019","  358437802","         83.92"
"CPSEETF","EQ","01-Feb-2017","         26.94","         27.00","         27.40","         26.65","         27.37","         27.37","         27.19","   51226986","          1393039719.20","      25037","   42980893","         83.90"
"CPSEETF","EQ","02-Feb-2017","         27.37","         27.40","         27.69","         27.15","         27.61","         27.60","         27.58","   19669032","           542485578.97","       9959","   17786993","         90.43"
"CPSEETF","EQ","03-Feb-2017","         27.60","         27.20","         27.93","         27.20","         27.90","         27.88","         27.82","   12207682","           339675309.17","       8245","   11069029","         90.67"
"CPSEETF","EQ","06-Feb-2017","         27.88","         27.90","         28.12","         27.75","         28.02","         27.99","         28.00","    6796141","           190275554.78","       5645","    6215252","         91.45"
"CPSEETF","EQ","07-Feb-2017","         27.99","         28.00","         28.21","         27.33","         27.64","         27.51","         27.98","    7838925","           219308753.14","      11468","    5982584","         76.32"
"CPSEETF","EQ","08-Feb-2017","         27.51","         27.55","         27.95","         27.15","         27.93","         27.87","         27.76","    4072442","           113044337.66","       3380","    3389999","         83.24"
"CPSEETF","EQ","09-Feb-2017","         27.87","         27.90","         28.15","         27.85","         28.02","         28.03","         28.02","    6121560","           171545622.36","      26854","    5525616","         90.26"
"CPSEETF","EQ","10-Feb-2017","         28.03","         28.05","         28.10","         27.86","         27.92","         27.93","         27.95","    2165937","            60537162.58","       2312","    1587988","         73.32"
"CPSEETF","EQ","13-Feb-2017","         27.93","         27.90","         27.91","         27.46","         27.72","         27.73","         27.67","    2588500","            71632229.62","       2779","    1956158","         75.57"
"CPSEETF","EQ","14-Feb-2017","         27.73","         27.70","         27.77","         27.51","         27.73","         27.74","         27.66","    4693910","           129818778.10","       2438","    3821874","         81.42"
"CPSEETF","EQ","15-Feb-2017","         27.74","         27.75","         27.93","         27.45","         27.52","         27.48","         27.69","    2939072","            81372397.44","       2954","    2155978","         73.36"
"CPSEETF","EQ","16-Feb-2017","         27.48","         28.00","         28.25","         27.33","         27.67","         27.67","         27.60","    2726240","            75256097.37","       2009","    2228299","         81.74"
"CPSEETF","EQ","17-Feb-2017","         27.67","         27.01","         27.87","         22.50","         27.86","         27.82","         27.77","    3521737","            97806247.60","       2467","    3052630","         86.68"
"CPSEETF","EQ","20-Feb-2017","         27.82","         27.80","         28.13","         27.80","         28.10","         28.09","         28.01","    8375050","           234619572.93","       5131","    7939816","         94.80"
"CPSEETF","EQ","21-Feb-2017","         28.09","         28.11","         28.34","         28.00","         28.31","         28.31","         28.26","    5950070","           168130055.68","       4567","    5414634","         91.00"
"CPSEETF","EQ","22-Feb-2017","         28.31","         28.30","         28.57","         28.30","         28.40","         28.39","         28.47","    3805431","           108346188.39","       3648","    3457391","         90.85"
"CPSEETF","EQ","23-Feb-2017","         28.39","         28.35","         28.50","         28.25","         28.30","         28.30","         28.40","    1790550","            50846868.00","       2076","    1530182","         85.46"
"CPSEETF","EQ","27-Feb-2017","         28.30","         28.30","         28.50","         28.18","         28.32","         28.26","         28.24","    8892814","           251131479.60","       4559","    8554864","         96.20"
"CPSEETF","EQ","28-Feb-2017","         28.26","         28.35","         28.37","         28.01","         28.20","         28.13","         28.16","    4637140","           130597623.28","       2665","    4244076","         91.52"
"CPSEETF","EQ","01-Mar-2017","         28.13","         28.15","         28.34","         28.00","         28.07","         28.04","         28.10","    9078182","           255110989.78","       5432","    8664712","         95.45"
"CPSEETF","EQ","02-Mar-2017","         28.04","         28.13","         28.26","         27.82","         27.94","         27.90","         28.13","    5506942","           154905919.36","      15651","    5160665","         93.71"
"CPSEETF","EQ","03-Mar-2017","         27.90","         27.80","         28.07","         27.78","         28.00","         27.99","         27.94","    5298033","           148050250.79","       3041","    4771049","         90.05"
"CPSEETF","EQ","06-Mar-2017","         27.99","         28.04","         28.30","         28.04","         28.24","         28.26","         28.22","    4610481","           130108521.05","       5193","    4062426","         88.11"
"CPSEETF","EQ","07-Mar-2017","         28.26","         28.24","         28.38","         28.00","         28.30","         28.29","         28.29","    4879292","           138025643.47","       1520","    3973344","         81.43"
"CPSEETF","EQ","08-Mar-2017","         28.29","         28.40","         28.40","         27.85","         27.98","         27.90","         27.97","   12325185","           344723122.91","       1800","   11976290","         97.17"
"CPSEETF","EQ","09-Mar-2017","         27.90","         27.95","         27.95","         27.64","         27.68","         27.66","         27.73","    4692646","           130111223.01","       2120","    4145865","         88.35"
"CPSEETF","EQ","10-Mar-2017","         27.66","         27.68","         27.80","         27.56","         27.70","         27.71","         27.65","    5666357","           156686045.15","       2327","    5492331","         96.93"
"CPSEETF","EQ","14-Mar-2017","         27.71","         28.20","         28.30","         27.76","         27.80","         27.78","         27.90","    5312794","           148231737.50","       3144","    4905916","         92.34"
"CPSEETF","EQ","15-Mar-2017","         27.78","         27.90","         27.90","         27.67","         27.69","         27.69","         27.76","    3722535","           103342280.36","       2512","    3425321","         92.02"
"CPSEETF","EQ","16-Mar-2017","         27.69","         27.80","         28.00","         27.75","         28.00","         27.97","         27.90","    7015589","           195736178.21","       3167","    6602512","         94.11"
