"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CAMLINFINE","EQ","03-Apr-2017","         89.50","         90.90","         91.15","         89.10","         89.55","         89.50","         89.95","     203311","            18287457.10","       1378","     138733","         68.24"
"CAMLINFINE","EQ","05-Apr-2017","         89.50","         89.90","         93.30","         89.70","         92.00","         91.90","         91.47","     346023","            31650632.95","       3127","     160445","         46.37"
"CAMLINFINE","EQ","06-Apr-2017","         91.90","         92.25","         97.15","         90.85","         96.45","         96.45","         95.43","    1416919","           135210551.05","       9036","     611401","         43.15"
"CAMLINFINE","EQ","07-Apr-2017","         96.45","         96.00","         98.90","         95.50","         96.85","         96.70","         97.81","     563222","            55086862.75","       4025","     315347","         55.99"
"CAMLINFINE","EQ","10-Apr-2017","         96.70","         97.30","         98.45","         95.00","         97.00","         96.65","         96.82","     232269","            22488982.50","       2318","     129495","         55.75"
"CAMLINFINE","EQ","11-Apr-2017","         96.65","         97.05","         99.80","         95.25","         98.50","         97.65","         98.03","     395652","            38787545.00","       3003","     212481","         53.70"
"CAMLINFINE","EQ","12-Apr-2017","         97.65","         97.90","         98.75","         95.40","         95.50","         95.75","         96.43","     155001","            14947126.45","       1513","      87275","         56.31"
"CAMLINFINE","EQ","13-Apr-2017","         95.75","         95.95","        100.30","         95.00","         97.25","         97.25","         98.24","     390995","            38413217.30","       2926","     211701","         54.14"
"CAMLINFINE","EQ","17-Apr-2017","         97.25","         96.50","         98.25","         95.50","         96.25","         96.05","         96.86","     177670","            17209571.40","       1569","     112836","         63.51"
"CAMLINFINE","EQ","18-Apr-2017","         96.05","         96.55","         98.10","         92.80","         93.00","         93.40","         95.74","     184615","            17674749.85","       1927","      98177","         53.18"
"CAMLINFINE","EQ","19-Apr-2017","         93.40","         93.90","         93.90","         91.60","         92.75","         92.55","         92.75","     219525","            20361572.35","       2412","     108268","         49.32"
"CAMLINFINE","EQ","20-Apr-2017","         92.55","         93.10","         97.00","         92.15","         95.00","         95.25","         94.54","     342051","            32338503.70","       2145","     171726","         50.20"
"CAMLINFINE","EQ","21-Apr-2017","         95.25","         96.00","         97.45","         94.50","         95.50","         95.30","         95.97","     252716","            24253370.40","       2069","     109253","         43.23"
"CAMLINFINE","EQ","24-Apr-2017","         95.30","         95.70","         96.05","         94.10","         94.20","         94.45","         94.93","     170895","            16222866.00","       1503","      60700","         35.52"
"CAMLINFINE","EQ","25-Apr-2017","         94.45","         94.95","         96.75","         94.75","         95.40","         95.30","         95.70","     165914","            15877339.45","       1425","      76168","         45.91"
"CAMLINFINE","EQ","26-Apr-2017","         95.30","         95.50","         96.20","         92.90","         93.45","         93.55","         94.43","     137297","            12964338.35","       1545","      74597","         54.33"
"CAMLINFINE","EQ","27-Apr-2017","         93.55","         93.20","         93.95","         88.80","         90.70","         90.55","         90.62","     617360","            55944893.50","       4634","     247552","         40.10"
"CAMLINFINE","EQ","28-Apr-2017","         90.55","         91.90","         94.70","         89.95","         92.20","         91.90","         92.23","     416898","            38450183.40","       2353","     230045","         55.18"
"CAMLINFINE","EQ","02-May-2017","         91.90","         92.30","         93.60","         91.25","         91.45","         91.65","         92.31","     130418","            12038288.40","       1218","      64308","         49.31"
"CAMLINFINE","EQ","03-May-2017","         91.65","         91.70","         95.50","         90.90","         94.30","         94.10","         93.75","     363485","            34077221.10","       2582","     206006","         56.68"
"CAMLINFINE","EQ","04-May-2017","         94.10","         94.10","         94.75","         92.30","         92.50","         92.75","         93.69","     143819","            13474139.95","       1264","      56682","         39.41"
