"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CANBK","EQ","03-Apr-2017","        302.75","        303.00","        305.00","        301.75","        304.30","        304.45","        303.73","    1297791","           394173063.25","      14360","     348235","         26.83"
"CANBK","EQ","05-Apr-2017","        304.45","        304.80","        313.25","        303.75","        310.40","        310.50","        309.64","    4118364","          1275189868.40","      40205","    1147764","         27.87"
"CANBK","EQ","06-Apr-2017","        310.50","        309.95","        314.50","        307.15","        309.10","        309.95","        310.83","    2857552","           888206535.10","      23259","     595787","         20.85"
"CANBK","EQ","07-Apr-2017","        309.95","        307.80","        311.35","        303.20","        304.10","        304.80","        308.24","    1859517","           573168353.20","      18022","     230314","         12.39"
"CANBK","EQ","10-Apr-2017","        304.80","        305.05","        310.30","        303.15","        309.65","        309.45","        306.68","    1880514","           576725435.85","      17742","     278894","         14.83"
"CANBK","EQ","11-Apr-2017","        309.45","        309.65","        316.60","        309.20","        315.75","        316.00","        313.47","    3645716","          1142809893.55","      34055","     904839","         24.82"
"CANBK","EQ","12-Apr-2017","        316.00","        317.00","        319.90","        311.25","        312.50","        312.25","        314.79","    2749368","           865481922.90","      20166","     656410","         23.87"
"CANBK","EQ","13-Apr-2017","        312.25","        313.90","        319.30","        313.05","        314.50","        314.45","        316.43","    2896236","           916466127.80","      20085","     494766","         17.08"
"CANBK","EQ","17-Apr-2017","        314.45","        314.70","        315.80","        307.35","        309.65","        310.20","        310.48","    1420268","           440962235.75","      11393","     226171","         15.92"
"CANBK","EQ","18-Apr-2017","        310.20","        311.00","        321.85","        311.00","        312.25","        312.75","        316.57","    4485822","          1420073265.30","      32746","     939889","         20.95"
"CANBK","EQ","19-Apr-2017","        312.75","        312.55","        319.00","        309.30","        318.25","        317.65","        315.35","    3790043","          1195186767.00","      41620","    1378207","         36.36"
"CANBK","EQ","20-Apr-2017","        317.65","        318.00","        327.35","        316.70","        326.00","        325.15","        323.17","    4843801","          1565359039.80","      36979","    1295725","         26.75"
"CANBK","EQ","21-Apr-2017","        325.15","        326.50","        327.10","        320.20","        322.65","        323.10","        323.84","    3264026","          1057009007.05","      19820","    1145103","         35.08"
