"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CAPLIPOINT","EQ","03-Jul-2017","        552.70","        551.10","        574.40","        551.10","        571.00","        571.45","        567.65","      48553","            27560883.50","       2341","      23156","         47.69"
"CAPLIPOINT","EQ","04-Jul-2017","        571.45","        574.45","        598.95","        572.30","        592.95","        590.55","        586.21","     127256","            74598740.10","       5047","      47861","         37.61"
"CAPLIPOINT","EQ","05-Jul-2017","        590.55","        592.00","        682.55","        592.00","        673.10","        652.85","        629.31","     414152","           260628573.55","      11596","     101077","         24.41"
"CAPLIPOINT","EQ","06-Jul-2017","        652.85","        684.00","        718.80","        684.00","        689.50","        692.80","        702.90","     479227","           336850589.45","      17540","     101355","         21.15"
"CAPLIPOINT","EQ","07-Jul-2017","        692.80","        689.95","        699.00","        665.05","        688.00","        689.05","        682.86","     187138","           127788132.70","       7086","      40740","         21.77"
"CAPLIPOINT","EQ","10-Jul-2017","        689.05","        694.85","        694.85","        565.00","        680.00","        677.15","        676.01","      14152","             9566888.00","        640","       8554","         60.44"
"CAPLIPOINT","EQ","11-Jul-2017","        677.15","        683.00","        698.50","        675.00","        682.00","        680.70","        687.71","      84835","            58342170.15","       3057","      27639","         32.58"
"CAPLIPOINT","EQ","12-Jul-2017","        680.70","        687.00","        761.95","        676.00","        760.00","        755.80","        733.68","     705740","           517785017.50","      20009","     154494","         21.89"
"CAPLIPOINT","EQ","13-Jul-2017","        755.80","        762.65","        767.25","        734.00","        736.00","        738.65","        747.93","     184012","           137627944.25","       6309","      61584","         33.47"
"CAPLIPOINT","EQ","14-Jul-2017","        738.65","        741.00","        775.00","        705.30","        715.00","        718.15","        747.84","     342449","           256097948.05","      11913","      88519","         25.85"
"CAPLIPOINT","EQ","17-Jul-2017","        718.15","        724.90","        737.95","        705.00","        707.00","        708.05","        718.85","     123754","            88960511.80","       4484","      51852","         41.90"
"CAPLIPOINT","EQ","18-Jul-2017","        708.05","        713.70","        713.70","        680.00","        689.00","        684.90","        691.15","     124096","            85768439.05","       4573","      49580","         39.95"
"CAPLIPOINT","EQ","19-Jul-2017","        684.90","        684.00","        720.50","        684.00","        696.00","        696.40","        700.32","     162830","           114033802.30","       4450","      42124","         25.87"
"CAPLIPOINT","EQ","20-Jul-2017","        696.40","        702.35","        707.95","        681.30","        691.85","        690.35","        695.11","      81355","            56550813.00","       3429","      25878","         31.81"
"CAPLIPOINT","EQ","21-Jul-2017","        690.35","        695.50","        718.80","        684.00","        713.00","        711.85","        702.69","     162043","           113865532.65","       6228","      49688","         30.66"
"CAPLIPOINT","EQ","24-Jul-2017","        711.85","        717.80","        717.80","        696.00","        697.00","        699.60","        702.88","      94315","            66292404.60","       3783","      30424","         32.26"
"CAPLIPOINT","EQ","25-Jul-2017","        699.60","        700.05","        706.00","        680.00","        682.15","        685.50","        691.62","      86231","            59638666.85","       4412","      40547","         47.02"
"CAPLIPOINT","EQ","26-Jul-2017","        685.50","        685.50","        705.00","        685.50","        695.10","        693.80","        696.99","      81224","            56612448.15","       3224","      28246","         34.78"
"CAPLIPOINT","EQ","27-Jul-2017","        693.80","        698.00","        703.25","        673.20","        678.00","        680.10","        686.50","     128211","            88017256.30","       4003","      51253","         39.98"
"CAPLIPOINT","EQ","28-Jul-2017","        680.10","        678.50","        711.90","        675.00","        684.25","        685.15","        684.45","      86151","            58965728.00","       3043","      22455","         26.06"
"CAPLIPOINT","EQ","31-Jul-2017","        685.15","        685.00","        693.50","        678.65","        681.50","        680.90","        684.01","      52510","            35917346.20","       2307","      20341","         38.74"
"CAPLIPOINT","EQ","01-Aug-2017","        680.90","        685.00","        693.40","        677.00","        678.25","        681.50","        682.92","      75672","            51677759.80","       1739","      42923","         56.72"
"CAPLIPOINT","EQ","02-Aug-2017","        681.50","        682.05","        731.75","        682.05","        729.00","        726.50","        715.52","     332277","           237749983.30","       9814","      88344","         26.59"
"CAPLIPOINT","EQ","03-Aug-2017","        726.50","        733.40","        766.50","        725.05","        732.00","        731.80","        749.13","     450911","           337791139.60","      17833","      91517","         20.30"
"CAPLIPOINT","EQ","04-Aug-2017","        731.80","        734.80","        745.05","        726.05","        730.30","        733.25","        734.10","     141591","           103942160.55","       4768","      38276","         27.03"
"CAPLIPOINT","EQ","07-Aug-2017","        733.25","        737.80","        784.80","        735.50","        759.30","        758.55","        761.87","     468384","           356846059.20","      14513","     104139","         22.23"
"CAPLIPOINT","EQ","08-Aug-2017","        758.55","        767.00","        777.00","        721.50","        727.15","        727.80","        747.13","     180461","           134828432.50","       6760","      63367","         35.11"
"CAPLIPOINT","EQ","09-Aug-2017","        727.80","        727.10","        727.10","        684.15","        701.00","        701.05","        705.48","     105157","            74185838.70","       5300","      36757","         34.95"
"CAPLIPOINT","EQ","10-Aug-2017","        701.05","        698.30","        698.30","        601.30","        661.00","        657.85","        673.25","     132382","            89126703.80","       5377","      50334","         38.02"
"CAPLIPOINT","EQ","11-Aug-2017","        657.85","        631.00","        704.45","        620.00","        673.05","        678.50","        668.65","     202979","           135721299.15","       8120","      64744","         31.90"
"CAPLIPOINT","EQ","14-Aug-2017","        678.50","        689.95","        715.40","        683.00","        685.55","        688.50","        695.52","     110598","            76922838.50","       4699","      39450","         35.67"
"CAPLIPOINT","EQ","16-Aug-2017","        688.50","        693.80","        708.00","        678.10","        685.90","        684.45","        693.24","      87382","            60576588.55","       3885","      25801","         29.53"
"CAPLIPOINT","EQ","17-Aug-2017","        684.45","        686.00","        699.80","        665.95","        671.00","        670.45","        682.11","     106871","            72897854.70","       4094","      31724","         29.68"
"CAPLIPOINT","EQ","18-Aug-2017","        670.45","        664.00","        687.65","        657.00","        676.20","        674.80","        672.73","      78814","            53020439.95","       4277","      24393","         30.95"
"CAPLIPOINT","EQ","21-Aug-2017","        674.80","        670.05","        687.05","        655.00","        660.00","        659.85","        667.82","      72183","            48205390.65","       3229","      33145","         45.92"
"CAPLIPOINT","EQ","22-Aug-2017","        659.85","        668.95","        668.95","        626.10","        646.00","        643.30","        647.24","      85395","            55270698.95","       4381","      29840","         34.94"
"CAPLIPOINT","EQ","23-Aug-2017","        643.30","        640.00","        658.85","        629.00","        640.00","        641.25","        642.68","      75245","            48358204.90","       2848","      34872","         46.34"
"CAPLIPOINT","EQ","24-Aug-2017","        641.25","        649.45","        672.00","        636.10","        663.00","        664.75","        656.58","     138147","            90704920.25","       6409","      36097","         26.13"
"CAPLIPOINT","EQ","28-Aug-2017","        664.75","        666.00","        678.50","        655.50","        669.00","        668.75","        669.80","      98132","            65729216.80","       3629","      33033","         33.66"
"CAPLIPOINT","EQ","29-Aug-2017","        668.75","        668.75","        669.00","        650.10","        652.00","        652.80","        659.09","      52907","            34870366.40","       1885","      23831","         45.04"
"CAPLIPOINT","EQ","30-Aug-2017","        652.80","        668.95","        668.95","        647.80","        649.00","        650.30","        656.96","      62283","            40917663.55","       2731","      24137","         38.75"
"CAPLIPOINT","EQ","31-Aug-2017","        650.30","        651.00","        658.95","        645.40","        653.00","        651.10","        650.69","      41317","            26884666.80","       1715","      14216","         34.41"
"CAPLIPOINT","EQ","01-Sep-2017","        651.10","        650.10","        666.45","        649.00","        654.00","        651.50","        656.36","      55207","            36235428.00","       2706","      22473","         40.71"
"CAPLIPOINT","EQ","04-Sep-2017","        651.50","        645.10","        664.80","        645.05","        646.00","        648.05","        652.46","      57655","            37617526.95","       2814","      18199","         31.57"
"CAPLIPOINT","EQ","05-Sep-2017","        648.05","        654.90","        656.00","        646.00","        647.00","        649.50","        650.25","      29366","            19095258.45","       1746","      13680","         46.58"
"CAPLIPOINT","EQ","06-Sep-2017","        649.50","        646.05","        652.95","        640.00","        643.00","        642.20","        644.56","      40228","            25929363.40","       2770","      14414","         35.83"
"CAPLIPOINT","EQ","07-Sep-2017","        642.20","        647.20","        664.20","        643.00","        646.00","        646.25","        652.05","      77002","            50209061.90","       3354","      28203","         36.63"
"CAPLIPOINT","EQ","08-Sep-2017","        646.25","        651.05","        654.70","        636.00","        637.00","        640.80","        643.33","      81382","            52355764.10","       4035","      32772","         40.27"
"CAPLIPOINT","EQ","11-Sep-2017","        640.80","        649.95","        650.00","        637.00","        640.95","        642.20","        643.24","      31957","            20556043.65","       1834","      17958","         56.19"
"CAPLIPOINT","EQ","12-Sep-2017","        642.20","        647.00","        654.00","        641.10","        647.00","        648.40","        647.60","      44175","            28607847.20","       2603","      17577","         39.79"
"CAPLIPOINT","EQ","13-Sep-2017","        648.40","        648.15","        703.70","        646.05","        688.70","        685.40","        680.83","     334545","           227766819.35","      13580","      96579","         28.87"
"CAPLIPOINT","EQ","14-Sep-2017","        685.40","        693.90","        719.80","        691.20","        706.00","        708.40","        706.42","     285385","           201600497.95","       9850","      68915","         24.15"
"CAPLIPOINT","EQ","15-Sep-2017","        708.40","        704.00","        711.00","        683.00","        686.00","        691.05","        699.33","     106006","            74133387.25","       5983","      47074","         44.41"
"CAPLIPOINT","EQ","18-Sep-2017","        691.05","        694.10","        719.95","        694.00","        703.90","        706.95","        708.55","     160707","           113869424.15","       7547","      65664","         40.86"
"CAPLIPOINT","EQ","19-Sep-2017","        706.95","        709.95","        745.00","        705.50","        728.00","        727.10","        727.24","     295822","           215133977.00","      13291","      86585","         29.27"
