"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CGCL","EQ","02-Jan-2017","         53.50","         54.85","         56.15","         53.05","         56.15","         56.05","         54.68","      21700","             1186661.80","        115","      20722","         95.49"
"CGCL","EQ","03-Jan-2017","         56.05","         55.10","         58.70","         55.10","         57.80","         57.40","         58.01","       3815","              221301.20","         76","       2644","         69.31"
"CGCL","EQ","04-Jan-2017","         57.40","         57.70","         59.95","         57.70","         59.95","         59.35","         58.95","       9245","              545015.40","         86","       6419","         69.43"
"CGCL","EQ","05-Jan-2017","         59.35","         59.00","         60.90","         57.00","         59.00","         58.35","         57.69","       9895","              570886.45","        144","       6742","         68.14"
"CGCL","EQ","06-Jan-2017","         58.35","         59.90","         59.90","         55.50","         56.00","         56.10","         56.86","       7893","              448788.95","        114","       6642","         84.15"
"CGCL","EQ","09-Jan-2017","         56.10","         56.10","         57.75","         56.00","         56.45","         56.95","         56.71","       9494","              538381.50","        126","       7184","         75.67"
"CGCL","EQ","10-Jan-2017","         56.95","         56.05","         58.45","         56.05","         57.00","         57.40","         57.09","       7083","              404378.50","         71","       5488","         77.48"
"CGCL","EQ","11-Jan-2017","         57.40","         57.90","         57.95","         56.15","         56.15","         56.40","         56.73","       2622","              148743.20","         44","       2210","         84.29"
"CGCL","EQ","12-Jan-2017","         56.40","         57.85","         58.90","         55.65","         58.90","         58.35","         57.50","       8418","              484022.95","         80","       7500","         89.09"
"CGCL","EQ","13-Jan-2017","         58.35","         58.70","         58.70","         55.50","         56.50","         56.60","         56.65","      13142","              744490.30","         83","      10372","         78.92"
"CGCL","EQ","16-Jan-2017","         56.60","         56.60","         56.95","         55.00","         56.00","         55.80","         55.65","      14725","              819393.90","        173","      11307","         76.79"
"CGCL","EQ","17-Jan-2017","         55.80","         56.40","         57.90","         53.10","         56.50","         56.35","         55.90","      10925","              610717.10","        167","       5996","         54.88"
"CGCL","EQ","18-Jan-2017","         56.35","         57.35","         58.00","         55.00","         56.75","         56.55","         56.39","      18802","             1060334.10","        137","      11933","         63.47"
"CGCL","EQ","19-Jan-2017","         56.55","         57.50","         59.35","         55.60","         59.35","         59.15","         57.78","      25110","             1450941.90","        128","      21356","         85.05"
"CGCL","EQ","20-Jan-2017","         59.15","         60.15","         62.10","         59.15","         60.25","         59.70","         60.69","      11756","              713459.90","        122","       9053","         77.01"
"CGCL","EQ","23-Jan-2017","         59.70","         60.00","         62.65","         57.55","         62.65","         62.65","         61.75","      12791","              789789.40","        131","      12064","         94.32"
"CGCL","EQ","24-Jan-2017","         62.65","         64.95","         65.45","         62.00","         62.00","         62.35","         63.76","      35001","             2231718.80","        829","      23668","         67.62"
"CGCL","EQ","25-Jan-2017","         62.35","         62.50","         63.70","         60.55","         62.00","         61.35","         61.98","       5662","              350935.35","        104","       4141","         73.14"
"CGCL","EQ","27-Jan-2017","         61.35","         63.50","         63.50","         61.10","         61.80","         61.90","         61.84","      13446","              831512.55","        121","      11242","         83.61"
"CGCL","EQ","30-Jan-2017","         61.90","         62.90","         64.95","         59.60","         62.00","         62.85","         62.85","      55080","             3461735.35","        352","      22139","         40.19"
"CGCL","EQ","31-Jan-2017","         62.85","         61.70","         61.80","         59.75","         59.75","         59.85","         59.99","      89359","             5360355.70","        190","      53577","         59.96"
"CGCL","EQ","01-Feb-2017","         59.85","         59.70","         59.70","         56.90","         57.05","         57.55","         57.65","      15936","              918723.20","        185","      10026","         62.91"
"CGCL","EQ","02-Feb-2017","         57.55","         57.00","         59.45","         54.70","         54.70","         54.80","         55.50","     116944","             6489887.00","        378","      53085","         45.39"
"CGCL","EQ","03-Feb-2017","         54.80","         54.80","         55.75","         53.15","         55.10","         55.20","         54.94","      11402","              626463.80","        168","       8463","         74.22"
"CGCL","EQ","06-Feb-2017","         55.20","         56.00","         57.95","         52.45","         52.45","         52.45","         54.07","     300290","            16236878.75","       1063","     110346","         36.75"
"CGCL","EQ","07-Feb-2017","         52.45","         53.90","         57.85","         42.85","         48.80","         47.60","         48.19","     927357","            44691328.65","       3949","     372709","         40.19"
"CGCL","EQ","08-Feb-2017","         47.60","         52.50","         52.50","         43.50","         48.45","         48.70","         48.91","     157137","             7684996.55","       1030","     103062","         65.59"
"CGCL","EQ","09-Feb-2017","         48.70","         48.25","         50.00","         47.05","         49.20","         48.95","         48.69","      99578","             4848543.15","        530","      73082","         73.39"
"CGCL","EQ","10-Feb-2017","         48.95","         49.30","         49.35","         48.10","         48.50","         48.40","         48.72","      32918","             1603693.25","        248","      22693","         68.94"
"CGCL","EQ","13-Feb-2017","         48.40","         48.50","         49.70","         46.15","         47.05","         47.35","         47.57","      51702","             2459442.95","        417","      30913","         59.79"
"CGCL","EQ","14-Feb-2017","         47.35","         47.50","         47.50","         45.05","         45.90","         45.50","         45.93","      52471","             2409943.05","        375","      37177","         70.85"
"CGCL","EQ","15-Feb-2017","         45.50","         46.70","         46.75","         42.15","         42.70","         42.50","         43.25","     119603","             5172593.80","        685","      90382","         75.57"
"CGCL","EQ","16-Feb-2017","         42.50","         41.75","         42.70","         38.20","         39.60","         39.30","         40.01","     168182","             6729751.25","        983","     106801","         63.50"
"CGCL","EQ","17-Feb-2017","         39.30","         39.30","         47.15","         38.05","         43.10","         44.15","         44.76","     577268","            25840899.85","       2869","     278174","         48.19"
"CGCL","EQ","20-Feb-2017","         44.15","         44.50","         47.80","         43.50","         46.75","         46.40","         45.60","     222365","            10140813.60","       2254","     102468","         46.08"
"CGCL","EQ","21-Feb-2017","         46.40","         47.80","         53.95","         46.20","         52.45","         52.55","         50.81","     491097","            24954380.60","       3673","     231798","         47.20"
"CGCL","EQ","22-Feb-2017","         52.55","         53.00","         54.40","         51.05","         52.20","         52.05","         52.65","     238292","            12545351.45","       2189","     116960","         49.08"
"CGCL","EQ","23-Feb-2017","         52.05","         52.05","         55.00","         51.95","         53.00","         53.20","         53.79","     160320","             8623563.60","       1248","      85710","         53.46"
"CGCL","EQ","27-Feb-2017","         53.20","         53.20","         53.20","         49.60","         50.90","         51.25","         51.44","     102898","             5293576.35","        751","      71780","         69.76"
"CGCL","EQ","28-Feb-2017","         51.25","         51.00","         51.80","         50.65","         50.80","         51.10","         51.14","      27713","             1417221.25","        200","      16043","         57.89"
"CGCL","EQ","01-Mar-2017","         51.10","         51.10","         52.00","         48.00","         49.15","         49.35","         49.61","      76307","             3785802.10","        707","      42621","         55.85"
"CGCL","EQ","02-Mar-2017","         49.35","         49.15","         49.90","         48.00","         48.10","         48.15","         48.82","      45700","             2231244.70","        315","      36975","         80.91"
"CGCL","EQ","03-Mar-2017","         48.15","         48.15","         48.85","         47.20","         48.20","         48.00","         47.64","      21377","             1018365.10","        254","      14090","         65.91"
"CGCL","EQ","06-Mar-2017","         48.00","         48.30","         51.00","         47.80","         50.65","         50.50","         49.91","      31220","             1558056.85","        329","      20322","         65.09"
"CGCL","EQ","07-Mar-2017","         50.50","         51.10","         52.05","         50.50","         50.75","         50.65","         51.12","      37724","             1928426.95","        269","      25432","         67.42"
"CGCL","EQ","08-Mar-2017","         50.65","         50.65","         51.00","         49.10","         49.80","         49.45","         49.63","      14756","              732351.15","        122","      11114","         75.32"
"CGCL","EQ","09-Mar-2017","         49.45","         49.25","         50.00","         48.65","         49.40","         49.55","         49.58","      12837","              636420.70","        117","       8971","         69.88"
"CGCL","EQ","10-Mar-2017","         49.55","         49.65","         50.25","         48.15","         48.50","         48.40","         48.78","      31316","             1527746.90","        185","      21399","         68.33"
"CGCL","EQ","14-Mar-2017","         48.40","         49.15","         50.65","         48.50","         49.00","         48.85","         49.61","      39788","             1973961.90","        368","      27012","         67.89"
"CGCL","EQ","15-Mar-2017","         48.85","         48.95","         49.90","         48.25","         48.60","         48.65","         49.09","      11159","              547792.90","        104","       6737","         60.37"
"CGCL","EQ","16-Mar-2017","         48.65","         48.75","         49.85","         48.75","         49.15","         49.45","         49.36","      27971","             1380623.10","        148","      17240","         61.64"
"CGCL","EQ","17-Mar-2017","         49.45","         49.80","         49.95","         48.90","         49.00","         49.00","         49.23","      15877","              781696.85","         75","      13469","         84.83"
"CGCL","EQ","20-Mar-2017","         49.00","         49.90","         49.90","         47.60","         48.25","         48.30","         48.51","      17251","              836850.85","        110","      14279","         82.77"
"CGCL","EQ","21-Mar-2017","         48.30","         48.60","         48.80","         46.90","         47.10","         47.10","         47.40","      26600","             1260966.50","        201","      21341","         80.23"
"CGCL","EQ","22-Mar-2017","         47.10","         47.10","         47.90","         47.00","         47.00","         47.00","         47.27","       8922","              421726.70","         98","       7557","         84.70"
"CGCL","EQ","23-Mar-2017","         47.00","         47.15","         47.85","         46.50","         47.50","         47.45","         46.87","     916396","            42948649.35","        385","     889980","         97.12"
"CGCL","EQ","24-Mar-2017","         47.45","         47.90","         54.90","         47.90","         52.10","         52.50","         53.45","     457061","            24430721.00","       3361","     195036","         42.67"
"CGCL","EQ","27-Mar-2017","         52.50","         52.95","         53.50","         50.30","         50.70","         51.60","         51.65","     112921","             5832333.90","       1036","      60898","         53.93"
"CGCL","EQ","28-Mar-2017","         51.60","         51.75","         57.00","         51.05","         52.95","         52.90","         54.03","     280582","            15158807.40","       2702","     145738","         51.94"
"CGCL","EQ","29-Mar-2017","         52.90","         53.70","         53.90","         51.60","         52.05","         52.25","         52.88","      71573","             3784426.85","        498","      41926","         58.58"
"CGCL","EQ","30-Mar-2017","         52.25","         52.25","         52.85","         51.25","         52.15","         52.50","         52.30","      30816","             1611783.70","        207","      19554","         63.45"
"CGCL","EQ","31-Mar-2017","         52.50","         52.50","         56.30","         51.60","         56.00","         55.65","         55.14","     312028","            17205396.20","        841","     274336","         87.92"
