"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CENTEXT","EQ","02-Jan-2017","          7.15","          7.10","          7.50","          6.90","          7.25","          7.25","          7.28","     145305","             1057116.85","        128","     102820","         70.76"
"CENTEXT","EQ","03-Jan-2017","          7.25","          7.05","          7.55","          7.05","          7.10","          7.10","          7.27","     164371","             1195525.75","        165","     110530","         67.24"
"CENTEXT","EQ","04-Jan-2017","          7.10","          7.25","          7.25","          6.90","          7.05","          6.95","          7.05","     109713","              773516.30","        158","      72669","         66.24"
"CENTEXT","EQ","05-Jan-2017","          6.95","          7.00","          7.15","          6.90","          6.95","          6.95","          6.97","     110850","              772236.20","        127","      86217","         77.78"
"CENTEXT","EQ","06-Jan-2017","          6.95","          7.15","          7.15","          6.65","          6.65","          6.80","          6.76","     181337","             1226275.75","        247","     143619","         79.20"
"CENTEXT","EQ","09-Jan-2017","          6.80","          6.75","          6.80","          6.50","          6.60","          6.55","          6.62","     119732","              792647.20","        172","      77782","         64.96"
"CENTEXT","EQ","10-Jan-2017","          6.55","          6.85","          6.85","          6.25","          6.30","          6.35","          6.35","     193411","             1227630.10","        282","     119956","         62.02"
"CENTEXT","EQ","11-Jan-2017","          6.35","          6.50","          6.65","          6.35","          6.65","          6.65","          6.60","     117337","              774333.55","        113","     105894","         90.25"
"CENTEXT","EQ","12-Jan-2017","          6.65","          6.95","          6.95","          6.45","          6.85","          6.90","          6.86","     203079","             1393723.10","        331","     123436","         60.78"
"CENTEXT","EQ","13-Jan-2017","          6.90","          6.90","          7.05","          6.60","          6.75","          6.70","          6.66","     172848","             1150806.50","        187","     117606","         68.04"
"CENTEXT","EQ","16-Jan-2017","          6.70","          6.55","          6.85","          6.40","          6.55","          6.55","          6.55","     173744","             1137765.65","        246","     108775","         62.61"
"CENTEXT","EQ","17-Jan-2017","          6.55","          6.80","          6.80","          6.40","          6.55","          6.55","          6.54","      30655","              200508.70","        105","      26631","         86.87"
"CENTEXT","EQ","18-Jan-2017","          6.55","          6.75","          6.80","          6.45","          6.60","          6.60","          6.63","     136931","              907396.85","        107","     126990","         92.74"
"CENTEXT","EQ","19-Jan-2017","          6.60","          6.85","          6.85","          6.45","          6.55","          6.60","          6.58","      75139","              494094.90","        142","      66607","         88.65"
"CENTEXT","EQ","20-Jan-2017","          6.60","          6.70","          6.75","          6.50","          6.75","          6.60","          6.60","     107284","              707743.15","        156","      94617","         88.19"
"CENTEXT","EQ","23-Jan-2017","          6.60","          6.75","          6.75","          6.50","          6.70","          6.75","          6.68","     112488","              751102.10","        196","      98995","         88.00"
"CENTEXT","EQ","24-Jan-2017","          6.75","          6.85","          6.85","          6.55","          6.75","          6.65","          6.67","      95385","              635814.70","        151","      78956","         82.78"
"CENTEXT","EQ","25-Jan-2017","          6.65","          6.80","          6.80","          6.45","          6.45","          6.55","          6.61","     133096","              879657.10","        220","     108663","         81.64"
"CENTEXT","EQ","27-Jan-2017","          6.55","          6.60","          6.60","          6.35","          6.55","          6.50","          6.51","     113083","              736164.75","        189","      92394","         81.70"
"CENTEXT","EQ","30-Jan-2017","          6.50","          6.60","          6.80","          6.50","          6.60","          6.60","          6.70","     184456","             1235303.60","        198","     126354","         68.50"
"CENTEXT","EQ","31-Jan-2017","          6.60","          6.60","          6.70","          6.45","          6.55","          6.55","          6.57","      94614","              621574.25","        156","      54778","         57.90"
"CENTEXT","EQ","01-Feb-2017","          6.55","          6.75","          6.75","          6.30","          6.55","          6.50","          6.44","     139960","              900740.50","        168","      91407","         65.31"
"CENTEXT","EQ","02-Feb-2017","          6.50","          6.75","          6.75","          6.40","          6.55","          6.55","          6.51","      48140","              313385.10","         87","      37725","         78.37"
"CENTEXT","EQ","03-Feb-2017","          6.55","          6.60","          6.75","          6.45","          6.45","          6.50","          6.49","      81606","              529733.00","        115","      67859","         83.15"
"CENTEXT","EQ","06-Feb-2017","          6.50","          6.65","          6.70","          6.20","          6.35","          6.45","          6.40","     128858","              824748.65","        218","      86354","         67.01"
"CENTEXT","EQ","07-Feb-2017","          6.45","          6.15","          6.45","          6.00","          6.35","          6.30","          6.24","      96548","              602707.75","        203","      66054","         68.42"
"CENTEXT","EQ","08-Feb-2017","          6.30","          6.55","          6.55","          6.05","          6.15","          6.10","          6.16","     114934","              707687.20","        183","      93607","         81.44"
"CENTEXT","EQ","09-Feb-2017","          6.10","          6.15","          6.15","          5.60","          5.90","          5.85","          5.88","     169415","              996651.40","        274","     121201","         71.54"
"CENTEXT","EQ","10-Feb-2017","          5.85","          5.90","          6.40","          5.90","          6.40","          6.40","          6.21","     121076","              752182.05","        256","      90433","         74.69"
"CENTEXT","EQ","13-Feb-2017","          6.40","          6.95","          6.95","          6.15","          6.55","          6.50","          6.42","      99213","              637236.45","        267","      75047","         75.64"
"CENTEXT","EQ","14-Feb-2017","          6.50","          6.95","          6.95","          6.00","          6.15","          6.00","          6.10","     162773","              992178.30","        220","     123365","         75.79"
"CENTEXT","EQ","15-Feb-2017","          6.00","          6.45","          6.45","          5.65","          5.95","          5.90","          5.99","      85354","              511057.90","        217","      70633","         82.75"
"CENTEXT","EQ","16-Feb-2017","          5.90","          5.80","          6.10","          5.55","          6.10","          6.05","          5.90","      53124","              313387.25","        166","      40534","         76.30"
"CENTEXT","EQ","17-Feb-2017","          6.05","          6.10","          6.30","          5.65","          5.65","          5.70","          5.85","     168668","              986555.10","        339","     133762","         79.30"
"CENTEXT","EQ","20-Feb-2017","          5.70","          5.70","          6.00","          5.60","          5.90","          5.85","          5.74","      43835","              251431.70","        115","      29999","         68.44"
"CENTEXT","EQ","21-Feb-2017","          5.85","          6.20","          6.20","          5.50","          5.60","          5.55","          5.62","     187324","             1052435.70","        261","     145113","         77.47"
"CENTEXT","EQ","22-Feb-2017","          5.55","          5.55","          5.80","          5.35","          5.70","          5.70","          5.61","      75484","              423448.10","        136","      65195","         86.37"
"CENTEXT","EQ","23-Feb-2017","          5.70","          5.70","          5.80","          5.15","          5.60","          5.55","          5.46","     231629","             1264016.05","        238","     147453","         63.66"
"CENTEXT","EQ","27-Feb-2017","          5.55","          5.60","          5.65","          5.35","          5.45","          5.45","          5.55","      59542","              330597.70","        143","      44240","         74.30"
"CENTEXT","EQ","28-Feb-2017","          5.45","          5.65","          5.65","          5.20","          5.35","          5.30","          5.37","      68923","              370057.75","        139","      59411","         86.20"
"CENTEXT","EQ","01-Mar-2017","          5.30","          5.65","          5.80","          5.20","          5.35","          5.40","          5.49","     185022","             1016532.35","        248","      92805","         50.16"
"CENTEXT","EQ","02-Mar-2017","          5.40","          5.40","          5.50","          4.90","          5.20","          5.15","          5.14","     319803","             1642277.35","        458","     192458","         60.18"
"CENTEXT","EQ","03-Mar-2017","          5.15","          5.25","          5.25","          4.90","          5.15","          5.05","          5.02","     150974","              758536.35","        176","      96496","         63.92"
"CENTEXT","EQ","06-Mar-2017","          5.05","          5.25","          5.25","          4.70","          5.05","          5.00","          4.97","     200112","              993720.30","        250","     146834","         73.38"
"CENTEXT","EQ","07-Mar-2017","          5.00","          5.00","          5.10","          4.70","          4.95","          4.95","          4.90","     178666","              874966.80","        237","     143882","         80.53"
"CENTEXT","EQ","08-Mar-2017","          4.95","          4.95","          4.95","          4.50","          4.60","          4.55","          4.62","     274684","             1270036.15","        278","     225954","         82.26"
"CENTEXT","EQ","09-Mar-2017","          4.55","          4.60","          5.00","          4.50","          5.00","          5.00","          4.86","     190041","              922796.65","        241","     162471","         85.49"
"CENTEXT","EQ","10-Mar-2017","          5.00","          5.15","          5.50","          5.10","          5.50","          5.50","          5.43","     516100","             2802620.80","        348","     360331","         69.82"
"CENTEXT","EQ","14-Mar-2017","          5.50","          5.85","          6.05","          5.55","          6.05","          6.05","          5.95","     443153","             2634657.55","        415","     242857","         54.80"
"CENTEXT","EQ","15-Mar-2017","          6.05","          6.35","          6.65","          6.35","          6.65","          6.65","          6.56","     471768","             3093629.05","        370","     271379","         57.52"
"CENTEXT","EQ","16-Mar-2017","          6.65","          6.85","          6.95","          6.35","          6.35","          6.35","          6.82","     832710","             5679971.75","        692","     375062","         45.04"
"CENTEXT","EQ","17-Mar-2017","          6.35","          6.05","          6.25","          6.05","          6.20","          6.15","          6.07","     274666","             1667446.25","        306","     216526","         78.83"
"CENTEXT","EQ","20-Mar-2017","          6.15","          6.40","          6.45","          6.15","          6.45","          6.40","          6.32","     125219","              791381.05","        153","      95666","         76.40"
"CENTEXT","EQ","21-Mar-2017","          6.40","          6.60","          6.60","          6.10","          6.10","          6.10","          6.19","     114778","              710502.50","        152","      93439","         81.41"
"CENTEXT","EQ","22-Mar-2017","          6.10","          5.85","          6.00","          5.80","          5.90","          5.85","          5.84","     120479","              703122.15","        182","      90441","         75.07"
"CENTEXT","EQ","23-Mar-2017","          5.85","          5.90","          5.95","          5.75","          5.85","          5.80","          5.81","      58431","              339614.75","         88","      54147","         92.67"
"CENTEXT","EQ","24-Mar-2017","          5.80","          5.90","          6.00","          5.60","          5.60","          5.65","          5.67","      93228","              528323.70","        141","      74288","         79.68"
"CENTEXT","EQ","27-Mar-2017","          5.65","          5.80","          5.85","          5.50","          5.70","          5.65","          5.64","      62647","              353077.45","        127","      44531","         71.08"
"CENTEXT","EQ","28-Mar-2017","          5.65","          5.65","          5.75","          5.40","          5.70","          5.65","          5.55","     129720","              720468.25","        182","      74774","         57.64"
"CENTEXT","EQ","29-Mar-2017","          5.65","          5.85","          5.85","          5.40","          5.40","          5.50","          5.53","      85196","              471169.25","        157","      63690","         74.76"
"CENTEXT","EQ","30-Mar-2017","          5.50","          5.70","          5.70","          5.40","          5.45","          5.40","          5.48","      36476","              199875.95","         77","      25997","         71.27"
"CENTEXT","EQ","31-Mar-2017","          5.40","          5.45","          5.45","          5.25","          5.40","          5.40","          5.36","      57487","              308182.75","        129","      42534","         73.99"
