"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CENTURYTEX","EQ","03-Apr-2017","       1053.15","       1058.00","       1064.00","       1050.30","       1060.55","       1059.85","       1058.05","     466005","           493058556.40","      14232","     127774","         27.42"
"CENTURYTEX","EQ","05-Apr-2017","       1059.85","       1062.00","       1067.90","       1052.85","       1065.50","       1063.85","       1061.48","     489071","           519139680.70","      11731","      93236","         19.06"
"CENTURYTEX","EQ","06-Apr-2017","       1063.85","       1062.00","       1074.95","       1050.80","       1053.50","       1055.00","       1061.18","     678414","           719920408.20","      14215","      75332","         11.10"
"CENTURYTEX","EQ","07-Apr-2017","       1055.00","       1051.00","       1085.75","       1046.30","       1070.85","       1066.30","       1073.70","    1005819","          1079944369.20","      20937","     186319","         18.52"
"CENTURYTEX","EQ","10-Apr-2017","       1066.30","       1066.40","       1076.00","       1057.65","       1065.00","       1066.30","       1066.15","     635025","           677029678.70","      10524","      99515","         15.67"
"CENTURYTEX","EQ","11-Apr-2017","       1066.30","       1065.00","       1096.90","       1065.00","       1095.05","       1091.10","       1083.38","     977324","          1058815699.00","      16106","     418465","         42.82"
"CENTURYTEX","EQ","12-Apr-2017","       1091.10","       1096.00","       1103.00","       1070.20","       1083.65","       1083.75","       1085.16","     833664","           904657835.25","      15928","     178979","         21.47"
"CENTURYTEX","EQ","13-Apr-2017","       1083.75","       1078.40","       1088.00","       1075.80","       1078.55","       1078.25","       1080.80","     292372","           315995711.35","       5241","      44469","         15.21"
"CENTURYTEX","EQ","17-Apr-2017","       1078.25","       1075.00","       1136.95","       1075.00","       1124.70","       1124.30","       1115.85","    1604970","          1790905091.85","      25671","     217308","         13.54"
"CENTURYTEX","EQ","18-Apr-2017","       1124.30","       1130.95","       1135.00","       1082.25","       1092.10","       1090.55","       1114.93","     944246","          1052766331.65","      21680","     174049","         18.43"
"CENTURYTEX","EQ","19-Apr-2017","       1090.55","       1095.00","       1121.70","       1089.90","       1118.00","       1117.60","       1107.44","     631313","           699139236.40","      15154","      79352","         12.57"
"CENTURYTEX","EQ","20-Apr-2017","       1117.60","       1123.00","       1140.95","       1113.00","       1135.00","       1135.45","       1130.62","     844731","           955073506.45","      18928","     159559","         18.89"
"CENTURYTEX","EQ","21-Apr-2017","       1135.45","       1138.95","       1146.75","       1121.30","       1137.85","       1136.80","       1135.71","     751785","           853811371.90","      18881","     168271","         22.38"
"CENTURYTEX","EQ","24-Apr-2017","       1136.80","       1140.00","       1151.00","       1135.40","       1142.30","       1146.10","       1143.85","     758054","           867102356.00","      17619","     268878","         35.47"
"CENTURYTEX","EQ","25-Apr-2017","       1146.10","       1153.00","       1155.00","       1137.55","       1142.95","       1143.00","       1145.40","     524807","           601112747.65","      10994","     141723","         27.00"
"CENTURYTEX","EQ","26-Apr-2017","       1143.00","       1144.25","       1153.45","       1113.05","       1136.60","       1136.80","       1141.01","     554670","           632882244.15","      15621","     163934","         29.56"
"CENTURYTEX","EQ","27-Apr-2017","       1136.80","       1132.60","       1150.00","       1125.00","       1143.90","       1140.95","       1139.73","     731185","           833350623.95","      16112","     217615","         29.76"
"CENTURYTEX","EQ","28-Apr-2017","       1140.95","       1138.85","       1144.50","       1120.55","       1133.10","       1128.55","       1134.00","     362799","           411412770.90","       9658","      82398","         22.71"
"CENTURYTEX","EQ","02-May-2017","       1128.55","       1130.00","       1132.00","       1090.00","       1111.00","       1112.70","       1106.86","     499763","           553169742.20","      10510","      90394","         18.09"
"CENTURYTEX","EQ","03-May-2017","       1112.70","       1112.00","       1179.90","       1112.00","       1166.00","       1168.85","       1164.30","    2137375","          2488548981.30","      40772","     371269","         17.37"
"CENTURYTEX","EQ","04-May-2017","       1168.85","       1165.00","       1171.20","       1151.35","       1155.40","       1158.95","       1160.07","     471141","           546555862.05","       9763","      45596","          9.68"
"CENTURYTEX","EQ","05-May-2017","       1158.95","       1157.00","       1168.90","       1128.55","       1138.50","       1145.50","       1150.12","     677868","           779628809.55","      13129","     134847","         19.89"
"CENTURYTEX","EQ","08-May-2017","       1145.50","       1149.00","       1165.00","       1141.15","       1155.00","       1154.15","       1155.50","     333530","           385394953.95","       9600","      34098","         10.22"
"CENTURYTEX","EQ","09-May-2017","       1154.15","       1160.25","       1189.55","       1143.00","       1181.95","       1180.60","       1167.94","     569814","           665509659.20","      13588","     111968","         19.65"
"CENTURYTEX","EQ","10-May-2017","       1180.60","       1185.00","       1194.75","       1172.20","       1179.50","       1182.45","       1183.95","     948972","          1123530960.50","      20900","     304399","         32.08"
"CENTURYTEX","EQ","11-May-2017","       1182.45","       1196.00","       1212.70","       1189.10","       1198.00","       1197.35","       1201.87","    1376715","          1654629498.35","      22104","     430631","         31.28"
"CENTURYTEX","EQ","12-May-2017","       1197.35","       1188.00","       1218.80","       1155.50","       1156.20","       1165.20","       1189.81","    2037276","          2423979637.10","      41288","     553305","         27.16"
"CENTURYTEX","EQ","15-May-2017","       1165.20","       1161.20","       1203.95","       1153.00","       1195.95","       1194.45","       1185.25","     809516","           959475515.80","      19087","     113955","         14.08"
"CENTURYTEX","EQ","16-May-2017","       1194.45","       1200.00","       1202.45","       1182.00","       1183.05","       1186.90","       1191.26","     416954","           496700944.00","      15985","      75795","         18.18"
"CENTURYTEX","EQ","17-May-2017","       1186.90","       1180.00","       1200.00","       1175.00","       1191.35","       1194.75","       1190.93","     618601","           736711540.20","      16420","      62726","         10.14"
"CENTURYTEX","EQ","18-May-2017","       1194.75","       1180.10","       1188.20","       1146.60","       1149.00","       1150.35","       1168.19","     565042","           660073706.90","      15633","      95889","         16.97"
"CENTURYTEX","EQ","19-May-2017","       1150.35","       1159.00","       1187.80","       1135.55","       1148.75","       1148.40","       1156.41","    1035471","          1197431414.95","      22744","     267092","         25.79"
"CENTURYTEX","EQ","22-May-2017","       1148.40","       1162.10","       1167.95","       1126.50","       1134.00","       1132.45","       1143.37","     511014","           584278988.35","      18915","     100747","         19.72"
"CENTURYTEX","EQ","23-May-2017","       1132.45","       1140.00","       1142.95","       1088.90","       1121.10","       1121.50","       1117.71","     810509","           905910361.45","      17944","     226428","         27.94"
"CENTURYTEX","EQ","24-May-2017","       1121.50","       1125.00","       1131.15","       1020.85","       1037.50","       1031.55","       1069.66","    1177631","          1259665948.30","      25742","     269559","         22.89"
"CENTURYTEX","EQ","25-May-2017","       1031.55","       1041.00","       1064.35","       1032.60","       1056.15","       1058.65","       1051.78","    1028946","          1082223031.45","      16356","     410122","         39.86"
"CENTURYTEX","EQ","26-May-2017","       1058.65","       1064.70","       1080.00","       1056.00","       1074.50","       1075.95","       1068.62","     642553","           686646357.35","      14933","      70372","         10.95"
