"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CHAMBLFERT","EQ","03-Apr-2017","         86.75","         86.25","         90.35","         85.65","         87.95","         87.15","         88.13","    1997505","           176038638.70","       8782","    1112469","         55.69"
"CHAMBLFERT","EQ","05-Apr-2017","         87.15","         87.90","         89.50","         87.50","         88.70","         88.70","         88.68","     840894","            74572310.15","       5668","     361417","         42.98"
"CHAMBLFERT","EQ","06-Apr-2017","         88.70","         88.50","         89.10","         86.00","         87.45","         87.10","         87.28","     488979","            42679045.20","       3987","     206790","         42.29"
"CHAMBLFERT","EQ","07-Apr-2017","         87.10","         86.75","         89.30","         85.80","         86.30","         86.30","         87.43","     883433","            77238038.85","       5428","     245092","         27.74"
"CHAMBLFERT","EQ","10-Apr-2017","         86.30","         86.55","         87.55","         86.05","         86.75","         86.65","         86.86","     433674","            37670329.15","       4201","     232830","         53.69"
"CHAMBLFERT","EQ","11-Apr-2017","         86.65","         86.95","         88.20","         84.00","         84.00","         85.95","         86.72","     494035","            42842730.10","       6537","     239885","         48.56"
"CHAMBLFERT","EQ","12-Apr-2017","         85.95","         85.90","         86.70","         84.25","         85.60","         85.40","         85.60","     483565","            41395453.10","       3295","     192780","         39.87"
"CHAMBLFERT","EQ","13-Apr-2017","         85.40","         85.40","         85.65","         83.50","         83.75","         83.85","         84.55","     300038","            25368887.05","       4958","     180869","         60.28"
"CHAMBLFERT","EQ","17-Apr-2017","         83.85","         83.80","         86.00","         83.80","         84.30","         84.50","         84.84","     388855","            32989809.25","       3024","      89798","         23.09"
"CHAMBLFERT","EQ","18-Apr-2017","         84.50","         84.90","         86.75","         84.85","         85.05","         85.15","         85.66","     446589","            38256743.00","       3898","     258868","         57.97"
"CHAMBLFERT","EQ","19-Apr-2017","         85.15","         85.50","         85.85","         84.00","         84.05","         84.15","         84.43","     241747","            20411578.30","       2446","     123338","         51.02"
"CHAMBLFERT","EQ","20-Apr-2017","         84.15","         84.60","         94.00","         83.20","         91.75","         92.10","         90.29","    3544805","           320067901.05","      20108","    1315882","         37.12"
"CHAMBLFERT","EQ","21-Apr-2017","         92.10","         92.90","         94.65","         90.75","         92.55","         93.05","         93.08","    2313231","           215325002.40","      19082","     986166","         42.63"
"CHAMBLFERT","EQ","24-Apr-2017","         93.05","         93.70","         97.70","         93.05","         96.40","         96.05","         95.81","    1754604","           168101013.25","      16162","     834685","         47.57"
"CHAMBLFERT","EQ","25-Apr-2017","         96.05","         96.50","         96.90","         93.70","         96.00","         96.00","         95.35","     741083","            70665340.20","       5424","     347269","         46.86"
"CHAMBLFERT","EQ","26-Apr-2017","         96.00","         96.55","        101.00","         95.10","         98.65","         98.25","         98.80","    2480916","           245118431.15","      25578","    1064857","         42.92"
"CHAMBLFERT","EQ","27-Apr-2017","         98.25","         99.00","        100.85","         96.40","         99.75","         99.40","         99.20","    1636414","           162327755.60","      28295","     688550","         42.08"
"CHAMBLFERT","EQ","28-Apr-2017","         99.40","         99.90","        101.00","         96.20","        100.25","        100.10","         99.49","    1113286","           110757061.45","      11372","     414775","         37.26"
"CHAMBLFERT","EQ","02-May-2017","        100.10","        101.05","        104.20","        100.15","        100.75","        100.80","        102.26","    2002330","           204752796.70","      11065","     540907","         27.01"
"CHAMBLFERT","EQ","03-May-2017","        100.80","        101.55","        103.20","         99.50","        101.25","        101.50","        101.31","     887514","            89915767.35","       6429","     325869","         36.72"
"CHAMBLFERT","EQ","04-May-2017","        101.50","        101.50","        118.60","        101.05","        112.75","        113.35","        112.64","    6599386","           743347498.10","      34935","    1959860","         29.70"
"CHAMBLFERT","EQ","05-May-2017","        113.35","        112.70","        115.60","        109.10","        113.65","        113.80","        112.01","    3549141","           397537775.15","      26140","    1070063","         30.15"
"CHAMBLFERT","EQ","08-May-2017","        113.80","        113.95","        119.90","        111.70","        119.85","        119.00","        116.47","    2987545","           347970806.75","      22074","     887917","         29.72"
"CHAMBLFERT","EQ","09-May-2017","        119.00","        120.10","        122.30","        116.60","        121.00","        120.75","        120.20","    2139458","           257171723.00","      14203","     741729","         34.67"
"CHAMBLFERT","EQ","10-May-2017","        120.75","        121.50","        138.30","        121.50","        129.00","        128.75","        131.67","    7661047","          1008749496.90","      57077","    1954876","         25.52"
"CHAMBLFERT","EQ","11-May-2017","        128.75","        129.65","        133.20","        127.60","        129.75","        129.90","        130.38","    3409585","           444544148.05","      31548","    1181528","         34.65"
"CHAMBLFERT","EQ","12-May-2017","        129.90","        129.50","        131.30","        126.20","        127.85","        127.20","        128.40","    1501543","           192795643.70","      23616","     482496","         32.13"
"CHAMBLFERT","EQ","15-May-2017","        127.20","        131.00","        133.10","        129.15","        129.95","        129.90","        130.65","    1632868","           213327093.75","      13417","     518468","         31.75"
"CHAMBLFERT","EQ","16-May-2017","        129.90","        129.15","        131.15","        124.10","        125.35","        125.30","        127.66","    1130240","           144288156.95","      20161","     580412","         51.35"
