"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CLNINDIA","EQ","03-Jul-2017","        632.90","        635.00","        643.70","        633.05","        638.40","        639.50","        639.73","      20568","            13157987.50","        882","      11029","         53.62"
"CLNINDIA","EQ","04-Jul-2017","        639.50","        641.85","        648.45","        640.00","        644.50","        644.85","        646.40","      56510","            36528030.40","        906","      49058","         86.81"
"CLNINDIA","EQ","05-Jul-2017","        644.85","        645.50","        649.00","        644.00","        646.80","        645.55","        646.60","      28445","            18392473.80","        765","      22399","         78.74"
"CLNINDIA","EQ","06-Jul-2017","        645.55","        645.55","        648.00","        644.00","        646.20","        647.00","        646.91","      66809","            43219412.55","       1339","      61505","         92.06"
"CLNINDIA","EQ","07-Jul-2017","        647.00","        646.90","        662.45","        646.30","        650.00","        650.55","        652.71","      69837","            45583159.90","       1620","      51029","         73.07"
"CLNINDIA","EQ","10-Jul-2017","        650.55","        659.40","        659.40","        652.05","        654.35","        655.75","        655.61","       4291","             2813227.00","        220","       3436","         80.07"
"CLNINDIA","EQ","11-Jul-2017","        655.75","        656.00","        659.00","        648.00","        648.00","        650.20","        654.26","      16969","            11102094.90","        714","      11786","         69.46"
"CLNINDIA","EQ","12-Jul-2017","        650.20","        652.75","        664.00","        650.50","        660.40","        661.10","        656.62","      25594","            16805450.25","       1113","      18464","         72.14"
"CLNINDIA","EQ","13-Jul-2017","        661.10","        661.05","        683.70","        661.00","        672.00","        671.95","        674.73","      60047","            40515246.10","       2761","      28758","         47.89"
"CLNINDIA","EQ","14-Jul-2017","        671.95","        671.75","        678.00","        663.90","        668.00","        667.35","        669.39","      29958","            20053714.90","       1175","      19551","         65.26"
"CLNINDIA","EQ","17-Jul-2017","        667.35","        670.00","        671.00","        665.00","        669.50","        669.05","        667.77","      15333","            10238955.95","        726","       8877","         57.89"
"CLNINDIA","EQ","18-Jul-2017","        669.05","        674.90","        674.90","        661.70","        662.00","        663.85","        665.29","      17590","            11702478.95","        803","      12804","         72.79"
"CLNINDIA","EQ","19-Jul-2017","        663.85","        660.25","        673.00","        660.25","        672.00","        671.20","        669.21","      14197","             9500786.65","        579","       8795","         61.95"
"CLNINDIA","EQ","20-Jul-2017","        671.20","        673.80","        673.80","        663.10","        667.00","        666.15","        666.54","      16271","            10845274.95","       1033","       8388","         51.55"
"CLNINDIA","EQ","21-Jul-2017","        666.15","        670.00","        671.60","        662.85","        667.00","        665.00","        666.55","      20588","            13722863.40","       1038","      12788","         62.11"
