"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CEBBCO","EQ","03-Jul-2017","         11.00","         11.25","         11.25","         10.95","         10.95","         10.95","         11.07","      26567","              293972.25","        103","      22138","         83.33"
"CEBBCO","EQ","04-Jul-2017","         10.95","         11.25","         11.25","         10.95","         11.00","         11.00","         11.02","      16352","              180172.35","         67","      15111","         92.41"
"CEBBCO","EQ","05-Jul-2017","         11.00","         11.70","         13.20","         11.70","         13.20","         13.20","         12.86","    1136787","            14614789.65","       2971","     399346","         35.13"
"CEBBCO","EQ","06-Jul-2017","         13.20","         13.90","         13.95","         12.15","         12.25","         12.20","         12.83","     424024","             5440702.65","       1348","     222787","         52.54"
"CEBBCO","EQ","07-Jul-2017","         12.20","         12.45","         12.60","         12.05","         12.25","         12.30","         12.25","     137966","             1690108.70","        418","      96756","         70.13"
"CEBBCO","EQ","10-Jul-2017","         12.30","         12.60","         12.65","         12.10","         12.25","         12.25","         12.30","      19483","              239622.65","         85","      15026","         77.12"
"CEBBCO","EQ","11-Jul-2017","         12.25","         12.45","         12.45","         12.00","         12.05","         12.10","         12.22","      34650","              423370.00","        166","      32100","         92.64"
"CEBBCO","EQ","12-Jul-2017","         12.10","         12.30","         12.30","         11.70","         11.95","         11.85","         11.92","     107217","             1278544.50","        359","      92452","         86.23"
"CEBBCO","EQ","13-Jul-2017","         11.85","         11.80","         12.05","         11.70","         11.95","         12.00","         11.93","      39154","              467266.95","        157","      31395","         80.18"
"CEBBCO","EQ","14-Jul-2017","         12.00","         11.85","         14.40","         11.30","         14.40","         14.25","         13.68","     960563","            13141805.50","       2603","     478268","         49.79"
"CEBBCO","EQ","17-Jul-2017","         14.25","         14.15","         14.20","         13.25","         13.50","         13.50","         13.67","     288835","             3949578.90","       1191","     154937","         53.64"
"CEBBCO","EQ","18-Jul-2017","         13.50","         13.30","         13.30","         12.70","         12.95","         12.95","         12.95","     116006","             1502288.30","        431","      58883","         50.76"
"CEBBCO","EQ","19-Jul-2017","         12.95","         13.15","         13.40","         12.90","         13.00","         13.00","         13.12","      74576","              978343.25","        305","      29091","         39.01"
"CEBBCO","BE","20-Jul-2017","         13.00","         13.10","         13.65","         12.60","         13.10","         13.15","         13.15","      41716","              548682.90","        104","-","-"
