"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CCCL","EQ","03-Apr-2017","          3.75","          3.70","          4.10","          3.70","          4.00","          3.95","          3.95","     292863","             1157339.45","        188","     253613","         86.60"
"CCCL","EQ","05-Apr-2017","          3.95","          4.00","          4.05","          3.95","          4.00","          4.00","          4.00","     420979","             1686019.20","        160","     347136","         82.46"
"CCCL","EQ","06-Apr-2017","          4.00","          4.05","          4.80","          4.00","          4.80","          4.60","          4.36","     919129","             4008697.15","        511","     735351","         80.01"
"CCCL","EQ","07-Apr-2017","          4.60","          4.80","          5.50","          4.80","          5.50","          5.50","          5.35","     794350","             4246838.65","        725","     582731","         73.36"
"CCCL","EQ","10-Apr-2017","          5.50","          5.70","          6.05","          5.35","          5.40","          5.45","          5.74","     788551","             4526159.60","        884","     554883","         70.37"
"CCCL","EQ","11-Apr-2017","          5.45","          5.50","          5.65","          4.95","          5.15","          5.15","          5.15","     688612","             3546253.15","        587","     446289","         64.81"
"CCCL","EQ","12-Apr-2017","          5.15","          5.15","          5.15","          4.70","          4.90","          4.90","          4.91","     223869","             1098519.35","        230","     169236","         75.60"
"CCCL","BE","13-Apr-2017","          4.90","          4.90","          4.95","          4.70","          4.90","          4.90","          4.83","      84766","              409252.55","         73","-","-"
"CCCL","BE","17-Apr-2017","          4.90","          4.90","          4.90","          4.70","          4.80","          4.75","          4.75","     151785","              721640.80","         63","-","-"
"CCCL","BE","18-Apr-2017","          4.75","          4.95","          4.95","          4.65","          4.75","          4.75","          4.89","     102564","              501344.75","         86","-","-"
"CCCL","BE","19-Apr-2017","          4.75","          4.70","          4.95","          4.70","          4.95","          4.95","          4.82","     132334","              638007.95","         88","-","-"
"CCCL","BE","20-Apr-2017","          4.95","          4.85","          5.10","          4.80","          4.85","          4.85","          4.91","     144056","              707750.70","         77","-","-"
"CCCL","BE","21-Apr-2017","          4.85","          5.00","          5.00","          4.75","          4.85","          4.85","          4.90","      87554","              428703.40","        113","-","-"
"CCCL","BE","24-Apr-2017","          4.85","          4.75","          4.95","          4.70","          4.85","          4.85","          4.83","      96431","              465361.40","         63","-","-"
"CCCL","BE","25-Apr-2017","          4.85","          4.90","          4.90","          4.75","          4.80","          4.75","          4.79","      39908","              191258.40","         32","-","-"
"CCCL","BE","26-Apr-2017","          4.75","          4.60","          4.85","          4.55","          4.55","          4.55","          4.62","     147171","              679664.90","         99","-","-"
"CCCL","BE","27-Apr-2017","          4.55","          4.35","          4.45","          4.35","          4.35","          4.35","          4.36","     119702","              521804.70","         93","-","-"
"CCCL","BE","28-Apr-2017","          4.35","          4.25","          4.55","          4.15","          4.55","          4.55","          4.42","     206831","              915108.10","        104","-","-"
"CCCL","BE","02-May-2017","          4.55","          4.45","          4.75","          4.45","          4.75","          4.75","          4.71","      65946","              310543.50","         46","-","-"
"CCCL","BE","03-May-2017","          4.75","          4.95","          4.95","          4.75","          4.95","          4.95","          4.95","      85100","              421185.00","         62","-","-"
"CCCL","BE","04-May-2017","          4.95","          5.00","          5.15","          5.00","          5.15","          5.15","          5.14","      48097","              247160.30","         54","-","-"
"CCCL","BE","05-May-2017","          5.15","          5.20","          5.40","          5.20","          5.40","          5.40","          5.40","     186388","             1005882.70","         95","-","-"
"CCCL","BE","08-May-2017","          5.40","          5.65","          5.65","          5.65","          5.65","          5.65","          5.65","      14103","               79681.95","         24","-","-"
"CCCL","BE","09-May-2017","          5.65","          5.90","          5.90","          5.90","          5.90","          5.90","          5.90","      55652","              328346.80","         30","-","-"
"CCCL","BE","10-May-2017","          5.90","          6.15","          6.15","          5.90","          6.00","          6.05","          6.13","     593299","             3639408.15","        237","-","-"
"CCCL","BE","11-May-2017","          6.05","          6.00","          6.00","          5.75","          5.75","          5.75","          5.78","      85847","              496145.25","         50","-","-"
"CCCL","BE","12-May-2017","          5.75","          5.50","          5.50","          5.50","          5.50","          5.50","          5.50","       8105","               44577.50","         10","-","-"
"CCCL","BE","15-May-2017","          5.50","          5.30","          5.30","          5.25","          5.25","          5.25","          5.25","      27897","              146494.25","         18","-","-"
"CCCL","BE","16-May-2017","          5.25","          5.00","          5.45","          5.00","          5.25","          5.05","          5.16","     257293","             1328156.70","        223","-","-"
"CCCL","BE","17-May-2017","          5.05","          5.00","          5.15","          4.80","          4.80","          4.80","          4.82","     142224","              684956.55","        112","-","-"
"CCCL","BE","18-May-2017","          4.80","          4.60","          5.00","          4.60","          5.00","          5.00","          4.72","     111662","              527248.20","        103","-","-"
"CCCL","BE","19-May-2017","          5.00","          5.25","          5.25","          4.85","          5.20","          4.95","          5.23","     241191","             1260322.45","        110","-","-"
"CCCL","BE","22-May-2017","          4.95","          5.15","          5.15","          4.75","          4.75","          4.75","          4.81","     217425","             1044952.90","        131","-","-"
"CCCL","BE","23-May-2017","          4.75","          4.60","          4.60","          4.55","          4.55","          4.55","          4.57","     108305","              494640.25","        119","-","-"
"CCCL","BE","24-May-2017","          4.55","          4.75","          4.75","          4.35","          4.35","          4.35","          4.39","     160782","              705257.45","        128","-","-"
