"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CONSOFINVT","EQ","02-Jan-2017","         56.25","         55.50","         56.50","         54.50","         54.75","         54.85","         55.19","     106852","             5896736.35","        752","      18998","         17.78"
"CONSOFINVT","EQ","03-Jan-2017","         54.85","         55.95","         58.80","         55.95","         57.85","         57.45","         56.92","      13954","              794252.00","        139","       6502","         46.60"
"CONSOFINVT","EQ","04-Jan-2017","         57.45","         58.30","         58.30","         56.15","         56.90","         57.50","         56.85","      44761","             2544809.45","        414","       2866","          6.40"
"CONSOFINVT","EQ","05-Jan-2017","         57.50","         57.95","         58.45","         55.80","         56.15","         56.55","         56.50","      43155","             2438337.25","        490","       5930","         13.74"
"CONSOFINVT","EQ","06-Jan-2017","         56.55","         57.40","         57.70","         55.10","         55.35","         56.40","         56.37","      26502","             1493814.90","        232","      16235","         61.26"
"CONSOFINVT","EQ","09-Jan-2017","         56.40","         55.50","         56.75","         55.05","         56.40","         56.45","         56.43","       3322","              187470.85","         48","       2592","         78.03"
"CONSOFINVT","EQ","10-Jan-2017","         56.45","         56.90","         58.70","         56.80","         57.25","         57.90","         57.81","      11524","              666162.30","        101","       6133","         53.22"
"CONSOFINVT","EQ","11-Jan-2017","         57.90","         58.55","         59.70","         58.00","         59.25","         59.15","         58.71","      12884","              756438.30","         95","       7718","         59.90"
"CONSOFINVT","EQ","12-Jan-2017","         59.15","         59.70","         59.70","         56.60","         57.75","         57.35","         57.41","      40642","             2333169.50","        372","       7205","         17.73"
"CONSOFINVT","EQ","13-Jan-2017","         57.35","         57.00","         58.20","         56.60","         56.60","         57.25","         57.23","      10201","              583812.10","        188","       6879","         67.43"
"CONSOFINVT","EQ","16-Jan-2017","         57.25","         57.70","         58.50","         56.20","         56.25","         57.10","         57.23","      14326","              819850.25","        228","       2930","         20.45"
"CONSOFINVT","EQ","17-Jan-2017","         57.10","         57.00","         57.90","         56.50","         57.80","         57.65","         57.11","      28677","             1637869.55","        234","      11641","         40.59"
"CONSOFINVT","EQ","18-Jan-2017","         57.65","         57.00","         57.95","         56.40","         57.85","         57.75","         57.15","      11997","              685677.50","        161","        851","          7.09"
"CONSOFINVT","EQ","19-Jan-2017","         57.75","         58.40","         58.75","         56.60","         56.60","         57.10","         57.15","      41157","             2352227.45","        390","       6041","         14.68"
"CONSOFINVT","EQ","20-Jan-2017","         57.10","         57.35","         57.65","         55.45","         55.65","         56.15","         56.35","      36239","             2041917.40","        476","       6738","         18.59"
"CONSOFINVT","EQ","23-Jan-2017","         56.15","         56.75","         56.75","         55.35","         56.00","         56.30","         55.71","      57731","             3215963.30","        573","       9456","         16.38"
