"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CONCOR","EQ","02-Jan-2017","       1110.05","       1119.15","       1152.00","       1103.05","       1152.00","       1141.05","       1126.76","     191209","           215447335.70","       4753","     128698","         67.31"
"CONCOR","EQ","03-Jan-2017","       1141.05","       1152.00","       1186.00","       1150.00","       1180.00","       1176.80","       1172.24","     307917","           360952049.45","      10650","     115410","         37.48"
"CONCOR","EQ","04-Jan-2017","       1176.80","       1180.00","       1185.00","       1144.10","       1152.05","       1151.30","       1162.42","      95667","           111204956.70","       9298","      35426","         37.03"
"CONCOR","EQ","05-Jan-2017","       1151.30","       1163.90","       1178.00","       1157.80","       1176.90","       1174.30","       1168.00","      51280","            59894933.45","       5692","      15916","         31.04"
"CONCOR","EQ","06-Jan-2017","       1174.30","       1179.50","       1192.75","       1164.00","       1165.00","       1167.75","       1181.16","     118665","           140162847.85","       6406","      51453","         43.36"
"CONCOR","EQ","09-Jan-2017","       1167.75","       1166.15","       1239.00","       1160.00","       1177.00","       1181.05","       1199.66","     279999","           335902361.40","      13806","      64719","         23.11"
"CONCOR","EQ","10-Jan-2017","       1181.05","       1191.90","       1196.00","       1165.40","       1188.80","       1192.15","       1179.91","     266328","           314242973.95","       6225","     185239","         69.55"
"CONCOR","EQ","11-Jan-2017","       1192.15","       1199.95","       1205.00","       1177.10","       1180.50","       1183.55","       1185.34","     231507","           274413821.40","       6422","     172111","         74.34"
"CONCOR","EQ","12-Jan-2017","       1183.55","       1193.00","       1222.00","       1178.10","       1215.95","       1217.35","       1209.36","     240703","           291096833.85","      11809","     115301","         47.90"
"CONCOR","EQ","13-Jan-2017","       1217.35","       1219.80","       1228.00","       1203.00","       1205.50","       1206.25","       1212.38","     179047","           217072584.10","      12895","      86505","         48.31"
"CONCOR","EQ","16-Jan-2017","       1206.25","       1207.60","       1218.00","       1193.00","       1198.00","       1197.35","       1205.88","      74394","            89710370.15","       6367","      39446","         53.02"
"CONCOR","EQ","17-Jan-2017","       1197.35","       1202.00","       1220.00","       1193.20","       1206.70","       1200.45","       1205.34","     174236","           210013024.05","      10498","     102284","         58.70"
"CONCOR","EQ","18-Jan-2017","       1200.45","       1200.45","       1200.45","       1180.10","       1186.20","       1189.30","       1189.79","     179450","           213508614.15","      15083","      95993","         53.49"
"CONCOR","EQ","19-Jan-2017","       1189.30","       1197.00","       1197.00","       1173.40","       1181.95","       1180.30","       1180.57","     169047","           199571656.20","      18723","      91632","         54.21"
"CONCOR","EQ","20-Jan-2017","       1180.30","       1181.00","       1184.55","       1161.55","       1174.95","       1170.75","       1172.68","     210335","           246654786.70","      20683","     115106","         54.73"
"CONCOR","EQ","23-Jan-2017","       1170.75","       1178.50","       1189.00","       1161.00","       1173.00","       1170.40","       1175.17","      87524","           102855240.90","       5334","      39565","         45.20"
