"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CREATIVEYE","EQ","03-Apr-2017","          3.70","          3.85","          3.85","          3.85","          3.85","          3.85","          3.85","       1000","                3850.00","          1","       1000","        100.00"
"CREATIVEYE","EQ","05-Apr-2017","          3.85","          3.80","          4.00","          3.80","          3.95","          3.95","          3.91","       1900","                7425.00","          3","       1200","         63.16"
"CREATIVEYE","EQ","06-Apr-2017","          3.95","          4.00","          4.10","          4.00","          4.05","          4.05","          4.07","       4543","               18469.15","          8","       4543","        100.00"
"CREATIVEYE","EQ","07-Apr-2017","          4.05","          4.00","          4.25","          4.00","          4.20","          4.20","          4.15","        750","                3110.00","          5","        750","        100.00"
"CREATIVEYE","EQ","10-Apr-2017","          4.20","          4.00","          4.00","          4.00","          4.00","          4.00","          4.00","        500","                2000.00","          2","        500","        100.00"
"CREATIVEYE","EQ","11-Apr-2017","          4.00","          4.00","          4.00","          4.00","          4.00","          4.00","          4.00","        112","                 448.00","          1","        112","        100.00"
"CREATIVEYE","EQ","17-Apr-2017","          4.00","          4.20","          4.20","          4.20","          4.20","          4.20","          4.20","       5050","               21210.00","         11","       5050","        100.00"
"CREATIVEYE","EQ","18-Apr-2017","          4.20","          4.30","          4.40","          4.30","          4.40","          4.40","          4.37","       6212","               27172.80","         13","       6212","        100.00"
"CREATIVEYE","EQ","19-Apr-2017","          4.40","          4.60","          4.60","          4.60","          4.60","          4.60","          4.60","       4400","               20240.00","          5","       4400","        100.00"
"CREATIVEYE","EQ","20-Apr-2017","          4.60","          4.40","          4.80","          4.40","          4.65","          4.65","          4.67","       8198","               38284.00","         14","       8198","        100.00"
"CREATIVEYE","EQ","21-Apr-2017","          4.65","          4.65","          4.85","          4.65","          4.80","          4.80","          4.82","       5190","               25015.10","         13","       5040","         97.11"
"CREATIVEYE","EQ","24-Apr-2017","          4.80","          5.00","          5.00","          4.95","          5.00","          5.00","          5.00","      13289","               66390.00","         25","      13289","        100.00"
"CREATIVEYE","EQ","25-Apr-2017","          5.00","          4.75","          4.95","          4.75","          4.75","          4.75","          4.88","       3916","               19096.00","         14","       3913","         99.92"
"CREATIVEYE","EQ","26-Apr-2017","          4.75","          4.55","          4.85","          4.55","          4.55","          4.55","          4.56","        985","                4489.25","          4","        960","         97.46"
"CREATIVEYE","EQ","27-Apr-2017","          4.55","          4.35","          4.70","          4.35","          4.70","          4.70","          4.58","       1550","                7092.50","          5","       1550","        100.00"
"CREATIVEYE","EQ","28-Apr-2017","          4.70","          4.70","          4.70","          4.70","          4.70","          4.70","          4.70","        500","                2350.00","          2","        500","        100.00"
"CREATIVEYE","EQ","02-May-2017","          4.70","          4.70","          4.70","          4.70","          4.70","          4.70","          4.70","        125","                 587.50","          2","        125","        100.00"
"CREATIVEYE","EQ","03-May-2017","          4.70","          4.70","          4.70","          4.55","          4.70","          4.70","          4.67","       2556","               11937.30","          8","       2556","        100.00"
"CREATIVEYE","EQ","04-May-2017","          4.70","          4.50","          4.50","          4.50","          4.50","          4.50","          4.50","        146","                 657.00","          1","        146","        100.00"
"CREATIVEYE","EQ","05-May-2017","          4.50","          4.60","          4.70","          4.30","          4.35","          4.35","          4.36","      12011","               52408.90","         10","      12011","        100.00"
"CREATIVEYE","EQ","10-May-2017","          4.35","          4.55","          4.55","          4.55","          4.55","          4.55","          4.55","         25","                 113.75","          1","         25","        100.00"
"CREATIVEYE","EQ","11-May-2017","          4.55","          4.75","          4.75","          4.75","          4.75","          4.75","          4.75","         25","                 118.75","          1","         25","        100.00"
"CREATIVEYE","EQ","12-May-2017","          4.75","          4.95","          4.95","          4.60","          4.60","          4.60","          4.61","       1009","                4650.15","          2","       1009","        100.00"
"CREATIVEYE","EQ","15-May-2017","          4.60","          4.40","          4.60","          4.40","          4.60","          4.60","          4.42","        123","                 543.40","          2","        123","        100.00"
"CREATIVEYE","EQ","16-May-2017","          4.60","          4.60","          4.60","          4.60","          4.60","          4.60","          4.60","       3300","               15180.00","          3","       3300","        100.00"
"CREATIVEYE","EQ","18-May-2017","          4.60","          4.50","          4.50","          4.40","          4.40","          4.40","          4.45","       2016","                8970.40","          4","       2016","        100.00"
"CREATIVEYE","EQ","19-May-2017","          4.40","          4.55","          4.55","          4.20","          4.20","          4.20","          4.21","       3050","               12851.20","          4","       3050","        100.00"
"CREATIVEYE","EQ","22-May-2017","          4.20","          4.00","          4.00","          4.00","          4.00","          4.00","          4.00","         55","                 220.00","          1","         55","        100.00"
"CREATIVEYE","EQ","25-May-2017","          4.00","          4.00","          4.00","          4.00","          4.00","          4.00","          4.00","        500","                2000.00","          2","        500","        100.00"
"CREATIVEYE","EQ","30-May-2017","          4.00","          4.20","          4.20","          4.20","          4.20","          4.20","          4.20","       1100","                4620.00","          2","       1100","        100.00"
"CREATIVEYE","EQ","31-May-2017","          4.20","          4.00","          4.05","          4.00","          4.05","          4.05","          4.01","        700","                2805.00","          3","        700","        100.00"
"CREATIVEYE","EQ","01-Jun-2017","          4.05","          4.05","          4.05","          3.95","          3.95","          3.95","          4.03","        500","                2015.00","          2","        500","        100.00"
"CREATIVEYE","EQ","02-Jun-2017","          3.95","          3.90","          4.10","          3.90","          3.90","          3.90","          3.99","       3000","               11980.00","          6","       2000","         66.67"
"CREATIVEYE","EQ","05-Jun-2017","          3.90","          4.00","          4.00","          4.00","          4.00","          4.00","          4.00","        100","                 400.00","          1","        100","        100.00"
"CREATIVEYE","EQ","06-Jun-2017","          4.00","          4.10","          4.10","          4.10","          4.10","          4.10","          4.10","        100","                 410.00","          1","        100","        100.00"
"CREATIVEYE","EQ","07-Jun-2017","          4.10","          4.10","          4.20","          4.10","          4.20","          4.20","          4.15","        986","                4087.40","          6","        986","        100.00"
"CREATIVEYE","EQ","09-Jun-2017","          4.20","          3.85","          3.85","          3.85","          3.85","          3.85","          3.85","        635","                2444.75","          1","        635","        100.00"
"CREATIVEYE","EQ","12-Jun-2017","          3.85","          3.80","          3.80","          3.80","          3.80","          3.80","          3.80","         94","                 357.20","          2","         94","        100.00"
"CREATIVEYE","EQ","13-Jun-2017","          3.80","          3.90","          3.90","          3.90","          3.90","          3.90","          3.90","       2500","                9750.00","          4","       2500","        100.00"
"CREATIVEYE","EQ","14-Jun-2017","          3.90","          4.15","          4.15","          4.15","          4.15","          4.15","          4.15","         51","                 211.65","          1","         51","        100.00"
"CREATIVEYE","EQ","15-Jun-2017","          4.15","          3.95","          4.10","          3.95","          3.95","          3.95","          4.02","       3000","               12045.00","          7","       2100","         70.00"
"CREATIVEYE","EQ","19-Jun-2017","          3.95","          3.90","          3.90","          3.90","          3.90","          3.90","          3.90","        200","                 780.00","          1","        200","        100.00"
